danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,audio_features,7zTx8ePYAmPFQuxP3xlXZn,spotify:track:7zTx8ePYAmPFQuxP3xlXZn,https://api.spotify.com/v1/tracks/7zTx8ePYAmPFQuxP3xlXZn,https://api.spotify.com/v1/audio-analysis/7zTx8ePYAmPFQuxP3xlXZn,239853,4
0.535,0.882,6,-3.104,1,0.0389,0.0265,0,0.104,0.228,127.957,audio_features,0zqW3PH8IqXu1ososgokBX,spotify:track:0zqW3PH8IqXu1ososgokBX,https://api.spotify.com/v1/tracks/0zqW3PH8IqXu1ososgokBX,https://api.spotify.com/v1/audio-analysis/0zqW3PH8IqXu1ososgokBX,217500,4
0.641,0.731,5,-4.96,0,0.0339,0.0306,0,0.258,0.505,123.048,audio_features,3slBHvoQcO8HjscbP2QKk5,spotify:track:3slBHvoQcO8HjscbP2QKk5,https://api.spotify.com/v1/tracks/3slBHvoQcO8HjscbP2QKk5,https://api.spotify.com/v1/audio-analysis/3slBHvoQcO8HjscbP2QKk5,203000,4
0.57,0.825,2,-6.279,0,0.0664,0.00478,0.684,0.225,0.0724,128.013,audio_features,6RlGkqMQOFNxWHdLdMmmng,spotify:track:6RlGkqMQOFNxWHdLdMmmng,https://api.spotify.com/v1/tracks/6RlGkqMQOFNxWHdLdMmmng,https://api.spotify.com/v1/audio-analysis/6RlGkqMQOFNxWHdLdMmmng,337493,4
0.67,0.817,9,-6.693,0,0.0311,0.0223,0.00276,0.277,0.381,128.019,audio_features,2It4QZOCHQYlHWxW60RYwL,spotify:track:2It4QZOCHQYlHWxW60RYwL,https://api.spotify.com/v1/tracks/2It4QZOCHQYlHWxW60RYwL,https://api.spotify.com/v1/audio-analysis/2It4QZOCHQYlHWxW60RYwL,287667,4
0.623,0.975,3,-2.632,0,0.109,0.00732,0.16,0.0614,0.225,125.94,audio_features,7bnqNC0CBeaD09RGUG3FBm,spotify:track:7bnqNC0CBeaD09RGUG3FBm,https://api.spotify.com/v1/tracks/7bnqNC0CBeaD09RGUG3FBm,https://api.spotify.com/v1/audio-analysis/7bnqNC0CBeaD09RGUG3FBm,192000,4
0.556,0.87,10,-5.075,0,0.056,0.0639,0,0.161,0.425,122.031,audio_features,6JzCO4ZzxAXhY86vTcqM1Q,spotify:track:6JzCO4ZzxAXhY86vTcqM1Q,https://api.spotify.com/v1/tracks/6JzCO4ZzxAXhY86vTcqM1Q,https://api.spotify.com/v1/audio-analysis/6JzCO4ZzxAXhY86vTcqM1Q,268840,4
0.643,0.87,11,-5.035,1,0.0567,0.00896,3.66e-05,0.0584,0.193,124.961,audio_features,6RXdg3NwyLU5pHUwkZq6VA,spotify:track:6RXdg3NwyLU5pHUwkZq6VA,https://api.spotify.com/v1/tracks/6RXdg3NwyLU5pHUwkZq6VA,https://api.spotify.com/v1/audio-analysis/6RXdg3NwyLU5pHUwkZq6VA,195333,4
0.636,0.953,2,-3.74,1,0.0353,0.0244,0.0164,0.108,0.397,142.011,audio_features,12mGwph2YzDIlChtq3EdXP,spotify:track:12mGwph2YzDIlChtq3EdXP,https://api.spotify.com/v1/tracks/12mGwph2YzDIlChtq3EdXP,https://api.spotify.com/v1/audio-analysis/12mGwph2YzDIlChtq3EdXP,273803,4
0.393,0.94,6,-3.894,0,0.0718,0.0663,0.00264,0.546,0.297,129.958,audio_features,6tPJXUMn1AjvEBqzwTUHOU,spotify:track:6tPJXUMn1AjvEBqzwTUHOU,https://api.spotify.com/v1/tracks/6tPJXUMn1AjvEBqzwTUHOU,https://api.spotify.com/v1/audio-analysis/6tPJXUMn1AjvEBqzwTUHOU,147231,4
0.369,0.801,1,-5.302,1,0.384,0.282,0,0.266,0.32,128.09,audio_features,454IPfzFpYJsCvqbS0UDbR,spotify:track:454IPfzFpYJsCvqbS0UDbR,https://api.spotify.com/v1/tracks/454IPfzFpYJsCvqbS0UDbR,https://api.spotify.com/v1/audio-analysis/454IPfzFpYJsCvqbS0UDbR,187549,4
0.577,0.691,0,-7.437,0,0.0393,0.0134,3.43e-06,0.124,0.507,129.984,audio_features,2U0pVx4m1Kdm1Gsjjm6iq8,spotify:track:2U0pVx4m1Kdm1Gsjjm6iq8,https://api.spotify.com/v1/tracks/2U0pVx4m1Kdm1Gsjjm6iq8,https://api.spotify.com/v1/audio-analysis/2U0pVx4m1Kdm1Gsjjm6iq8,204213,4
0.696,0.84,7,-5.196,0,0.0433,0.000202,0.801,0.159,0.177,130.024,audio_features,5GDpODnukzZZIXXjPWOrDQ,spotify:track:5GDpODnukzZZIXXjPWOrDQ,https://api.spotify.com/v1/tracks/5GDpODnukzZZIXXjPWOrDQ,https://api.spotify.com/v1/audio-analysis/5GDpODnukzZZIXXjPWOrDQ,203386,4
0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,5wldXGLEOoRXxMWJ8rIUWE,spotify:track:5wldXGLEOoRXxMWJ8rIUWE,https://api.spotify.com/v1/tracks/5wldXGLEOoRXxMWJ8rIUWE,https://api.spotify.com/v1/audio-analysis/5wldXGLEOoRXxMWJ8rIUWE,176561,4
0.511,0.917,7,-4.947,0,0.276,0.00779,0.009,0.702,0.183,127.984,audio_features,7G2OW2MDFfj3U1xf6BvozZ,spotify:track:7G2OW2MDFfj3U1xf6BvozZ,https://api.spotify.com/v1/tracks/7G2OW2MDFfj3U1xf6BvozZ,https://api.spotify.com/v1/audio-analysis/7G2OW2MDFfj3U1xf6BvozZ,230613,4
0.506,0.726,5,-5.964,0,0.0366,0.00308,8.05e-05,0.266,0.266,128.044,audio_features,6x7r0lpyqxBKGq8J7LFMeu,spotify:track:6x7r0lpyqxBKGq8J7LFMeu,https://api.spotify.com/v1/tracks/6x7r0lpyqxBKGq8J7LFMeu,https://api.spotify.com/v1/audio-analysis/6x7r0lpyqxBKGq8J7LFMeu,204418,4
0.642,0.864,7,-3.657,1,0.0379,0.0455,1.98e-06,0.081,0.564,125.088,audio_features,2sp1QtoKfxJaSlsu8NOLTn,spotify:track:2sp1QtoKfxJaSlsu8NOLTn,https://api.spotify.com/v1/tracks/2sp1QtoKfxJaSlsu8NOLTn,https://api.spotify.com/v1/audio-analysis/2sp1QtoKfxJaSlsu8NOLTn,209280,4
0.791,0.716,0,-4.745,0,0.0401,0.0903,2.73e-05,0.306,0.513,121.967,audio_features,1A8j067qyiNwQnZT0bzUpZ,spotify:track:1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/audio-analysis/1A8j067qyiNwQnZT0bzUpZ,195547,4
0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.543,160.036,audio_features,5L7EcEdJAZ3TEpWEfsOMLD,spotify:track:5L7EcEdJAZ3TEpWEfsOMLD,https://api.spotify.com/v1/tracks/5L7EcEdJAZ3TEpWEfsOMLD,https://api.spotify.com/v1/audio-analysis/5L7EcEdJAZ3TEpWEfsOMLD,180150,4
0.583,0.748,6,-4.798,1,0.0292,0.00695,0.0241,0.22,0.254,142.029,audio_features,1Hk0QRlUFCHYG6zIvUh0Xd,spotify:track:1Hk0QRlUFCHYG6zIvUh0Xd,https://api.spotify.com/v1/tracks/1Hk0QRlUFCHYG6zIvUh0Xd,https://api.spotify.com/v1/audio-analysis/1Hk0QRlUFCHYG6zIvUh0Xd,233239,4
0.546,0.466,1,-8.337,1,0.0478,0.523,0.000823,0.0685,0.576,119.584,audio_features,2OkU57LVQoynnVyLE1LrPN,spotify:track:2OkU57LVQoynnVyLE1LrPN,https://api.spotify.com/v1/tracks/2OkU57LVQoynnVyLE1LrPN,https://api.spotify.com/v1/audio-analysis/2OkU57LVQoynnVyLE1LrPN,178996,5
0.54,0.933,2,-6.784,1,0.0364,0.0024,0.954,0.371,0.238,123.988,audio_features,5MYzarVq7dyU7G8z8NQKF2,spotify:track:5MYzarVq7dyU7G8z8NQKF2,https://api.spotify.com/v1/tracks/5MYzarVq7dyU7G8z8NQKF2,https://api.spotify.com/v1/audio-analysis/5MYzarVq7dyU7G8z8NQKF2,201290,4
0.761,0.858,11,-6.104,0,0.0556,0.00197,3.03e-05,0.063,0.545,122.995,audio_features,16s0TT9GxYo78ln1iHZLS1,spotify:track:16s0TT9GxYo78ln1iHZLS1,https://api.spotify.com/v1/tracks/16s0TT9GxYo78ln1iHZLS1,https://api.spotify.com/v1/audio-analysis/16s0TT9GxYo78ln1iHZLS1,245854,4
0.631,0.925,8,-4.123,0,0.0423,0.0447,0.0773,0.133,0.414,125.993,audio_features,5AvvyeUnd0SAU5PyaLIhVY,spotify:track:5AvvyeUnd0SAU5PyaLIhVY,https://api.spotify.com/v1/tracks/5AvvyeUnd0SAU5PyaLIhVY,https://api.spotify.com/v1/audio-analysis/5AvvyeUnd0SAU5PyaLIhVY,189640,4
0.492,0.886,5,-4.4,0,0.0411,0.07,2.18e-05,0.0767,0.232,126.024,audio_features,3xbjOnhevSQ2104JTrrSfA,spotify:track:3xbjOnhevSQ2104JTrrSfA,https://api.spotify.com/v1/tracks/3xbjOnhevSQ2104JTrrSfA,https://api.spotify.com/v1/audio-analysis/3xbjOnhevSQ2104JTrrSfA,217143,4
0.59,0.887,5,-2.851,1,0.0928,0.276,0,0.0798,0.258,126.029,audio_features,2Mh0jU5IyRTQfpyMnvki5Z,spotify:track:2Mh0jU5IyRTQfpyMnvki5Z,https://api.spotify.com/v1/tracks/2Mh0jU5IyRTQfpyMnvki5Z,https://api.spotify.com/v1/audio-analysis/2Mh0jU5IyRTQfpyMnvki5Z,218973,4
0.607,0.926,8,-2.506,1,0.107,0.00169,0.559,0.0686,0.194,126.072,audio_features,2YiAIb849EFhMkXZIaITMn,spotify:track:2YiAIb849EFhMkXZIaITMn,https://api.spotify.com/v1/tracks/2YiAIb849EFhMkXZIaITMn,https://api.spotify.com/v1/audio-analysis/2YiAIb849EFhMkXZIaITMn,202381,4
