danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.763,0.356,0,-11.967,1,0.0496,0.119,7.24e-06,0.0911,0.214,131.958,audio_features,4p3KFLN0K6OaT1tpmkynpa,spotify:track:4p3KFLN0K6OaT1tpmkynpa,https://api.spotify.com/v1/tracks/4p3KFLN0K6OaT1tpmkynpa,https://api.spotify.com/v1/audio-analysis/4p3KFLN0K6OaT1tpmkynpa,227273,4
0.512,0.511,7,-4.412,0,0.324,0.537,0,0.115,0.651,88.816,audio_features,360NCp4XoQ0sFi5jgu5Ww7,spotify:track:360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/tracks/360NCp4XoQ0sFi5jgu5Ww7,https://api.spotify.com/v1/audio-analysis/360NCp4XoQ0sFi5jgu5Ww7,218073,4
0.829,0.356,7,-7.407,1,0.0401,0.0268,4.27e-05,0.178,0.152,115.014,audio_features,0mnjwSBkKI21yNyI2FqTO8,spotify:track:0mnjwSBkKI21yNyI2FqTO8,https://api.spotify.com/v1/tracks/0mnjwSBkKI21yNyI2FqTO8,https://api.spotify.com/v1/audio-analysis/0mnjwSBkKI21yNyI2FqTO8,183035,4
0.612,0.442,6,-8.874,1,0.289,0.651,0,0.26,0.253,119.235,audio_features,5wTVNpi5WDByxBgKgUE6MU,spotify:track:5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/tracks/5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/audio-analysis/5wTVNpi5WDByxBgKgUE6MU,181120,5
0.539,0.546,9,-7.448,1,0.106,0.674,4.86e-05,0.422,0.554,159.996,audio_features,3gATNBVu8d7oWs9WijPDjD,spotify:track:3gATNBVu8d7oWs9WijPDjD,https://api.spotify.com/v1/tracks/3gATNBVu8d7oWs9WijPDjD,https://api.spotify.com/v1/audio-analysis/3gATNBVu8d7oWs9WijPDjD,184516,3
0.787,0.579,10,-8.376,0,0.0581,0.544,0.00148,0.116,0.738,81.68,audio_features,4u8031pTkTODbRaDCbx8Yv,spotify:track:4u8031pTkTODbRaDCbx8Yv,https://api.spotify.com/v1/tracks/4u8031pTkTODbRaDCbx8Yv,https://api.spotify.com/v1/audio-analysis/4u8031pTkTODbRaDCbx8Yv,187210,4
0.399,0.326,7,-9.239,0,0.0386,0.864,0,0.191,0.546,79.206,audio_features,61S0mEfdRtJ62Fc7fPqx0U,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,https://api.spotify.com/v1/tracks/61S0mEfdRtJ62Fc7fPqx0U,https://api.spotify.com/v1/audio-analysis/61S0mEfdRtJ62Fc7fPqx0U,174000,4
0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,6gpcs5eMhJwax4mIfKDYQk,spotify:track:6gpcs5eMhJwax4mIfKDYQk,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,230813,4
0.647,0.586,1,-6.683,0,0.221,0.00498,1.06e-06,0.22,0.362,123.689,audio_features,4l5h2Em4eo0BNQu1pmaqpt,spotify:track:4l5h2Em4eo0BNQu1pmaqpt,https://api.spotify.com/v1/tracks/4l5h2Em4eo0BNQu1pmaqpt,https://api.spotify.com/v1/audio-analysis/4l5h2Em4eo0BNQu1pmaqpt,267920,4
0.766,0.739,1,-10.364,1,0.0805,0.0192,0.0794,0.229,0.185,118.005,audio_features,282L6SR4Y8Rs0VUgtEy1Zw,spotify:track:282L6SR4Y8Rs0VUgtEy1Zw,https://api.spotify.com/v1/tracks/282L6SR4Y8Rs0VUgtEy1Zw,https://api.spotify.com/v1/audio-analysis/282L6SR4Y8Rs0VUgtEy1Zw,296520,4
