danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.597,0.685,3,-6.163,1,0.0271,0.655,2.6e-06,0.121,0.49,137.973,audio_features,3kJVIymUpRlFedXNH9CIrB,spotify:track:3kJVIymUpRlFedXNH9CIrB,https://api.spotify.com/v1/tracks/3kJVIymUpRlFedXNH9CIrB,https://api.spotify.com/v1/audio-analysis/3kJVIymUpRlFedXNH9CIrB,191840,4
0.583,0.698,9,-5.946,1,0.025,0.00114,2.35e-05,0.146,0.752,105.988,audio_features,5cVguTkfK33EstjmCJCfoD,spotify:track:5cVguTkfK33EstjmCJCfoD,https://api.spotify.com/v1/tracks/5cVguTkfK33EstjmCJCfoD,https://api.spotify.com/v1/audio-analysis/5cVguTkfK33EstjmCJCfoD,237373,4
0.479,0.87,2,-3.552,1,0.0361,0.00132,0,0.11,0.831,183.976,audio_features,04vf1TcwzFYRsYRareORyG,spotify:track:04vf1TcwzFYRsYRareORyG,https://api.spotify.com/v1/tracks/04vf1TcwzFYRsYRareORyG,https://api.spotify.com/v1/audio-analysis/04vf1TcwzFYRsYRareORyG,177773,4
0.392,0.873,7,-2.882,1,0.0589,0.0975,0.000606,0.177,0.576,159.968,audio_features,2dSgTinME9THdBT9PVncHO,spotify:track:2dSgTinME9THdBT9PVncHO,https://api.spotify.com/v1/tracks/2dSgTinME9THdBT9PVncHO,https://api.spotify.com/v1/audio-analysis/2dSgTinME9THdBT9PVncHO,224026,4
0.598,0.813,0,-4.795,1,0.035,0.00175,0,0.361,0.633,111.955,audio_features,69UyfSal46XJnSHsP2j5bJ,spotify:track:69UyfSal46XJnSHsP2j5bJ,https://api.spotify.com/v1/tracks/69UyfSal46XJnSHsP2j5bJ,https://api.spotify.com/v1/audio-analysis/69UyfSal46XJnSHsP2j5bJ,167666,4
0.517,0.802,0,-4.49,1,0.0372,0.0763,0,0.0902,0.529,145.875,audio_features,1bmXNp6T1sytYuUqblRBVW,spotify:track:1bmXNp6T1sytYuUqblRBVW,https://api.spotify.com/v1/tracks/1bmXNp6T1sytYuUqblRBVW,https://api.spotify.com/v1/audio-analysis/1bmXNp6T1sytYuUqblRBVW,197488,4
0.479,0.486,4,-11.195,1,0.035,0.142,0.000694,0.0744,0.515,72.374,audio_features,1e0AEUpFC575SoQPM2dNiI,spotify:track:1e0AEUpFC575SoQPM2dNiI,https://api.spotify.com/v1/tracks/1e0AEUpFC575SoQPM2dNiI,https://api.spotify.com/v1/audio-analysis/1e0AEUpFC575SoQPM2dNiI,351640,4
0.724,0.712,4,-7.28,1,0.0371,0.0625,0.000136,0.103,0.741,101.012,audio_features,5qCddjdPnWUfv3ijlcSXnJ,spotify:track:5qCddjdPnWUfv3ijlcSXnJ,https://api.spotify.com/v1/tracks/5qCddjdPnWUfv3ijlcSXnJ,https://api.spotify.com/v1/audio-analysis/5qCddjdPnWUfv3ijlcSXnJ,214557,4
0.597,0.423,10,-6.815,1,0.0285,0.0645,1.65e-05,0.144,0.288,115.04,audio_features,5vnxFrKjeFmx5Pmw42g4dz,spotify:track:5vnxFrKjeFmx5Pmw42g4dz,https://api.spotify.com/v1/tracks/5vnxFrKjeFmx5Pmw42g4dz,https://api.spotify.com/v1/audio-analysis/5vnxFrKjeFmx5Pmw42g4dz,248653,4
0.562,0.488,11,-9.504,1,0.0279,0.00404,0,0.073,0.346,99.995,audio_features,4BzoYllBz7adpD3I1vPE8Z,spotify:track:4BzoYllBz7adpD3I1vPE8Z,https://api.spotify.com/v1/tracks/4BzoYllBz7adpD3I1vPE8Z,https://api.spotify.com/v1/audio-analysis/4BzoYllBz7adpD3I1vPE8Z,276160,4
