danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.699,0.463,6,-7.212,0,0.0432,0.354,0.00306,0.073,0.356,139.952,audio_features,6xUhre6N6NhELpQaTBo3rP,spotify:track:6xUhre6N6NhELpQaTBo3rP,https://api.spotify.com/v1/tracks/6xUhre6N6NhELpQaTBo3rP,https://api.spotify.com/v1/audio-analysis/6xUhre6N6NhELpQaTBo3rP,313800,4
0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,audio_features,41yIvlFgvGwxq8qTqAR7eG,spotify:track:41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080,4
0.636,0.22,10,-13.059,1,0.0468,0.884,0.00754,0.0925,0.0401,133.93,audio_features,4tGQUAnrOXuM3epCM8OBYC,spotify:track:4tGQUAnrOXuM3epCM8OBYC,https://api.spotify.com/v1/tracks/4tGQUAnrOXuM3epCM8OBYC,https://api.spotify.com/v1/audio-analysis/4tGQUAnrOXuM3epCM8OBYC,252907,4
0.762,0.383,10,-8.699,0,0.0277,0.241,0.00676,0.126,0.26,109.939,audio_features,23X4RjHORKVk75NBCjIusY,spotify:track:23X4RjHORKVk75NBCjIusY,https://api.spotify.com/v1/tracks/23X4RjHORKVk75NBCjIusY,https://api.spotify.com/v1/audio-analysis/23X4RjHORKVk75NBCjIusY,239120,4
0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989,audio_features,4fbvXwMTXPWaFyaMWUm9CR,spotify:track:4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/tracks/4fbvXwMTXPWaFyaMWUm9CR,https://api.spotify.com/v1/audio-analysis/4fbvXwMTXPWaFyaMWUm9CR,336613,4
0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,audio_features,6Fha6tXHkL3r9m9nNqQG8p,spotify:track:6Fha6tXHkL3r9m9nNqQG8p,https://api.spotify.com/v1/tracks/6Fha6tXHkL3r9m9nNqQG8p,https://api.spotify.com/v1/audio-analysis/6Fha6tXHkL3r9m9nNqQG8p,230507,4
0.535,0.877,1,-5.237,1,0.0379,0.0717,0.0171,0.113,0.271,121.967,audio_features,3gVEqqF34m2bphq6qo7qyW,spotify:track:3gVEqqF34m2bphq6qo7qyW,https://api.spotify.com/v1/tracks/3gVEqqF34m2bphq6qo7qyW,https://api.spotify.com/v1/audio-analysis/3gVEqqF34m2bphq6qo7qyW,286867,4
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,audio_features,7BVwi9cIzSc6tpyxsp47vJ,spotify:track:7BVwi9cIzSc6tpyxsp47vJ,https://api.spotify.com/v1/tracks/7BVwi9cIzSc6tpyxsp47vJ,https://api.spotify.com/v1/audio-analysis/7BVwi9cIzSc6tpyxsp47vJ,223640,1
0.474,0.583,7,-7.488,1,0.0278,0.509,0,0.25,0.367,146.007,audio_features,3B61es35RhmjeZgFuG6VV2,spotify:track:3B61es35RhmjeZgFuG6VV2,https://api.spotify.com/v1/tracks/3B61es35RhmjeZgFuG6VV2,https://api.spotify.com/v1/audio-analysis/3B61es35RhmjeZgFuG6VV2,182720,4
0.35,0.512,1,-7.73,0,0.0536,0.688,1.77e-05,0.0688,0.127,142.966,audio_features,25DpvTS4zsmLiVLx8Zv3N0,spotify:track:25DpvTS4zsmLiVLx8Zv3N0,https://api.spotify.com/v1/tracks/25DpvTS4zsmLiVLx8Zv3N0,https://api.spotify.com/v1/audio-analysis/25DpvTS4zsmLiVLx8Zv3N0,258000,4
0.435,0.591,2,-6.973,1,0.057,0.0132,0,0.101,0.0941,129.93,audio_features,3WLwkFXJpZ1VpDxAh0DXzz,spotify:track:3WLwkFXJpZ1VpDxAh0DXzz,https://api.spotify.com/v1/tracks/3WLwkFXJpZ1VpDxAh0DXzz,https://api.spotify.com/v1/audio-analysis/3WLwkFXJpZ1VpDxAh0DXzz,183760,4
0.424,0.671,9,-7.146,1,0.0299,0.000323,0.217,0.148,0.255,94.465,audio_features,1TlB3z3e5D8OaqYXQAVIcj,spotify:track:1TlB3z3e5D8OaqYXQAVIcj,https://api.spotify.com/v1/tracks/1TlB3z3e5D8OaqYXQAVIcj,https://api.spotify.com/v1/audio-analysis/1TlB3z3e5D8OaqYXQAVIcj,262213,4
0.456,0.687,4,-6.508,1,0.0354,0.00207,0,0.0875,0.55,168.129,audio_features,6Dtu8QgsjaXLWKtK3ETpa9,spotify:track:6Dtu8QgsjaXLWKtK3ETpa9,https://api.spotify.com/v1/tracks/6Dtu8QgsjaXLWKtK3ETpa9,https://api.spotify.com/v1/audio-analysis/6Dtu8QgsjaXLWKtK3ETpa9,183867,4
0.406,0.593,2,-5.466,0,0.0291,0.0572,0.000435,0.11,0.0498,135.798,audio_features,0P2xmlbhOoQd5LOztoe0yF,spotify:track:0P2xmlbhOoQd5LOztoe0yF,https://api.spotify.com/v1/tracks/0P2xmlbhOoQd5LOztoe0yF,https://api.spotify.com/v1/audio-analysis/0P2xmlbhOoQd5LOztoe0yF,279693,4
0.537,0.896,8,-5.537,1,0.0534,0.0267,0,0.107,0.619,108.024,audio_features,309SSdFnorhTPt5zIAdr7g,spotify:track:309SSdFnorhTPt5zIAdr7g,https://api.spotify.com/v1/tracks/309SSdFnorhTPt5zIAdr7g,https://api.spotify.com/v1/audio-analysis/309SSdFnorhTPt5zIAdr7g,199529,4
0.456,0.579,0,-5.665,1,0.0311,0.0898,2.48e-06,0.0992,0.164,147.28,audio_features,4JtUz0ZcInSokkKBalijhd,spotify:track:4JtUz0ZcInSokkKBalijhd,https://api.spotify.com/v1/tracks/4JtUz0ZcInSokkKBalijhd,https://api.spotify.com/v1/audio-analysis/4JtUz0ZcInSokkKBalijhd,224343,4
0.643,0.906,2,-6.246,0,0.0539,0.0992,0.000884,0.181,0.559,134.988,audio_features,142I4efbM50oAjnSQaEUcG,spotify:track:142I4efbM50oAjnSQaEUcG,https://api.spotify.com/v1/tracks/142I4efbM50oAjnSQaEUcG,https://api.spotify.com/v1/audio-analysis/142I4efbM50oAjnSQaEUcG,229200,4
0.465,0.466,0,-9.439,1,0.0348,0.347,0.0213,0.309,0.262,117.849,audio_features,2siSRzAvp1FaN18hC9VneS,spotify:track:2siSRzAvp1FaN18hC9VneS,https://api.spotify.com/v1/tracks/2siSRzAvp1FaN18hC9VneS,https://api.spotify.com/v1/audio-analysis/2siSRzAvp1FaN18hC9VneS,189081,4
0.419,0.358,5,-10.749,1,0.033,0.458,0.0479,0.168,0.226,128.764,audio_features,0Qw7qGuXlVBZLcfoQ17yZn,spotify:track:0Qw7qGuXlVBZLcfoQ17yZn,https://api.spotify.com/v1/tracks/0Qw7qGuXlVBZLcfoQ17yZn,https://api.spotify.com/v1/audio-analysis/0Qw7qGuXlVBZLcfoQ17yZn,328507,4
0.377,0.464,9,-8.44,0,0.0382,0.0639,6.39e-05,0.121,0.162,119.865,audio_features,7HyvbdOddwXEGzKoLNxhKG,spotify:track:7HyvbdOddwXEGzKoLNxhKG,https://api.spotify.com/v1/tracks/7HyvbdOddwXEGzKoLNxhKG,https://api.spotify.com/v1/audio-analysis/7HyvbdOddwXEGzKoLNxhKG,321387,3
0.396,0.466,0,-6.106,1,0.029,0.799,0,0.0943,0.556,168.053,audio_features,2Y5v72rZR7ym6LRbh5NilJ,spotify:track:2Y5v72rZR7ym6LRbh5NilJ,https://api.spotify.com/v1/tracks/2Y5v72rZR7ym6LRbh5NilJ,https://api.spotify.com/v1/audio-analysis/2Y5v72rZR7ym6LRbh5NilJ,201667,4
0.569,0.464,11,-8.27,1,0.0539,0.379,0,0.152,0.321,84.565,audio_features,20OrSCxQNhfAtiWtbLn3hf,spotify:track:20OrSCxQNhfAtiWtbLn3hf,https://api.spotify.com/v1/tracks/20OrSCxQNhfAtiWtbLn3hf,https://api.spotify.com/v1/audio-analysis/20OrSCxQNhfAtiWtbLn3hf,208853,4
0.288,0.786,11,-4.792,0,0.0379,0.000127,0.000122,0.192,0.333,167.916,audio_features,0qhWKhiRbhPGxtTQKr21F1,spotify:track:0qhWKhiRbhPGxtTQKr21F1,https://api.spotify.com/v1/tracks/0qhWKhiRbhPGxtTQKr21F1,https://api.spotify.com/v1/audio-analysis/0qhWKhiRbhPGxtTQKr21F1,203520,4
0.578,0.37,6,-13.379,0,0.0506,0.00849,0.00937,0.131,0.0635,96.243,audio_features,1xJ8RjDucztPOKB0ek95tf,spotify:track:1xJ8RjDucztPOKB0ek95tf,https://api.spotify.com/v1/tracks/1xJ8RjDucztPOKB0ek95tf,https://api.spotify.com/v1/audio-analysis/1xJ8RjDucztPOKB0ek95tf,237560,4
0.57,0.789,11,-7.621,0,0.0362,0.00412,0.863,0.169,0.158,122.044,audio_features,27izq1YX6cczN6qPJ41BlQ,spotify:track:27izq1YX6cczN6qPJ41BlQ,https://api.spotify.com/v1/tracks/27izq1YX6cczN6qPJ41BlQ,https://api.spotify.com/v1/audio-analysis/27izq1YX6cczN6qPJ41BlQ,224650,4
0.333,0.58,7,-8.511,1,0.0295,0.252,0.00218,0.0541,0.0907,106.852,audio_features,7cxg6WIDYoXza9QAOPDRpT,spotify:track:7cxg6WIDYoXza9QAOPDRpT,https://api.spotify.com/v1/tracks/7cxg6WIDYoXza9QAOPDRpT,https://api.spotify.com/v1/audio-analysis/7cxg6WIDYoXza9QAOPDRpT,247560,4
0.372,0.247,4,-12.633,1,0.0336,0.896,0.00162,0.082,0.241,181.763,audio_features,2HQY0sXTrBJCuxqJxbeMWB,spotify:track:2HQY0sXTrBJCuxqJxbeMWB,https://api.spotify.com/v1/tracks/2HQY0sXTrBJCuxqJxbeMWB,https://api.spotify.com/v1/audio-analysis/2HQY0sXTrBJCuxqJxbeMWB,159711,4
0.488,0.759,10,-7.827,0,0.0361,0.0551,0.0896,0.0624,0.393,109.83,audio_features,6QBcQLg558ZCIkRJv4qNNr,spotify:track:6QBcQLg558ZCIkRJv4qNNr,https://api.spotify.com/v1/tracks/6QBcQLg558ZCIkRJv4qNNr,https://api.spotify.com/v1/audio-analysis/6QBcQLg558ZCIkRJv4qNNr,314147,4
0.592,0.438,1,-10.054,1,0.0391,0.193,0,0.0564,0.259,67.445,audio_features,1rPCgtaIF0CyKRgAwhtpbF,spotify:track:1rPCgtaIF0CyKRgAwhtpbF,https://api.spotify.com/v1/tracks/1rPCgtaIF0CyKRgAwhtpbF,https://api.spotify.com/v1/audio-analysis/1rPCgtaIF0CyKRgAwhtpbF,185000,4
0.441,0.57,4,-5.584,1,0.032,0.0104,0.0146,0.123,0.117,139.876,audio_features,3O2pB9JHreUZ9F83qSNmu8,spotify:track:3O2pB9JHreUZ9F83qSNmu8,https://api.spotify.com/v1/tracks/3O2pB9JHreUZ9F83qSNmu8,https://api.spotify.com/v1/audio-analysis/3O2pB9JHreUZ9F83qSNmu8,206560,4
0.332,0.512,4,-8.636,1,0.0358,0.551,0.564,0.0917,0.0377,155.885,audio_features,1wnFpv1gSsFZeuNlHOX1ch,spotify:track:1wnFpv1gSsFZeuNlHOX1ch,https://api.spotify.com/v1/tracks/1wnFpv1gSsFZeuNlHOX1ch,https://api.spotify.com/v1/audio-analysis/1wnFpv1gSsFZeuNlHOX1ch,331107,4
0.28,0.317,7,-12.433,0,0.0468,0.877,0.00714,0.108,0.237,186.644,audio_features,4lRuRtvftdSSUA7hLP7zAr,spotify:track:4lRuRtvftdSSUA7hLP7zAr,https://api.spotify.com/v1/tracks/4lRuRtvftdSSUA7hLP7zAr,https://api.spotify.com/v1/audio-analysis/4lRuRtvftdSSUA7hLP7zAr,274227,3
0.727,0.678,10,-5.136,1,0.0625,0.0797,0.000564,0.115,0.204,119.955,audio_features,4dI4oscajpdtjpg2dP1x28,spotify:track:4dI4oscajpdtjpg2dP1x28,https://api.spotify.com/v1/tracks/4dI4oscajpdtjpg2dP1x28,https://api.spotify.com/v1/audio-analysis/4dI4oscajpdtjpg2dP1x28,163236,4
0.58,0.353,0,-9.295,1,0.0265,0.0616,4.3e-05,0.128,0.242,141.987,audio_features,0DWEV5NfYKtp0WCUWCGShs,spotify:track:0DWEV5NfYKtp0WCUWCGShs,https://api.spotify.com/v1/tracks/0DWEV5NfYKtp0WCUWCGShs,https://api.spotify.com/v1/audio-analysis/0DWEV5NfYKtp0WCUWCGShs,292373,4
0.841,0.842,11,-8.701,1,0.0464,0.372,0.0316,0.113,0.894,117.997,audio_features,5mpLcXEsk3jjzLFGuNKk5I,spotify:track:5mpLcXEsk3jjzLFGuNKk5I,https://api.spotify.com/v1/tracks/5mpLcXEsk3jjzLFGuNKk5I,https://api.spotify.com/v1/audio-analysis/5mpLcXEsk3jjzLFGuNKk5I,262000,4
0.556,0.881,2,-4.624,1,0.0528,0.00174,0.116,0.0685,0.115,135.025,audio_features,4LDVjxkzOKa7YUxjO1x74S,spotify:track:4LDVjxkzOKa7YUxjO1x74S,https://api.spotify.com/v1/tracks/4LDVjxkzOKa7YUxjO1x74S,https://api.spotify.com/v1/audio-analysis/4LDVjxkzOKa7YUxjO1x74S,234173,4
0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,audio_features,1HL3yEnYq8LEyFQ3QegA5V,spotify:track:1HL3yEnYq8LEyFQ3QegA5V,https://api.spotify.com/v1/tracks/1HL3yEnYq8LEyFQ3QegA5V,https://api.spotify.com/v1/audio-analysis/1HL3yEnYq8LEyFQ3QegA5V,316467,4
0.579,0.584,5,-7.151,0,0.0438,0.0856,0,0.0958,0.393,80.001,audio_features,5l8oNQsDDPNFUIV5M4lzRJ,spotify:track:5l8oNQsDDPNFUIV5M4lzRJ,https://api.spotify.com/v1/tracks/5l8oNQsDDPNFUIV5M4lzRJ,https://api.spotify.com/v1/audio-analysis/5l8oNQsDDPNFUIV5M4lzRJ,180400,4
0.637,0.749,6,-5.659,1,0.031,0.183,0.0883,0.153,0.334,99.973,audio_features,4IAdkeIxiUkTE5a1N1BSHT,spotify:track:4IAdkeIxiUkTE5a1N1BSHT,https://api.spotify.com/v1/tracks/4IAdkeIxiUkTE5a1N1BSHT,https://api.spotify.com/v1/audio-analysis/4IAdkeIxiUkTE5a1N1BSHT,286067,4
0.476,0.811,7,-5.072,0,0.0337,0.0811,0.00174,0.102,0.187,147.08,audio_features,7GyEDycN7qMRcqQ1XgX8Z6,spotify:track:7GyEDycN7qMRcqQ1XgX8Z6,https://api.spotify.com/v1/tracks/7GyEDycN7qMRcqQ1XgX8Z6,https://api.spotify.com/v1/audio-analysis/7GyEDycN7qMRcqQ1XgX8Z6,318413,4
0.49,0.564,1,-3.82,0,0.0299,0.0725,0,0.11,0.203,80.337,audio_features,3SFyR2ii2zKh4BU0QJuJ1G,spotify:track:3SFyR2ii2zKh4BU0QJuJ1G,https://api.spotify.com/v1/tracks/3SFyR2ii2zKh4BU0QJuJ1G,https://api.spotify.com/v1/audio-analysis/3SFyR2ii2zKh4BU0QJuJ1G,301715,4
0.493,0.378,11,-13.419,0,0.0426,0.725,4.26e-05,0.0923,0.0822,183.018,audio_features,1oSuscBj84xVHVhFZOnMXF,spotify:track:1oSuscBj84xVHVhFZOnMXF,https://api.spotify.com/v1/tracks/1oSuscBj84xVHVhFZOnMXF,https://api.spotify.com/v1/audio-analysis/1oSuscBj84xVHVhFZOnMXF,289307,4
0.617,0.609,7,-5.345,1,0.0274,0.00468,0.0906,0.109,0.173,131.91,audio_features,2GvtgZIVoPbFrpG659ggUD,spotify:track:2GvtgZIVoPbFrpG659ggUD,https://api.spotify.com/v1/tracks/2GvtgZIVoPbFrpG659ggUD,https://api.spotify.com/v1/audio-analysis/2GvtgZIVoPbFrpG659ggUD,284333,4
0.609,0.804,6,-7.596,0,0.0529,0.00461,0.00143,0.231,0.577,120.049,audio_features,2GiJYvgVaD2HtM8GqD9EgQ,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/tracks/2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107,4
0.548,0.838,1,-4.981,1,0.0363,0.291,2.7e-06,0.179,0.672,98.007,audio_features,08LxaBHzxNSxHdCSitATLW,spotify:track:08LxaBHzxNSxHdCSitATLW,https://api.spotify.com/v1/tracks/08LxaBHzxNSxHdCSitATLW,https://api.spotify.com/v1/audio-analysis/08LxaBHzxNSxHdCSitATLW,286693,4
0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,audio_features,5wj4E6IsrVtn8IBJQOd0Cl,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,https://api.spotify.com/v1/tracks/5wj4E6IsrVtn8IBJQOd0Cl,https://api.spotify.com/v1/audio-analysis/5wj4E6IsrVtn8IBJQOd0Cl,258733,4
0.349,0.337,3,-8.982,1,0.0293,0.164,0.000279,0.12,0.0389,80.285,audio_features,1sfdLryuujVNx5v3SqDIh8,spotify:track:1sfdLryuujVNx5v3SqDIh8,https://api.spotify.com/v1/tracks/1sfdLryuujVNx5v3SqDIh8,https://api.spotify.com/v1/audio-analysis/1sfdLryuujVNx5v3SqDIh8,299387,4
0.677,0.649,10,-5.906,1,0.0311,0.0442,0.0695,0.104,0.787,82.016,audio_features,17ZnveSDBpG9QtL7zLJNPy,spotify:track:17ZnveSDBpG9QtL7zLJNPy,https://api.spotify.com/v1/tracks/17ZnveSDBpG9QtL7zLJNPy,https://api.spotify.com/v1/audio-analysis/17ZnveSDBpG9QtL7zLJNPy,308067,4
0.562,0.669,5,-5.484,1,0.0304,0.187,0.483,0.0833,0.533,88.336,audio_features,23HxMVdUqSsWwar52dS4ZT,spotify:track:23HxMVdUqSsWwar52dS4ZT,https://api.spotify.com/v1/tracks/23HxMVdUqSsWwar52dS4ZT,https://api.spotify.com/v1/audio-analysis/23HxMVdUqSsWwar52dS4ZT,226187,4
0.591,0.41,9,-8.762,0,0.0229,0.599,0.000346,0.189,0.308,96.003,audio_features,0uKyC5TIiwfeh0evennKOO,spotify:track:0uKyC5TIiwfeh0evennKOO,https://api.spotify.com/v1/tracks/0uKyC5TIiwfeh0evennKOO,https://api.spotify.com/v1/audio-analysis/0uKyC5TIiwfeh0evennKOO,280653,4
0.62,0.524,0,-8.282,1,0.0297,0.485,2.34e-05,0.106,0.244,120.027,audio_features,0d0bU9qHxAHvuJRjio7cU6,spotify:track:0d0bU9qHxAHvuJRjio7cU6,https://api.spotify.com/v1/tracks/0d0bU9qHxAHvuJRjio7cU6,https://api.spotify.com/v1/audio-analysis/0d0bU9qHxAHvuJRjio7cU6,263053,4
0.574,0.274,9,-13.553,1,0.0286,0.0111,0.786,0.123,0.111,125.652,audio_features,20Y0ZANdyEI52MfQs6DddK,spotify:track:20Y0ZANdyEI52MfQs6DddK,https://api.spotify.com/v1/tracks/20Y0ZANdyEI52MfQs6DddK,https://api.spotify.com/v1/audio-analysis/20Y0ZANdyEI52MfQs6DddK,202320,4
0.675,0.666,11,-6.067,1,0.027,0.0187,0.692,0.112,0.434,120.558,audio_features,0DrwzykGjwIMEcEoYgYZHZ,spotify:track:0DrwzykGjwIMEcEoYgYZHZ,https://api.spotify.com/v1/tracks/0DrwzykGjwIMEcEoYgYZHZ,https://api.spotify.com/v1/audio-analysis/0DrwzykGjwIMEcEoYgYZHZ,207547,4
0.721,0.64,9,-7.489,0,0.0336,0.0704,1.62e-05,0.21,0.553,120.034,audio_features,7E26JjSamIPCLHoCWhAtB7,spotify:track:7E26JjSamIPCLHoCWhAtB7,https://api.spotify.com/v1/tracks/7E26JjSamIPCLHoCWhAtB7,https://api.spotify.com/v1/audio-analysis/7E26JjSamIPCLHoCWhAtB7,199400,4
0.483,0.256,8,-13.891,1,0.0335,0.797,0.00129,0.0675,0.582,139.904,audio_features,0j9KNQ9pDEQejEm3wdgiAr,spotify:track:0j9KNQ9pDEQejEm3wdgiAr,https://api.spotify.com/v1/tracks/0j9KNQ9pDEQejEm3wdgiAr,https://api.spotify.com/v1/audio-analysis/0j9KNQ9pDEQejEm3wdgiAr,278693,3
0.554,0.752,0,-8.086,1,0.0313,5.3e-05,0.237,0.104,0.385,118.95,audio_features,3SLdLEQ8xz6limRM51RpZ3,spotify:track:3SLdLEQ8xz6limRM51RpZ3,https://api.spotify.com/v1/tracks/3SLdLEQ8xz6limRM51RpZ3,https://api.spotify.com/v1/audio-analysis/3SLdLEQ8xz6limRM51RpZ3,253602,4
0.634,0.588,8,-8.894,1,0.0712,0.218,0.000193,0.0995,0.599,159.235,audio_features,6Wf0dbrqvBkEUSe12cRsps,spotify:track:6Wf0dbrqvBkEUSe12cRsps,https://api.spotify.com/v1/tracks/6Wf0dbrqvBkEUSe12cRsps,https://api.spotify.com/v1/audio-analysis/6Wf0dbrqvBkEUSe12cRsps,186587,4
0.586,0.465,4,-10.007,0,0.0275,0.437,0,0.127,0.241,133.966,audio_features,603R1wKtRuCt5zSMUBHOCF,spotify:track:603R1wKtRuCt5zSMUBHOCF,https://api.spotify.com/v1/tracks/603R1wKtRuCt5zSMUBHOCF,https://api.spotify.com/v1/audio-analysis/603R1wKtRuCt5zSMUBHOCF,224707,4
