danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.6,0.931,7,-4.647,1,0.0734,0.0296,7.1e-05,0.392,0.542,140.123,audio_features,5xLyTbCFONUGUuG0LtUxjn,spotify:track:5xLyTbCFONUGUuG0LtUxjn,https://api.spotify.com/v1/tracks/5xLyTbCFONUGUuG0LtUxjn,https://api.spotify.com/v1/audio-analysis/5xLyTbCFONUGUuG0LtUxjn,270427,4
0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,audio_features,0XIvZ82aDF7JiSi3ZE320u,spotify:track:0XIvZ82aDF7JiSi3ZE320u,https://api.spotify.com/v1/tracks/0XIvZ82aDF7JiSi3ZE320u,https://api.spotify.com/v1/audio-analysis/0XIvZ82aDF7JiSi3ZE320u,252493,4
0.39,0.898,7,-4.089,1,0.045,0.207,6.64e-05,0.217,0.204,90.703,audio_features,3rdxvEfBp86WNcRDLaFEk9,spotify:track:3rdxvEfBp86WNcRDLaFEk9,https://api.spotify.com/v1/tracks/3rdxvEfBp86WNcRDLaFEk9,https://api.spotify.com/v1/audio-analysis/3rdxvEfBp86WNcRDLaFEk9,270160,4
0.52,0.887,0,-3.296,1,0.0349,0.0665,0.000179,0.186,0.793,122.528,audio_features,7qQnBfwXrw2tZNFG4Uf57N,spotify:track:7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/tracks/7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/audio-analysis/7qQnBfwXrw2tZNFG4Uf57N,250627,4
0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,audio_features,4MhTFsyqIJnjsOweVcU8ug,spotify:track:4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/tracks/4MhTFsyqIJnjsOweVcU8ug,https://api.spotify.com/v1/audio-analysis/4MhTFsyqIJnjsOweVcU8ug,356400,4
0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,audio_features,6FBmHx1FuaSnTnnnaThgbF,spotify:track:6FBmHx1FuaSnTnnnaThgbF,https://api.spotify.com/v1/tracks/6FBmHx1FuaSnTnnnaThgbF,https://api.spotify.com/v1/audio-analysis/6FBmHx1FuaSnTnnnaThgbF,287400,4
0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138,audio_features,2PfBSkCKZDXMsJogMT0wML,spotify:track:2PfBSkCKZDXMsJogMT0wML,https://api.spotify.com/v1/tracks/2PfBSkCKZDXMsJogMT0wML,https://api.spotify.com/v1/audio-analysis/2PfBSkCKZDXMsJogMT0wML,239560,4
0.562,0.965,4,-2.789,0,0.0613,0.036,0,0.326,0.39,105.305,audio_features,4NffXDmI70vw19P5Efoe0T,spotify:track:4NffXDmI70vw19P5Efoe0T,https://api.spotify.com/v1/tracks/4NffXDmI70vw19P5Efoe0T,https://api.spotify.com/v1/audio-analysis/4NffXDmI70vw19P5Efoe0T,247493,4
0.49,0.951,11,-3.888,1,0.0966,0.00888,0.00126,0.376,0.628,158.075,audio_features,473dVAB97y06dfl6OBb1uj,spotify:track:473dVAB97y06dfl6OBb1uj,https://api.spotify.com/v1/tracks/473dVAB97y06dfl6OBb1uj,https://api.spotify.com/v1/audio-analysis/473dVAB97y06dfl6OBb1uj,224960,4
0.526,0.924,7,-5.591,1,0.0391,0.027,0.000728,0.598,0.793,147.28,audio_features,0sgDEFq9oeC8ueOK0mR5IA,spotify:track:0sgDEFq9oeC8ueOK0mR5IA,https://api.spotify.com/v1/tracks/0sgDEFq9oeC8ueOK0mR5IA,https://api.spotify.com/v1/audio-analysis/0sgDEFq9oeC8ueOK0mR5IA,220707,4
0.476,0.901,8,-6.751,1,0.0975,0.0642,0.158,0.0557,0.109,91.955,audio_features,57fqmDaokbxZ3TaB0jp39q,spotify:track:57fqmDaokbxZ3TaB0jp39q,https://api.spotify.com/v1/tracks/57fqmDaokbxZ3TaB0jp39q,https://api.spotify.com/v1/audio-analysis/57fqmDaokbxZ3TaB0jp39q,353787,4
0.474,0.977,7,-3.839,0,0.176,0.00111,0.00298,0.201,0.236,89.494,audio_features,0mDpR6DpKc2DyiGtH0NcX8,spotify:track:0mDpR6DpKc2DyiGtH0NcX8,https://api.spotify.com/v1/tracks/0mDpR6DpKc2DyiGtH0NcX8,https://api.spotify.com/v1/audio-analysis/0mDpR6DpKc2DyiGtH0NcX8,284027,4
0.616,0.965,11,-4.464,1,0.0613,0.0135,0.000174,0.119,0.405,126.535,audio_features,0SFS1LxNP5wgnoDA7nGKQu,spotify:track:0SFS1LxNP5wgnoDA7nGKQu,https://api.spotify.com/v1/tracks/0SFS1LxNP5wgnoDA7nGKQu,https://api.spotify.com/v1/audio-analysis/0SFS1LxNP5wgnoDA7nGKQu,266627,4
0.502,0.924,4,-6.299,1,0.0503,0.0127,0,0.162,0.922,149.186,audio_features,5RHG4SQ6iJ1qQJmt3EFJCX,spotify:track:5RHG4SQ6iJ1qQJmt3EFJCX,https://api.spotify.com/v1/tracks/5RHG4SQ6iJ1qQJmt3EFJCX,https://api.spotify.com/v1/audio-analysis/5RHG4SQ6iJ1qQJmt3EFJCX,219667,4
0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,audio_features,7LygtNjQ65PSdzVjUnHXQb,spotify:track:7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/tracks/7LygtNjQ65PSdzVjUnHXQb,https://api.spotify.com/v1/audio-analysis/7LygtNjQ65PSdzVjUnHXQb,201027,4
0.423,0.696,4,-11.589,1,0.0335,0.0025,2.44e-06,0.221,0.786,129.02,audio_features,2kR3B09M6KeJnchOkxwszt,spotify:track:2kR3B09M6KeJnchOkxwszt,https://api.spotify.com/v1/tracks/2kR3B09M6KeJnchOkxwszt,https://api.spotify.com/v1/audio-analysis/2kR3B09M6KeJnchOkxwszt,209067,4
0.457,0.794,1,-6.624,0,0.0298,0.000384,7.26e-05,0.131,0.354,90.439,audio_features,1HlGblweLq0eAwnb0NY1EQ,spotify:track:1HlGblweLq0eAwnb0NY1EQ,https://api.spotify.com/v1/tracks/1HlGblweLq0eAwnb0NY1EQ,https://api.spotify.com/v1/audio-analysis/1HlGblweLq0eAwnb0NY1EQ,231280,4
0.679,0.859,0,-5.945,1,0.0665,0.00536,5.18e-05,0.327,0.792,124.324,audio_features,1brpdmqkx3kSxyqzqXfW7J,spotify:track:1brpdmqkx3kSxyqzqXfW7J,https://api.spotify.com/v1/tracks/1brpdmqkx3kSxyqzqXfW7J,https://api.spotify.com/v1/audio-analysis/1brpdmqkx3kSxyqzqXfW7J,201400,4
0.537,0.978,4,-2.921,0,0.0442,0.417,1.56e-05,0.0374,0.931,126.343,audio_features,6gQUbFwwdYXlKdmqRoWKJe,spotify:track:6gQUbFwwdYXlKdmqRoWKJe,https://api.spotify.com/v1/tracks/6gQUbFwwdYXlKdmqRoWKJe,https://api.spotify.com/v1/audio-analysis/6gQUbFwwdYXlKdmqRoWKJe,265773,4
0.523,0.88,9,-9.019,1,0.0402,0.00961,0.000828,0.329,0.553,132.426,audio_features,3W1iDAW7PVwlMC2zJIKF0k,spotify:track:3W1iDAW7PVwlMC2zJIKF0k,https://api.spotify.com/v1/tracks/3W1iDAW7PVwlMC2zJIKF0k,https://api.spotify.com/v1/audio-analysis/3W1iDAW7PVwlMC2zJIKF0k,235733,4
0.298,0.612,3,-9.002,0,0.0379,0.0194,9.67e-05,0.0906,0.343,156.727,audio_features,1j06ieEC2BOCM0fTmYhn2l,spotify:track:1j06ieEC2BOCM0fTmYhn2l,https://api.spotify.com/v1/tracks/1j06ieEC2BOCM0fTmYhn2l,https://api.spotify.com/v1/audio-analysis/1j06ieEC2BOCM0fTmYhn2l,262200,4
0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,audio_features,1iQpStZpzBb5TOuTDKJKdj,spotify:track:1iQpStZpzBb5TOuTDKJKdj,https://api.spotify.com/v1/tracks/1iQpStZpzBb5TOuTDKJKdj,https://api.spotify.com/v1/audio-analysis/1iQpStZpzBb5TOuTDKJKdj,269600,4
0.46,0.974,2,-5.095,1,0.156,0.0537,7.95e-06,0.329,0.444,112.684,audio_features,4QPRua3G7RQraiYX2NwdH6,spotify:track:4QPRua3G7RQraiYX2NwdH6,https://api.spotify.com/v1/tracks/4QPRua3G7RQraiYX2NwdH6,https://api.spotify.com/v1/audio-analysis/4QPRua3G7RQraiYX2NwdH6,284973,4
0.426,0.961,8,-4.365,1,0.07,0.013,0.0259,0.0621,0.616,171.411,audio_features,5CWWOxTehNz94b4Xs0xFYV,spotify:track:5CWWOxTehNz94b4Xs0xFYV,https://api.spotify.com/v1/tracks/5CWWOxTehNz94b4Xs0xFYV,https://api.spotify.com/v1/audio-analysis/5CWWOxTehNz94b4Xs0xFYV,228533,4
0.296,0.83,1,-7.051,0,0.0505,0.00081,0,0.263,0.478,164.124,audio_features,5F8WPtrurLmNE3tv6Sm14m,spotify:track:5F8WPtrurLmNE3tv6Sm14m,https://api.spotify.com/v1/tracks/5F8WPtrurLmNE3tv6Sm14m,https://api.spotify.com/v1/audio-analysis/5F8WPtrurLmNE3tv6Sm14m,223533,4
0.204,0.794,2,-7.586,1,0.0618,0.00122,0,0.148,0.205,149.346,audio_features,2QfjV18pg4Ye7Vo4TsSobq,spotify:track:2QfjV18pg4Ye7Vo4TsSobq,https://api.spotify.com/v1/tracks/2QfjV18pg4Ye7Vo4TsSobq,https://api.spotify.com/v1/audio-analysis/2QfjV18pg4Ye7Vo4TsSobq,295427,4
0.463,0.926,5,-3.563,0,0.12,4.95e-05,0.000576,0.0868,0.501,131.129,audio_features,6QtDzKo8oVwnOx7Sg7jxUe,spotify:track:6QtDzKo8oVwnOx7Sg7jxUe,https://api.spotify.com/v1/tracks/6QtDzKo8oVwnOx7Sg7jxUe,https://api.spotify.com/v1/audio-analysis/6QtDzKo8oVwnOx7Sg7jxUe,271400,4
0.479,0.822,4,-6.412,0,0.0444,0.00434,4.76e-06,0.0843,0.562,130.035,audio_features,1o0hcMxI6jYzQm6ApPde3L,spotify:track:1o0hcMxI6jYzQm6ApPde3L,https://api.spotify.com/v1/tracks/1o0hcMxI6jYzQm6ApPde3L,https://api.spotify.com/v1/audio-analysis/1o0hcMxI6jYzQm6ApPde3L,255720,4
0.33,0.963,9,-5.509,1,0.106,0.00388,0.00714,0.0793,0.734,171.59,audio_features,6q5vdf6Mfkk0eETYzmgokj,spotify:track:6q5vdf6Mfkk0eETYzmgokj,https://api.spotify.com/v1/tracks/6q5vdf6Mfkk0eETYzmgokj,https://api.spotify.com/v1/audio-analysis/6q5vdf6Mfkk0eETYzmgokj,248333,4
0.498,0.858,7,-5.259,0,0.0661,0.159,0,0.262,0.778,132.718,audio_features,0gGJO7JM51uAUu7EE2lxx6,spotify:track:0gGJO7JM51uAUu7EE2lxx6,https://api.spotify.com/v1/tracks/0gGJO7JM51uAUu7EE2lxx6,https://api.spotify.com/v1/audio-analysis/0gGJO7JM51uAUu7EE2lxx6,241893,4
0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,audio_features,2RaA6kIcvomt77qlIgGhCT,spotify:track:2RaA6kIcvomt77qlIgGhCT,https://api.spotify.com/v1/tracks/2RaA6kIcvomt77qlIgGhCT,https://api.spotify.com/v1/audio-analysis/2RaA6kIcvomt77qlIgGhCT,153840,4
0.619,0.751,7,-11.568,0,0.0417,0.0113,7.87e-05,0.123,0.532,126.079,audio_features,2mEk0VdrbDJ11DBC6Y92mh,spotify:track:2mEk0VdrbDJ11DBC6Y92mh,https://api.spotify.com/v1/tracks/2mEk0VdrbDJ11DBC6Y92mh,https://api.spotify.com/v1/audio-analysis/2mEk0VdrbDJ11DBC6Y92mh,265333,4
0.562,0.991,7,-2.654,1,0.0745,0.0373,1.14e-05,0.425,0.266,118.004,audio_features,0U2TocFjqul3sis3sE5jZl,spotify:track:0U2TocFjqul3sis3sE5jZl,https://api.spotify.com/v1/tracks/0U2TocFjqul3sis3sE5jZl,https://api.spotify.com/v1/audio-analysis/0U2TocFjqul3sis3sE5jZl,263560,4
0.221,0.956,0,-4.641,1,0.0876,0.0103,0.000523,0.195,0.432,173.254,audio_features,2JS1iE5A5RHvUPH5Zl9jlF,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,https://api.spotify.com/v1/tracks/2JS1iE5A5RHvUPH5Zl9jlF,https://api.spotify.com/v1/audio-analysis/2JS1iE5A5RHvUPH5Zl9jlF,233960,4
0.611,0.883,9,-11.225,1,0.0539,0.0846,1.2e-06,0.192,0.604,117.928,audio_features,2HXixVqzzm9rEUIMAWzshl,spotify:track:2HXixVqzzm9rEUIMAWzshl,https://api.spotify.com/v1/tracks/2HXixVqzzm9rEUIMAWzshl,https://api.spotify.com/v1/audio-analysis/2HXixVqzzm9rEUIMAWzshl,246800,4
0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,audio_features,2KH16WveTQWT6KOG9Rg6e2,spotify:track:2KH16WveTQWT6KOG9Rg6e2,https://api.spotify.com/v1/tracks/2KH16WveTQWT6KOG9Rg6e2,https://api.spotify.com/v1/audio-analysis/2KH16WveTQWT6KOG9Rg6e2,245640,4
0.468,0.743,0,-10.846,1,0.0326,0.00819,7.88e-05,0.369,0.648,156.103,audio_features,0kFM6t9htbB53Dg8frGDGh,spotify:track:0kFM6t9htbB53Dg8frGDGh,https://api.spotify.com/v1/tracks/0kFM6t9htbB53Dg8frGDGh,https://api.spotify.com/v1/audio-analysis/0kFM6t9htbB53Dg8frGDGh,241800,4
