danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.514,0.83,2,-8.666,1,0.0391,0.548,0,0.321,0.964,148.806,audio_features,0UORDNH9ZneYlamDQB7guH,spotify:track:0UORDNH9ZneYlamDQB7guH,https://api.spotify.com/v1/tracks/0UORDNH9ZneYlamDQB7guH,https://api.spotify.com/v1/audio-analysis/0UORDNH9ZneYlamDQB7guH,182227,4
0.521,0.572,5,-5.179,0,0.0545,0.628,0,0.342,0.924,176.441,audio_features,1EToLZdnbOMk9uSSs5tcW8,spotify:track:1EToLZdnbOMk9uSSs5tcW8,https://api.spotify.com/v1/tracks/1EToLZdnbOMk9uSSs5tcW8,https://api.spotify.com/v1/audio-analysis/1EToLZdnbOMk9uSSs5tcW8,127893,4
0.797,0.847,10,-7.602,0,0.0942,0.266,0,0.0747,0.953,89.93,audio_features,7rYC3pa1w04szXDCCOpbsd,spotify:track:7rYC3pa1w04szXDCCOpbsd,https://api.spotify.com/v1/tracks/7rYC3pa1w04szXDCCOpbsd,https://api.spotify.com/v1/audio-analysis/7rYC3pa1w04szXDCCOpbsd,279133,3
0.559,0.626,9,-5.602,0,0.043,0.744,0,0.127,0.881,97.712,audio_features,0GppZBPxqJ70c3kYFX4AQm,spotify:track:0GppZBPxqJ70c3kYFX4AQm,https://api.spotify.com/v1/tracks/0GppZBPxqJ70c3kYFX4AQm,https://api.spotify.com/v1/audio-analysis/0GppZBPxqJ70c3kYFX4AQm,237253,4
0.683,0.895,11,-5.094,1,0.0585,0.136,0,0.387,0.931,179.903,audio_features,1s8opuqalYMgW0fPM42kgE,spotify:track:1s8opuqalYMgW0fPM42kgE,https://api.spotify.com/v1/tracks/1s8opuqalYMgW0fPM42kgE,https://api.spotify.com/v1/audio-analysis/1s8opuqalYMgW0fPM42kgE,191640,4
0.787,0.452,2,-6.969,0,0.0467,0.828,4.39e-05,0.307,0.945,108.446,audio_features,6voBv7BG3UcDZilIPRgCs5,spotify:track:6voBv7BG3UcDZilIPRgCs5,https://api.spotify.com/v1/tracks/6voBv7BG3UcDZilIPRgCs5,https://api.spotify.com/v1/audio-analysis/6voBv7BG3UcDZilIPRgCs5,142667,4
0.534,0.842,8,-3.06,1,0.0804,0.315,0,0.359,0.659,162.746,audio_features,1nMd4JxxVJBk4Y2hyCM1TZ,spotify:track:1nMd4JxxVJBk4Y2hyCM1TZ,https://api.spotify.com/v1/tracks/1nMd4JxxVJBk4Y2hyCM1TZ,https://api.spotify.com/v1/audio-analysis/1nMd4JxxVJBk4Y2hyCM1TZ,112106,4
0.677,0.669,9,-6.654,1,0.119,0.227,0,0.294,0.545,174.041,audio_features,2h8ifm4ZdUjRMAMVjYYcQk,spotify:track:2h8ifm4ZdUjRMAMVjYYcQk,https://api.spotify.com/v1/tracks/2h8ifm4ZdUjRMAMVjYYcQk,https://api.spotify.com/v1/audio-analysis/2h8ifm4ZdUjRMAMVjYYcQk,181093,4
0.386,0.346,10,-8.385,1,0.0332,0.801,0.00228,0.122,0.128,127.802,audio_features,6JvhcdWASA4kGcyxj71Kt4,spotify:track:6JvhcdWASA4kGcyxj71Kt4,https://api.spotify.com/v1/tracks/6JvhcdWASA4kGcyxj71Kt4,https://api.spotify.com/v1/audio-analysis/6JvhcdWASA4kGcyxj71Kt4,266808,4
0.785,0.864,9,-3.083,1,0.0371,0.28,0,0.113,0.386,100.017,audio_features,26I1JLJM7vns3zSlKKEvbX,spotify:track:26I1JLJM7vns3zSlKKEvbX,https://api.spotify.com/v1/tracks/26I1JLJM7vns3zSlKKEvbX,https://api.spotify.com/v1/audio-analysis/26I1JLJM7vns3zSlKKEvbX,230467,4
