danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.423,0.133,2,-18.98,1,0.0307,0.897,0.193,0.109,0.208,83.506,audio_features,4B6YFj53ELz6EoAJH8vGKZ,spotify:track:4B6YFj53ELz6EoAJH8vGKZ,https://api.spotify.com/v1/tracks/4B6YFj53ELz6EoAJH8vGKZ,https://api.spotify.com/v1/audio-analysis/4B6YFj53ELz6EoAJH8vGKZ,384080,4
0.33,0.756,0,-3.559,1,0.0368,0.0814,0.00453,0.153,0.582,128.951,audio_features,4AlZ0FgehhgtLHddKx0Ou7,spotify:track:4AlZ0FgehhgtLHddKx0Ou7,https://api.spotify.com/v1/tracks/4AlZ0FgehhgtLHddKx0Ou7,https://api.spotify.com/v1/audio-analysis/4AlZ0FgehhgtLHddKx0Ou7,201894,4
0.536,0.48,2,-13.643,1,0.0283,0.762,0.493,0.0914,0.708,158.971,audio_features,22R8BJUtIO8LR3D9LqLXkY,spotify:track:22R8BJUtIO8LR3D9LqLXkY,https://api.spotify.com/v1/tracks/22R8BJUtIO8LR3D9LqLXkY,https://api.spotify.com/v1/audio-analysis/22R8BJUtIO8LR3D9LqLXkY,230880,4
0.593,0.36,9,-11.67,1,0.0276,0.38,0.183,0.106,0.427,95.434,audio_features,21f6s5p0jZ3TJDsnk9XUYA,spotify:track:21f6s5p0jZ3TJDsnk9XUYA,https://api.spotify.com/v1/tracks/21f6s5p0jZ3TJDsnk9XUYA,https://api.spotify.com/v1/audio-analysis/21f6s5p0jZ3TJDsnk9XUYA,306173,4
0.709,0.53,7,-4.985,1,0.0288,0.289,4.54e-05,0.0929,0.692,117.11,audio_features,0ieqq1wbtso2UjJWPqJ5Xc,spotify:track:0ieqq1wbtso2UjJWPqJ5Xc,https://api.spotify.com/v1/tracks/0ieqq1wbtso2UjJWPqJ5Xc,https://api.spotify.com/v1/audio-analysis/0ieqq1wbtso2UjJWPqJ5Xc,216973,4
0.693,0.768,5,-6.687,1,0.0234,0.0331,0.802,0.14,0.896,105.051,audio_features,69T7Oeh0Fz6C5u6mh0onDa,spotify:track:69T7Oeh0Fz6C5u6mh0onDa,https://api.spotify.com/v1/tracks/69T7Oeh0Fz6C5u6mh0onDa,https://api.spotify.com/v1/audio-analysis/69T7Oeh0Fz6C5u6mh0onDa,259784,4
0.536,0.364,1,-9.277,1,0.0567,0.212,0.0099,0.216,0.175,116.962,audio_features,4nTuy6ZsO0hTIqAYdLTHX9,spotify:track:4nTuy6ZsO0hTIqAYdLTHX9,https://api.spotify.com/v1/tracks/4nTuy6ZsO0hTIqAYdLTHX9,https://api.spotify.com/v1/audio-analysis/4nTuy6ZsO0hTIqAYdLTHX9,323293,4
0.457,0.2,10,-14.264,1,0.0373,0.877,0.000773,0.103,0.471,166.257,audio_features,3ykzMjhy0oyWbJRVM6ewy1,spotify:track:3ykzMjhy0oyWbJRVM6ewy1,https://api.spotify.com/v1/tracks/3ykzMjhy0oyWbJRVM6ewy1,https://api.spotify.com/v1/audio-analysis/3ykzMjhy0oyWbJRVM6ewy1,270000,4
0.589,0.802,1,-5.339,0,0.0567,0.119,0.424,0.0879,0.661,176.411,audio_features,3PH4vz4mzm062FdBcvVQH7,spotify:track:3PH4vz4mzm062FdBcvVQH7,https://api.spotify.com/v1/tracks/3PH4vz4mzm062FdBcvVQH7,https://api.spotify.com/v1/audio-analysis/3PH4vz4mzm062FdBcvVQH7,259933,4
0.221,0.61,5,-7.339,0,0.0387,0.567,0.000546,0.0809,0.373,156.836,audio_features,51MFsMimXpHaKMwBsfzvfI,spotify:track:51MFsMimXpHaKMwBsfzvfI,https://api.spotify.com/v1/tracks/51MFsMimXpHaKMwBsfzvfI,https://api.spotify.com/v1/audio-analysis/51MFsMimXpHaKMwBsfzvfI,272213,4
0.663,0.522,1,-8.741,1,0.0374,0.392,5.41e-06,0.197,0.301,99.765,audio_features,4YPSswEhEtSUVB7bAORiaw,spotify:track:4YPSswEhEtSUVB7bAORiaw,https://api.spotify.com/v1/tracks/4YPSswEhEtSUVB7bAORiaw,https://api.spotify.com/v1/audio-analysis/4YPSswEhEtSUVB7bAORiaw,262520,4
0.442,0.623,7,-6.69,1,0.0418,0.717,6.36e-05,0.0938,0.861,167.925,audio_features,3WuRtLO0IOfRxAF97acnBv,spotify:track:3WuRtLO0IOfRxAF97acnBv,https://api.spotify.com/v1/tracks/3WuRtLO0IOfRxAF97acnBv,https://api.spotify.com/v1/audio-analysis/3WuRtLO0IOfRxAF97acnBv,211507,4
0.495,0.237,2,-17.701,1,0.0333,0.892,0.00638,0.0865,0.541,77.376,audio_features,55sjCMeQM26VxbNHhMtj2b,spotify:track:55sjCMeQM26VxbNHhMtj2b,https://api.spotify.com/v1/tracks/55sjCMeQM26VxbNHhMtj2b,https://api.spotify.com/v1/audio-analysis/55sjCMeQM26VxbNHhMtj2b,211467,4
0.539,0.468,2,-10.367,1,0.0329,0.642,0.00653,0.0783,0.177,121.825,audio_features,2qiPQJRxCgpsvN8GtuRqu3,spotify:track:2qiPQJRxCgpsvN8GtuRqu3,https://api.spotify.com/v1/tracks/2qiPQJRxCgpsvN8GtuRqu3,https://api.spotify.com/v1/audio-analysis/2qiPQJRxCgpsvN8GtuRqu3,253572,4
