danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.327,0.98,4,-4.436,0,0.0971,3.21e-05,0.0152,0.0895,0.441,198.987,audio_features,4D4qXV7YWABREtt9cRRZ76,spotify:track:4D4qXV7YWABREtt9cRRZ76,https://api.spotify.com/v1/tracks/4D4qXV7YWABREtt9cRRZ76,https://api.spotify.com/v1/audio-analysis/4D4qXV7YWABREtt9cRRZ76,449787,4
0.356,0.919,1,-5.001,1,0.0733,6.03e-06,0.00378,0.465,0.262,95.908,audio_features,3vc19O6T0tQ4xhcXcnNbdf,spotify:track:3vc19O6T0tQ4xhcXcnNbdf,https://api.spotify.com/v1/tracks/3vc19O6T0tQ4xhcXcnNbdf,https://api.spotify.com/v1/audio-analysis/3vc19O6T0tQ4xhcXcnNbdf,144763,4
0.439,0.995,10,-3.218,0,0.148,2.14e-05,0.0153,0.286,0.521,107.338,audio_features,1kq5qKbkvU6NoeZ4OsWRht,spotify:track:1kq5qKbkvU6NoeZ4OsWRht,https://api.spotify.com/v1/tracks/1kq5qKbkvU6NoeZ4OsWRht,https://api.spotify.com/v1/audio-analysis/1kq5qKbkvU6NoeZ4OsWRht,235067,4
0.25,0.988,1,-4.56,1,0.0955,1.8e-05,0.00309,0.121,0.122,97.657,audio_features,237TRO1tLNWg6Aq4hqjrR5,spotify:track:237TRO1tLNWg6Aq4hqjrR5,https://api.spotify.com/v1/tracks/237TRO1tLNWg6Aq4hqjrR5,https://api.spotify.com/v1/audio-analysis/237TRO1tLNWg6Aq4hqjrR5,268280,4
0.162,0.987,6,-3.934,0,0.0839,9.79e-06,0.042,0.147,0.483,167.334,audio_features,0kdhcGtjQVFuyXZOu3roZl,spotify:track:0kdhcGtjQVFuyXZOu3roZl,https://api.spotify.com/v1/tracks/0kdhcGtjQVFuyXZOu3roZl,https://api.spotify.com/v1/audio-analysis/0kdhcGtjQVFuyXZOu3roZl,429199,4
0.449,0.966,2,-5.09,1,0.0785,2.38e-06,0.00643,0.345,0.276,139.902,audio_features,4qZXhOqNVwgkd4XiK7dAi4,spotify:track:4qZXhOqNVwgkd4XiK7dAi4,https://api.spotify.com/v1/tracks/4qZXhOqNVwgkd4XiK7dAi4,https://api.spotify.com/v1/audio-analysis/4qZXhOqNVwgkd4XiK7dAi4,204438,4
0.223,0.97,8,-2.955,1,0.112,5.03e-05,0.35,0.128,0.115,170.979,audio_features,35fr9WYRv3exmKfqJMGwRg,spotify:track:35fr9WYRv3exmKfqJMGwRg,https://api.spotify.com/v1/tracks/35fr9WYRv3exmKfqJMGwRg,https://api.spotify.com/v1/audio-analysis/35fr9WYRv3exmKfqJMGwRg,285067,4
0.246,0.983,10,-3.916,0,0.0831,5.03e-05,0.228,0.274,0.304,156.001,audio_features,0gy2jlVGsrpQPb1qKfeagf,spotify:track:0gy2jlVGsrpQPb1qKfeagf,https://api.spotify.com/v1/tracks/0gy2jlVGsrpQPb1qKfeagf,https://api.spotify.com/v1/audio-analysis/0gy2jlVGsrpQPb1qKfeagf,291533,4
0.475,0.97,9,-5.467,1,0.0878,1.55e-05,0.203,0.482,0.351,104.92,audio_features,3hPjKFM6Q4hiyA6IqKaQhr,spotify:track:3hPjKFM6Q4hiyA6IqKaQhr,https://api.spotify.com/v1/tracks/3hPjKFM6Q4hiyA6IqKaQhr,https://api.spotify.com/v1/audio-analysis/3hPjKFM6Q4hiyA6IqKaQhr,195429,4
0.554,0.978,1,-5.07,1,0.106,0.000714,0.08,0.084,0.438,96.655,audio_features,2BrPiuzfk04lVKpwPSgh4t,spotify:track:2BrPiuzfk04lVKpwPSgh4t,https://api.spotify.com/v1/tracks/2BrPiuzfk04lVKpwPSgh4t,https://api.spotify.com/v1/audio-analysis/2BrPiuzfk04lVKpwPSgh4t,289520,4
0.427,0.97,0,-5.67,0,0.173,0.000147,0.171,0.325,0.194,160.034,audio_features,4SgVuNCe5JTKUI1knTPJNz,spotify:track:4SgVuNCe5JTKUI1knTPJNz,https://api.spotify.com/v1/tracks/4SgVuNCe5JTKUI1knTPJNz,https://api.spotify.com/v1/audio-analysis/4SgVuNCe5JTKUI1knTPJNz,298326,4
0.199,0.99,11,-3.891,1,0.221,3.44e-05,0.633,0.195,0.139,175.049,audio_features,5vstYw6NdMGlsykwNNOwc3,spotify:track:5vstYw6NdMGlsykwNNOwc3,https://api.spotify.com/v1/tracks/5vstYw6NdMGlsykwNNOwc3,https://api.spotify.com/v1/audio-analysis/5vstYw6NdMGlsykwNNOwc3,320720,4
0.238,0.99,9,-6.416,0,0.164,2.9e-05,0.034,0.325,0.107,125.063,audio_features,0hkwpk4SZ03hDsMcmTkolS,spotify:track:0hkwpk4SZ03hDsMcmTkolS,https://api.spotify.com/v1/tracks/0hkwpk4SZ03hDsMcmTkolS,https://api.spotify.com/v1/audio-analysis/0hkwpk4SZ03hDsMcmTkolS,181029,4
0.534,0.969,3,-3.378,1,0.0535,0.000359,0.564,0.269,0.598,75.005,audio_features,3tmlMae0QC6U1rXROIPGOD,spotify:track:3tmlMae0QC6U1rXROIPGOD,https://api.spotify.com/v1/tracks/3tmlMae0QC6U1rXROIPGOD,https://api.spotify.com/v1/audio-analysis/3tmlMae0QC6U1rXROIPGOD,376920,4
