danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.724,0.9,0,-2.909,0,0.0733,0.0892,0,0.0806,0.523,125.057,audio_features,1CSk9lJFJt4OdcvOH5iK61,spotify:track:1CSk9lJFJt4OdcvOH5iK61,https://api.spotify.com/v1/tracks/1CSk9lJFJt4OdcvOH5iK61,https://api.spotify.com/v1/audio-analysis/1CSk9lJFJt4OdcvOH5iK61,188643,4
0.518,0.724,8,-6.327,1,0.0839,0.0308,0,0.116,0.334,121.884,audio_features,7pstxLUhvsJC3M4TxHe2aI,spotify:track:7pstxLUhvsJC3M4TxHe2aI,https://api.spotify.com/v1/tracks/7pstxLUhvsJC3M4TxHe2aI,https://api.spotify.com/v1/audio-analysis/7pstxLUhvsJC3M4TxHe2aI,192731,4
0.567,0.874,1,-3.558,0,0.3,0.19,0,0.364,0.471,104.985,audio_features,7dOeiXeTSfA1ixaYmQcWu7,spotify:track:7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/tracks/7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/audio-analysis/7dOeiXeTSfA1ixaYmQcWu7,201257,4
0.78,0.722,0,-4.873,0,0.0453,0.0376,5.51e-05,0.097,0.674,120.026,audio_features,57apmXhSxkAlUoq2pZNaSN,spotify:track:57apmXhSxkAlUoq2pZNaSN,https://api.spotify.com/v1/tracks/57apmXhSxkAlUoq2pZNaSN,https://api.spotify.com/v1/audio-analysis/57apmXhSxkAlUoq2pZNaSN,219750,4
0.805,0.769,1,-5.725,0,0.0589,0.0357,3.09e-05,0.0722,0.596,119.977,audio_features,13RxfRVvMkAwkMgkbLQaWq,spotify:track:13RxfRVvMkAwkMgkbLQaWq,https://api.spotify.com/v1/tracks/13RxfRVvMkAwkMgkbLQaWq,https://api.spotify.com/v1/audio-analysis/13RxfRVvMkAwkMgkbLQaWq,193887,4
0.714,0.869,6,-3.595,0,0.0471,0.0499,2.69e-05,0.0877,0.273,110.076,audio_features,7f0DvgoxKy82lrdPCJgpuZ,spotify:track:7f0DvgoxKy82lrdPCJgpuZ,https://api.spotify.com/v1/tracks/7f0DvgoxKy82lrdPCJgpuZ,https://api.spotify.com/v1/audio-analysis/7f0DvgoxKy82lrdPCJgpuZ,234919,4
0.744,0.752,8,-5.316,1,0.0368,0.00398,0,0.307,0.65,104.99,audio_features,7iNIg7XDEaYECfWD5dJ9Va,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,189467,4
0.649,0.865,0,-2.299,1,0.05,0.199,0,0.064,0.428,124.031,audio_features,3uB6rxXYjmMEhOVJT763S6,spotify:track:3uB6rxXYjmMEhOVJT763S6,https://api.spotify.com/v1/tracks/3uB6rxXYjmMEhOVJT763S6,https://api.spotify.com/v1/audio-analysis/3uB6rxXYjmMEhOVJT763S6,190645,4
0.779,0.666,5,-7.361,1,0.0482,0.194,0.000556,0.0576,0.507,123.024,audio_features,2KklXplRtxMsBYo474Es0w,spotify:track:2KklXplRtxMsBYo474Es0w,https://api.spotify.com/v1/tracks/2KklXplRtxMsBYo474Es0w,https://api.spotify.com/v1/audio-analysis/2KklXplRtxMsBYo474Es0w,161322,4
0.537,0.85,10,-3.536,0,0.15,0.0862,0,0.311,0.378,109.131,audio_features,6OElpwTAJJOxCaAyDDFbNE,spotify:track:6OElpwTAJJOxCaAyDDFbNE,https://api.spotify.com/v1/tracks/6OElpwTAJJOxCaAyDDFbNE,https://api.spotify.com/v1/audio-analysis/6OElpwTAJJOxCaAyDDFbNE,211897,4
