danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.489,0.537,5,-8.058,0,0.333,0.691,0,0.318,0.927,188.295,audio_features,3s5iRQwylL6f1XBMSEdbzd,spotify:track:3s5iRQwylL6f1XBMSEdbzd,https://api.spotify.com/v1/tracks/3s5iRQwylL6f1XBMSEdbzd,https://api.spotify.com/v1/audio-analysis/3s5iRQwylL6f1XBMSEdbzd,17043,4
0.621,0.681,10,-6.332,0,0.0463,0.559,0,0.909,0.803,91.042,audio_features,0LIZVQBQtDi4lLhB83qJIp,spotify:track:0LIZVQBQtDi4lLhB83qJIp,https://api.spotify.com/v1/tracks/0LIZVQBQtDi4lLhB83qJIp,https://api.spotify.com/v1/audio-analysis/0LIZVQBQtDi4lLhB83qJIp,366200,4
0.653,0.827,4,-3.206,0,0.042,0.649,0,0.18,0.733,95.223,audio_features,7nDIflSHQXzaa8zupxwv3U,spotify:track:7nDIflSHQXzaa8zupxwv3U,https://api.spotify.com/v1/tracks/7nDIflSHQXzaa8zupxwv3U,https://api.spotify.com/v1/audio-analysis/7nDIflSHQXzaa8zupxwv3U,259853,4
0.61,0.684,2,-7.733,0,0.0342,0.414,1.33e-06,0.234,0.619,82.771,audio_features,0oHX2BlLsnbu3nnTeEUIuL,spotify:track:0oHX2BlLsnbu3nnTeEUIuL,https://api.spotify.com/v1/tracks/0oHX2BlLsnbu3nnTeEUIuL,https://api.spotify.com/v1/audio-analysis/0oHX2BlLsnbu3nnTeEUIuL,294280,4
0.398,0.204,8,-12.971,1,0.033,0.967,0.000154,0.165,0.166,84.004,audio_features,7LzJgG9R9OTgbiDXR0NQtY,spotify:track:7LzJgG9R9OTgbiDXR0NQtY,https://api.spotify.com/v1/tracks/7LzJgG9R9OTgbiDXR0NQtY,https://api.spotify.com/v1/audio-analysis/7LzJgG9R9OTgbiDXR0NQtY,274840,3
0.595,0.93,9,-3.958,1,0.0745,0.215,3.16e-06,0.0924,0.964,166.429,audio_features,2PsTyxNYFJ5AnjpYOUo3VN,spotify:track:2PsTyxNYFJ5AnjpYOUo3VN,https://api.spotify.com/v1/tracks/2PsTyxNYFJ5AnjpYOUo3VN,https://api.spotify.com/v1/audio-analysis/2PsTyxNYFJ5AnjpYOUo3VN,271053,4
0.745,0.924,5,-3.898,1,0.0355,0.201,5.01e-05,0.121,0.909,103.033,audio_features,1SGpOusZOaKgoyicqZv5MW,spotify:track:1SGpOusZOaKgoyicqZv5MW,https://api.spotify.com/v1/tracks/1SGpOusZOaKgoyicqZv5MW,https://api.spotify.com/v1/audio-analysis/1SGpOusZOaKgoyicqZv5MW,237387,4
0.747,0.267,10,-11.981,1,0.958,0.94,0,0.163,0.593,80.026,audio_features,310xUKZh2osZtAZay84NGX,spotify:track:310xUKZh2osZtAZay84NGX,https://api.spotify.com/v1/tracks/310xUKZh2osZtAZay84NGX,https://api.spotify.com/v1/audio-analysis/310xUKZh2osZtAZay84NGX,78000,4
0.492,0.865,2,-6.232,0,0.0352,0.69,1.95e-05,0.0753,0.752,94.38,audio_features,4hgk2iBQfSupmzye4LfTQE,spotify:track:4hgk2iBQfSupmzye4LfTQE,https://api.spotify.com/v1/tracks/4hgk2iBQfSupmzye4LfTQE,https://api.spotify.com/v1/audio-analysis/4hgk2iBQfSupmzye4LfTQE,309840,4
0.666,0.751,7,-8.77,1,0.0475,0.755,9.16e-05,0.115,0.721,168.234,audio_features,1NxEpSJR2UQkrVu8opzg3r,spotify:track:1NxEpSJR2UQkrVu8opzg3r,https://api.spotify.com/v1/tracks/1NxEpSJR2UQkrVu8opzg3r,https://api.spotify.com/v1/audio-analysis/1NxEpSJR2UQkrVu8opzg3r,283800,4
