danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.569,0.0654,0,-20.399,0,0.043,0.993,0.937,0.109,0.238,82.544,audio_features,1TYbfBOzoLgL2A2vvnbcis,spotify:track:1TYbfBOzoLgL2A2vvnbcis,https://api.spotify.com/v1/tracks/1TYbfBOzoLgL2A2vvnbcis,https://api.spotify.com/v1/audio-analysis/1TYbfBOzoLgL2A2vvnbcis,121480,4
0.214,0.00406,0,-30.319,1,0.0381,0.968,0.121,0.0946,0.04,79.681,audio_features,5Yxb3DzFKdFgG7hF2K9SX9,spotify:track:5Yxb3DzFKdFgG7hF2K9SX9,https://api.spotify.com/v1/tracks/5Yxb3DzFKdFgG7hF2K9SX9,https://api.spotify.com/v1/audio-analysis/5Yxb3DzFKdFgG7hF2K9SX9,675387,4
0.473,0.574,2,-10.362,0,0.0339,0.959,0.459,0.0584,0.638,104.357,audio_features,7AD7fJDUUYkiZ1kxoQii5L,spotify:track:7AD7fJDUUYkiZ1kxoQii5L,https://api.spotify.com/v1/tracks/7AD7fJDUUYkiZ1kxoQii5L,https://api.spotify.com/v1/audio-analysis/7AD7fJDUUYkiZ1kxoQii5L,223000,3
0.441,0.209,4,-20.58,0,0.0463,0.836,0.434,0.28,0.22,111.175,audio_features,66CHseqUCt6hdHY3GOWKZd,spotify:track:66CHseqUCt6hdHY3GOWKZd,https://api.spotify.com/v1/tracks/66CHseqUCt6hdHY3GOWKZd,https://api.spotify.com/v1/audio-analysis/66CHseqUCt6hdHY3GOWKZd,220933,4
0.187,0.106,0,-20.195,1,0.0389,0.991,0.575,0.0835,0.0347,124.157,audio_features,2Syr4hTPXZzURhXMOdbWJm,spotify:track:2Syr4hTPXZzURhXMOdbWJm,https://api.spotify.com/v1/tracks/2Syr4hTPXZzURhXMOdbWJm,https://api.spotify.com/v1/audio-analysis/2Syr4hTPXZzURhXMOdbWJm,215253,4
0.259,0.0167,6,-22.163,1,0.0388,0.984,0.89,0.222,0.0735,136.733,audio_features,6XxSCj75vjwuKKYY28q0ve,spotify:track:6XxSCj75vjwuKKYY28q0ve,https://api.spotify.com/v1/tracks/6XxSCj75vjwuKKYY28q0ve,https://api.spotify.com/v1/audio-analysis/6XxSCj75vjwuKKYY28q0ve,440000,4
0.405,0.23,2,-23.107,1,0.0299,0.958,0.865,0.34,0.443,134.837,audio_features,4iMgGSkH5cXk3TfvdhoxY2,spotify:track:4iMgGSkH5cXk3TfvdhoxY2,https://api.spotify.com/v1/tracks/4iMgGSkH5cXk3TfvdhoxY2,https://api.spotify.com/v1/audio-analysis/4iMgGSkH5cXk3TfvdhoxY2,394547,4
0.248,0.0573,1,-24.395,0,0.0374,0.989,0.825,0.124,0.0338,66.67,audio_features,3DBe3ZFwJuhrpVvgAR8pxx,spotify:track:3DBe3ZFwJuhrpVvgAR8pxx,https://api.spotify.com/v1/tracks/3DBe3ZFwJuhrpVvgAR8pxx,https://api.spotify.com/v1/audio-analysis/3DBe3ZFwJuhrpVvgAR8pxx,806672,3
0.359,0.0321,0,-25.245,1,0.0424,0.963,0.752,0.105,0.3,147.458,audio_features,7Jfb8VLOUr39Vv5gM2Xi0K,spotify:track:7Jfb8VLOUr39Vv5gM2Xi0K,https://api.spotify.com/v1/tracks/7Jfb8VLOUr39Vv5gM2Xi0K,https://api.spotify.com/v1/audio-analysis/7Jfb8VLOUr39Vv5gM2Xi0K,616773,4
0.0846,0.0435,6,-26.115,1,0.0406,0.944,0.842,0.0816,0.0349,169.072,audio_features,1zbiBTVooQ7P2CF71i28cc,spotify:track:1zbiBTVooQ7P2CF71i28cc,https://api.spotify.com/v1/tracks/1zbiBTVooQ7P2CF71i28cc,https://api.spotify.com/v1/audio-analysis/1zbiBTVooQ7P2CF71i28cc,556280,4
0.163,0.0957,5,-19.579,1,0.0593,0.979,0.612,0.153,0.0804,176.296,audio_features,0LdTSJ8iJ2DteOcpj7kEv4,spotify:track:0LdTSJ8iJ2DteOcpj7kEv4,https://api.spotify.com/v1/tracks/0LdTSJ8iJ2DteOcpj7kEv4,https://api.spotify.com/v1/audio-analysis/0LdTSJ8iJ2DteOcpj7kEv4,235133,4
0.192,0.0615,2,-22.77,0,0.0458,0.984,0.0562,0.0661,0.0361,88.619,audio_features,1u0xhaf85XP4uIu2ScKNID,spotify:track:1u0xhaf85XP4uIu2ScKNID,https://api.spotify.com/v1/tracks/1u0xhaf85XP4uIu2ScKNID,https://api.spotify.com/v1/audio-analysis/1u0xhaf85XP4uIu2ScKNID,574133,4
0.25,0.134,0,-21.519,1,0.0382,0.99,0.935,0.107,0.0373,75.798,audio_features,2GwAQWgxtnLJlVKLzRZZ9p,spotify:track:2GwAQWgxtnLJlVKLzRZZ9p,https://api.spotify.com/v1/tracks/2GwAQWgxtnLJlVKLzRZZ9p,https://api.spotify.com/v1/audio-analysis/2GwAQWgxtnLJlVKLzRZZ9p,347587,4
0.0863,0.0945,0,-21.798,1,0.0379,0.895,0.823,0.1,0.0323,73.559,audio_features,2PysjogeKnJHDsc7C5lpFj,spotify:track:2PysjogeKnJHDsc7C5lpFj,https://api.spotify.com/v1/tracks/2PysjogeKnJHDsc7C5lpFj,https://api.spotify.com/v1/audio-analysis/2PysjogeKnJHDsc7C5lpFj,1282187,4
0.119,0.12,1,-21.81,1,0.0481,0.919,0.834,0.13,0.0374,86.504,audio_features,0vAB6mtiwfkpNwwDuNQzZH,spotify:track:0vAB6mtiwfkpNwwDuNQzZH,https://api.spotify.com/v1/tracks/0vAB6mtiwfkpNwwDuNQzZH,https://api.spotify.com/v1/audio-analysis/0vAB6mtiwfkpNwwDuNQzZH,355320,3
0.129,0.0464,5,-26.972,1,0.0455,0.803,0.111,0.087,0.0325,75.865,audio_features,54D70WedbpMSlBUTT6XDn1,spotify:track:54D70WedbpMSlBUTT6XDn1,https://api.spotify.com/v1/tracks/54D70WedbpMSlBUTT6XDn1,https://api.spotify.com/v1/audio-analysis/54D70WedbpMSlBUTT6XDn1,785387,3
0.401,0.00352,9,-34.678,0,0.0353,0.98,0.806,0.0728,0.126,69.195,audio_features,6ISQeh1wDQtGLt6fDHtS0C,spotify:track:6ISQeh1wDQtGLt6fDHtS0C,https://api.spotify.com/v1/tracks/6ISQeh1wDQtGLt6fDHtS0C,https://api.spotify.com/v1/audio-analysis/6ISQeh1wDQtGLt6fDHtS0C,74360,3
0.276,0.0585,2,-26.272,1,0.0437,0.932,0.605,0.152,0.0602,125.637,audio_features,3c9iC5yZAbAS1uDEPLdg8A,spotify:track:3c9iC5yZAbAS1uDEPLdg8A,https://api.spotify.com/v1/tracks/3c9iC5yZAbAS1uDEPLdg8A,https://api.spotify.com/v1/audio-analysis/3c9iC5yZAbAS1uDEPLdg8A,792133,3
0.164,0.148,4,-19.686,1,0.0436,0.96,0.816,0.21,0.0665,80.588,audio_features,2Ru6fOCEahGVKW0Unakqqj,spotify:track:2Ru6fOCEahGVKW0Unakqqj,https://api.spotify.com/v1/tracks/2Ru6fOCEahGVKW0Unakqqj,https://api.spotify.com/v1/audio-analysis/2Ru6fOCEahGVKW0Unakqqj,243960,4
0.237,0.31,5,-19.649,0,0.074,0.69,0.554,0.127,0.0491,96.397,audio_features,2m1qC7gAVPoafdt7iI3L6P,spotify:track:2m1qC7gAVPoafdt7iI3L6P,https://api.spotify.com/v1/tracks/2m1qC7gAVPoafdt7iI3L6P,https://api.spotify.com/v1/audio-analysis/2m1qC7gAVPoafdt7iI3L6P,1101667,3
0.129,0.0663,1,-20.179,1,0.0385,0.843,0.882,0.0855,0.0406,77.128,audio_features,6Dlwk1ub5CyeIwoRnawcQI,spotify:track:6Dlwk1ub5CyeIwoRnawcQI,https://api.spotify.com/v1/tracks/6Dlwk1ub5CyeIwoRnawcQI,https://api.spotify.com/v1/audio-analysis/6Dlwk1ub5CyeIwoRnawcQI,546160,3
0.266,0.0174,8,-23.031,1,0.0479,0.967,0.157,0.0849,0.0422,172.37,audio_features,6ArM5qBhne9qeyXCZ6nUmf,spotify:track:6ArM5qBhne9qeyXCZ6nUmf,https://api.spotify.com/v1/tracks/6ArM5qBhne9qeyXCZ6nUmf,https://api.spotify.com/v1/audio-analysis/6ArM5qBhne9qeyXCZ6nUmf,229000,4
0.485,0.457,2,-14.464,0,0.104,0.869,0.858,0.154,0.349,135.662,audio_features,6g4dvPG9jMtSCwQKIHOvo4,spotify:track:6g4dvPG9jMtSCwQKIHOvo4,https://api.spotify.com/v1/tracks/6g4dvPG9jMtSCwQKIHOvo4,https://api.spotify.com/v1/audio-analysis/6g4dvPG9jMtSCwQKIHOvo4,275180,4
0.261,0.0241,8,-24.349,1,0.0437,0.986,0.848,0.234,0.0377,113.433,audio_features,2SRjuVBEwlOO01H69USPVg,spotify:track:2SRjuVBEwlOO01H69USPVg,https://api.spotify.com/v1/tracks/2SRjuVBEwlOO01H69USPVg,https://api.spotify.com/v1/audio-analysis/2SRjuVBEwlOO01H69USPVg,345867,4
0.133,0.0868,0,-20.891,1,0.0397,0.904,0.847,0.114,0.0396,83.499,audio_features,6yn6Onjrdm17R4NM0qdO7W,spotify:track:6yn6Onjrdm17R4NM0qdO7W,https://api.spotify.com/v1/tracks/6yn6Onjrdm17R4NM0qdO7W,https://api.spotify.com/v1/audio-analysis/6yn6Onjrdm17R4NM0qdO7W,616267,4
0.316,0.342,10,-16.594,0,0.0656,0.898,0.851,0.103,0.14,148.986,audio_features,2rv5QO7eIK3gbKiPSxihda,spotify:track:2rv5QO7eIK3gbKiPSxihda,https://api.spotify.com/v1/tracks/2rv5QO7eIK3gbKiPSxihda,https://api.spotify.com/v1/audio-analysis/2rv5QO7eIK3gbKiPSxihda,397440,4
0.245,0.0185,1,-30.097,1,0.0434,0.987,0.64,0.0989,0.0338,70.925,audio_features,68o2CjC0uCMtZWCJ2kL5oA,spotify:track:68o2CjC0uCMtZWCJ2kL5oA,https://api.spotify.com/v1/tracks/68o2CjC0uCMtZWCJ2kL5oA,https://api.spotify.com/v1/audio-analysis/68o2CjC0uCMtZWCJ2kL5oA,304947,1
0.106,0.00108,0,-42.283,1,0.0392,0.66,0.174,0.125,0.0386,78.864,audio_features,7kZKXTeVE3qs0E0p3SPWr4,spotify:track:7kZKXTeVE3qs0E0p3SPWr4,https://api.spotify.com/v1/tracks/7kZKXTeVE3qs0E0p3SPWr4,https://api.spotify.com/v1/audio-analysis/7kZKXTeVE3qs0E0p3SPWr4,378720,4
0.136,0.247,0,-14.903,1,0.0428,0.942,0.646,0.371,0.0388,72.682,audio_features,2YBZLLuiuoZYXncO2ZjWwp,spotify:track:2YBZLLuiuoZYXncO2ZjWwp,https://api.spotify.com/v1/tracks/2YBZLLuiuoZYXncO2ZjWwp,https://api.spotify.com/v1/audio-analysis/2YBZLLuiuoZYXncO2ZjWwp,673800,3
0.261,0.159,7,-17.493,1,0.0385,0.929,0.927,0.105,0.0607,105.604,audio_features,33hQqg4Duw4oKxcV4zPZRS,spotify:track:33hQqg4Duw4oKxcV4zPZRS,https://api.spotify.com/v1/tracks/33hQqg4Duw4oKxcV4zPZRS,https://api.spotify.com/v1/audio-analysis/33hQqg4Duw4oKxcV4zPZRS,504760,4
0.306,0.208,0,-17.892,1,0.0516,0.803,0.378,0.0593,0.0618,91.402,audio_features,3YNhaYVkAtkPhVOva41VZZ,spotify:track:3YNhaYVkAtkPhVOva41VZZ,https://api.spotify.com/v1/tracks/3YNhaYVkAtkPhVOva41VZZ,https://api.spotify.com/v1/audio-analysis/3YNhaYVkAtkPhVOva41VZZ,523827,4
0.0897,0.00182,7,-37.21,1,0.043,0.91,6.76e-05,0.088,0.0328,80.97,audio_features,6oFveQKwqGdnMjFqh6Czme,spotify:track:6oFveQKwqGdnMjFqh6Czme,https://api.spotify.com/v1/tracks/6oFveQKwqGdnMjFqh6Czme,https://api.spotify.com/v1/audio-analysis/6oFveQKwqGdnMjFqh6Czme,390000,4
0.243,0.0544,1,-26.212,1,0.0386,0.985,0.931,0.0719,0.0322,65.557,audio_features,68bBWepRKev98AnwXul72T,spotify:track:68bBWepRKev98AnwXul72T,https://api.spotify.com/v1/tracks/68bBWepRKev98AnwXul72T,https://api.spotify.com/v1/audio-analysis/68bBWepRKev98AnwXul72T,405000,4
0.185,0.0725,9,-22.901,0,0.0418,0.89,0.806,0.08,0.0582,128.772,audio_features,7628MWJrJiKjYdhnIEsxqG,spotify:track:7628MWJrJiKjYdhnIEsxqG,https://api.spotify.com/v1/tracks/7628MWJrJiKjYdhnIEsxqG,https://api.spotify.com/v1/audio-analysis/7628MWJrJiKjYdhnIEsxqG,653787,4
0.403,0.158,10,-20.867,1,0.0404,0.954,0.0367,0.15,0.508,119.797,audio_features,0bLy8bOofh6jsKf6V7an1E,spotify:track:0bLy8bOofh6jsKf6V7an1E,https://api.spotify.com/v1/tracks/0bLy8bOofh6jsKf6V7an1E,https://api.spotify.com/v1/audio-analysis/0bLy8bOofh6jsKf6V7an1E,210253,4
0.313,0.0561,8,-24.252,0,0.0509,0.984,0.911,0.164,0.0908,129.934,audio_features,7dNpgORoaTLFlx9C1Gpcol,spotify:track:7dNpgORoaTLFlx9C1Gpcol,https://api.spotify.com/v1/tracks/7dNpgORoaTLFlx9C1Gpcol,https://api.spotify.com/v1/audio-analysis/7dNpgORoaTLFlx9C1Gpcol,172373,4
0.247,0.0659,4,-24.658,0,0.0367,0.959,0.953,0.0986,0.141,137.942,audio_features,21Nff88Zb7t5IwNtoEjaR9,spotify:track:21Nff88Zb7t5IwNtoEjaR9,https://api.spotify.com/v1/tracks/21Nff88Zb7t5IwNtoEjaR9,https://api.spotify.com/v1/audio-analysis/21Nff88Zb7t5IwNtoEjaR9,152640,3
