danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.632,0.388,4,-12.883,1,0.247,0.261,0.00688,0.0816,0.825,155.734,audio_features,2CU8WUplpBbehlCvSIYmlG,spotify:track:2CU8WUplpBbehlCvSIYmlG,https://api.spotify.com/v1/tracks/2CU8WUplpBbehlCvSIYmlG,https://api.spotify.com/v1/audio-analysis/2CU8WUplpBbehlCvSIYmlG,160560,4
0.613,0.934,0,-3.711,1,0.0342,0.0406,0.000313,0.0882,0.776,107.273,audio_features,1TkliUZNnCeTjZMWPuUoPK,spotify:track:1TkliUZNnCeTjZMWPuUoPK,https://api.spotify.com/v1/tracks/1TkliUZNnCeTjZMWPuUoPK,https://api.spotify.com/v1/audio-analysis/1TkliUZNnCeTjZMWPuUoPK,283267,4
0.458,0.758,5,-6.193,0,0.0286,0.262,0.000504,0.18,0.784,168.974,audio_features,2nWyX13i7puQtqjI1AnaNH,spotify:track:2nWyX13i7puQtqjI1AnaNH,https://api.spotify.com/v1/tracks/2nWyX13i7puQtqjI1AnaNH,https://api.spotify.com/v1/audio-analysis/2nWyX13i7puQtqjI1AnaNH,199133,4
0.521,0.369,9,-13.773,1,0.0536,0.561,0.0772,0.146,0.536,103.435,audio_features,7ByGRNFKSSHetljrsBraQH,spotify:track:7ByGRNFKSSHetljrsBraQH,https://api.spotify.com/v1/tracks/7ByGRNFKSSHetljrsBraQH,https://api.spotify.com/v1/audio-analysis/7ByGRNFKSSHetljrsBraQH,325707,3
0.552,0.542,9,-10.862,1,0.0977,0.704,3.59e-05,0.355,0.784,133.313,audio_features,21qlCjNYLq9jPRR15v4Jyo,spotify:track:21qlCjNYLq9jPRR15v4Jyo,https://api.spotify.com/v1/tracks/21qlCjNYLq9jPRR15v4Jyo,https://api.spotify.com/v1/audio-analysis/21qlCjNYLq9jPRR15v4Jyo,181000,4
0.64,0.616,8,-10.442,1,0.0448,0.142,3e-05,0.132,0.844,119.35,audio_features,03Z28pESL57j7Ze0wZr81G,spotify:track:03Z28pESL57j7Ze0wZr81G,https://api.spotify.com/v1/tracks/03Z28pESL57j7Ze0wZr81G,https://api.spotify.com/v1/audio-analysis/03Z28pESL57j7Ze0wZr81G,228800,4
0.565,0.347,2,-9.398,1,0.0503,0.468,5.73e-06,0.141,0.238,80.892,audio_features,3ywqjOnAgK749BRGWSCuuy,spotify:track:3ywqjOnAgK749BRGWSCuuy,https://api.spotify.com/v1/tracks/3ywqjOnAgK749BRGWSCuuy,https://api.spotify.com/v1/audio-analysis/3ywqjOnAgK749BRGWSCuuy,169706,4
0.606,0.403,5,-8.497,1,0.0434,0.951,0,0.085,0.844,159.544,audio_features,545fH6upDbh2DilTp97fnB,spotify:track:545fH6upDbh2DilTp97fnB,https://api.spotify.com/v1/tracks/545fH6upDbh2DilTp97fnB,https://api.spotify.com/v1/audio-analysis/545fH6upDbh2DilTp97fnB,158773,4
0.502,0.659,2,-7.473,1,0.0416,0.701,0.000225,0.115,0.841,101.382,audio_features,3JPC78sNlPaiZ1NgztXW2Q,spotify:track:3JPC78sNlPaiZ1NgztXW2Q,https://api.spotify.com/v1/tracks/3JPC78sNlPaiZ1NgztXW2Q,https://api.spotify.com/v1/audio-analysis/3JPC78sNlPaiZ1NgztXW2Q,150667,4
0.8,0.287,9,-17.513,1,0.0352,0.575,0.000768,0.0831,0.748,133.711,audio_features,43pSOFF21ZaKe6yN2otmKK,spotify:track:43pSOFF21ZaKe6yN2otmKK,https://api.spotify.com/v1/tracks/43pSOFF21ZaKe6yN2otmKK,https://api.spotify.com/v1/audio-analysis/43pSOFF21ZaKe6yN2otmKK,165600,4
