danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.0676,0.0384,0,-26.802,1,0.043,0.648,0.455,0.115,0.0362,75.109,audio_features,4wAIYHzzS7fmbLCAzoyf9t,spotify:track:4wAIYHzzS7fmbLCAzoyf9t,https://api.spotify.com/v1/tracks/4wAIYHzzS7fmbLCAzoyf9t,https://api.spotify.com/v1/audio-analysis/4wAIYHzzS7fmbLCAzoyf9t,326493,4
0.338,0.194,0,-21.507,0,0.0673,0.932,0.00143,0.158,0.0799,116.69,audio_features,4A8f5IpaM18sVHswvZUngw,spotify:track:4A8f5IpaM18sVHswvZUngw,https://api.spotify.com/v1/tracks/4A8f5IpaM18sVHswvZUngw,https://api.spotify.com/v1/audio-analysis/4A8f5IpaM18sVHswvZUngw,356760,3
0.172,0.00828,5,-29.648,1,0.037,0.991,0.682,0.0838,0.0348,107.209,audio_features,3y1A9yWcLTVLPGhq0Ny5F8,spotify:track:3y1A9yWcLTVLPGhq0Ny5F8,https://api.spotify.com/v1/tracks/3y1A9yWcLTVLPGhq0Ny5F8,https://api.spotify.com/v1/audio-analysis/3y1A9yWcLTVLPGhq0Ny5F8,273987,4
0.22,0.282,0,-19.185,1,0.0595,0.812,0.0132,0.406,0.308,80.549,audio_features,1Oqlxd78YLj4CTcicujsMz,spotify:track:1Oqlxd78YLj4CTcicujsMz,https://api.spotify.com/v1/tracks/1Oqlxd78YLj4CTcicujsMz,https://api.spotify.com/v1/audio-analysis/1Oqlxd78YLj4CTcicujsMz,743613,4
0.0631,0.0378,8,-31.675,1,0.0458,0.969,0.377,0.116,0.0354,60.863,audio_features,7iqkNb3oSs6PCNCLKVYv6O,spotify:track:7iqkNb3oSs6PCNCLKVYv6O,https://api.spotify.com/v1/tracks/7iqkNb3oSs6PCNCLKVYv6O,https://api.spotify.com/v1/audio-analysis/7iqkNb3oSs6PCNCLKVYv6O,194053,3
0.268,0.288,0,-19.076,1,0.084,0.956,0.00608,0.237,0.107,146.133,audio_features,2qR5HkyQFKYgoCSzIfBhcW,spotify:track:2qR5HkyQFKYgoCSzIfBhcW,https://api.spotify.com/v1/tracks/2qR5HkyQFKYgoCSzIfBhcW,https://api.spotify.com/v1/audio-analysis/2qR5HkyQFKYgoCSzIfBhcW,431640,3
0.11,0.124,4,-19.495,0,0.0374,0.554,0.773,0.197,0.0331,93.035,audio_features,7Mx00Ye1ypcK1hToeKyrVl,spotify:track:7Mx00Ye1ypcK1hToeKyrVl,https://api.spotify.com/v1/tracks/7Mx00Ye1ypcK1hToeKyrVl,https://api.spotify.com/v1/audio-analysis/7Mx00Ye1ypcK1hToeKyrVl,1607333,4
0.0777,0.0319,10,-24.763,0,0.0441,0.896,0.53,0.137,0.0283,82.006,audio_features,4iCn374fZg5UbGD1xFNo1m,spotify:track:4iCn374fZg5UbGD1xFNo1m,https://api.spotify.com/v1/tracks/4iCn374fZg5UbGD1xFNo1m,https://api.spotify.com/v1/audio-analysis/4iCn374fZg5UbGD1xFNo1m,585053,4
0.114,0.0623,2,-22.099,1,0.0388,0.722,0.377,0.0965,0.0343,92.786,audio_features,5x7d8o3KPOBwZmwZvLIWQm,spotify:track:5x7d8o3KPOBwZmwZvLIWQm,https://api.spotify.com/v1/tracks/5x7d8o3KPOBwZmwZvLIWQm,https://api.spotify.com/v1/audio-analysis/5x7d8o3KPOBwZmwZvLIWQm,1029640,4
0.14,0.0694,10,-23.924,0,0.0419,0.933,0.585,0.101,0.0378,86.731,audio_features,36K6ZVoBeXhefG7TwVsK0p,spotify:track:36K6ZVoBeXhefG7TwVsK0p,https://api.spotify.com/v1/tracks/36K6ZVoBeXhefG7TwVsK0p,https://api.spotify.com/v1/audio-analysis/36K6ZVoBeXhefG7TwVsK0p,1886507,4
