danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.341,0.947,5,-8.801,1,0.0508,8.21e-05,0.000692,0.118,0.594,181.062,audio_features,6nxHMqTNKWlQnx5AFxz1iX,spotify:track:6nxHMqTNKWlQnx5AFxz1iX,https://api.spotify.com/v1/tracks/6nxHMqTNKWlQnx5AFxz1iX,https://api.spotify.com/v1/audio-analysis/6nxHMqTNKWlQnx5AFxz1iX,217907,4
0.352,0.65,5,-13.169,1,0.0415,0.00254,0.286,0.174,0.464,123.607,audio_features,6qLgGLeawKyhMFJ848XtYD,spotify:track:6qLgGLeawKyhMFJ848XtYD,https://api.spotify.com/v1/tracks/6qLgGLeawKyhMFJ848XtYD,https://api.spotify.com/v1/audio-analysis/6qLgGLeawKyhMFJ848XtYD,343160,4
0.238,0.925,1,-5.082,0,0.0696,0.0288,0.826,0.238,0.53,95.139,audio_features,1UghmqyvyKeXpF1LsrBa2E,spotify:track:1UghmqyvyKeXpF1LsrBa2E,https://api.spotify.com/v1/tracks/1UghmqyvyKeXpF1LsrBa2E,https://api.spotify.com/v1/audio-analysis/1UghmqyvyKeXpF1LsrBa2E,435200,4
0.292,0.503,10,-5.161,1,0.0495,0.434,0.598,0.539,0.48,205.12,audio_features,1BgsGXYQX69jgi998B9NFl,spotify:track:1BgsGXYQX69jgi998B9NFl,https://api.spotify.com/v1/tracks/1BgsGXYQX69jgi998B9NFl,https://api.spotify.com/v1/audio-analysis/1BgsGXYQX69jgi998B9NFl,520173,4
0.421,0.572,8,-9.166,1,0.0321,0.000257,0.604,0.597,0.164,145.645,audio_features,5XN6IACuLYjsV92yA5gx7v,spotify:track:5XN6IACuLYjsV92yA5gx7v,https://api.spotify.com/v1/tracks/5XN6IACuLYjsV92yA5gx7v,https://api.spotify.com/v1/audio-analysis/5XN6IACuLYjsV92yA5gx7v,392000,4
0.344,0.911,10,-5.997,1,0.054,5.05e-05,0.00166,0.0642,0.51,135.213,audio_features,3CtKSQyQPdzA2u7n9tjJw2,spotify:track:3CtKSQyQPdzA2u7n9tjJw2,https://api.spotify.com/v1/tracks/3CtKSQyQPdzA2u7n9tjJw2,https://api.spotify.com/v1/audio-analysis/3CtKSQyQPdzA2u7n9tjJw2,320333,4
0.293,0.91,8,-5.394,1,0.096,0.115,0,0.0511,0.114,138.766,audio_features,0rglK8l5QBSADvao8n4d2N,spotify:track:0rglK8l5QBSADvao8n4d2N,https://api.spotify.com/v1/tracks/0rglK8l5QBSADvao8n4d2N,https://api.spotify.com/v1/audio-analysis/0rglK8l5QBSADvao8n4d2N,316200,4
0.323,0.903,0,-6.537,1,0.125,0.00249,0.571,0.104,0.255,152.827,audio_features,3N02rdKYcUq6nabDpCRv7v,spotify:track:3N02rdKYcUq6nabDpCRv7v,https://api.spotify.com/v1/tracks/3N02rdKYcUq6nabDpCRv7v,https://api.spotify.com/v1/audio-analysis/3N02rdKYcUq6nabDpCRv7v,347875,4
0.293,0.928,2,-4.865,0,0.095,4.2e-05,0.0325,0.197,0.507,106.113,audio_features,5QHLHBmGDW999nMelytjUA,spotify:track:5QHLHBmGDW999nMelytjUA,https://api.spotify.com/v1/tracks/5QHLHBmGDW999nMelytjUA,https://api.spotify.com/v1/audio-analysis/5QHLHBmGDW999nMelytjUA,251973,4
0.39,0.852,0,-4.601,1,0.049,0.00766,0.603,0.319,0.728,77.781,audio_features,6vbGPbM1ftta2xZ2fFe1kJ,spotify:track:6vbGPbM1ftta2xZ2fFe1kJ,https://api.spotify.com/v1/tracks/6vbGPbM1ftta2xZ2fFe1kJ,https://api.spotify.com/v1/audio-analysis/6vbGPbM1ftta2xZ2fFe1kJ,185667,4
0.242,0.948,5,-6.003,1,0.066,4.8e-05,0.000951,0.215,0.601,147.049,audio_features,2PyBvM9tPlq2WcaVRLFlvb,spotify:track:2PyBvM9tPlq2WcaVRLFlvb,https://api.spotify.com/v1/tracks/2PyBvM9tPlq2WcaVRLFlvb,https://api.spotify.com/v1/audio-analysis/2PyBvM9tPlq2WcaVRLFlvb,235013,4
0.172,0.904,11,-4.831,1,0.0586,5.37e-05,0.229,0.267,0.302,135.149,audio_features,4yl1IpHPuXUV2MjxXy6hZn,spotify:track:4yl1IpHPuXUV2MjxXy6hZn,https://api.spotify.com/v1/tracks/4yl1IpHPuXUV2MjxXy6hZn,https://api.spotify.com/v1/audio-analysis/4yl1IpHPuXUV2MjxXy6hZn,343307,4
0.124,0.635,7,-7.309,1,0.0365,2.03e-05,0.66,0.285,0.572,83.043,audio_features,065qJCdtzrrZR00htXzIQB,spotify:track:065qJCdtzrrZR00htXzIQB,https://api.spotify.com/v1/tracks/065qJCdtzrrZR00htXzIQB,https://api.spotify.com/v1/audio-analysis/065qJCdtzrrZR00htXzIQB,244065,4
0.303,0.545,8,-16.994,1,0.0357,0.000823,0.831,0.078,0.148,106.069,audio_features,7gzkIJoMbqQaEfkpMdJMfB,spotify:track:7gzkIJoMbqQaEfkpMdJMfB,https://api.spotify.com/v1/tracks/7gzkIJoMbqQaEfkpMdJMfB,https://api.spotify.com/v1/audio-analysis/7gzkIJoMbqQaEfkpMdJMfB,267733,4
0.297,0.872,3,-5.881,0,0.0405,0.000119,0.0232,0.32,0.533,80.384,audio_features,5sLrsgPP8bGWfz1g332qnE,spotify:track:5sLrsgPP8bGWfz1g332qnE,https://api.spotify.com/v1/tracks/5sLrsgPP8bGWfz1g332qnE,https://api.spotify.com/v1/audio-analysis/5sLrsgPP8bGWfz1g332qnE,309987,4
0.26,0.684,5,-9.513,1,0.039,0.0126,0.646,0.114,0.2,105.261,audio_features,4kyesMU5MvTLGKczuhKnVn,spotify:track:4kyesMU5MvTLGKczuhKnVn,https://api.spotify.com/v1/tracks/4kyesMU5MvTLGKczuhKnVn,https://api.spotify.com/v1/audio-analysis/4kyesMU5MvTLGKczuhKnVn,529233,4
0.312,0.522,9,-8.885,1,0.0321,0.0304,0.206,0.107,0.165,132.453,audio_features,61zZe6nTfoyRsuIwMg3DR8,spotify:track:61zZe6nTfoyRsuIwMg3DR8,https://api.spotify.com/v1/tracks/61zZe6nTfoyRsuIwMg3DR8,https://api.spotify.com/v1/audio-analysis/61zZe6nTfoyRsuIwMg3DR8,316773,4
0.468,0.563,1,-7.773,1,0.0301,0.038,0.0869,0.0956,0.431,83.726,audio_features,1zcJ1eMjRONHitpcPx0c68,spotify:track:1zcJ1eMjRONHitpcPx0c68,https://api.spotify.com/v1/tracks/1zcJ1eMjRONHitpcPx0c68,https://api.spotify.com/v1/audio-analysis/1zcJ1eMjRONHitpcPx0c68,387669,4
