danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.95,4,-8.312,1,0,0.809,0.000468,0.368,0,0,audio_features,7BnXXgORGrAWJimXoQ29Wz,spotify:track:7BnXXgORGrAWJimXoQ29Wz,https://api.spotify.com/v1/tracks/7BnXXgORGrAWJimXoQ29Wz,https://api.spotify.com/v1/audio-analysis/7BnXXgORGrAWJimXoQ29Wz,13472,0
0.693,0.933,6,-3.812,0,0.176,0.00231,1.43e-05,0.101,0.391,108.0,audio_features,0Arb33pBjt2hbNyuMpHUfc,spotify:track:0Arb33pBjt2hbNyuMpHUfc,https://api.spotify.com/v1/tracks/0Arb33pBjt2hbNyuMpHUfc,https://api.spotify.com/v1/audio-analysis/0Arb33pBjt2hbNyuMpHUfc,218267,4
0.686,0.3,5,-11.545,1,0.8,0.947,0,0.374,0.663,88.833,audio_features,1CXpMM0MRwI8hMDjURVc7F,spotify:track:1CXpMM0MRwI8hMDjURVc7F,https://api.spotify.com/v1/tracks/1CXpMM0MRwI8hMDjURVc7F,https://api.spotify.com/v1/audio-analysis/1CXpMM0MRwI8hMDjURVc7F,87367,4
0.709,0.624,0,-10.153,1,0.351,0.247,0,0.228,0.558,99.657,audio_features,5D81yqz4QKRx9OIIQwoEN5,spotify:track:5D81yqz4QKRx9OIIQwoEN5,https://api.spotify.com/v1/tracks/5D81yqz4QKRx9OIIQwoEN5,https://api.spotify.com/v1/audio-analysis/5D81yqz4QKRx9OIIQwoEN5,100787,4
0.678,0.351,5,-11.901,1,0.845,0.943,0,0.223,0.633,143.689,audio_features,6iwfKPuBKdDJIx6yKmSTlv,spotify:track:6iwfKPuBKdDJIx6yKmSTlv,https://api.spotify.com/v1/tracks/6iwfKPuBKdDJIx6yKmSTlv,https://api.spotify.com/v1/audio-analysis/6iwfKPuBKdDJIx6yKmSTlv,42367,3
0.379,0.775,0,-6.297,1,0.0798,0.0854,0.00446,0.133,0.361,159.83,audio_features,0kc4G5tEdtmTB0w3gYmb01,spotify:track:0kc4G5tEdtmTB0w3gYmb01,https://api.spotify.com/v1/tracks/0kc4G5tEdtmTB0w3gYmb01,https://api.spotify.com/v1/audio-analysis/0kc4G5tEdtmTB0w3gYmb01,284493,3
0.302,0.366,11,-13.927,1,0.0352,0.921,2.41e-06,0.417,0.471,173.461,audio_features,22lXkayVdQe3tH9T6fD307,spotify:track:22lXkayVdQe3tH9T6fD307,https://api.spotify.com/v1/tracks/22lXkayVdQe3tH9T6fD307,https://api.spotify.com/v1/audio-analysis/22lXkayVdQe3tH9T6fD307,142880,4
0.649,0.634,2,-7.184,1,0.0443,0.108,0,0.129,0.7,108.04,audio_features,534SMMNlixsiLrw7sJWx6y,spotify:track:534SMMNlixsiLrw7sJWx6y,https://api.spotify.com/v1/tracks/534SMMNlixsiLrw7sJWx6y,https://api.spotify.com/v1/audio-analysis/534SMMNlixsiLrw7sJWx6y,269787,4
0.705,0.385,2,-12.409,1,0.846,0.959,0,0.193,0.825,74.145,audio_features,6bFEytHZ67DuYBTJCjRspF,spotify:track:6bFEytHZ67DuYBTJCjRspF,https://api.spotify.com/v1/tracks/6bFEytHZ67DuYBTJCjRspF,https://api.spotify.com/v1/audio-analysis/6bFEytHZ67DuYBTJCjRspF,94250,4
0.61,0.164,10,-13.204,0,0.225,0.953,0,0.619,0.885,110.514,audio_features,2ur1rqwqR5znlsIfwa3pFj,spotify:track:2ur1rqwqR5znlsIfwa3pFj,https://api.spotify.com/v1/tracks/2ur1rqwqR5znlsIfwa3pFj,https://api.spotify.com/v1/audio-analysis/2ur1rqwqR5znlsIfwa3pFj,40187,5
