danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.804,0.683,11,-5.497,0,0.0532,0.000931,0.614,0.0469,0.961,122.001,audio_features,1M8dXTVPwcLtYzY3ge4YX2,spotify:track:1M8dXTVPwcLtYzY3ge4YX2,https://api.spotify.com/v1/tracks/1M8dXTVPwcLtYzY3ge4YX2,https://api.spotify.com/v1/audio-analysis/1M8dXTVPwcLtYzY3ge4YX2,361967,4
0.793,0.577,7,-9.521,0,0.0554,0.00697,0.487,0.117,0.65,123.023,audio_features,34u02WpGb0Eb5APMU3JUAu,spotify:track:34u02WpGb0Eb5APMU3JUAu,https://api.spotify.com/v1/tracks/34u02WpGb0Eb5APMU3JUAu,https://api.spotify.com/v1/audio-analysis/34u02WpGb0Eb5APMU3JUAu,226341,4
0.732,0.634,11,-12.928,1,0.0522,0.000791,0.49,0.0654,0.737,125.016,audio_features,2Dlo4EIzmLCJr3deSpwJBt,spotify:track:2Dlo4EIzmLCJr3deSpwJBt,https://api.spotify.com/v1/tracks/2Dlo4EIzmLCJr3deSpwJBt,https://api.spotify.com/v1/audio-analysis/2Dlo4EIzmLCJr3deSpwJBt,218880,4
0.708,0.514,6,-8.637,0,0.0389,0.000668,0.0389,0.0875,0.663,125.001,audio_features,1pDte2x7h3UCZL9wGlK0f7,spotify:track:1pDte2x7h3UCZL9wGlK0f7,https://api.spotify.com/v1/tracks/1pDte2x7h3UCZL9wGlK0f7,https://api.spotify.com/v1/audio-analysis/1pDte2x7h3UCZL9wGlK0f7,468480,4
0.752,0.823,1,-5.45,1,0.0898,0.00504,1.11e-06,0.0766,0.374,122.037,audio_features,5jNkSVHPwcUqbYufWSOG8H,spotify:track:5jNkSVHPwcUqbYufWSOG8H,https://api.spotify.com/v1/tracks/5jNkSVHPwcUqbYufWSOG8H,https://api.spotify.com/v1/audio-analysis/5jNkSVHPwcUqbYufWSOG8H,226616,4
0.821,0.447,5,-11.814,0,0.0605,0.00593,0.671,0.0697,0.433,118.002,audio_features,4xnD9hpOQlj623RSLYZMjC,spotify:track:4xnD9hpOQlj623RSLYZMjC,https://api.spotify.com/v1/tracks/4xnD9hpOQlj623RSLYZMjC,https://api.spotify.com/v1/audio-analysis/4xnD9hpOQlj623RSLYZMjC,506488,4
0.817,0.672,11,-6.932,0,0.0547,0.0226,0.603,0.0215,0.921,124.975,audio_features,7gK9ITqgwdOMh8xLJtYmdE,spotify:track:7gK9ITqgwdOMh8xLJtYmdE,https://api.spotify.com/v1/tracks/7gK9ITqgwdOMh8xLJtYmdE,https://api.spotify.com/v1/audio-analysis/7gK9ITqgwdOMh8xLJtYmdE,480424,4
0.811,0.867,9,-8.093,1,0.0782,0.000453,0.307,0.0916,0.504,122.008,audio_features,3IZNOPplnU5pVy7PeeykYA,spotify:track:3IZNOPplnU5pVy7PeeykYA,https://api.spotify.com/v1/tracks/3IZNOPplnU5pVy7PeeykYA,https://api.spotify.com/v1/audio-analysis/3IZNOPplnU5pVy7PeeykYA,366902,4
0.899,0.733,11,-9.277,0,0.25,0.00301,0.125,0.103,0.507,122.015,audio_features,4zogzSGGgNpTRYveUFgyc1,spotify:track:4zogzSGGgNpTRYveUFgyc1,https://api.spotify.com/v1/tracks/4zogzSGGgNpTRYveUFgyc1,https://api.spotify.com/v1/audio-analysis/4zogzSGGgNpTRYveUFgyc1,377705,4
0.766,0.694,5,-9.148,0,0.112,0.254,1.25e-06,0.0666,0.899,121.985,audio_features,2NMcEp4oiVQDCV4sI1SZS6,spotify:track:2NMcEp4oiVQDCV4sI1SZS6,https://api.spotify.com/v1/tracks/2NMcEp4oiVQDCV4sI1SZS6,https://api.spotify.com/v1/audio-analysis/2NMcEp4oiVQDCV4sI1SZS6,283552,4
