danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,audio_features,0tKcYR2II1VCQWT79i5NrW,spotify:track:0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,187147,4
0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,audio_features,32DGGj6KlNuBr6WaqRxpxi,spotify:track:32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,198237,4
0.623,0.493,5,-7.727,0,0.0338,0.0632,0,0.104,0.594,81.019,audio_features,5A6BJLZArq1MPjsnmcuk5f,spotify:track:5A6BJLZArq1MPjsnmcuk5f,https://api.spotify.com/v1/tracks/5A6BJLZArq1MPjsnmcuk5f,https://api.spotify.com/v1/audio-analysis/5A6BJLZArq1MPjsnmcuk5f,223847,4
0.726,0.429,0,-6.623,1,0.0519,0.0133,0,0.0574,0.871,85.899,audio_features,27vTihlWXiz9f9lJM3XGVU,spotify:track:27vTihlWXiz9f9lJM3XGVU,https://api.spotify.com/v1/tracks/27vTihlWXiz9f9lJM3XGVU,https://api.spotify.com/v1/audio-analysis/27vTihlWXiz9f9lJM3XGVU,188174,4
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4
0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,audio_features,7FESgYLcOufHqKlwrvJN60,spotify:track:7FESgYLcOufHqKlwrvJN60,https://api.spotify.com/v1/tracks/7FESgYLcOufHqKlwrvJN60,https://api.spotify.com/v1/audio-analysis/7FESgYLcOufHqKlwrvJN60,163251,4
0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,audio_features,1wjzFQodRWrPcQ0AnYnvQ9,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,197437,4
0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827,4
0.549,0.371,2,-9.56,1,0.0378,0.97,0.132,0.639,0.13,87.024,audio_features,3FsBtu3gdlfZjBLXyDvmj1,spotify:track:3FsBtu3gdlfZjBLXyDvmj1,https://api.spotify.com/v1/tracks/3FsBtu3gdlfZjBLXyDvmj1,https://api.spotify.com/v1/audio-analysis/3FsBtu3gdlfZjBLXyDvmj1,206933,3
0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,audio_features,7mldq42yDuxiUNn08nvzHO,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3
0.696,0.543,11,-6.164,1,0.0489,0.308,0,0.0939,0.479,107.969,audio_features,0VhgEqMTNZwYL1ARDLLNCX,spotify:track:0VhgEqMTNZwYL1ARDLLNCX,https://api.spotify.com/v1/tracks/0VhgEqMTNZwYL1ARDLLNCX,https://api.spotify.com/v1/audio-analysis/0VhgEqMTNZwYL1ARDLLNCX,246880,4
0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,audio_features,5uCax9HTNlzGybIStD3vDh,spotify:track:5uCax9HTNlzGybIStD3vDh,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,211467,4
0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,audio_features,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,211475,4
0.742,0.522,5,-4.111,1,0.152,0.136,0,0.0422,0.751,180.039,audio_features,6l3iEDNEyAm9AM5MSjvLkm,spotify:track:6l3iEDNEyAm9AM5MSjvLkm,https://api.spotify.com/v1/tracks/6l3iEDNEyAm9AM5MSjvLkm,https://api.spotify.com/v1/audio-analysis/6l3iEDNEyAm9AM5MSjvLkm,174080,4
0.426,0.408,3,-9.419,1,0.0524,0.771,7.88e-06,0.394,0.528,76.309,audio_features,0RGUIOZtmOXTWOy5EjvQbP,spotify:track:0RGUIOZtmOXTWOy5EjvQbP,https://api.spotify.com/v1/tracks/0RGUIOZtmOXTWOy5EjvQbP,https://api.spotify.com/v1/audio-analysis/0RGUIOZtmOXTWOy5EjvQbP,204712,4
0.594,0.896,0,-4.114,0,0.0409,0.0282,1.5e-05,0.185,0.837,105.01,audio_features,5aJiAeG0x2dxYeE7ac2xhl,spotify:track:5aJiAeG0x2dxYeE7ac2xhl,https://api.spotify.com/v1/tracks/5aJiAeG0x2dxYeE7ac2xhl,https://api.spotify.com/v1/audio-analysis/5aJiAeG0x2dxYeE7ac2xhl,189507,4
0.715,0.566,9,-7.536,1,0.0411,0.0375,0,0.107,0.509,93.998,audio_features,1CxLWO9XW1aK4yv7zViVdn,spotify:track:1CxLWO9XW1aK4yv7zViVdn,https://api.spotify.com/v1/tracks/1CxLWO9XW1aK4yv7zViVdn,https://api.spotify.com/v1/audio-analysis/1CxLWO9XW1aK4yv7zViVdn,185281,4
0.372,0.95,2,-5.015,1,0.11,0.00643,3.08e-05,0.0772,0.341,155.887,audio_features,45faYLH7bE4vtHFbbWNaM9,spotify:track:45faYLH7bE4vtHFbbWNaM9,https://api.spotify.com/v1/tracks/45faYLH7bE4vtHFbbWNaM9,https://api.spotify.com/v1/audio-analysis/45faYLH7bE4vtHFbbWNaM9,213847,4
0.651,0.568,5,-6.774,1,0.0275,0.282,0,0.0862,0.805,93.006,audio_features,2QCndYqRherBtKjBpyySC6,spotify:track:2QCndYqRherBtKjBpyySC6,https://api.spotify.com/v1/tracks/2QCndYqRherBtKjBpyySC6,https://api.spotify.com/v1/audio-analysis/2QCndYqRherBtKjBpyySC6,218763,4
0.673,0.514,0,-10.772,0,0.0465,0.0121,8.5e-05,0.385,0.312,100.035,audio_features,6KjbNLbRjuoa8rEq5yNA6H,spotify:track:6KjbNLbRjuoa8rEq5yNA6H,https://api.spotify.com/v1/tracks/6KjbNLbRjuoa8rEq5yNA6H,https://api.spotify.com/v1/audio-analysis/6KjbNLbRjuoa8rEq5yNA6H,208000,4
0.602,0.707,11,-4.097,1,0.302,0.393,0,0.165,0.554,75.09,audio_features,58zsLZPvfflaiIbNWoA22O,spotify:track:58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/tracks/58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/audio-analysis/58zsLZPvfflaiIbNWoA22O,200187,4
0.564,0.564,9,-4.839,0,0.0427,0.1,0,0.085,0.288,132.807,audio_features,3Mjer7nERC4u3tkkSopwLp,spotify:track:3Mjer7nERC4u3tkkSopwLp,https://api.spotify.com/v1/tracks/3Mjer7nERC4u3tkkSopwLp,https://api.spotify.com/v1/audio-analysis/3Mjer7nERC4u3tkkSopwLp,209924,4
0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,audio_features,79cuOz3SPQTuFrp8WgftAu,spotify:track:79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,199440,4
