danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.554,0.509,1,-8.441,0,0.0389,0.813,0.892,0.202,0.276,70.746,audio_features,0pxvBUVCK4FszxCT0Hqt6Z,spotify:track:0pxvBUVCK4FszxCT0Hqt6Z,https://api.spotify.com/v1/tracks/0pxvBUVCK4FszxCT0Hqt6Z,https://api.spotify.com/v1/audio-analysis/0pxvBUVCK4FszxCT0Hqt6Z,134500,4
0.714,0.275,9,-11.659,1,0.406,0.922,0.413,0.367,0.326,80.827,audio_features,7zoZLgKrw9usAgbAV28xWp,spotify:track:7zoZLgKrw9usAgbAV28xWp,https://api.spotify.com/v1/tracks/7zoZLgKrw9usAgbAV28xWp,https://api.spotify.com/v1/audio-analysis/7zoZLgKrw9usAgbAV28xWp,94588,4
0.596,0.248,0,-14.806,0,0.486,0.813,0.902,0.619,0.728,32.517,audio_features,27MNa5GkzJdYjz2YUBLUmC,spotify:track:27MNa5GkzJdYjz2YUBLUmC,https://api.spotify.com/v1/tracks/27MNa5GkzJdYjz2YUBLUmC,https://api.spotify.com/v1/audio-analysis/27MNa5GkzJdYjz2YUBLUmC,194449,4
0.745,0.529,8,-12.859,1,0.0834,0.553,0.532,0.711,0.584,128.046,audio_features,29uGke73C3JUzciyUBRrkD,spotify:track:29uGke73C3JUzciyUBRrkD,https://api.spotify.com/v1/tracks/29uGke73C3JUzciyUBRrkD,https://api.spotify.com/v1/audio-analysis/29uGke73C3JUzciyUBRrkD,172500,4
0.59,0.456,10,-8.57,0,0.197,0.0254,0.348,0.124,0.59,83.891,audio_features,33x82rIF1ma96Rk2pWssi7,spotify:track:33x82rIF1ma96Rk2pWssi7,https://api.spotify.com/v1/tracks/33x82rIF1ma96Rk2pWssi7,https://api.spotify.com/v1/audio-analysis/33x82rIF1ma96Rk2pWssi7,161094,4
0.694,0.594,4,-7.45,0,0.057,0.184,0.685,0.114,0.706,88.439,audio_features,2QDIoZuhI6GD8Vn8xC4JLh,spotify:track:2QDIoZuhI6GD8Vn8xC4JLh,https://api.spotify.com/v1/tracks/2QDIoZuhI6GD8Vn8xC4JLh,https://api.spotify.com/v1/audio-analysis/2QDIoZuhI6GD8Vn8xC4JLh,119472,4
0.766,0.179,9,-13.616,1,0.074,0.45,0.902,0.0932,0.858,72.488,audio_features,6580cF0l1Q2ACGnFIpZhC7,spotify:track:6580cF0l1Q2ACGnFIpZhC7,https://api.spotify.com/v1/tracks/6580cF0l1Q2ACGnFIpZhC7,https://api.spotify.com/v1/audio-analysis/6580cF0l1Q2ACGnFIpZhC7,104398,4
0.629,0.683,5,-10.716,0,0.0451,0.649,0.17,0.203,0.274,117.933,audio_features,2hiYgtiU7j5zzLs7ib5uIt,spotify:track:2hiYgtiU7j5zzLs7ib5uIt,https://api.spotify.com/v1/tracks/2hiYgtiU7j5zzLs7ib5uIt,https://api.spotify.com/v1/audio-analysis/2hiYgtiU7j5zzLs7ib5uIt,157742,4
0.91,0.308,2,-3.777,0,0.0622,0.23,0.401,0.132,0.752,88.98,audio_features,2zzS9Y7FHftedmULDoXiF5,spotify:track:2zzS9Y7FHftedmULDoXiF5,https://api.spotify.com/v1/tracks/2zzS9Y7FHftedmULDoXiF5,https://api.spotify.com/v1/audio-analysis/2zzS9Y7FHftedmULDoXiF5,153708,4
0.789,0.34,0,-8.37,1,0.221,0.64,0.959,0.109,0.315,86.038,audio_features,1wpuc8CDItpTjzYTdGygZJ,spotify:track:1wpuc8CDItpTjzYTdGygZJ,https://api.spotify.com/v1/tracks/1wpuc8CDItpTjzYTdGygZJ,https://api.spotify.com/v1/audio-analysis/1wpuc8CDItpTjzYTdGygZJ,92093,4
0.654,0.508,1,-10.522,0,0.15,0.0271,0.814,0.0886,0.68,175.892,audio_features,6qd7XQI7EZvu1w1IRf3MBS,spotify:track:6qd7XQI7EZvu1w1IRf3MBS,https://api.spotify.com/v1/tracks/6qd7XQI7EZvu1w1IRf3MBS,https://api.spotify.com/v1/audio-analysis/6qd7XQI7EZvu1w1IRf3MBS,157500,4
0.84,0.544,10,-6.228,0,0.0802,0.406,0.78,0.0488,0.678,88.054,audio_features,4VJb4DHvinsn6OMsTMFuN4,spotify:track:4VJb4DHvinsn6OMsTMFuN4,https://api.spotify.com/v1/tracks/4VJb4DHvinsn6OMsTMFuN4,https://api.spotify.com/v1/audio-analysis/4VJb4DHvinsn6OMsTMFuN4,196364,4
0.786,0.662,1,-8.822,1,0.0786,0.0729,0.904,0.0834,0.963,84.01,audio_features,4ZJQc36qUyf8AtAIc6wKNb,spotify:track:4ZJQc36qUyf8AtAIc6wKNb,https://api.spotify.com/v1/tracks/4ZJQc36qUyf8AtAIc6wKNb,https://api.spotify.com/v1/audio-analysis/4ZJQc36qUyf8AtAIc6wKNb,118387,4
0.766,0.783,1,-6.279,1,0.081,0.00822,0.273,0.206,0.258,97.985,audio_features,0z81M2q08guWqQe7oj8Qqf,spotify:track:0z81M2q08guWqQe7oj8Qqf,https://api.spotify.com/v1/tracks/0z81M2q08guWqQe7oj8Qqf,https://api.spotify.com/v1/audio-analysis/0z81M2q08guWqQe7oj8Qqf,218909,4
0.812,0.238,9,-10.901,0,0.0742,0.223,0.752,0.0665,0.594,75.023,audio_features,4g9F9oLPjzL87GJc3xNDQ5,spotify:track:4g9F9oLPjzL87GJc3xNDQ5,https://api.spotify.com/v1/tracks/4g9F9oLPjzL87GJc3xNDQ5,https://api.spotify.com/v1/audio-analysis/4g9F9oLPjzL87GJc3xNDQ5,70401,4
0.711,0.303,9,-15.138,1,0.0885,0.706,0.95,0.0705,0.159,81.984,audio_features,5M0kP9IcBxctdsxSTMMwpE,spotify:track:5M0kP9IcBxctdsxSTMMwpE,https://api.spotify.com/v1/tracks/5M0kP9IcBxctdsxSTMMwpE,https://api.spotify.com/v1/audio-analysis/5M0kP9IcBxctdsxSTMMwpE,127347,4
0.836,0.246,11,-9.31,1,0.0529,0.846,0.952,0.11,0.392,89.068,audio_features,72r1SEcMVTnnarNKoWksFk,spotify:track:72r1SEcMVTnnarNKoWksFk,https://api.spotify.com/v1/tracks/72r1SEcMVTnnarNKoWksFk,https://api.spotify.com/v1/audio-analysis/72r1SEcMVTnnarNKoWksFk,146378,4
0.771,0.403,5,-6.845,1,0.04,0.577,0.0272,0.1,0.395,82.047,audio_features,2NNOY5a1KMNRKkdY0it83q,spotify:track:2NNOY5a1KMNRKkdY0it83q,https://api.spotify.com/v1/tracks/2NNOY5a1KMNRKkdY0it83q,https://api.spotify.com/v1/audio-analysis/2NNOY5a1KMNRKkdY0it83q,118500,4
0.671,0.219,1,-20.751,0,0.055,0.799,0.959,0.0722,0.0558,129.997,audio_features,4DiEM9RvbBIF9Kt2WyqcYR,spotify:track:4DiEM9RvbBIF9Kt2WyqcYR,https://api.spotify.com/v1/tracks/4DiEM9RvbBIF9Kt2WyqcYR,https://api.spotify.com/v1/audio-analysis/4DiEM9RvbBIF9Kt2WyqcYR,62724,4
0.669,0.256,10,-11.859,1,0.152,0.497,0.909,0.118,0.649,173.952,audio_features,2HbStF2e2FiK6JIkSKNJOT,spotify:track:2HbStF2e2FiK6JIkSKNJOT,https://api.spotify.com/v1/tracks/2HbStF2e2FiK6JIkSKNJOT,https://api.spotify.com/v1/audio-analysis/2HbStF2e2FiK6JIkSKNJOT,70345,4
0.545,0.378,5,-15.36,0,0.452,0.957,0.85,0.18,0.85,131.33,audio_features,1sIYvDfK33QZwXCcac7tcW,spotify:track:1sIYvDfK33QZwXCcac7tcW,https://api.spotify.com/v1/tracks/1sIYvDfK33QZwXCcac7tcW,https://api.spotify.com/v1/audio-analysis/1sIYvDfK33QZwXCcac7tcW,91559,5
0.767,0.463,1,-9.863,1,0.451,0.834,0.84,0.0903,0.931,78.194,audio_features,3RLdx5FkHRQstRy5c3SpCy,spotify:track:3RLdx5FkHRQstRy5c3SpCy,https://api.spotify.com/v1/tracks/3RLdx5FkHRQstRy5c3SpCy,https://api.spotify.com/v1/audio-analysis/3RLdx5FkHRQstRy5c3SpCy,75790,4
0.647,0.206,11,-17.765,0,0.232,0.808,0.622,0.155,0.672,81.01,audio_features,7l0KxIm5KJdxJDCOuCsBI6,spotify:track:7l0KxIm5KJdxJDCOuCsBI6,https://api.spotify.com/v1/tracks/7l0KxIm5KJdxJDCOuCsBI6,https://api.spotify.com/v1/audio-analysis/7l0KxIm5KJdxJDCOuCsBI6,92500,4
0.688,0.492,10,-4.361,0,0.0592,0.169,0.905,0.0795,0.23,82.997,audio_features,679q0dQlN4J7QpX9b7c6HR,spotify:track:679q0dQlN4J7QpX9b7c6HR,https://api.spotify.com/v1/tracks/679q0dQlN4J7QpX9b7c6HR,https://api.spotify.com/v1/audio-analysis/679q0dQlN4J7QpX9b7c6HR,160843,4
0.715,0.481,7,-7.632,0,0.0503,0.533,0.941,0.116,0.691,88.975,audio_features,7E1P65m8kSWvcuAGGooRcJ,spotify:track:7E1P65m8kSWvcuAGGooRcJ,https://api.spotify.com/v1/tracks/7E1P65m8kSWvcuAGGooRcJ,https://api.spotify.com/v1/audio-analysis/7E1P65m8kSWvcuAGGooRcJ,162146,4
0.898,0.287,9,-7.027,0,0.394,0.444,0.764,0.114,0.311,91.063,audio_features,3rDtYwyfZNfTfxjyivntg5,spotify:track:3rDtYwyfZNfTfxjyivntg5,https://api.spotify.com/v1/tracks/3rDtYwyfZNfTfxjyivntg5,https://api.spotify.com/v1/audio-analysis/3rDtYwyfZNfTfxjyivntg5,95350,4
0.467,0.342,2,-12.495,0,0.0436,0.759,0.919,0.154,0.312,159.841,audio_features,1PONqn48vO19XIV9hijgQw,spotify:track:1PONqn48vO19XIV9hijgQw,https://api.spotify.com/v1/tracks/1PONqn48vO19XIV9hijgQw,https://api.spotify.com/v1/audio-analysis/1PONqn48vO19XIV9hijgQw,72055,4
0.837,0.422,5,-8.301,1,0.0412,0.564,0.911,0.297,0.88,90.03,audio_features,0DmnckfLnYKvZ9iYVIF2QM,spotify:track:0DmnckfLnYKvZ9iYVIF2QM,https://api.spotify.com/v1/tracks/0DmnckfLnYKvZ9iYVIF2QM,https://api.spotify.com/v1/audio-analysis/0DmnckfLnYKvZ9iYVIF2QM,107667,4
0.714,0.124,10,-14.423,1,0.0354,0.571,0.705,0.112,0.716,83.993,audio_features,6gL60vRG1x7zyxiX3HwZVb,spotify:track:6gL60vRG1x7zyxiX3HwZVb,https://api.spotify.com/v1/tracks/6gL60vRG1x7zyxiX3HwZVb,https://api.spotify.com/v1/audio-analysis/6gL60vRG1x7zyxiX3HwZVb,60169,4
0.709,0.419,5,-15.02,0,0.23,0.822,0.921,0.101,0.614,76.717,audio_features,2oSqWq8K0vjshv5b5MbyQ1,spotify:track:2oSqWq8K0vjshv5b5MbyQ1,https://api.spotify.com/v1/tracks/2oSqWq8K0vjshv5b5MbyQ1,https://api.spotify.com/v1/audio-analysis/2oSqWq8K0vjshv5b5MbyQ1,65844,4
0.621,0.483,9,-9.254,1,0.342,0.226,0.208,0.155,0.108,82.936,audio_features,27bdxZuZjgVQnLgMHkHD1J,spotify:track:27bdxZuZjgVQnLgMHkHD1J,https://api.spotify.com/v1/tracks/27bdxZuZjgVQnLgMHkHD1J,https://api.spotify.com/v1/audio-analysis/27bdxZuZjgVQnLgMHkHD1J,92530,4
0.663,0.535,6,-10.587,0,0.371,0.724,0.929,0.113,0.599,91.343,audio_features,2S9iC8UBhqq1of7PFHEvTr,spotify:track:2S9iC8UBhqq1of7PFHEvTr,https://api.spotify.com/v1/tracks/2S9iC8UBhqq1of7PFHEvTr,https://api.spotify.com/v1/audio-analysis/2S9iC8UBhqq1of7PFHEvTr,228812,4
0.761,0.421,7,-11.54,1,0.1,0.209,0.794,0.123,0.576,149.963,audio_features,6hXuDHGJ8UOQvWUpbSXelh,spotify:track:6hXuDHGJ8UOQvWUpbSXelh,https://api.spotify.com/v1/tracks/6hXuDHGJ8UOQvWUpbSXelh,https://api.spotify.com/v1/audio-analysis/6hXuDHGJ8UOQvWUpbSXelh,98865,4
