danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.745,0.717,6,-6.621,1,0.0353,0.00367,0.0453,0.104,0.242,130.011,audio_features,09PvKezSqiAvKDCvkpi4xm,spotify:track:09PvKezSqiAvKDCvkpi4xm,https://api.spotify.com/v1/tracks/09PvKezSqiAvKDCvkpi4xm,https://api.spotify.com/v1/audio-analysis/09PvKezSqiAvKDCvkpi4xm,295385,4
0.508,0.875,9,-3.262,0,0.0615,0.00275,0,0.319,0.14,160.039,audio_features,7xddswKFyyesNjV8wpCGLo,spotify:track:7xddswKFyyesNjV8wpCGLo,https://api.spotify.com/v1/tracks/7xddswKFyyesNjV8wpCGLo,https://api.spotify.com/v1/audio-analysis/7xddswKFyyesNjV8wpCGLo,238500,4
0.611,0.968,10,-3.027,1,0.0747,0.00397,0.00311,0.572,0.509,127.959,audio_features,1igu6dZZVaMzpjPMGQeUeM,spotify:track:1igu6dZZVaMzpjPMGQeUeM,https://api.spotify.com/v1/tracks/1igu6dZZVaMzpjPMGQeUeM,https://api.spotify.com/v1/audio-analysis/1igu6dZZVaMzpjPMGQeUeM,263439,4
0.65,0.884,1,-3.557,1,0.0326,0.0482,0.154,0.135,0.377,125.998,audio_features,69vD3bK7ud5QCeqlAxDH6A,spotify:track:69vD3bK7ud5QCeqlAxDH6A,https://api.spotify.com/v1/tracks/69vD3bK7ud5QCeqlAxDH6A,https://api.spotify.com/v1/audio-analysis/69vD3bK7ud5QCeqlAxDH6A,200952,4
0.723,0.556,0,-11.394,1,0.0709,0.0163,0.0026,0.0505,0.608,128.027,audio_features,2HUrnrn2N9XQvbvnDh5jPU,spotify:track:2HUrnrn2N9XQvbvnDh5jPU,https://api.spotify.com/v1/tracks/2HUrnrn2N9XQvbvnDh5jPU,https://api.spotify.com/v1/audio-analysis/2HUrnrn2N9XQvbvnDh5jPU,373055,4
0.36,0.847,11,-3.931,1,0.109,0.223,0.00019,0.147,0.501,89.915,audio_features,0e3P53YVOXKnUKvqlU4D2j,spotify:track:0e3P53YVOXKnUKvqlU4D2j,https://api.spotify.com/v1/tracks/0e3P53YVOXKnUKvqlU4D2j,https://api.spotify.com/v1/audio-analysis/0e3P53YVOXKnUKvqlU4D2j,203000,4
0.743,0.962,11,-3.205,0,0.0629,0.00445,0.613,0.352,0.643,127.99,audio_features,4qPnE8jBZN3wmgGxspsOcP,spotify:track:4qPnE8jBZN3wmgGxspsOcP,https://api.spotify.com/v1/tracks/4qPnE8jBZN3wmgGxspsOcP,https://api.spotify.com/v1/audio-analysis/4qPnE8jBZN3wmgGxspsOcP,270000,4
0.57,0.779,2,-6.174,1,0.0468,0.0185,2.49e-05,0.17,0.443,128.022,audio_features,0iEgsF8X8jSzlmzwhQBoWM,spotify:track:0iEgsF8X8jSzlmzwhQBoWM,https://api.spotify.com/v1/tracks/0iEgsF8X8jSzlmzwhQBoWM,https://api.spotify.com/v1/audio-analysis/0iEgsF8X8jSzlmzwhQBoWM,192658,4
0.327,0.246,5,-5.776,0,0.0362,0.569,9.39e-05,0.11,0.15,143.101,audio_features,38M1Z0HSUD9Y4hiUJKp1mX,spotify:track:38M1Z0HSUD9Y4hiUJKp1mX,https://api.spotify.com/v1/tracks/38M1Z0HSUD9Y4hiUJKp1mX,https://api.spotify.com/v1/audio-analysis/38M1Z0HSUD9Y4hiUJKp1mX,207507,4
0.543,0.916,6,-2.189,0,0.0564,0.217,0.00328,0.149,0.384,160.034,audio_features,3H8oVnl3WrrD49o3yHLnl7,spotify:track:3H8oVnl3WrrD49o3yHLnl7,https://api.spotify.com/v1/tracks/3H8oVnl3WrrD49o3yHLnl7,https://api.spotify.com/v1/audio-analysis/3H8oVnl3WrrD49o3yHLnl7,198000,4
