danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.49,0.406,2,-17.481,1,0.0403,0.91,0.836,0.122,0.34,117.904,audio_features,3ExU31i7Fh2vbhB1DzM1Gr,spotify:track:3ExU31i7Fh2vbhB1DzM1Gr,https://api.spotify.com/v1/tracks/3ExU31i7Fh2vbhB1DzM1Gr,https://api.spotify.com/v1/audio-analysis/3ExU31i7Fh2vbhB1DzM1Gr,191254,4
0.547,0.287,9,-19.615,0,0.0366,0.989,0.796,0.152,0.284,136.996,audio_features,0zr06uBGWB6tP7m3N2lqxS,spotify:track:0zr06uBGWB6tP7m3N2lqxS,https://api.spotify.com/v1/tracks/0zr06uBGWB6tP7m3N2lqxS,https://api.spotify.com/v1/audio-analysis/0zr06uBGWB6tP7m3N2lqxS,238415,4
0.452,0.342,0,-7.451,1,0.0326,0.00856,0.857,0.267,0.0463,125.986,audio_features,3lBPp5qjEjDRFjFV2beh35,spotify:track:3lBPp5qjEjDRFjFV2beh35,https://api.spotify.com/v1/tracks/3lBPp5qjEjDRFjFV2beh35,https://api.spotify.com/v1/audio-analysis/3lBPp5qjEjDRFjFV2beh35,169250,4
0.303,0.00338,4,-30.932,0,0.0493,0.909,0.89,0.116,0.347,50.96,audio_features,2IXJyG1DX93g2EhFXghz37,spotify:track:2IXJyG1DX93g2EhFXghz37,https://api.spotify.com/v1/tracks/2IXJyG1DX93g2EhFXghz37,https://api.spotify.com/v1/audio-analysis/2IXJyG1DX93g2EhFXghz37,102373,4
0.259,0.498,8,-9.319,0,0.0318,0.0532,0.957,0.116,0.0457,110.018,audio_features,60pJo7veaWc8yLHYyFfnB2,spotify:track:60pJo7veaWc8yLHYyFfnB2,https://api.spotify.com/v1/tracks/60pJo7veaWc8yLHYyFfnB2,https://api.spotify.com/v1/audio-analysis/60pJo7veaWc8yLHYyFfnB2,182151,4
0.171,0.287,7,-14.54,1,0.0315,0.362,0.64,0.104,0.0343,84.381,audio_features,6lhhVRjJJk2He59jAtOSsm,spotify:track:6lhhVRjJJk2He59jAtOSsm,https://api.spotify.com/v1/tracks/6lhhVRjJJk2He59jAtOSsm,https://api.spotify.com/v1/audio-analysis/6lhhVRjJJk2He59jAtOSsm,327721,4
0.283,0.415,4,-7.382,1,0.0298,0.0942,0.905,0.154,0.068,141.241,audio_features,2WltUi1jhpoiksDrlJUBlr,spotify:track:2WltUi1jhpoiksDrlJUBlr,https://api.spotify.com/v1/tracks/2WltUi1jhpoiksDrlJUBlr,https://api.spotify.com/v1/audio-analysis/2WltUi1jhpoiksDrlJUBlr,184448,4
0.187,0.111,7,-18.531,1,0.0346,0.46,0.00868,0.0917,0.0405,138.076,audio_features,1Ho9GnoEXLcl60ZmdOfxzQ,spotify:track:1Ho9GnoEXLcl60ZmdOfxzQ,https://api.spotify.com/v1/tracks/1Ho9GnoEXLcl60ZmdOfxzQ,https://api.spotify.com/v1/audio-analysis/1Ho9GnoEXLcl60ZmdOfxzQ,140384,3
0.481,0.256,5,-14.291,0,0.0284,0.727,0.816,0.114,0.0383,104.112,audio_features,1DprJIKazijA5UkXiR6oQ6,spotify:track:1DprJIKazijA5UkXiR6oQ6,https://api.spotify.com/v1/tracks/1DprJIKazijA5UkXiR6oQ6,https://api.spotify.com/v1/audio-analysis/1DprJIKazijA5UkXiR6oQ6,253061,3
0.13,0.534,2,-17.304,0,0.0498,0.286,0.781,0.12,0.185,73.337,audio_features,12xTeDRkdcJdyCEjQ7FPvk,spotify:track:12xTeDRkdcJdyCEjQ7FPvk,https://api.spotify.com/v1/tracks/12xTeDRkdcJdyCEjQ7FPvk,https://api.spotify.com/v1/audio-analysis/12xTeDRkdcJdyCEjQ7FPvk,282907,4
0.462,0.249,7,-14.157,1,0.0315,0.00468,0.896,0.108,0.0481,106.039,audio_features,3tGdrKXDO9hZV0f0XDh66O,spotify:track:3tGdrKXDO9hZV0f0XDh66O,https://api.spotify.com/v1/tracks/3tGdrKXDO9hZV0f0XDh66O,https://api.spotify.com/v1/audio-analysis/3tGdrKXDO9hZV0f0XDh66O,112720,3
0.119,0.214,2,-18.913,1,0.0377,0.841,0.931,0.113,0.0385,80.643,audio_features,0tWJSrOeixKQQcYEws7HTF,spotify:track:0tWJSrOeixKQQcYEws7HTF,https://api.spotify.com/v1/tracks/0tWJSrOeixKQQcYEws7HTF,https://api.spotify.com/v1/audio-analysis/0tWJSrOeixKQQcYEws7HTF,156300,4
0.397,0.0767,5,-15.786,1,0.0374,0.956,0.856,0.0992,0.0365,122.626,audio_features,0JGfoZbSvYQiPVQQQSSxmr,spotify:track:0JGfoZbSvYQiPVQQQSSxmr,https://api.spotify.com/v1/tracks/0JGfoZbSvYQiPVQQQSSxmr,https://api.spotify.com/v1/audio-analysis/0JGfoZbSvYQiPVQQQSSxmr,193387,4
0.447,0.169,0,-17.756,1,0.0452,0.991,0.938,0.0961,0.208,72.915,audio_features,5U2WQ74Tyc2OHKCK2KvGi5,spotify:track:5U2WQ74Tyc2OHKCK2KvGi5,https://api.spotify.com/v1/tracks/5U2WQ74Tyc2OHKCK2KvGi5,https://api.spotify.com/v1/audio-analysis/5U2WQ74Tyc2OHKCK2KvGi5,130083,3
0.31,0.441,6,-8.251,0,0.0318,0.014,0.871,0.112,0.104,130.025,audio_features,4RAXSgWjXAFczeUjgLSKpZ,spotify:track:4RAXSgWjXAFczeUjgLSKpZ,https://api.spotify.com/v1/tracks/4RAXSgWjXAFczeUjgLSKpZ,https://api.spotify.com/v1/audio-analysis/4RAXSgWjXAFczeUjgLSKpZ,150611,5
0.311,0.109,9,-17.777,1,0.0347,0.949,0.882,0.127,0.0775,137.049,audio_features,6IhFOgNP7YeQ3PoI8kcRLn,spotify:track:6IhFOgNP7YeQ3PoI8kcRLn,https://api.spotify.com/v1/tracks/6IhFOgNP7YeQ3PoI8kcRLn,https://api.spotify.com/v1/audio-analysis/6IhFOgNP7YeQ3PoI8kcRLn,179000,4
