danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.603,0.494,2,-10.27,1,0.0301,0.428,0.000171,0.0894,0.729,147.814,audio_features,6TNNMVpOgn8K5NoDC7alG6,spotify:track:6TNNMVpOgn8K5NoDC7alG6,https://api.spotify.com/v1/tracks/6TNNMVpOgn8K5NoDC7alG6,https://api.spotify.com/v1/audio-analysis/6TNNMVpOgn8K5NoDC7alG6,214960,4
0.538,0.704,1,-8.904,0,0.0332,0.0794,0,0.0867,0.583,120.963,audio_features,3Njxl86N4inxFi5xBuCoR1,spotify:track:3Njxl86N4inxFi5xBuCoR1,https://api.spotify.com/v1/tracks/3Njxl86N4inxFi5xBuCoR1,https://api.spotify.com/v1/audio-analysis/3Njxl86N4inxFi5xBuCoR1,281227,4
0.384,0.366,7,-10.65,1,0.0329,0.371,9.17e-05,0.101,0.199,138.134,audio_features,0QYgtwYCftkAqunXmvkZtr,spotify:track:0QYgtwYCftkAqunXmvkZtr,https://api.spotify.com/v1/tracks/0QYgtwYCftkAqunXmvkZtr,https://api.spotify.com/v1/audio-analysis/0QYgtwYCftkAqunXmvkZtr,261370,4
0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,audio_features,45yEy5WJywhJ3sDI28ajTm,spotify:track:45yEy5WJywhJ3sDI28ajTm,https://api.spotify.com/v1/tracks/45yEy5WJywhJ3sDI28ajTm,https://api.spotify.com/v1/audio-analysis/45yEy5WJywhJ3sDI28ajTm,185733,4
0.608,0.358,5,-14.112,1,0.035,0.523,9.32e-06,0.0946,0.373,75.763,audio_features,3LcYYV9ozePfgYYmXv0P3r,spotify:track:3LcYYV9ozePfgYYmXv0P3r,https://api.spotify.com/v1/tracks/3LcYYV9ozePfgYYmXv0P3r,https://api.spotify.com/v1/audio-analysis/3LcYYV9ozePfgYYmXv0P3r,202840,4
0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,audio_features,5QqdvVeYLL1xvZ1ndUjxnO,spotify:track:5QqdvVeYLL1xvZ1ndUjxnO,https://api.spotify.com/v1/tracks/5QqdvVeYLL1xvZ1ndUjxnO,https://api.spotify.com/v1/audio-analysis/5QqdvVeYLL1xvZ1ndUjxnO,146333,4
0.486,0.241,4,-17.337,1,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,audio_features,3y4Uza6K58JXQ7RYya8ZI5,spotify:track:3y4Uza6K58JXQ7RYya8ZI5,https://api.spotify.com/v1/tracks/3y4Uza6K58JXQ7RYya8ZI5,https://api.spotify.com/v1/audio-analysis/3y4Uza6K58JXQ7RYya8ZI5,301133,4
0.406,0.131,5,-17.668,1,0.0315,0.989,0.275,0.102,0.203,93.196,audio_features,1MD4tX2g5hx0D2WQ6JsC2m,spotify:track:1MD4tX2g5hx0D2WQ6JsC2m,https://api.spotify.com/v1/tracks/1MD4tX2g5hx0D2WQ6JsC2m,https://api.spotify.com/v1/audio-analysis/1MD4tX2g5hx0D2WQ6JsC2m,210667,4
0.685,0.445,6,-10.676,0,0.0393,0.776,0.000154,0.0953,0.809,128.042,audio_features,4JVmESg1JVr2WqecNqFnch,spotify:track:4JVmESg1JVr2WqecNqFnch,https://api.spotify.com/v1/tracks/4JVmESg1JVr2WqecNqFnch,https://api.spotify.com/v1/audio-analysis/4JVmESg1JVr2WqecNqFnch,171667,4
0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,audio_features,5jgFfDIR6FR0gvlA56Nakr,spotify:track:5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/tracks/5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/audio-analysis/5jgFfDIR6FR0gvlA56Nakr,138387,4
