danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.7,0.461,8,-9.59,1,0.147,0.615,0,0.367,0.67,97.013,audio_features,6O7FnHyGMvsvz4WT0Ae7Up,spotify:track:6O7FnHyGMvsvz4WT0Ae7Up,https://api.spotify.com/v1/tracks/6O7FnHyGMvsvz4WT0Ae7Up,https://api.spotify.com/v1/audio-analysis/6O7FnHyGMvsvz4WT0Ae7Up,196701,4
0.682,0.802,9,-5.766,0,0.0502,0.00524,0.000166,0.0745,0.128,104.956,audio_features,1U4yK8OAbHyFXmrggE8a8J,spotify:track:1U4yK8OAbHyFXmrggE8a8J,https://api.spotify.com/v1/tracks/1U4yK8OAbHyFXmrggE8a8J,https://api.spotify.com/v1/audio-analysis/1U4yK8OAbHyFXmrggE8a8J,240632,4
0.541,0.383,9,-15.75,1,0.158,0.725,0.000255,0.125,0.222,172.32,audio_features,4wF7Ug1z1DWcRTnsmyPhR5,spotify:track:4wF7Ug1z1DWcRTnsmyPhR5,https://api.spotify.com/v1/tracks/4wF7Ug1z1DWcRTnsmyPhR5,https://api.spotify.com/v1/audio-analysis/4wF7Ug1z1DWcRTnsmyPhR5,206528,3
0.582,0.547,5,-5.878,1,0.0458,0.269,0,0.13,0.167,94.047,audio_features,7AYirjZG5QSx6moU7saBbE,spotify:track:7AYirjZG5QSx6moU7saBbE,https://api.spotify.com/v1/tracks/7AYirjZG5QSx6moU7saBbE,https://api.spotify.com/v1/audio-analysis/7AYirjZG5QSx6moU7saBbE,221307,4
0.641,0.515,8,-5.036,0,0.164,0.0407,0,0.108,0.527,90.148,audio_features,1uU1uNuwkn5ZZdE1AawtZK,spotify:track:1uU1uNuwkn5ZZdE1AawtZK,https://api.spotify.com/v1/tracks/1uU1uNuwkn5ZZdE1AawtZK,https://api.spotify.com/v1/audio-analysis/1uU1uNuwkn5ZZdE1AawtZK,203641,4
0.693,0.664,7,-5.352,1,0.0793,0.206,0,0.124,0.542,96.13,audio_features,5FAK7GY5W3PUBPLkJ6R2wq,spotify:track:5FAK7GY5W3PUBPLkJ6R2wq,https://api.spotify.com/v1/tracks/5FAK7GY5W3PUBPLkJ6R2wq,https://api.spotify.com/v1/audio-analysis/5FAK7GY5W3PUBPLkJ6R2wq,203750,4
0.798,0.543,5,-9.687,0,0.0812,0.0418,9.99e-06,0.24,0.711,104.029,audio_features,52NSd8uYlpvRiCemIheAcY,spotify:track:52NSd8uYlpvRiCemIheAcY,https://api.spotify.com/v1/tracks/52NSd8uYlpvRiCemIheAcY,https://api.spotify.com/v1/audio-analysis/52NSd8uYlpvRiCemIheAcY,196912,4
0.584,0.739,2,-4.72,1,0.0435,0.216,0,0.188,0.351,104.884,audio_features,0W363qrIc4GwuwOqa0WAEO,spotify:track:0W363qrIc4GwuwOqa0WAEO,https://api.spotify.com/v1/tracks/0W363qrIc4GwuwOqa0WAEO,https://api.spotify.com/v1/audio-analysis/0W363qrIc4GwuwOqa0WAEO,231383,4
0.575,0.78,6,-4.912,1,0.0664,0.0655,4.32e-06,0.11,0.133,80.045,audio_features,6Nhvsrc6UEdIKeHLsfjSn3,spotify:track:6Nhvsrc6UEdIKeHLsfjSn3,https://api.spotify.com/v1/tracks/6Nhvsrc6UEdIKeHLsfjSn3,https://api.spotify.com/v1/audio-analysis/6Nhvsrc6UEdIKeHLsfjSn3,181500,4
0.609,0.624,7,-7.077,0,0.169,0.167,1.95e-05,0.163,0.745,99.136,audio_features,0wFvtbHGaPbciMesRMxNqn,spotify:track:0wFvtbHGaPbciMesRMxNqn,https://api.spotify.com/v1/tracks/0wFvtbHGaPbciMesRMxNqn,https://api.spotify.com/v1/audio-analysis/0wFvtbHGaPbciMesRMxNqn,187271,4
0.601,0.645,8,-5.948,1,0.041,0.229,0,0.151,0.55,97.999,audio_features,6ENvzbjsSxIbaQEcirrUu3,spotify:track:6ENvzbjsSxIbaQEcirrUu3,https://api.spotify.com/v1/tracks/6ENvzbjsSxIbaQEcirrUu3,https://api.spotify.com/v1/audio-analysis/6ENvzbjsSxIbaQEcirrUu3,196601,4
0.78,0.764,8,-4.098,1,0.0391,0.512,1.14e-06,0.152,0.545,104.988,audio_features,1YMBg7rOjxzbya0fPOYfNX,spotify:track:1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,198286,4
0.802,0.615,8,-4.718,1,0.0582,0.146,3.48e-06,0.152,0.567,126.069,audio_features,0neGrYYisFwcDgZm3ZYZ2x,spotify:track:0neGrYYisFwcDgZm3ZYZ2x,https://api.spotify.com/v1/tracks/0neGrYYisFwcDgZm3ZYZ2x,https://api.spotify.com/v1/audio-analysis/0neGrYYisFwcDgZm3ZYZ2x,203366,4
0.627,0.488,10,-7.167,1,0.159,0.292,0.000375,0.166,0.174,170.068,audio_features,3M4PG8X9lp0gpDEMGpenBI,spotify:track:3M4PG8X9lp0gpDEMGpenBI,https://api.spotify.com/v1/tracks/3M4PG8X9lp0gpDEMGpenBI,https://api.spotify.com/v1/audio-analysis/3M4PG8X9lp0gpDEMGpenBI,194265,4
0.627,0.807,0,-5.215,1,0.0835,0.0433,0.134,0.131,0.386,159.871,audio_features,2KVlkuM3gwSlYS2opeRpQI,spotify:track:2KVlkuM3gwSlYS2opeRpQI,https://api.spotify.com/v1/tracks/2KVlkuM3gwSlYS2opeRpQI,https://api.spotify.com/v1/audio-analysis/2KVlkuM3gwSlYS2opeRpQI,207547,4
