danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.761,0.762,0,-6.695,0,0.0414,0.0416,2.61e-05,0.219,0.799,117.033,audio_features,3gUFIFsPLf6c2pssekXkTU,spotify:track:3gUFIFsPLf6c2pssekXkTU,https://api.spotify.com/v1/tracks/3gUFIFsPLf6c2pssekXkTU,https://api.spotify.com/v1/audio-analysis/3gUFIFsPLf6c2pssekXkTU,218778,4
0.835,0.724,6,-7.26,0,0.0544,0.661,0.848,0.0582,0.593,117.017,audio_features,3E8jWkIc4oulXghqKOvTA6,spotify:track:3E8jWkIc4oulXghqKOvTA6,https://api.spotify.com/v1/tracks/3E8jWkIc4oulXghqKOvTA6,https://api.spotify.com/v1/audio-analysis/3E8jWkIc4oulXghqKOvTA6,282354,4
0.702,0.607,2,-6.509,1,0.0405,0.364,0.0263,0.123,0.436,116.961,audio_features,1o22EcqsCANhwYdaNOSdwS,spotify:track:1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/tracks/1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/audio-analysis/1o22EcqsCANhwYdaNOSdwS,181400,4
0.452,0.434,7,-8.752,0,0.0441,0.587,0.0466,0.115,0.176,116.681,audio_features,3fLUvW1YvbrPsUv7RkWVeN,spotify:track:3fLUvW1YvbrPsUv7RkWVeN,https://api.spotify.com/v1/tracks/3fLUvW1YvbrPsUv7RkWVeN,https://api.spotify.com/v1/audio-analysis/3fLUvW1YvbrPsUv7RkWVeN,204596,4
0.578,0.919,11,-4.091,1,0.0609,0.0132,0.000321,0.185,0.245,118.085,audio_features,4iZ3YEN89TU8Uwan4NwkB8,spotify:track:4iZ3YEN89TU8Uwan4NwkB8,https://api.spotify.com/v1/tracks/4iZ3YEN89TU8Uwan4NwkB8,https://api.spotify.com/v1/audio-analysis/4iZ3YEN89TU8Uwan4NwkB8,271147,4
0.661,0.709,5,-7.103,0,0.0475,0.0527,4.72e-05,0.379,0.295,117.934,audio_features,5g5QD2ddj7lbEFfv312Wjo,spotify:track:5g5QD2ddj7lbEFfv312Wjo,https://api.spotify.com/v1/tracks/5g5QD2ddj7lbEFfv312Wjo,https://api.spotify.com/v1/audio-analysis/5g5QD2ddj7lbEFfv312Wjo,281085,4
0.756,0.678,6,-5.628,0,0.0323,0.0919,0.0408,0.143,0.597,117.996,audio_features,7JlLJv631dX8SyAGPFmr2R,spotify:track:7JlLJv631dX8SyAGPFmr2R,https://api.spotify.com/v1/tracks/7JlLJv631dX8SyAGPFmr2R,https://api.spotify.com/v1/audio-analysis/7JlLJv631dX8SyAGPFmr2R,256345,4
0.574,0.547,0,-8.134,1,0.0435,0.607,2.09e-06,0.0762,0.236,118.14,audio_features,30AeH6saju8WPJo73cKZyH,spotify:track:30AeH6saju8WPJo73cKZyH,https://api.spotify.com/v1/tracks/30AeH6saju8WPJo73cKZyH,https://api.spotify.com/v1/audio-analysis/30AeH6saju8WPJo73cKZyH,213937,4
0.317,0.521,6,-5.577,0,0.0352,0.136,2.34e-05,0.136,0.194,117.992,audio_features,0fC8X9jJOhgNuJMYowMb1B,spotify:track:0fC8X9jJOhgNuJMYowMb1B,https://api.spotify.com/v1/tracks/0fC8X9jJOhgNuJMYowMb1B,https://api.spotify.com/v1/audio-analysis/0fC8X9jJOhgNuJMYowMb1B,246147,4
0.519,0.505,2,-8.979,1,0.0299,0.000154,0.597,0.11,0.162,118.008,audio_features,0ADhqs3CJ7nE5vTD9qLv48,spotify:track:0ADhqs3CJ7nE5vTD9qLv48,https://api.spotify.com/v1/tracks/0ADhqs3CJ7nE5vTD9qLv48,https://api.spotify.com/v1/audio-analysis/0ADhqs3CJ7nE5vTD9qLv48,190587,4
