danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.935,0.551,6,-7.952,0,0.284,0.0356,0.000225,0.193,0.748,134.967,audio_features,2WUqVbUrIHeVjRo6G5Bq0k,spotify:track:2WUqVbUrIHeVjRo6G5Bq0k,https://api.spotify.com/v1/tracks/2WUqVbUrIHeVjRo6G5Bq0k,https://api.spotify.com/v1/audio-analysis/2WUqVbUrIHeVjRo6G5Bq0k,153652,4
0.775,0.539,5,-4.303,1,0.0881,0.372,8.11e-06,0.225,0.624,144.966,audio_features,482W3KYP7Uc4G4Pslnw94y,spotify:track:482W3KYP7Uc4G4Pslnw94y,https://api.spotify.com/v1/tracks/482W3KYP7Uc4G4Pslnw94y,https://api.spotify.com/v1/audio-analysis/482W3KYP7Uc4G4Pslnw94y,211862,4
0.844,0.611,4,-1.945,1,0.198,0.791,0.000215,0.106,0.584,122.004,audio_features,4Kqv2RYcLEqI7C7M4D3Ugj,spotify:track:4Kqv2RYcLEqI7C7M4D3Ugj,https://api.spotify.com/v1/tracks/4Kqv2RYcLEqI7C7M4D3Ugj,https://api.spotify.com/v1/audio-analysis/4Kqv2RYcLEqI7C7M4D3Ugj,188011,4
0.782,0.45,7,-6.068,0,0.0485,0.0145,0,0.109,0.105,89.528,audio_features,0OOv7uR4CRMuFgk0T8Rco3,spotify:track:0OOv7uR4CRMuFgk0T8Rco3,https://api.spotify.com/v1/tracks/0OOv7uR4CRMuFgk0T8Rco3,https://api.spotify.com/v1/audio-analysis/0OOv7uR4CRMuFgk0T8Rco3,179966,4
0.74,0.486,7,-7.746,1,0.347,0.461,0,0.368,0.446,104.973,audio_features,66DILbuY4cdRzjoEWYuQW0,spotify:track:66DILbuY4cdRzjoEWYuQW0,https://api.spotify.com/v1/tracks/66DILbuY4cdRzjoEWYuQW0,https://api.spotify.com/v1/audio-analysis/66DILbuY4cdRzjoEWYuQW0,186180,4
0.825,0.465,1,-12.259,1,0.171,0.0723,0.00616,0.232,0.303,123.032,audio_features,0OAWbGG3SAdcTETlDHfNFi,spotify:track:0OAWbGG3SAdcTETlDHfNFi,https://api.spotify.com/v1/tracks/0OAWbGG3SAdcTETlDHfNFi,https://api.spotify.com/v1/audio-analysis/0OAWbGG3SAdcTETlDHfNFi,178869,4
0.826,0.782,0,-7.06,0,0.196,0.012,0,0.102,0.83,150.111,audio_features,0pAqaxJnraVtn2lehaYzKy,spotify:track:0pAqaxJnraVtn2lehaYzKy,https://api.spotify.com/v1/tracks/0pAqaxJnraVtn2lehaYzKy,https://api.spotify.com/v1/audio-analysis/0pAqaxJnraVtn2lehaYzKy,176196,4
0.747,0.557,1,-8.971,0,0.069,0.369,3.53e-05,0.103,0.552,149.965,audio_features,64Hpl5XnXbIWq1oI77gcNW,spotify:track:64Hpl5XnXbIWq1oI77gcNW,https://api.spotify.com/v1/tracks/64Hpl5XnXbIWq1oI77gcNW,https://api.spotify.com/v1/audio-analysis/64Hpl5XnXbIWq1oI77gcNW,195200,4
0.814,0.293,6,-14.108,0,0.0621,0.806,0.0111,0.0772,0.382,109.019,audio_features,3SQzDSE1GoJoCT2LiVCdw9,spotify:track:3SQzDSE1GoJoCT2LiVCdw9,https://api.spotify.com/v1/tracks/3SQzDSE1GoJoCT2LiVCdw9,https://api.spotify.com/v1/audio-analysis/3SQzDSE1GoJoCT2LiVCdw9,346233,4
0.752,0.403,6,-7.876,0,0.128,0.614,0.000135,0.109,0.384,82.023,audio_features,41PAAuFLXi4vC1mWLslzGe,spotify:track:41PAAuFLXi4vC1mWLslzGe,https://api.spotify.com/v1/tracks/41PAAuFLXi4vC1mWLslzGe,https://api.spotify.com/v1/audio-analysis/41PAAuFLXi4vC1mWLslzGe,156585,4
