danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.685,0.777,1,-4.654,0,0.063,0.353,0,0.329,0.417,95.049,audio_features,27zrFrtUtWl2urlvjOn5xc,spotify:track:27zrFrtUtWl2urlvjOn5xc,https://api.spotify.com/v1/tracks/27zrFrtUtWl2urlvjOn5xc,https://api.spotify.com/v1/audio-analysis/27zrFrtUtWl2urlvjOn5xc,218897,4
0.718,0.476,4,-9.205,1,0.139,0.422,0,0.0876,0.448,48.973,audio_features,3JBnDOUd18QKjDqSYuOfpm,spotify:track:3JBnDOUd18QKjDqSYuOfpm,https://api.spotify.com/v1/tracks/3JBnDOUd18QKjDqSYuOfpm,https://api.spotify.com/v1/audio-analysis/3JBnDOUd18QKjDqSYuOfpm,222415,4
0.557,0.205,0,-8.473,1,0.0524,0.904,0,0.0938,0.166,129.815,audio_features,2vTYQvLz7fyN26wSLY33Hx,spotify:track:2vTYQvLz7fyN26wSLY33Hx,https://api.spotify.com/v1/tracks/2vTYQvLz7fyN26wSLY33Hx,https://api.spotify.com/v1/audio-analysis/2vTYQvLz7fyN26wSLY33Hx,217984,3
0.438,0.573,5,-5.614,1,0.0472,0.639,0,0.177,0.4,187.674,audio_features,01C4IZTZuQ6v4Tf4I1qGVL,spotify:track:01C4IZTZuQ6v4Tf4I1qGVL,https://api.spotify.com/v1/tracks/01C4IZTZuQ6v4Tf4I1qGVL,https://api.spotify.com/v1/audio-analysis/01C4IZTZuQ6v4Tf4I1qGVL,217197,3
0.529,0.555,3,-4.72,1,0.0288,0.332,0,0.129,0.28,83.982,audio_features,7Mfb2IwRNP8Qi7Ojtpmi37,spotify:track:7Mfb2IwRNP8Qi7Ojtpmi37,https://api.spotify.com/v1/tracks/7Mfb2IwRNP8Qi7Ojtpmi37,https://api.spotify.com/v1/audio-analysis/7Mfb2IwRNP8Qi7Ojtpmi37,239097,4
0.739,0.706,9,-6.534,1,0.152,0.219,0,0.132,0.558,144.112,audio_features,1enx9LPZrXxaVVBxas5rRm,spotify:track:1enx9LPZrXxaVVBxas5rRm,https://api.spotify.com/v1/tracks/1enx9LPZrXxaVVBxas5rRm,https://api.spotify.com/v1/audio-analysis/1enx9LPZrXxaVVBxas5rRm,232867,4
0.686,0.644,11,-4.726,0,0.0495,0.379,0,0.277,0.214,96.997,audio_features,4qL4YhKU8w9bVoFA4zAL1v,spotify:track:4qL4YhKU8w9bVoFA4zAL1v,https://api.spotify.com/v1/tracks/4qL4YhKU8w9bVoFA4zAL1v,https://api.spotify.com/v1/audio-analysis/4qL4YhKU8w9bVoFA4zAL1v,209292,4
0.664,0.313,7,-10.978,1,0.0308,0.877,0,0.113,0.347,115.847,audio_features,3CZAQMNUHPXmYVq8eF8Dt8,spotify:track:3CZAQMNUHPXmYVq8eF8Dt8,https://api.spotify.com/v1/tracks/3CZAQMNUHPXmYVq8eF8Dt8,https://api.spotify.com/v1/audio-analysis/3CZAQMNUHPXmYVq8eF8Dt8,227236,4
0.705,0.317,7,-9.84,1,0.0322,0.899,9.58e-06,0.108,0.506,112.008,audio_features,4hHQkPfQLgiaUORBuOl1Vv,spotify:track:4hHQkPfQLgiaUORBuOl1Vv,https://api.spotify.com/v1/tracks/4hHQkPfQLgiaUORBuOl1Vv,https://api.spotify.com/v1/audio-analysis/4hHQkPfQLgiaUORBuOl1Vv,241127,4
0.804,0.68,0,-3.81,1,0.2,0.458,0,0.102,0.62,102.013,audio_features,3y7ByLZ05tluscOTRgEJ9Y,spotify:track:3y7ByLZ05tluscOTRgEJ9Y,https://api.spotify.com/v1/tracks/3y7ByLZ05tluscOTRgEJ9Y,https://api.spotify.com/v1/audio-analysis/3y7ByLZ05tluscOTRgEJ9Y,217413,4
0.678,0.688,5,-3.278,1,0.0321,0.0934,0,0.0894,0.395,113.978,audio_features,5P6S7Slp0r8GycaOjDy8nY,spotify:track:5P6S7Slp0r8GycaOjDy8nY,https://api.spotify.com/v1/tracks/5P6S7Slp0r8GycaOjDy8nY,https://api.spotify.com/v1/audio-analysis/5P6S7Slp0r8GycaOjDy8nY,205644,4
0.521,0.451,0,-6.679,1,0.0311,0.807,0,0.0773,0.383,65.916,audio_features,61sCtXb7Hx7nZMlZfAhpW2,spotify:track:61sCtXb7Hx7nZMlZfAhpW2,https://api.spotify.com/v1/tracks/61sCtXb7Hx7nZMlZfAhpW2,https://api.spotify.com/v1/audio-analysis/61sCtXb7Hx7nZMlZfAhpW2,240089,4
0.437,0.579,11,-4.647,1,0.0409,0.653,0,0.102,0.245,169.414,audio_features,3Kqyqe3CeCnYDRhAmkrvx7,spotify:track:3Kqyqe3CeCnYDRhAmkrvx7,https://api.spotify.com/v1/tracks/3Kqyqe3CeCnYDRhAmkrvx7,https://api.spotify.com/v1/audio-analysis/3Kqyqe3CeCnYDRhAmkrvx7,268413,4
0.545,0.6,9,-3.886,0,0.0279,0.427,0,0.132,0.391,96.996,audio_features,4Q6efSOjA42sq5S0TaKBQw,spotify:track:4Q6efSOjA42sq5S0TaKBQw,https://api.spotify.com/v1/tracks/4Q6efSOjA42sq5S0TaKBQw,https://api.spotify.com/v1/audio-analysis/4Q6efSOjA42sq5S0TaKBQw,219307,4
0.504,0.486,3,-3.507,1,0.0287,0.572,0,0.113,0.138,113.937,audio_features,10sjUVYJO1UHDDxQSODUE2,spotify:track:10sjUVYJO1UHDDxQSODUE2,https://api.spotify.com/v1/tracks/10sjUVYJO1UHDDxQSODUE2,https://api.spotify.com/v1/audio-analysis/10sjUVYJO1UHDDxQSODUE2,198053,3
0.477,0.8,0,-3.267,1,0.0882,0.226,0,0.106,0.675,96.04,audio_features,5WLLVrfFNbseupmtv0p2B1,spotify:track:5WLLVrfFNbseupmtv0p2B1,https://api.spotify.com/v1/tracks/5WLLVrfFNbseupmtv0p2B1,https://api.spotify.com/v1/audio-analysis/5WLLVrfFNbseupmtv0p2B1,219330,4
0.552,0.558,10,-8.281,1,0.0254,0.197,0.00125,0.0764,0.226,143.939,audio_features,3t5kzdhYAMWUY7vbzQqqI8,spotify:track:3t5kzdhYAMWUY7vbzQqqI8,https://api.spotify.com/v1/tracks/3t5kzdhYAMWUY7vbzQqqI8,https://api.spotify.com/v1/audio-analysis/3t5kzdhYAMWUY7vbzQqqI8,230867,4
