danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.295,0.995,1,-4.423,0,0.2,0.00052,0.36,0.127,0.0376,110.25,audio_features,01Mpj13vURSO3cCLprPt5T,spotify:track:01Mpj13vURSO3cCLprPt5T,https://api.spotify.com/v1/tracks/01Mpj13vURSO3cCLprPt5T,https://api.spotify.com/v1/audio-analysis/01Mpj13vURSO3cCLprPt5T,254400,3
0.754,0.788,2,-3.175,1,0.0322,0.129,0.00274,0.0775,0.961,124.992,audio_features,17gohmCYDlZSYxp41xqVQ8,spotify:track:17gohmCYDlZSYxp41xqVQ8,https://api.spotify.com/v1/tracks/17gohmCYDlZSYxp41xqVQ8,https://api.spotify.com/v1/audio-analysis/17gohmCYDlZSYxp41xqVQ8,224258,4
0.398,0.96,5,-4.841,1,0.0593,0.00188,0.0208,0.148,0.682,129.944,audio_features,5ctRbSANfjfqVeNGPI7oau,spotify:track:5ctRbSANfjfqVeNGPI7oau,https://api.spotify.com/v1/tracks/5ctRbSANfjfqVeNGPI7oau,https://api.spotify.com/v1/audio-analysis/5ctRbSANfjfqVeNGPI7oau,189293,4
0.567,0.823,8,-4.847,1,0.0649,0.0121,0,0.202,0.4,124.069,audio_features,5sXsddq6DD1h0rnSLDpFZa,spotify:track:5sXsddq6DD1h0rnSLDpFZa,https://api.spotify.com/v1/tracks/5sXsddq6DD1h0rnSLDpFZa,https://api.spotify.com/v1/audio-analysis/5sXsddq6DD1h0rnSLDpFZa,265307,3
0.217,0.879,7,-6.465,1,0.0614,1.63e-06,0.87,0.083,0.0675,66.257,audio_features,56jneg6hUncechz28PfAiP,spotify:track:56jneg6hUncechz28PfAiP,https://api.spotify.com/v1/tracks/56jneg6hUncechz28PfAiP,https://api.spotify.com/v1/audio-analysis/56jneg6hUncechz28PfAiP,430253,4
0.686,0.771,9,-5.697,0,0.0705,0.0254,0.000138,0.107,0.393,123.985,audio_features,0euRZeEKvdbptPpebwDtLc,spotify:track:0euRZeEKvdbptPpebwDtLc,https://api.spotify.com/v1/tracks/0euRZeEKvdbptPpebwDtLc,https://api.spotify.com/v1/audio-analysis/0euRZeEKvdbptPpebwDtLc,167253,4
0.248,0.897,3,-6.178,1,0.0453,1.12e-05,0.588,0.221,0.439,137.509,audio_features,0tAub59hpIfAEDe1FBYgeA,spotify:track:0tAub59hpIfAEDe1FBYgeA,https://api.spotify.com/v1/tracks/0tAub59hpIfAEDe1FBYgeA,https://api.spotify.com/v1/audio-analysis/0tAub59hpIfAEDe1FBYgeA,427800,4
0.558,0.653,5,-8.312,0,0.0428,0.273,0.007,0.108,0.403,166.0,audio_features,0tl5HRIyc76NxEZA3wWI3X,spotify:track:0tl5HRIyc76NxEZA3wWI3X,https://api.spotify.com/v1/tracks/0tl5HRIyc76NxEZA3wWI3X,https://api.spotify.com/v1/audio-analysis/0tl5HRIyc76NxEZA3wWI3X,213493,4
0.147,0.955,9,-8.83,1,0.173,3.09e-05,0.901,0.199,0.0392,159.358,audio_features,72hVxLSxVIeMHlFkostuaj,spotify:track:72hVxLSxVIeMHlFkostuaj,https://api.spotify.com/v1/tracks/72hVxLSxVIeMHlFkostuaj,https://api.spotify.com/v1/audio-analysis/72hVxLSxVIeMHlFkostuaj,409627,4
0.872,0.361,7,-9.88,1,0.0609,0.283,0.00262,0.108,0.489,100.001,audio_features,0mQnLhHH5WwRc5gtnzLtK6,spotify:track:0mQnLhHH5WwRc5gtnzLtK6,https://api.spotify.com/v1/tracks/0mQnLhHH5WwRc5gtnzLtK6,https://api.spotify.com/v1/audio-analysis/0mQnLhHH5WwRc5gtnzLtK6,233247,4
0.517,0.969,6,-5.255,1,0.0371,2.28e-05,0.0361,0.446,0.466,102.105,audio_features,6r77c9NMDUtQ0NbJXG0EcX,spotify:track:6r77c9NMDUtQ0NbJXG0EcX,https://api.spotify.com/v1/tracks/6r77c9NMDUtQ0NbJXG0EcX,https://api.spotify.com/v1/audio-analysis/6r77c9NMDUtQ0NbJXG0EcX,209773,1
0.58,0.935,9,-3.348,1,0.189,0.0318,0,0.0977,0.603,172.023,audio_features,2oLLOxkJWJj9BbrsTc4Xql,spotify:track:2oLLOxkJWJj9BbrsTc4Xql,https://api.spotify.com/v1/tracks/2oLLOxkJWJj9BbrsTc4Xql,https://api.spotify.com/v1/audio-analysis/2oLLOxkJWJj9BbrsTc4Xql,191440,4
0.556,0.792,7,-5.62,0,0.0281,0.00297,1.68e-05,0.211,0.269,89.966,audio_features,3ZXZ9RMsznqgyHnyq0K5FL,spotify:track:3ZXZ9RMsznqgyHnyq0K5FL,https://api.spotify.com/v1/tracks/3ZXZ9RMsznqgyHnyq0K5FL,https://api.spotify.com/v1/audio-analysis/3ZXZ9RMsznqgyHnyq0K5FL,362093,4
0.701,0.964,4,-2.037,0,0.127,0.114,9.34e-06,0.153,0.484,113.058,audio_features,1hrZVbWwU6v4WAjOjv0xGo,spotify:track:1hrZVbWwU6v4WAjOjv0xGo,https://api.spotify.com/v1/tracks/1hrZVbWwU6v4WAjOjv0xGo,https://api.spotify.com/v1/audio-analysis/1hrZVbWwU6v4WAjOjv0xGo,235434,4
0.265,0.893,0,-5.853,1,0.045,4.26e-05,0.885,0.258,0.423,123.658,audio_features,34z19lzcLBa8nEVnfr5BCW,spotify:track:34z19lzcLBa8nEVnfr5BCW,https://api.spotify.com/v1/tracks/34z19lzcLBa8nEVnfr5BCW,https://api.spotify.com/v1/audio-analysis/34z19lzcLBa8nEVnfr5BCW,281293,4
0.577,0.721,5,-5.504,1,0.0565,0.547,0,0.162,0.755,142.39,audio_features,0GdiWLQt5VYtMEcero6AOW,spotify:track:0GdiWLQt5VYtMEcero6AOW,https://api.spotify.com/v1/tracks/0GdiWLQt5VYtMEcero6AOW,https://api.spotify.com/v1/audio-analysis/0GdiWLQt5VYtMEcero6AOW,164427,3
0.264,0.946,2,-5.152,1,0.0697,0.000111,0.0622,0.0631,0.083,146.037,audio_features,1HRwKWGgkRdWPqpVW68FoA,spotify:track:1HRwKWGgkRdWPqpVW68FoA,https://api.spotify.com/v1/tracks/1HRwKWGgkRdWPqpVW68FoA,https://api.spotify.com/v1/audio-analysis/1HRwKWGgkRdWPqpVW68FoA,528333,4
0.765,0.767,0,-8.125,1,0.0301,0.374,2e-05,0.0949,0.552,120.418,audio_features,5deoPfYU3gEtcIxPgap4Gz,spotify:track:5deoPfYU3gEtcIxPgap4Gz,https://api.spotify.com/v1/tracks/5deoPfYU3gEtcIxPgap4Gz,https://api.spotify.com/v1/audio-analysis/5deoPfYU3gEtcIxPgap4Gz,254147,4
0.247,0.988,7,-3.73,1,0.147,0.000165,0.692,0.102,0.251,101.928,audio_features,0w6Y8fitRwFf5XTY8y5FAU,spotify:track:0w6Y8fitRwFf5XTY8y5FAU,https://api.spotify.com/v1/tracks/0w6Y8fitRwFf5XTY8y5FAU,https://api.spotify.com/v1/audio-analysis/0w6Y8fitRwFf5XTY8y5FAU,101027,4
0.416,0.883,10,-6.031,1,0.15,0.314,0,0.11,0.788,178.33,audio_features,6Zbv79YWB0iZSXwIwEsIOP,spotify:track:6Zbv79YWB0iZSXwIwEsIOP,https://api.spotify.com/v1/tracks/6Zbv79YWB0iZSXwIwEsIOP,https://api.spotify.com/v1/audio-analysis/6Zbv79YWB0iZSXwIwEsIOP,179467,4
0.822,0.782,8,-4.52,1,0.0999,0.058,0,0.039,0.637,124.995,audio_features,5vgXJ72X7U9Hw3gjUoUgeR,spotify:track:5vgXJ72X7U9Hw3gjUoUgeR,https://api.spotify.com/v1/tracks/5vgXJ72X7U9Hw3gjUoUgeR,https://api.spotify.com/v1/audio-analysis/5vgXJ72X7U9Hw3gjUoUgeR,193735,4
0.262,0.993,5,-1.27,0,0.199,0.000199,0.00182,0.0962,0.279,199.915,audio_features,20hFFeL5QykY9VWeV5RayW,spotify:track:20hFFeL5QykY9VWeV5RayW,https://api.spotify.com/v1/tracks/20hFFeL5QykY9VWeV5RayW,https://api.spotify.com/v1/audio-analysis/20hFFeL5QykY9VWeV5RayW,301013,4
0.409,0.838,8,-8.641,1,0.0727,0.0247,0.364,0.132,0.666,199.88,audio_features,4197HGpsH7jGRz5gInEkfC,spotify:track:4197HGpsH7jGRz5gInEkfC,https://api.spotify.com/v1/tracks/4197HGpsH7jGRz5gInEkfC,https://api.spotify.com/v1/audio-analysis/4197HGpsH7jGRz5gInEkfC,202027,4
0.271,0.961,7,-4.664,1,0.0727,1.1e-05,0.773,0.0692,0.515,111.297,audio_features,2VKJIbpWU1CA38C1gTKTt6,spotify:track:2VKJIbpWU1CA38C1gTKTt6,https://api.spotify.com/v1/tracks/2VKJIbpWU1CA38C1gTKTt6,https://api.spotify.com/v1/audio-analysis/2VKJIbpWU1CA38C1gTKTt6,285387,4
0.787,0.524,4,-7.131,0,0.0539,0.0278,2.24e-05,0.0721,0.697,106.535,audio_features,0Fc0tF24fA7okKe33RXIPz,spotify:track:0Fc0tF24fA7okKe33RXIPz,https://api.spotify.com/v1/tracks/0Fc0tF24fA7okKe33RXIPz,https://api.spotify.com/v1/audio-analysis/0Fc0tF24fA7okKe33RXIPz,269853,4
0.814,0.651,8,-7.557,0,0.0713,0.492,0.000822,0.134,0.718,125.004,audio_features,04lN6teCupLYItfwR1IvE4,spotify:track:04lN6teCupLYItfwR1IvE4,https://api.spotify.com/v1/tracks/04lN6teCupLYItfwR1IvE4,https://api.spotify.com/v1/audio-analysis/04lN6teCupLYItfwR1IvE4,220853,4
0.546,0.843,9,-6.71,0,0.0374,0.00893,0.00723,0.186,0.277,98.037,audio_features,6y7uRYPLcYwnmXUUlhzvxi,spotify:track:6y7uRYPLcYwnmXUUlhzvxi,https://api.spotify.com/v1/tracks/6y7uRYPLcYwnmXUUlhzvxi,https://api.spotify.com/v1/audio-analysis/6y7uRYPLcYwnmXUUlhzvxi,243840,4
0.565,0.461,0,-7.273,1,0.141,0.586,0,0.162,0.199,157.894,audio_features,4rrqEVg5znpZG7MJwC6PqD,spotify:track:4rrqEVg5znpZG7MJwC6PqD,https://api.spotify.com/v1/tracks/4rrqEVg5znpZG7MJwC6PqD,https://api.spotify.com/v1/audio-analysis/4rrqEVg5znpZG7MJwC6PqD,238933,4
0.18,0.982,5,-4.691,1,0.31,1.36e-05,0.792,0.331,0.0767,81.75,audio_features,6xK3sBdRm99g9T8Ov0gjdF,spotify:track:6xK3sBdRm99g9T8Ov0gjdF,https://api.spotify.com/v1/tracks/6xK3sBdRm99g9T8Ov0gjdF,https://api.spotify.com/v1/audio-analysis/6xK3sBdRm99g9T8Ov0gjdF,276400,4
0.729,0.653,5,-3.447,1,0.0307,0.069,6e-05,0.0823,0.438,110.045,audio_features,6YL5zD4SggAZAQcdPv5r0C,spotify:track:6YL5zD4SggAZAQcdPv5r0C,https://api.spotify.com/v1/tracks/6YL5zD4SggAZAQcdPv5r0C,https://api.spotify.com/v1/audio-analysis/6YL5zD4SggAZAQcdPv5r0C,209160,4
0.701,0.968,1,-0.913,1,0.078,0.103,0,0.832,0.913,100.009,audio_features,6aU0ZgV3IYn2vW8KBtI0eN,spotify:track:6aU0ZgV3IYn2vW8KBtI0eN,https://api.spotify.com/v1/tracks/6aU0ZgV3IYn2vW8KBtI0eN,https://api.spotify.com/v1/audio-analysis/6aU0ZgV3IYn2vW8KBtI0eN,219533,4
0.182,0.808,8,-5.4,1,0.0514,6.72e-06,0.91,0.155,0.177,123.34,audio_features,1lWY4IlZ36ylaI2GdO6cNU,spotify:track:1lWY4IlZ36ylaI2GdO6cNU,https://api.spotify.com/v1/tracks/1lWY4IlZ36ylaI2GdO6cNU,https://api.spotify.com/v1/audio-analysis/1lWY4IlZ36ylaI2GdO6cNU,877053,4
0.776,0.9,0,-3.97,1,0.0382,0.058,0,0.256,0.963,127.051,audio_features,4umN41ggyywUcvMbZxhcHR,spotify:track:4umN41ggyywUcvMbZxhcHR,https://api.spotify.com/v1/tracks/4umN41ggyywUcvMbZxhcHR,https://api.spotify.com/v1/audio-analysis/4umN41ggyywUcvMbZxhcHR,180467,4
0.36,0.986,2,-2.486,1,0.103,0.00272,0.00109,0.125,0.217,92.335,audio_features,6uw0ccDTu2taJB1KU6ggQk,spotify:track:6uw0ccDTu2taJB1KU6ggQk,https://api.spotify.com/v1/tracks/6uw0ccDTu2taJB1KU6ggQk,https://api.spotify.com/v1/audio-analysis/6uw0ccDTu2taJB1KU6ggQk,219773,4
0.641,0.673,5,-10.72,0,0.0918,0.0302,0.000868,0.219,0.644,167.978,audio_features,1ljzHUgt2SU2ADkhfa9eBC,spotify:track:1ljzHUgt2SU2ADkhfa9eBC,https://api.spotify.com/v1/tracks/1ljzHUgt2SU2ADkhfa9eBC,https://api.spotify.com/v1/audio-analysis/1ljzHUgt2SU2ADkhfa9eBC,262587,4
0.588,0.751,0,-7.588,1,0.0328,0.00174,6.57e-05,0.353,0.52,136.979,audio_features,4dTVgHZFPlaq9nPbLVVLSG,spotify:track:4dTVgHZFPlaq9nPbLVVLSG,https://api.spotify.com/v1/tracks/4dTVgHZFPlaq9nPbLVVLSG,https://api.spotify.com/v1/audio-analysis/4dTVgHZFPlaq9nPbLVVLSG,209280,4
0.575,0.906,8,-4.693,1,0.0946,9.28e-05,0,0.041,0.672,92.693,audio_features,4Lxn1JlGJwmmXpODrNvPA6,spotify:track:4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/tracks/4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/audio-analysis/4Lxn1JlGJwmmXpODrNvPA6,178667,4
0.823,0.822,1,-5.323,0,0.0334,0.113,4.57e-05,0.0688,0.938,125.026,audio_features,6TK4Gszcg4IqyW0Ewtejcd,spotify:track:6TK4Gszcg4IqyW0Ewtejcd,https://api.spotify.com/v1/tracks/6TK4Gszcg4IqyW0Ewtejcd,https://api.spotify.com/v1/audio-analysis/6TK4Gszcg4IqyW0Ewtejcd,211377,4
0.315,0.992,8,-6.133,0,0.15,4.45e-06,0.8,0.379,0.0943,114.789,audio_features,6Mc6YngZBiPnTSDIaFYy22,spotify:track:6Mc6YngZBiPnTSDIaFYy22,https://api.spotify.com/v1/tracks/6Mc6YngZBiPnTSDIaFYy22,https://api.spotify.com/v1/audio-analysis/6Mc6YngZBiPnTSDIaFYy22,335200,4
0.74,0.727,2,-6.253,1,0.278,0.186,0,0.627,0.792,101.408,audio_features,71X7bPDljJHrmEGYCe7kQ8,spotify:track:71X7bPDljJHrmEGYCe7kQ8,https://api.spotify.com/v1/tracks/71X7bPDljJHrmEGYCe7kQ8,https://api.spotify.com/v1/audio-analysis/71X7bPDljJHrmEGYCe7kQ8,186543,4
0.402,0.86,8,-7.689,1,0.039,1.43e-06,0.895,0.103,0.427,108.118,audio_features,7ijzfPlrrszfIllGC2FHgO,spotify:track:7ijzfPlrrszfIllGC2FHgO,https://api.spotify.com/v1/tracks/7ijzfPlrrszfIllGC2FHgO,https://api.spotify.com/v1/audio-analysis/7ijzfPlrrszfIllGC2FHgO,281120,4
0.723,0.569,1,-6.832,0,0.25,0.429,0,0.0908,0.631,101.071,audio_features,0tg6gVbM6RvU3RYe08tv9N,spotify:track:0tg6gVbM6RvU3RYe08tv9N,https://api.spotify.com/v1/tracks/0tg6gVbM6RvU3RYe08tv9N,https://api.spotify.com/v1/audio-analysis/0tg6gVbM6RvU3RYe08tv9N,219343,4
0.306,0.924,1,-3.655,0,0.0792,1.05e-05,0.126,0.143,0.379,176.326,audio_features,2lUON3M2SD2MwZtGErhHeg,spotify:track:2lUON3M2SD2MwZtGErhHeg,https://api.spotify.com/v1/tracks/2lUON3M2SD2MwZtGErhHeg,https://api.spotify.com/v1/audio-analysis/2lUON3M2SD2MwZtGErhHeg,408053,3
