danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.707,0.789,0,-7.339,1,0.0713,0.00072,0.627,0.521,0.63,125.991,audio_features,51bKhXKA1KOvIHpqu2un8y,spotify:track:51bKhXKA1KOvIHpqu2un8y,https://api.spotify.com/v1/tracks/51bKhXKA1KOvIHpqu2un8y,https://api.spotify.com/v1/audio-analysis/51bKhXKA1KOvIHpqu2un8y,266667,4
0.779,0.847,7,-4.963,0,0.07,0.00152,0.000228,0.284,0.696,114.95,audio_features,4KY6DjFGardfeUJZz1sEb4,spotify:track:4KY6DjFGardfeUJZz1sEb4,https://api.spotify.com/v1/tracks/4KY6DjFGardfeUJZz1sEb4,https://api.spotify.com/v1/audio-analysis/4KY6DjFGardfeUJZz1sEb4,172836,4
0.733,0.918,4,-5.669,0,0.0516,0.000346,0.67,0.133,0.527,122.988,audio_features,1awf1z1TOwTD8i7dMKLtIA,spotify:track:1awf1z1TOwTD8i7dMKLtIA,https://api.spotify.com/v1/tracks/1awf1z1TOwTD8i7dMKLtIA,https://api.spotify.com/v1/audio-analysis/1awf1z1TOwTD8i7dMKLtIA,173120,4
0.754,0.746,8,-7.261,0,0.0604,0.165,1.62e-06,0.16,0.523,114.033,audio_features,4pF60IfhihTXwEMSZmx4od,spotify:track:4pF60IfhihTXwEMSZmx4od,https://api.spotify.com/v1/tracks/4pF60IfhihTXwEMSZmx4od,https://api.spotify.com/v1/audio-analysis/4pF60IfhihTXwEMSZmx4od,193562,4
0.864,0.555,4,-9.904,0,0.104,0.0539,0.698,0.0695,0.306,113.002,audio_features,4jheyjlDJ9E9YhvWKZ1p3w,spotify:track:4jheyjlDJ9E9YhvWKZ1p3w,https://api.spotify.com/v1/tracks/4jheyjlDJ9E9YhvWKZ1p3w,https://api.spotify.com/v1/audio-analysis/4jheyjlDJ9E9YhvWKZ1p3w,454513,4
0.788,0.347,5,-11.793,0,0.233,0.231,0.00167,0.272,0.431,149.995,audio_features,4OpnbAijMBnrtwONSoCYfu,spotify:track:4OpnbAijMBnrtwONSoCYfu,https://api.spotify.com/v1/tracks/4OpnbAijMBnrtwONSoCYfu,https://api.spotify.com/v1/audio-analysis/4OpnbAijMBnrtwONSoCYfu,268800,4
0.864,0.597,8,-6.154,1,0.0526,0.252,6.81e-06,0.0754,0.644,113.003,audio_features,4448lgA3hWGQSoEPhTgnlf,spotify:track:4448lgA3hWGQSoEPhTgnlf,https://api.spotify.com/v1/tracks/4448lgA3hWGQSoEPhTgnlf,https://api.spotify.com/v1/audio-analysis/4448lgA3hWGQSoEPhTgnlf,207693,4
0.595,0.662,11,-6.858,0,0.0362,0.0178,0,0.0804,0.417,96.053,audio_features,04CttTezSnv71USiiG9mIo,spotify:track:04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/tracks/04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/audio-analysis/04CttTezSnv71USiiG9mIo,218447,4
0.511,0.951,8,-3.162,0,0.408,0.00702,0.000494,0.355,0.214,144.833,audio_features,1axYKkAUrZbB1axBahVM2J,spotify:track:1axYKkAUrZbB1axBahVM2J,https://api.spotify.com/v1/tracks/1axYKkAUrZbB1axBahVM2J,https://api.spotify.com/v1/audio-analysis/1axYKkAUrZbB1axBahVM2J,268966,4
0.638,0.691,0,-4.742,1,0.269,0.397,0.0798,0.0827,0.311,148.008,audio_features,2ldmdlSAfzgIcXYax5z9VD,spotify:track:2ldmdlSAfzgIcXYax5z9VD,https://api.spotify.com/v1/tracks/2ldmdlSAfzgIcXYax5z9VD,https://api.spotify.com/v1/audio-analysis/2ldmdlSAfzgIcXYax5z9VD,258906,5
