danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.376,0.343,5,-9.022,1,0.0303,0.673,0,0.198,0.169,129.759,audio_features,750vuAyjSZGt53r570s8ML,spotify:track:750vuAyjSZGt53r570s8ML,https://api.spotify.com/v1/tracks/750vuAyjSZGt53r570s8ML,https://api.spotify.com/v1/audio-analysis/750vuAyjSZGt53r570s8ML,331133,4
0.597,0.478,1,-9.75,1,0.04,0.0138,0.000148,0.155,0.387,82.107,audio_features,5X3012Ox7FlfpxsiTHuy0o,spotify:track:5X3012Ox7FlfpxsiTHuy0o,https://api.spotify.com/v1/tracks/5X3012Ox7FlfpxsiTHuy0o,https://api.spotify.com/v1/audio-analysis/5X3012Ox7FlfpxsiTHuy0o,349760,4
0.583,0.378,2,-9.619,1,0.039,0.259,0.000942,0.0755,0.331,94.938,audio_features,5UzPW8HC6slxstdRbV3Kcp,spotify:track:5UzPW8HC6slxstdRbV3Kcp,https://api.spotify.com/v1/tracks/5UzPW8HC6slxstdRbV3Kcp,https://api.spotify.com/v1/audio-analysis/5UzPW8HC6slxstdRbV3Kcp,201267,4
0.524,0.703,0,-5.256,0,0.0887,0.119,1.69e-06,0.359,0.488,79.348,audio_features,3o9PU86yJAeojzW69KdLh6,spotify:track:3o9PU86yJAeojzW69KdLh6,https://api.spotify.com/v1/tracks/3o9PU86yJAeojzW69KdLh6,https://api.spotify.com/v1/audio-analysis/3o9PU86yJAeojzW69KdLh6,236667,4
0.835,0.547,6,-7.69,0,0.0515,0.155,0.000291,0.0579,0.759,124.561,audio_features,5bAEFsQjo0DEJalVwFVmsW,spotify:track:5bAEFsQjo0DEJalVwFVmsW,https://api.spotify.com/v1/tracks/5bAEFsQjo0DEJalVwFVmsW,https://api.spotify.com/v1/audio-analysis/5bAEFsQjo0DEJalVwFVmsW,237627,3
0.796,0.459,8,-7.716,0,0.0443,0.705,1.15e-05,0.0605,0.767,88.0,audio_features,0loJyuSFr6vVPBQSmLLrrQ,spotify:track:0loJyuSFr6vVPBQSmLLrrQ,https://api.spotify.com/v1/tracks/0loJyuSFr6vVPBQSmLLrrQ,https://api.spotify.com/v1/audio-analysis/0loJyuSFr6vVPBQSmLLrrQ,197082,4
0.722,0.695,11,-4.718,0,0.108,0.00627,0.0003,0.297,0.837,96.285,audio_features,5AIA8TpGhuilLpHbA6c1bq,spotify:track:5AIA8TpGhuilLpHbA6c1bq,https://api.spotify.com/v1/tracks/5AIA8TpGhuilLpHbA6c1bq,https://api.spotify.com/v1/audio-analysis/5AIA8TpGhuilLpHbA6c1bq,279893,4
0.716,0.528,5,-6.691,1,0.107,0.171,1.51e-05,0.08,0.496,86.528,audio_features,409B7nrhzDZGm4vVpNkoNu,spotify:track:409B7nrhzDZGm4vVpNkoNu,https://api.spotify.com/v1/tracks/409B7nrhzDZGm4vVpNkoNu,https://api.spotify.com/v1/audio-analysis/409B7nrhzDZGm4vVpNkoNu,238600,4
0.607,0.331,4,-10.921,1,0.0289,0.47,0.0011,0.297,0.215,80.052,audio_features,55BnnFc5P6bpgsZtzPXahA,spotify:track:55BnnFc5P6bpgsZtzPXahA,https://api.spotify.com/v1/tracks/55BnnFc5P6bpgsZtzPXahA,https://api.spotify.com/v1/audio-analysis/55BnnFc5P6bpgsZtzPXahA,247885,4
0.326,0.353,5,-6.435,1,0.0334,0.864,0,0.14,0.151,92.736,audio_features,3v5YKvxegZyG6TJwK1loMA,spotify:track:3v5YKvxegZyG6TJwK1loMA,https://api.spotify.com/v1/tracks/3v5YKvxegZyG6TJwK1loMA,https://api.spotify.com/v1/audio-analysis/3v5YKvxegZyG6TJwK1loMA,329464,4
0.599,0.708,4,-10.995,0,0.0656,0.00206,3.36e-05,0.663,0.423,94.027,audio_features,07ibc51SJsgfwe9Ndg5daD,spotify:track:07ibc51SJsgfwe9Ndg5daD,https://api.spotify.com/v1/tracks/07ibc51SJsgfwe9Ndg5daD,https://api.spotify.com/v1/audio-analysis/07ibc51SJsgfwe9Ndg5daD,391656,4
0.469,0.594,7,-8.209,1,0.0403,0.0663,0,0.0806,0.485,167.223,audio_features,4o1E2c0ye1RlIJJqOM0dqP,spotify:track:4o1E2c0ye1RlIJJqOM0dqP,https://api.spotify.com/v1/tracks/4o1E2c0ye1RlIJJqOM0dqP,https://api.spotify.com/v1/audio-analysis/4o1E2c0ye1RlIJJqOM0dqP,222760,4
0.608,0.76,4,-5.851,0,0.242,0.0129,0,0.332,0.366,168.211,audio_features,6nTcn8CybBcx0t7IaXEJ6O,spotify:track:6nTcn8CybBcx0t7IaXEJ6O,https://api.spotify.com/v1/tracks/6nTcn8CybBcx0t7IaXEJ6O,https://api.spotify.com/v1/audio-analysis/6nTcn8CybBcx0t7IaXEJ6O,251640,4
0.698,0.649,1,-6.73,1,0.242,0.0519,2.16e-06,0.28,0.583,77.981,audio_features,7q83jvO3GjbyS7FnHoM1f2,spotify:track:7q83jvO3GjbyS7FnHoM1f2,https://api.spotify.com/v1/tracks/7q83jvO3GjbyS7FnHoM1f2,https://api.spotify.com/v1/audio-analysis/7q83jvO3GjbyS7FnHoM1f2,270733,4
0.748,0.815,6,-4.873,0,0.102,0.246,0,0.547,0.848,128.07,audio_features,33LLMc7LEuf4tc8h0NzhvC,spotify:track:33LLMc7LEuf4tc8h0NzhvC,https://api.spotify.com/v1/tracks/33LLMc7LEuf4tc8h0NzhvC,https://api.spotify.com/v1/audio-analysis/33LLMc7LEuf4tc8h0NzhvC,278480,4
0.669,0.662,6,-7.849,0,0.0867,0.335,5.55e-05,0.205,0.675,158.461,audio_features,3X3XuCPTC95ARm9SguWsIa,spotify:track:3X3XuCPTC95ARm9SguWsIa,https://api.spotify.com/v1/tracks/3X3XuCPTC95ARm9SguWsIa,https://api.spotify.com/v1/audio-analysis/3X3XuCPTC95ARm9SguWsIa,225333,4
0.913,0.201,0,-9.511,1,0.15,0.0979,0.487,0.0867,0.519,87.359,audio_features,5ZbY8J67Qsv6Kko2tZOf5Z,spotify:track:5ZbY8J67Qsv6Kko2tZOf5Z,https://api.spotify.com/v1/tracks/5ZbY8J67Qsv6Kko2tZOf5Z,https://api.spotify.com/v1/audio-analysis/5ZbY8J67Qsv6Kko2tZOf5Z,382333,4
0.404,0.709,8,-9.782,1,0.106,0.133,0,0.0624,0.636,189.915,audio_features,505dB7vz9ou2Soj29y7ESw,spotify:track:505dB7vz9ou2Soj29y7ESw,https://api.spotify.com/v1/tracks/505dB7vz9ou2Soj29y7ESw,https://api.spotify.com/v1/audio-analysis/505dB7vz9ou2Soj29y7ESw,252133,4
0.378,0.26,9,-13.814,1,0.0363,0.839,0.0304,0.715,0.166,94.311,audio_features,2alDGjN4yjJgkSSeoCCGae,spotify:track:2alDGjN4yjJgkSSeoCCGae,https://api.spotify.com/v1/tracks/2alDGjN4yjJgkSSeoCCGae,https://api.spotify.com/v1/audio-analysis/2alDGjN4yjJgkSSeoCCGae,402587,4
0.514,0.586,2,-9.347,1,0.199,0.708,0,0.692,0.754,166.508,audio_features,0lgnI9taHYt4AJlISFD5wv,spotify:track:0lgnI9taHYt4AJlISFD5wv,https://api.spotify.com/v1/tracks/0lgnI9taHYt4AJlISFD5wv,https://api.spotify.com/v1/audio-analysis/0lgnI9taHYt4AJlISFD5wv,281560,4
0.687,0.754,5,-6.335,1,0.426,0.356,2.35e-06,0.139,0.53,89.935,audio_features,2kDcawxPteyClZPZjdQTOC,spotify:track:2kDcawxPteyClZPZjdQTOC,https://api.spotify.com/v1/tracks/2kDcawxPteyClZPZjdQTOC,https://api.spotify.com/v1/audio-analysis/2kDcawxPteyClZPZjdQTOC,456147,4
0.876,0.476,8,-6.489,1,0.0506,0.485,1.14e-06,0.0519,0.582,97.528,audio_features,2gM3JL6l1INKPh0vf0c8I7,spotify:track:2gM3JL6l1INKPh0vf0c8I7,https://api.spotify.com/v1/tracks/2gM3JL6l1INKPh0vf0c8I7,https://api.spotify.com/v1/audio-analysis/2gM3JL6l1INKPh0vf0c8I7,231507,4
0.765,0.29,4,-17.117,0,0.139,0.0279,1.02e-06,0.571,0.506,92.409,audio_features,0Q0IVlqMV64kNLlwjPj0Hl,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/tracks/0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/audio-analysis/0Q0IVlqMV64kNLlwjPj0Hl,298773,4
0.692,0.465,8,-14.921,1,0.0298,0.199,1.16e-05,0.0997,0.532,122.089,audio_features,5KNAsnZJ0g3hNvIJFvkHzI,spotify:track:5KNAsnZJ0g3hNvIJFvkHzI,https://api.spotify.com/v1/tracks/5KNAsnZJ0g3hNvIJFvkHzI,https://api.spotify.com/v1/audio-analysis/5KNAsnZJ0g3hNvIJFvkHzI,382640,4
0.299,0.386,4,-9.647,0,0.0327,0.466,0,0.114,0.18,84.336,audio_features,3evLDlldkPh1TO9XDrNFv1,spotify:track:3evLDlldkPh1TO9XDrNFv1,https://api.spotify.com/v1/tracks/3evLDlldkPh1TO9XDrNFv1,https://api.spotify.com/v1/audio-analysis/3evLDlldkPh1TO9XDrNFv1,334693,5
0.887,0.416,1,-7.346,1,0.0518,0.0295,1.06e-05,0.066,0.761,94.013,audio_features,1blZP5x1XQSqQFpTy12rFh,spotify:track:1blZP5x1XQSqQFpTy12rFh,https://api.spotify.com/v1/tracks/1blZP5x1XQSqQFpTy12rFh,https://api.spotify.com/v1/audio-analysis/1blZP5x1XQSqQFpTy12rFh,239733,4
0.622,0.642,3,-6.57,0,0.0318,0.154,0,0.121,0.595,90.011,audio_features,5zsqV7VwDz2gRnALIpTaP1,spotify:track:5zsqV7VwDz2gRnALIpTaP1,https://api.spotify.com/v1/tracks/5zsqV7VwDz2gRnALIpTaP1,https://api.spotify.com/v1/audio-analysis/5zsqV7VwDz2gRnALIpTaP1,185357,4
0.537,0.529,4,-5.42,1,0.0341,0.645,2.32e-05,0.13,0.238,129.852,audio_features,0gulcKLqxL9snU2S31Lucp,spotify:track:0gulcKLqxL9snU2S31Lucp,https://api.spotify.com/v1/tracks/0gulcKLqxL9snU2S31Lucp,https://api.spotify.com/v1/audio-analysis/0gulcKLqxL9snU2S31Lucp,310573,4
0.729,0.623,7,-4.218,1,0.0897,0.272,0,0.0791,0.376,138.239,audio_features,3PaovpaWAYcNH6CCBXFfR5,spotify:track:3PaovpaWAYcNH6CCBXFfR5,https://api.spotify.com/v1/tracks/3PaovpaWAYcNH6CCBXFfR5,https://api.spotify.com/v1/audio-analysis/3PaovpaWAYcNH6CCBXFfR5,335867,4
0.568,0.404,2,-10.076,0,0.104,0.326,0,0.105,0.396,76.912,audio_features,2fdv8or6lmHe5KLTUvaJCD,spotify:track:2fdv8or6lmHe5KLTUvaJCD,https://api.spotify.com/v1/tracks/2fdv8or6lmHe5KLTUvaJCD,https://api.spotify.com/v1/audio-analysis/2fdv8or6lmHe5KLTUvaJCD,319200,4
0.594,0.566,3,-6.795,0,0.0406,0.379,0,0.235,0.277,128.63,audio_features,4dIlsObD9oacRCF9hJloyA,spotify:track:4dIlsObD9oacRCF9hJloyA,https://api.spotify.com/v1/tracks/4dIlsObD9oacRCF9hJloyA,https://api.spotify.com/v1/audio-analysis/4dIlsObD9oacRCF9hJloyA,250400,4
0.287,0.473,5,-9.194,0,0.0662,0.00791,0.000894,0.0897,0.0422,88.054,audio_features,5JEju6tjLsd0qbiWfGxAky,spotify:track:5JEju6tjLsd0qbiWfGxAky,https://api.spotify.com/v1/tracks/5JEju6tjLsd0qbiWfGxAky,https://api.spotify.com/v1/audio-analysis/5JEju6tjLsd0qbiWfGxAky,390427,3
0.708,0.435,1,-8.772,1,0.0537,0.213,0,0.03,0.504,131.841,audio_features,4s4B4L94OJcz66RJpuqfjy,spotify:track:4s4B4L94OJcz66RJpuqfjy,https://api.spotify.com/v1/tracks/4s4B4L94OJcz66RJpuqfjy,https://api.spotify.com/v1/audio-analysis/4s4B4L94OJcz66RJpuqfjy,322360,4
0.599,0.583,8,-6.719,1,0.0253,0.0314,0,0.128,0.373,124.26,audio_features,2QLX7wEeFwt3icCHi041CJ,spotify:track:2QLX7wEeFwt3icCHi041CJ,https://api.spotify.com/v1/tracks/2QLX7wEeFwt3icCHi041CJ,https://api.spotify.com/v1/audio-analysis/2QLX7wEeFwt3icCHi041CJ,233813,4
0.534,0.7,8,-8.71,0,0.0446,0.0143,0,0.197,0.447,122.609,audio_features,4XhrowM5IKGCRrY2HzYBH3,spotify:track:4XhrowM5IKGCRrY2HzYBH3,https://api.spotify.com/v1/tracks/4XhrowM5IKGCRrY2HzYBH3,https://api.spotify.com/v1/audio-analysis/4XhrowM5IKGCRrY2HzYBH3,229053,4
0.609,0.42,2,-13.499,1,0.0326,0.0279,1.06e-05,0.302,0.577,85.945,audio_features,1KcxXt4Jy9Az9Wizs5Z6pF,spotify:track:1KcxXt4Jy9Az9Wizs5Z6pF,https://api.spotify.com/v1/tracks/1KcxXt4Jy9Az9Wizs5Z6pF,https://api.spotify.com/v1/audio-analysis/1KcxXt4Jy9Az9Wizs5Z6pF,296067,4
0.642,0.568,8,-5.628,1,0.0473,0.0245,0,0.0768,0.6,75.008,audio_features,7wb7R141Fp1oRitCNhKsyu,spotify:track:7wb7R141Fp1oRitCNhKsyu,https://api.spotify.com/v1/tracks/7wb7R141Fp1oRitCNhKsyu,https://api.spotify.com/v1/audio-analysis/7wb7R141Fp1oRitCNhKsyu,302440,4
0.61,0.332,8,-12.16,1,0.0306,0.583,0.00504,0.12,0.286,71.979,audio_features,375jahpbHbxrCsuxMURdEm,spotify:track:375jahpbHbxrCsuxMURdEm,https://api.spotify.com/v1/tracks/375jahpbHbxrCsuxMURdEm,https://api.spotify.com/v1/audio-analysis/375jahpbHbxrCsuxMURdEm,221493,4
0.382,0.469,11,-10.742,0,0.0595,0.0571,0.000106,0.0954,0.386,82.515,audio_features,0bL1x6Y2OvJZbkB1B7o83u,spotify:track:0bL1x6Y2OvJZbkB1B7o83u,https://api.spotify.com/v1/tracks/0bL1x6Y2OvJZbkB1B7o83u,https://api.spotify.com/v1/audio-analysis/0bL1x6Y2OvJZbkB1B7o83u,257720,4
0.641,0.377,11,-8.559,0,0.0354,0.0261,0,0.146,0.412,126.001,audio_features,5j5v5wfw1O7g5iLCq10wAP,spotify:track:5j5v5wfw1O7g5iLCq10wAP,https://api.spotify.com/v1/tracks/5j5v5wfw1O7g5iLCq10wAP,https://api.spotify.com/v1/audio-analysis/5j5v5wfw1O7g5iLCq10wAP,266760,4
0.519,0.58,0,-5.214,1,0.0419,0.231,0,0.108,0.173,136.019,audio_features,4tQXXFad6eReU2jDjE9UuP,spotify:track:4tQXXFad6eReU2jDjE9UuP,https://api.spotify.com/v1/tracks/4tQXXFad6eReU2jDjE9UuP,https://api.spotify.com/v1/audio-analysis/4tQXXFad6eReU2jDjE9UuP,290427,4
0.704,0.549,0,-6.276,0,0.0413,0.0881,1.18e-06,0.0549,0.626,137.972,audio_features,0aqVhoenCvorCVcEZEfiLS,spotify:track:0aqVhoenCvorCVcEZEfiLS,https://api.spotify.com/v1/tracks/0aqVhoenCvorCVcEZEfiLS,https://api.spotify.com/v1/audio-analysis/0aqVhoenCvorCVcEZEfiLS,272333,4
0.385,0.317,1,-12.71,1,0.0569,0.666,1.27e-06,0.945,0.312,125.919,audio_features,5hIljtQ1fRvDRc1aHdhwWK,spotify:track:5hIljtQ1fRvDRc1aHdhwWK,https://api.spotify.com/v1/tracks/5hIljtQ1fRvDRc1aHdhwWK,https://api.spotify.com/v1/audio-analysis/5hIljtQ1fRvDRc1aHdhwWK,373627,4
0.712,0.333,5,-16.781,1,0.0462,0.836,0.00737,0.151,0.606,141.329,audio_features,2QptbtUWMta6rpuoXeO0ap,spotify:track:2QptbtUWMta6rpuoXeO0ap,https://api.spotify.com/v1/tracks/2QptbtUWMta6rpuoXeO0ap,https://api.spotify.com/v1/audio-analysis/2QptbtUWMta6rpuoXeO0ap,238693,4
0.485,0.472,7,-10.449,1,0.0511,0.651,4.59e-05,0.275,0.257,73.233,audio_features,50UvGURiUkyAsWuAxXFclv,spotify:track:50UvGURiUkyAsWuAxXFclv,https://api.spotify.com/v1/tracks/50UvGURiUkyAsWuAxXFclv,https://api.spotify.com/v1/audio-analysis/50UvGURiUkyAsWuAxXFclv,259000,4
0.715,0.383,6,-6.853,1,0.0347,0.141,0.000158,0.0212,0.538,82.049,audio_features,3OWjkfq3mlexSVFAGamhhr,spotify:track:3OWjkfq3mlexSVFAGamhhr,https://api.spotify.com/v1/tracks/3OWjkfq3mlexSVFAGamhhr,https://api.spotify.com/v1/audio-analysis/3OWjkfq3mlexSVFAGamhhr,355800,4
0.71,0.545,4,-9.599,1,0.0588,0.483,0,0.0644,0.632,140.233,audio_features,0wdaPticLmmqJdhgLDJ9zI,spotify:track:0wdaPticLmmqJdhgLDJ9zI,https://api.spotify.com/v1/tracks/0wdaPticLmmqJdhgLDJ9zI,https://api.spotify.com/v1/audio-analysis/0wdaPticLmmqJdhgLDJ9zI,216333,4
