danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.433,0.941,7,-4.319,0,0.176,0.00153,0.00785,0.0875,0.234,165.004,audio_features,6gcn00giBi8Tt4D5oWRjZn,spotify:track:6gcn00giBi8Tt4D5oWRjZn,https://api.spotify.com/v1/tracks/6gcn00giBi8Tt4D5oWRjZn,https://api.spotify.com/v1/audio-analysis/6gcn00giBi8Tt4D5oWRjZn,238240,4
0.345,0.853,8,-5.356,0,0.0716,0.218,6.11e-05,0.0821,0.113,160.058,audio_features,7fgaSflWxCPQpbvRQhlDCi,spotify:track:7fgaSflWxCPQpbvRQhlDCi,https://api.spotify.com/v1/tracks/7fgaSflWxCPQpbvRQhlDCi,https://api.spotify.com/v1/audio-analysis/7fgaSflWxCPQpbvRQhlDCi,330720,4
0.528,0.969,8,-2.753,0,0.174,0.00138,7.64e-06,0.102,0.616,108.039,audio_features,4ZRpWl43vo282uabJGDhs6,spotify:track:4ZRpWl43vo282uabJGDhs6,https://api.spotify.com/v1/tracks/4ZRpWl43vo282uabJGDhs6,https://api.spotify.com/v1/audio-analysis/4ZRpWl43vo282uabJGDhs6,245249,4
0.492,0.951,5,-2.96,0,0.0713,0.0004,2.35e-06,0.0764,0.493,135.028,audio_features,3S4BiRQRKdtj4GMc5fz4or,spotify:track:3S4BiRQRKdtj4GMc5fz4or,https://api.spotify.com/v1/tracks/3S4BiRQRKdtj4GMc5fz4or,https://api.spotify.com/v1/audio-analysis/3S4BiRQRKdtj4GMc5fz4or,214635,4
0.174,0.958,5,-4.641,1,0.101,0.000479,0.121,0.133,0.259,138.072,audio_features,3fIGuEq7VZiJzpA8zACj6X,spotify:track:3fIGuEq7VZiJzpA8zACj6X,https://api.spotify.com/v1/tracks/3fIGuEq7VZiJzpA8zACj6X,https://api.spotify.com/v1/audio-analysis/3fIGuEq7VZiJzpA8zACj6X,292900,4
0.541,0.989,8,-3.662,0,0.269,0.000154,0.00236,0.369,0.0976,122.012,audio_features,3iobEAo7GYlBmJjS4j3tK6,spotify:track:3iobEAo7GYlBmJjS4j3tK6,https://api.spotify.com/v1/tracks/3iobEAo7GYlBmJjS4j3tK6,https://api.spotify.com/v1/audio-analysis/3iobEAo7GYlBmJjS4j3tK6,209262,4
0.497,0.989,6,-2.391,1,0.0895,7.06e-05,0.000263,0.413,0.391,125.009,audio_features,13HsHRvycEmrALi86wHQN6,spotify:track:13HsHRvycEmrALi86wHQN6,https://api.spotify.com/v1/tracks/13HsHRvycEmrALi86wHQN6,https://api.spotify.com/v1/audio-analysis/13HsHRvycEmrALi86wHQN6,220493,4
0.333,0.992,9,-1.801,1,0.108,1.09e-05,0.886,0.365,0.0393,140.011,audio_features,318bVZYIMvH5S54DrZCk4O,spotify:track:318bVZYIMvH5S54DrZCk4O,https://api.spotify.com/v1/tracks/318bVZYIMvH5S54DrZCk4O,https://api.spotify.com/v1/audio-analysis/318bVZYIMvH5S54DrZCk4O,299500,4
0.51,0.918,1,-3.85,1,0.0427,0.00731,0,0.0986,0.3,130.031,audio_features,4dxxSwLwUJoyqgY4BPyOGa,spotify:track:4dxxSwLwUJoyqgY4BPyOGa,https://api.spotify.com/v1/tracks/4dxxSwLwUJoyqgY4BPyOGa,https://api.spotify.com/v1/audio-analysis/4dxxSwLwUJoyqgY4BPyOGa,265922,4
0.225,0.964,8,-2.515,1,0.143,8.04e-06,0.000198,0.231,0.268,101.147,audio_features,1pfafAH250L6UoCIsUow78,spotify:track:1pfafAH250L6UoCIsUow78,https://api.spotify.com/v1/tracks/1pfafAH250L6UoCIsUow78,https://api.spotify.com/v1/audio-analysis/1pfafAH250L6UoCIsUow78,212505,3
0.267,0.988,2,-0.237,1,0.214,0.00427,0.285,0.347,0.0387,180.093,audio_features,0c8YSwHykBBncbSvu4oEs5,spotify:track:0c8YSwHykBBncbSvu4oEs5,https://api.spotify.com/v1/tracks/0c8YSwHykBBncbSvu4oEs5,https://api.spotify.com/v1/audio-analysis/0c8YSwHykBBncbSvu4oEs5,234833,4
0.478,0.958,9,-4.418,1,0.103,0.000154,0.00014,0.166,0.288,83.981,audio_features,4ytD3oZsaXGXJ84VkIjAPA,spotify:track:4ytD3oZsaXGXJ84VkIjAPA,https://api.spotify.com/v1/tracks/4ytD3oZsaXGXJ84VkIjAPA,https://api.spotify.com/v1/audio-analysis/4ytD3oZsaXGXJ84VkIjAPA,286964,4
0.128,0.965,4,-2.722,0,0.0892,4.49e-05,0.0133,0.258,0.149,82.471,audio_features,6gtBH4xOXp3ldNYklyyqH1,spotify:track:6gtBH4xOXp3ldNYklyyqH1,https://api.spotify.com/v1/tracks/6gtBH4xOXp3ldNYklyyqH1,https://api.spotify.com/v1/audio-analysis/6gtBH4xOXp3ldNYklyyqH1,275529,4
