danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.67,0.792,7,-8.211,1,0.0465,0.0362,0.881,0.101,0.0348,128.018,audio_features,6Qng1hawspj0ddyexe0IHV,spotify:track:6Qng1hawspj0ddyexe0IHV,https://api.spotify.com/v1/tracks/6Qng1hawspj0ddyexe0IHV,https://api.spotify.com/v1/audio-analysis/6Qng1hawspj0ddyexe0IHV,585000,3
0.823,0.915,6,-5.772,1,0.0953,0.00644,0.88,0.134,0.0422,128.01,audio_features,3JtolD5olrv8idgl0LHyFD,spotify:track:3JtolD5olrv8idgl0LHyFD,https://api.spotify.com/v1/tracks/3JtolD5olrv8idgl0LHyFD,https://api.spotify.com/v1/audio-analysis/3JtolD5olrv8idgl0LHyFD,412714,4
0.672,0.785,8,-4.473,1,0.0346,0.00233,0.127,0.111,0.341,122.999,audio_features,59MtZbWXAYMGoJ5rIeThn6,spotify:track:59MtZbWXAYMGoJ5rIeThn6,https://api.spotify.com/v1/tracks/59MtZbWXAYMGoJ5rIeThn6,https://api.spotify.com/v1/audio-analysis/59MtZbWXAYMGoJ5rIeThn6,295035,4
0.698,0.884,7,-7.396,1,0.0769,0.013,0.351,0.174,0.0378,126.038,audio_features,6WQPuzjUesHkcJtFmXjAop,spotify:track:6WQPuzjUesHkcJtFmXjAop,https://api.spotify.com/v1/tracks/6WQPuzjUesHkcJtFmXjAop,https://api.spotify.com/v1/audio-analysis/6WQPuzjUesHkcJtFmXjAop,380952,4
0.594,0.79,10,-8.356,0,0.0348,0.00121,0.889,0.371,0.166,125.994,audio_features,11hPcEmpwrSfBPTK3BLJfJ,spotify:track:11hPcEmpwrSfBPTK3BLJfJ,https://api.spotify.com/v1/tracks/11hPcEmpwrSfBPTK3BLJfJ,https://api.spotify.com/v1/audio-analysis/11hPcEmpwrSfBPTK3BLJfJ,205714,4
0.562,0.932,0,-7.827,1,0.0356,0.000254,0.963,0.203,0.304,125.049,audio_features,6iax63A7BEFtIdD9ZVwTP2,spotify:track:6iax63A7BEFtIdD9ZVwTP2,https://api.spotify.com/v1/tracks/6iax63A7BEFtIdD9ZVwTP2,https://api.spotify.com/v1/audio-analysis/6iax63A7BEFtIdD9ZVwTP2,202440,4
0.532,0.729,11,-10.421,0,0.115,0.259,0.813,0.0901,0.0981,130.016,audio_features,72jjDBOWyKvBmthX52aZfu,spotify:track:72jjDBOWyKvBmthX52aZfu,https://api.spotify.com/v1/tracks/72jjDBOWyKvBmthX52aZfu,https://api.spotify.com/v1/audio-analysis/72jjDBOWyKvBmthX52aZfu,443873,4
0.801,0.722,9,-5.463,0,0.0611,0.0703,0.765,0.111,0.282,121.007,audio_features,0mvlX4iH1pce3roo5FAtdf,spotify:track:0mvlX4iH1pce3roo5FAtdf,https://api.spotify.com/v1/tracks/0mvlX4iH1pce3roo5FAtdf,https://api.spotify.com/v1/audio-analysis/0mvlX4iH1pce3roo5FAtdf,209752,4
0.62,0.771,4,-10.763,1,0.0359,0.0228,0.893,0.1,0.872,128.025,audio_features,7f4NrgyUgY4MBb8ktEh6fb,spotify:track:7f4NrgyUgY4MBb8ktEh6fb,https://api.spotify.com/v1/tracks/7f4NrgyUgY4MBb8ktEh6fb,https://api.spotify.com/v1/audio-analysis/7f4NrgyUgY4MBb8ktEh6fb,386250,4
0.763,0.913,5,-4.1,0,0.112,0.234,0.453,0.11,0.363,125.999,audio_features,5xL84TYVoMCJZc3ZIv50x4,spotify:track:5xL84TYVoMCJZc3ZIv50x4,https://api.spotify.com/v1/tracks/5xL84TYVoMCJZc3ZIv50x4,https://api.spotify.com/v1/audio-analysis/5xL84TYVoMCJZc3ZIv50x4,215476,4
