danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.537,0.953,1,-5.185,0,0.059,2.46e-05,0.453,0.366,0.0766,131.974,audio_features,7zgPawt5uBChyv9ZDHN15r,spotify:track:7zgPawt5uBChyv9ZDHN15r,https://api.spotify.com/v1/tracks/7zgPawt5uBChyv9ZDHN15r,https://api.spotify.com/v1/audio-analysis/7zgPawt5uBChyv9ZDHN15r,229000,4
0.389,0.962,6,-6.365,1,0.0529,0.00109,0.892,0.412,0.106,138.019,audio_features,1Q0FWt1rZoNuXKm5xrPbrA,spotify:track:1Q0FWt1rZoNuXKm5xrPbrA,https://api.spotify.com/v1/tracks/1Q0FWt1rZoNuXKm5xrPbrA,https://api.spotify.com/v1/audio-analysis/1Q0FWt1rZoNuXKm5xrPbrA,217391,4
0.535,0.864,6,-4.999,1,0.0535,0.0335,0.0106,0.116,0.129,134.006,audio_features,1ylEKaxNZad8yJhL6acCti,spotify:track:1ylEKaxNZad8yJhL6acCti,https://api.spotify.com/v1/tracks/1ylEKaxNZad8yJhL6acCti,https://api.spotify.com/v1/audio-analysis/1ylEKaxNZad8yJhL6acCti,215250,4
0.454,0.899,9,-6.422,1,0.0395,0.000587,0.834,0.342,0.124,140.014,audio_features,5hh3Q14ZT1AjDILPcRwIU9,spotify:track:5hh3Q14ZT1AjDILPcRwIU9,https://api.spotify.com/v1/tracks/5hh3Q14ZT1AjDILPcRwIU9,https://api.spotify.com/v1/audio-analysis/5hh3Q14ZT1AjDILPcRwIU9,224571,4
0.516,0.994,10,-5.6,1,0.0516,0.018,0.789,0.381,0.315,137.988,audio_features,4eCOGNebAzezTtLFR6YzMx,spotify:track:4eCOGNebAzezTtLFR6YzMx,https://api.spotify.com/v1/tracks/4eCOGNebAzezTtLFR6YzMx,https://api.spotify.com/v1/audio-analysis/4eCOGNebAzezTtLFR6YzMx,208696,4
0.439,0.995,11,-6.635,0,0.0795,8.76e-05,0.854,0.201,0.195,137.727,audio_features,5294lgEa3wtmaupitIVJgx,spotify:track:5294lgEa3wtmaupitIVJgx,https://api.spotify.com/v1/tracks/5294lgEa3wtmaupitIVJgx,https://api.spotify.com/v1/audio-analysis/5294lgEa3wtmaupitIVJgx,273000,4
0.41,0.954,5,-7.992,1,0.048,0.00537,0.938,0.38,0.309,140.0,audio_features,08FO6rImJYSwLn0KULcOna,spotify:track:08FO6rImJYSwLn0KULcOna,https://api.spotify.com/v1/tracks/08FO6rImJYSwLn0KULcOna,https://api.spotify.com/v1/audio-analysis/08FO6rImJYSwLn0KULcOna,200571,4
0.358,0.99,6,-5.27,1,0.0628,0.000626,0.961,0.796,0.0634,138.001,audio_features,2uAr6489V0iZ63pX32V753,spotify:track:2uAr6489V0iZ63pX32V753,https://api.spotify.com/v1/tracks/2uAr6489V0iZ63pX32V753,https://api.spotify.com/v1/audio-analysis/2uAr6489V0iZ63pX32V753,199676,3
0.548,0.83,2,-7.266,0,0.0496,0.000194,0.835,0.355,0.174,130.014,audio_features,2Pah4ZvGIw2qTOlvQIV4V9,spotify:track:2Pah4ZvGIw2qTOlvQIV4V9,https://api.spotify.com/v1/tracks/2Pah4ZvGIw2qTOlvQIV4V9,https://api.spotify.com/v1/audio-analysis/2Pah4ZvGIw2qTOlvQIV4V9,214154,4
0.518,0.937,3,-6.018,1,0.0577,0.00122,0.696,0.0464,0.416,138.007,audio_features,7jzAR2CRrzONYFRSDuHzrY,spotify:track:7jzAR2CRrzONYFRSDuHzrY,https://api.spotify.com/v1/tracks/7jzAR2CRrzONYFRSDuHzrY,https://api.spotify.com/v1/audio-analysis/7jzAR2CRrzONYFRSDuHzrY,200018,4
0.447,0.995,1,-4.184,0,0.11,0.00032,0.226,0.212,0.21,137.98,audio_features,52v89iK1cIt2RaIq08RVJk,spotify:track:52v89iK1cIt2RaIq08RVJk,https://api.spotify.com/v1/tracks/52v89iK1cIt2RaIq08RVJk,https://api.spotify.com/v1/audio-analysis/52v89iK1cIt2RaIq08RVJk,238261,4
0.512,0.994,5,-6.685,1,0.066,0.00444,0.913,0.399,0.0816,137.991,audio_features,4BydVHGAG1I8PpytgUT8tf,spotify:track:4BydVHGAG1I8PpytgUT8tf,https://api.spotify.com/v1/tracks/4BydVHGAG1I8PpytgUT8tf,https://api.spotify.com/v1/audio-analysis/4BydVHGAG1I8PpytgUT8tf,262000,4
0.432,0.928,11,-7.579,0,0.0496,0.00158,0.955,0.259,0.0969,134.918,audio_features,6VuB6uDjRV7pJwMk6GQ2cn,spotify:track:6VuB6uDjRV7pJwMk6GQ2cn,https://api.spotify.com/v1/tracks/6VuB6uDjRV7pJwMk6GQ2cn,https://api.spotify.com/v1/audio-analysis/6VuB6uDjRV7pJwMk6GQ2cn,205750,4
0.372,0.98,11,-6.773,0,0.0424,0.00026,0.945,0.389,0.255,140.013,audio_features,4qHMFa1Sh4wj9XXFze9UtZ,spotify:track:4qHMFa1Sh4wj9XXFze9UtZ,https://api.spotify.com/v1/tracks/4qHMFa1Sh4wj9XXFze9UtZ,https://api.spotify.com/v1/audio-analysis/4qHMFa1Sh4wj9XXFze9UtZ,224676,4
0.216,0.651,9,-8.763,1,0.0409,0.017,0.922,0.354,0.0989,115.516,audio_features,6cVQcRfymSeGg0Gcjn8z0Q,spotify:track:6cVQcRfymSeGg0Gcjn8z0Q,https://api.spotify.com/v1/tracks/6cVQcRfymSeGg0Gcjn8z0Q,https://api.spotify.com/v1/audio-analysis/6cVQcRfymSeGg0Gcjn8z0Q,268506,4
0.405,0.992,6,-5.909,0,0.111,0.00041,0.0187,0.275,0.156,138.048,audio_features,7e0Hq5xmDaPlNLIhXN37wX,spotify:track:7e0Hq5xmDaPlNLIhXN37wX,https://api.spotify.com/v1/tracks/7e0Hq5xmDaPlNLIhXN37wX,https://api.spotify.com/v1/audio-analysis/7e0Hq5xmDaPlNLIhXN37wX,176087,4
0.39,0.825,6,-9.365,1,0.0359,0.000125,0.93,0.0701,0.0395,138.005,audio_features,0wFGRnBhYI7dDJhTL6ubs4,spotify:track:0wFGRnBhYI7dDJhTL6ubs4,https://api.spotify.com/v1/tracks/0wFGRnBhYI7dDJhTL6ubs4,https://api.spotify.com/v1/audio-analysis/0wFGRnBhYI7dDJhTL6ubs4,325236,4
0.662,0.867,6,-6.272,0,0.041,0.000386,0.0355,0.132,0.158,136.006,audio_features,66hUrAv6lfWtcluicW89GD,spotify:track:66hUrAv6lfWtcluicW89GD,https://api.spotify.com/v1/tracks/66hUrAv6lfWtcluicW89GD,https://api.spotify.com/v1/audio-analysis/66hUrAv6lfWtcluicW89GD,315882,4
0.42,0.988,10,-7.608,0,0.0956,8.05e-05,0.877,0.0786,0.267,140.038,audio_features,1gh6DgTQ7pSp18cgZwrSlX,spotify:track:1gh6DgTQ7pSp18cgZwrSlX,https://api.spotify.com/v1/tracks/1gh6DgTQ7pSp18cgZwrSlX,https://api.spotify.com/v1/audio-analysis/1gh6DgTQ7pSp18cgZwrSlX,250295,4
0.215,0.999,0,-3.265,1,0.0887,0.00109,0.911,0.385,0.236,138.003,audio_features,3ZVNDzNh6l4KUivx0EpYM3,spotify:track:3ZVNDzNh6l4KUivx0EpYM3,https://api.spotify.com/v1/tracks/3ZVNDzNh6l4KUivx0EpYM3,https://api.spotify.com/v1/audio-analysis/3ZVNDzNh6l4KUivx0EpYM3,260977,4
0.442,0.987,9,-5.964,1,0.0995,0.000226,0.956,0.539,0.0482,138.024,audio_features,4Hvf2eat9TcMTfGEKNGJrN,spotify:track:4Hvf2eat9TcMTfGEKNGJrN,https://api.spotify.com/v1/tracks/4Hvf2eat9TcMTfGEKNGJrN,https://api.spotify.com/v1/audio-analysis/4Hvf2eat9TcMTfGEKNGJrN,218000,4
0.435,0.941,2,-4.415,0,0.0387,0.0124,0.168,0.566,0.305,128.004,audio_features,7wzTt0w64lXD4OKyMOfwOD,spotify:track:7wzTt0w64lXD4OKyMOfwOD,https://api.spotify.com/v1/tracks/7wzTt0w64lXD4OKyMOfwOD,https://api.spotify.com/v1/audio-analysis/7wzTt0w64lXD4OKyMOfwOD,217500,4
0.482,0.974,1,-7.126,1,0.0669,0.0062,0.933,0.144,0.0672,137.932,audio_features,3seANfvAGOTiAX7fid6Pif,spotify:track:3seANfvAGOTiAX7fid6Pif,https://api.spotify.com/v1/tracks/3seANfvAGOTiAX7fid6Pif,https://api.spotify.com/v1/audio-analysis/3seANfvAGOTiAX7fid6Pif,452326,4
0.437,0.929,11,-6.745,0,0.0364,0.00204,0.979,0.283,0.592,131.932,audio_features,1V5GvIvN7xMjzI2BGhxQUs,spotify:track:1V5GvIvN7xMjzI2BGhxQUs,https://api.spotify.com/v1/tracks/1V5GvIvN7xMjzI2BGhxQUs,https://api.spotify.com/v1/audio-analysis/1V5GvIvN7xMjzI2BGhxQUs,208243,4
0.406,0.983,0,-5.396,1,0.0739,0.000568,0.106,0.303,0.073,135.975,audio_features,0cNohCOvhWi30aQkIwLCZu,spotify:track:0cNohCOvhWi30aQkIwLCZu,https://api.spotify.com/v1/tracks/0cNohCOvhWi30aQkIwLCZu,https://api.spotify.com/v1/audio-analysis/0cNohCOvhWi30aQkIwLCZu,267098,4
0.492,0.856,5,-8.289,1,0.0348,0.000255,0.909,0.735,0.203,137.003,audio_features,6gNpYQYQL17tRpuQKByvHY,spotify:track:6gNpYQYQL17tRpuQKByvHY,https://api.spotify.com/v1/tracks/6gNpYQYQL17tRpuQKByvHY,https://api.spotify.com/v1/audio-analysis/6gNpYQYQL17tRpuQKByvHY,254015,4
0.45,0.944,0,-7.36,0,0.0845,0.000787,0.54,0.137,0.154,137.997,audio_features,7wnW24vgdQSz4xTNCc2wAV,spotify:track:7wnW24vgdQSz4xTNCc2wAV,https://api.spotify.com/v1/tracks/7wnW24vgdQSz4xTNCc2wAV,https://api.spotify.com/v1/audio-analysis/7wnW24vgdQSz4xTNCc2wAV,415661,4
0.486,0.922,4,-5.842,1,0.0692,0.000136,0.503,0.333,0.167,132.034,audio_features,6UFQ1l5PHnBm09KxO5fmea,spotify:track:6UFQ1l5PHnBm09KxO5fmea,https://api.spotify.com/v1/tracks/6UFQ1l5PHnBm09KxO5fmea,https://api.spotify.com/v1/audio-analysis/6UFQ1l5PHnBm09KxO5fmea,209412,4
0.473,0.958,4,-7.778,1,0.101,0.00624,0.694,0.105,0.0473,138.012,audio_features,2oRCG69f9SM4SxzyHfCJoh,spotify:track:2oRCG69f9SM4SxzyHfCJoh,https://api.spotify.com/v1/tracks/2oRCG69f9SM4SxzyHfCJoh,https://api.spotify.com/v1/audio-analysis/2oRCG69f9SM4SxzyHfCJoh,377621,4
0.485,0.974,1,-5.761,0,0.0589,3.37e-05,0.56,0.359,0.299,137.996,audio_features,4Qme2qmSqORtRRM9hTC5hH,spotify:track:4Qme2qmSqORtRRM9hTC5hH,https://api.spotify.com/v1/tracks/4Qme2qmSqORtRRM9hTC5hH,https://api.spotify.com/v1/audio-analysis/4Qme2qmSqORtRRM9hTC5hH,455326,4
0.518,0.983,9,-6.323,1,0.0717,0.000677,0.841,0.709,0.229,137.99,audio_features,4SVU7nJ6fkfQtZHY4N29D9,spotify:track:4SVU7nJ6fkfQtZHY4N29D9,https://api.spotify.com/v1/tracks/4SVU7nJ6fkfQtZHY4N29D9,https://api.spotify.com/v1/audio-analysis/4SVU7nJ6fkfQtZHY4N29D9,428500,4
0.562,0.611,11,-10.249,1,0.0444,0.00478,0.131,0.229,0.0473,132.96,audio_features,0AsjzfoaNQuxo0BJeaO6iY,spotify:track:0AsjzfoaNQuxo0BJeaO6iY,https://api.spotify.com/v1/tracks/0AsjzfoaNQuxo0BJeaO6iY,https://api.spotify.com/v1/audio-analysis/0AsjzfoaNQuxo0BJeaO6iY,572803,4
