danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.483,0.28,0,-33.437,0,0.224,0.119,0.597,0.316,0.083,138.287,audio_features,2zWCsaxlGbohARJlNQ5aSM,spotify:track:2zWCsaxlGbohARJlNQ5aSM,https://api.spotify.com/v1/tracks/2zWCsaxlGbohARJlNQ5aSM,https://api.spotify.com/v1/audio-analysis/2zWCsaxlGbohARJlNQ5aSM,243920,4
0.317,0.313,1,-34.828,1,0.243,0.45,0.00267,0.464,0.0271,124.115,audio_features,4UazPUFk7kiZGPlEXx976Z,spotify:track:4UazPUFk7kiZGPlEXx976Z,https://api.spotify.com/v1/tracks/4UazPUFk7kiZGPlEXx976Z,https://api.spotify.com/v1/audio-analysis/4UazPUFk7kiZGPlEXx976Z,226120,4
0.211,0.425,7,-46.448,0,0.0542,0.88,0.613,0.184,0.0122,116.884,audio_features,28ilcqErfNjitJ7T3byHoX,spotify:track:28ilcqErfNjitJ7T3byHoX,https://api.spotify.com/v1/tracks/28ilcqErfNjitJ7T3byHoX,https://api.spotify.com/v1/audio-analysis/28ilcqErfNjitJ7T3byHoX,181204,4
0.199,0.358,0,-42.416,0,0.0508,0.59,0.000501,0.774,0.0167,138.944,audio_features,5vRvzOHbx40CCMkmSC28fY,spotify:track:5vRvzOHbx40CCMkmSC28fY,https://api.spotify.com/v1/tracks/5vRvzOHbx40CCMkmSC28fY,https://api.spotify.com/v1/audio-analysis/5vRvzOHbx40CCMkmSC28fY,232000,4
0.0536,0.000224,4,-41.852,1,0.0671,0.108,0.971,0.0746,0.0102,54.097,audio_features,47fWPgl0tDke4qcAQFc4zd,spotify:track:47fWPgl0tDke4qcAQFc4zd,https://api.spotify.com/v1/tracks/47fWPgl0tDke4qcAQFc4zd,https://api.spotify.com/v1/audio-analysis/47fWPgl0tDke4qcAQFc4zd,220403,4
0.0717,0.0402,1,-30.543,1,0.0446,0.307,0.953,0.179,0.0353,79.741,audio_features,2NMA93HoL1DkxNLbnyOOqA,spotify:track:2NMA93HoL1DkxNLbnyOOqA,https://api.spotify.com/v1/tracks/2NMA93HoL1DkxNLbnyOOqA,https://api.spotify.com/v1/audio-analysis/2NMA93HoL1DkxNLbnyOOqA,150726,4
0.14,0.129,2,-32.189,1,0.0523,0.124,0.94,0.139,0.0327,139.894,audio_features,5QzFhfsgLVN9UKyfGV3RH9,spotify:track:5QzFhfsgLVN9UKyfGV3RH9,https://api.spotify.com/v1/tracks/5QzFhfsgLVN9UKyfGV3RH9,https://api.spotify.com/v1/audio-analysis/5QzFhfsgLVN9UKyfGV3RH9,235451,4
0.167,0.00329,7,-35.676,1,0.0745,0.17,0.897,0.097,0.0136,104.27,audio_features,7wODjbGBAR6CvHFUo7LZOu,spotify:track:7wODjbGBAR6CvHFUo7LZOu,https://api.spotify.com/v1/tracks/7wODjbGBAR6CvHFUo7LZOu,https://api.spotify.com/v1/audio-analysis/7wODjbGBAR6CvHFUo7LZOu,218193,5
0.0787,0.000175,7,-35.96,1,0.058,0.118,0.972,0.0793,0.0116,169.062,audio_features,5iAB4tlYseBES4MKqgY4KG,spotify:track:5iAB4tlYseBES4MKqgY4KG,https://api.spotify.com/v1/tracks/5iAB4tlYseBES4MKqgY4KG,https://api.spotify.com/v1/audio-analysis/5iAB4tlYseBES4MKqgY4KG,264154,5
0.127,0.22,2,-38.518,1,0.169,0.00103,0.185,0.333,0.0394,80.426,audio_features,1uSdLhZVfPEKvYORqHJdgv,spotify:track:1uSdLhZVfPEKvYORqHJdgv,https://api.spotify.com/v1/tracks/1uSdLhZVfPEKvYORqHJdgv,https://api.spotify.com/v1/audio-analysis/1uSdLhZVfPEKvYORqHJdgv,250978,4
