danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.409,0.404,5,-13.702,0,0.0935,0.695,0,0.117,0.808,170.834,audio_features,19qbw2FqFHnLafD4gY8VY9,spotify:track:19qbw2FqFHnLafD4gY8VY9,https://api.spotify.com/v1/tracks/19qbw2FqFHnLafD4gY8VY9,https://api.spotify.com/v1/audio-analysis/19qbw2FqFHnLafD4gY8VY9,241227,4
0.456,0.043,2,-17.261,0,0.0422,0.89,0.0901,0.0884,0.223,117.777,audio_features,40vwLuaheNuyVIV4LkP2la,spotify:track:40vwLuaheNuyVIV4LkP2la,https://api.spotify.com/v1/tracks/40vwLuaheNuyVIV4LkP2la,https://api.spotify.com/v1/audio-analysis/40vwLuaheNuyVIV4LkP2la,565960,4
0.63,0.484,5,-7.649,1,0.0437,0.792,0.000308,0.101,0.647,91.903,audio_features,0x3VS084OocWXmOs6nPYGC,spotify:track:0x3VS084OocWXmOs6nPYGC,https://api.spotify.com/v1/tracks/0x3VS084OocWXmOs6nPYGC,https://api.spotify.com/v1/audio-analysis/0x3VS084OocWXmOs6nPYGC,493160,4
0.486,0.0411,11,-19.43,0,0.0379,0.392,0,0.094,0.216,141.247,audio_features,7ygt5Bghg6GJbZNLdQhUoi,spotify:track:7ygt5Bghg6GJbZNLdQhUoi,https://api.spotify.com/v1/tracks/7ygt5Bghg6GJbZNLdQhUoi,https://api.spotify.com/v1/audio-analysis/7ygt5Bghg6GJbZNLdQhUoi,228320,3
0.466,0.474,9,-14.338,0,0.0602,0.814,0.0847,0.101,0.73,136.816,audio_features,0lSAdp413BeBFIC17tV9F9,spotify:track:0lSAdp413BeBFIC17tV9F9,https://api.spotify.com/v1/tracks/0lSAdp413BeBFIC17tV9F9,https://api.spotify.com/v1/audio-analysis/0lSAdp413BeBFIC17tV9F9,233333,4
0.495,0.562,5,-7.756,0,0.0872,0.67,2.05e-05,0.104,0.791,136.247,audio_features,1NcCulpI9eKzddPK9misWY,spotify:track:1NcCulpI9eKzddPK9misWY,https://api.spotify.com/v1/tracks/1NcCulpI9eKzddPK9misWY,https://api.spotify.com/v1/audio-analysis/1NcCulpI9eKzddPK9misWY,155267,4
0.224,0.0606,4,-17.007,0,0.0343,0.981,0.53,0.0951,0.0945,74.552,audio_features,2iU2HItcQ5V772GwE48li5,spotify:track:2iU2HItcQ5V772GwE48li5,https://api.spotify.com/v1/tracks/2iU2HItcQ5V772GwE48li5,https://api.spotify.com/v1/audio-analysis/2iU2HItcQ5V772GwE48li5,197527,4
0.489,0.312,2,-14.817,0,0.0303,0.828,0.00304,0.142,0.598,101.06,audio_features,1Abx5jpYp91Xy0Eek9m8XO,spotify:track:1Abx5jpYp91Xy0Eek9m8XO,https://api.spotify.com/v1/tracks/1Abx5jpYp91Xy0Eek9m8XO,https://api.spotify.com/v1/audio-analysis/1Abx5jpYp91Xy0Eek9m8XO,165056,4
0.531,0.325,3,-10.435,1,0.0404,0.911,0.00708,0.0873,0.713,155.465,audio_features,1U8jOhFzfjOji76kNO2C56,spotify:track:1U8jOhFzfjOji76kNO2C56,https://api.spotify.com/v1/tracks/1U8jOhFzfjOji76kNO2C56,https://api.spotify.com/v1/audio-analysis/1U8jOhFzfjOji76kNO2C56,192168,4
0.785,0.384,0,-8.495,1,0.0536,0.94,0.581,0.116,0.878,105.309,audio_features,4eHSuYAg2oUl0Ro2uxWDOS,spotify:track:4eHSuYAg2oUl0Ro2uxWDOS,https://api.spotify.com/v1/tracks/4eHSuYAg2oUl0Ro2uxWDOS,https://api.spotify.com/v1/audio-analysis/4eHSuYAg2oUl0Ro2uxWDOS,177867,4
0.433,0.245,8,-11.87,1,0.055,0.924,0.168,0.134,0.56,160.439,audio_features,10P8yZWorE51ZykYKhEUWb,spotify:track:10P8yZWorE51ZykYKhEUWb,https://api.spotify.com/v1/tracks/10P8yZWorE51ZykYKhEUWb,https://api.spotify.com/v1/audio-analysis/10P8yZWorE51ZykYKhEUWb,188775,4
0.419,0.399,5,-12.245,0,0.0336,0.78,9.52e-05,0.0911,0.683,88.324,audio_features,2uPbvJJ4pj8hZm3EgANedz,spotify:track:2uPbvJJ4pj8hZm3EgANedz,https://api.spotify.com/v1/tracks/2uPbvJJ4pj8hZm3EgANedz,https://api.spotify.com/v1/audio-analysis/2uPbvJJ4pj8hZm3EgANedz,202173,4
0.458,0.0632,8,-19.058,1,0.0376,0.834,3.54e-06,0.104,0.0963,115.641,audio_features,1BEVeS2cXELpJ28ludj5so,spotify:track:1BEVeS2cXELpJ28ludj5so,https://api.spotify.com/v1/tracks/1BEVeS2cXELpJ28ludj5so,https://api.spotify.com/v1/audio-analysis/1BEVeS2cXELpJ28ludj5so,321307,4
0.377,0.385,0,-9.04,0,0.0434,0.798,0.00024,0.586,0.683,175.177,audio_features,38C59NtbLT2oY3LXanAXsT,spotify:track:38C59NtbLT2oY3LXanAXsT,https://api.spotify.com/v1/tracks/38C59NtbLT2oY3LXanAXsT,https://api.spotify.com/v1/audio-analysis/38C59NtbLT2oY3LXanAXsT,135517,3
0.426,0.276,8,-15.045,0,0.0357,0.945,0.871,0.108,0.0493,132.244,audio_features,54a3lHJAwce1dOKrsDPEHv,spotify:track:54a3lHJAwce1dOKrsDPEHv,https://api.spotify.com/v1/tracks/54a3lHJAwce1dOKrsDPEHv,https://api.spotify.com/v1/audio-analysis/54a3lHJAwce1dOKrsDPEHv,1192333,4
0.655,0.314,0,-13.382,1,0.0319,0.805,0.213,0.0941,0.383,126.025,audio_features,46rHq4JZSj82UiN7NA1p6F,spotify:track:46rHq4JZSj82UiN7NA1p6F,https://api.spotify.com/v1/tracks/46rHq4JZSj82UiN7NA1p6F,https://api.spotify.com/v1/audio-analysis/46rHq4JZSj82UiN7NA1p6F,218507,4
0.489,0.444,5,-13.903,0,0.0498,0.233,0.00126,0.123,0.658,142.752,audio_features,681qNWaeSksUBFBqXxAknQ,spotify:track:681qNWaeSksUBFBqXxAknQ,https://api.spotify.com/v1/tracks/681qNWaeSksUBFBqXxAknQ,https://api.spotify.com/v1/audio-analysis/681qNWaeSksUBFBqXxAknQ,383560,4
0.35,0.4,7,-10.292,1,0.048,0.855,0.00102,0.192,0.552,172.674,audio_features,3TtzDhUWiuOiDcj7hAUIY3,spotify:track:3TtzDhUWiuOiDcj7hAUIY3,https://api.spotify.com/v1/tracks/3TtzDhUWiuOiDcj7hAUIY3,https://api.spotify.com/v1/audio-analysis/3TtzDhUWiuOiDcj7hAUIY3,192171,4
0.445,0.527,7,-11.159,0,0.0985,0.368,0.951,0.259,0.716,116.939,audio_features,3tEINnemBRRTf3Dafs5Ybs,spotify:track:3tEINnemBRRTf3Dafs5Ybs,https://api.spotify.com/v1/tracks/3tEINnemBRRTf3Dafs5Ybs,https://api.spotify.com/v1/audio-analysis/3tEINnemBRRTf3Dafs5Ybs,102560,3
0.309,0.137,5,-12.588,1,0.0327,0.849,2.36e-06,0.0835,0.193,68.332,audio_features,6L0dJfv2ljsx4AGddksERX,spotify:track:6L0dJfv2ljsx4AGddksERX,https://api.spotify.com/v1/tracks/6L0dJfv2ljsx4AGddksERX,https://api.spotify.com/v1/audio-analysis/6L0dJfv2ljsx4AGddksERX,263907,4
0.442,0.582,3,-12.692,1,0.0956,0.375,0.938,0.433,0.668,89.245,audio_features,0HAm6QyNovcTUgT6WJqnx7,spotify:track:0HAm6QyNovcTUgT6WJqnx7,https://api.spotify.com/v1/tracks/0HAm6QyNovcTUgT6WJqnx7,https://api.spotify.com/v1/audio-analysis/0HAm6QyNovcTUgT6WJqnx7,230680,4
0.573,0.593,7,-8.6,0,0.128,0.783,3.91e-06,0.088,0.942,105.408,audio_features,1VhpsIW7MJx8il5EHtsS1d,spotify:track:1VhpsIW7MJx8il5EHtsS1d,https://api.spotify.com/v1/tracks/1VhpsIW7MJx8il5EHtsS1d,https://api.spotify.com/v1/audio-analysis/1VhpsIW7MJx8il5EHtsS1d,185333,4
0.58,0.527,10,-10.322,0,0.0656,0.865,0.0015,0.313,0.823,112.77,audio_features,4FYcAkNl6li1wcTWUJ0xog,spotify:track:4FYcAkNl6li1wcTWUJ0xog,https://api.spotify.com/v1/tracks/4FYcAkNl6li1wcTWUJ0xog,https://api.spotify.com/v1/audio-analysis/4FYcAkNl6li1wcTWUJ0xog,156387,4
0.485,0.481,7,-8.582,0,0.0585,0.927,0.0534,0.11,0.633,176.316,audio_features,1kzYXFetkbDl6kOeQeLflT,spotify:track:1kzYXFetkbDl6kOeQeLflT,https://api.spotify.com/v1/tracks/1kzYXFetkbDl6kOeQeLflT,https://api.spotify.com/v1/audio-analysis/1kzYXFetkbDl6kOeQeLflT,185067,4
0.366,0.183,2,-19.901,0,0.0814,0.818,0.89,0.114,0.615,177.774,audio_features,6RXVbtfwA01ozk7Wph3iWX,spotify:track:6RXVbtfwA01ozk7Wph3iWX,https://api.spotify.com/v1/tracks/6RXVbtfwA01ozk7Wph3iWX,https://api.spotify.com/v1/audio-analysis/6RXVbtfwA01ozk7Wph3iWX,285253,4
0.519,0.232,0,-13.825,1,0.0346,0.642,0.000336,0.119,0.243,136.805,audio_features,7tlw4WnLLZW4GA5pJAsExJ,spotify:track:7tlw4WnLLZW4GA5pJAsExJ,https://api.spotify.com/v1/tracks/7tlw4WnLLZW4GA5pJAsExJ,https://api.spotify.com/v1/audio-analysis/7tlw4WnLLZW4GA5pJAsExJ,561973,4
