danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.656,0.346,0,-11.409,1,0.041,0.751,0.000576,0.112,0.503,129.531,audio_features,2ZAqfeq7PMp7XA2IKhuJJ2,spotify:track:2ZAqfeq7PMp7XA2IKhuJJ2,https://api.spotify.com/v1/tracks/2ZAqfeq7PMp7XA2IKhuJJ2,https://api.spotify.com/v1/audio-analysis/2ZAqfeq7PMp7XA2IKhuJJ2,265173,4
0.494,0.78,11,-3.825,1,0.064,0.368,0,0.0921,0.664,159.708,audio_features,2gVBXeTjwL0ZEh9gjsQjk0,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,https://api.spotify.com/v1/tracks/2gVBXeTjwL0ZEh9gjsQjk0,https://api.spotify.com/v1/audio-analysis/2gVBXeTjwL0ZEh9gjsQjk0,211427,4
0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,audio_features,1mJMD1VIQ7jWTP9DK2zmY0,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,https://api.spotify.com/v1/tracks/1mJMD1VIQ7jWTP9DK2zmY0,https://api.spotify.com/v1/audio-analysis/1mJMD1VIQ7jWTP9DK2zmY0,212445,4
0.489,0.898,5,-4.369,1,0.0365,0.025,4.11e-06,0.255,0.763,164.032,audio_features,2Fh8q3YYsCG0VlNeJ3rb2w,spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w,https://api.spotify.com/v1/tracks/2Fh8q3YYsCG0VlNeJ3rb2w,https://api.spotify.com/v1/audio-analysis/2Fh8q3YYsCG0VlNeJ3rb2w,183723,4
0.587,0.863,4,-4.803,1,0.04,0.161,0,0.159,0.537,160.167,audio_features,2N2EoS0dVmkNT0tfI0OYUA,spotify:track:2N2EoS0dVmkNT0tfI0OYUA,https://api.spotify.com/v1/tracks/2N2EoS0dVmkNT0tfI0OYUA,https://api.spotify.com/v1/audio-analysis/2N2EoS0dVmkNT0tfI0OYUA,184156,4
0.549,0.751,9,-5.423,1,0.0299,0.122,0,0.208,0.493,89.953,audio_features,3I7krC8kr0gFR7P6vInR1I,spotify:track:3I7krC8kr0gFR7P6vInR1I,https://api.spotify.com/v1/tracks/3I7krC8kr0gFR7P6vInR1I,https://api.spotify.com/v1/audio-analysis/3I7krC8kr0gFR7P6vInR1I,234306,4
0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,audio_features,2u7Nm46dAujcAi5Rw79CJL,spotify:track:2u7Nm46dAujcAi5Rw79CJL,https://api.spotify.com/v1/tracks/2u7Nm46dAujcAi5Rw79CJL,https://api.spotify.com/v1/audio-analysis/2u7Nm46dAujcAi5Rw79CJL,182493,4
0.603,0.625,6,-6.563,1,0.0258,0.302,0,0.141,0.651,96.02,audio_features,0Is6MRHWKe7y2xIxDkvO6l,spotify:track:0Is6MRHWKe7y2xIxDkvO6l,https://api.spotify.com/v1/tracks/0Is6MRHWKe7y2xIxDkvO6l,https://api.spotify.com/v1/audio-analysis/0Is6MRHWKe7y2xIxDkvO6l,192920,4
0.596,0.935,6,-2.794,0,0.0855,0.129,0,0.108,0.678,130.029,audio_features,6znSbsDDFdBZaiucjUGaWy,spotify:track:6znSbsDDFdBZaiucjUGaWy,https://api.spotify.com/v1/tracks/6znSbsDDFdBZaiucjUGaWy,https://api.spotify.com/v1/audio-analysis/6znSbsDDFdBZaiucjUGaWy,177292,4
0.548,0.742,1,-4.768,1,0.0291,0.107,0,0.0928,0.3,143.947,audio_features,4Dn6e6J8QLwdlX6EVCqxe1,spotify:track:4Dn6e6J8QLwdlX6EVCqxe1,https://api.spotify.com/v1/tracks/4Dn6e6J8QLwdlX6EVCqxe1,https://api.spotify.com/v1/audio-analysis/4Dn6e6J8QLwdlX6EVCqxe1,218013,4
0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,audio_features,0OWZFobGSIW9GrSlQ9C5pc,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,205453,4
0.597,0.721,9,-6.422,1,0.0356,0.0362,0,0.0832,0.437,132.054,audio_features,6LF5IVPG7xBcvPgI6Bfcsl,spotify:track:6LF5IVPG7xBcvPgI6Bfcsl,https://api.spotify.com/v1/tracks/6LF5IVPG7xBcvPgI6Bfcsl,https://api.spotify.com/v1/audio-analysis/6LF5IVPG7xBcvPgI6Bfcsl,149293,4
0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,audio_features,2Nc8Imt04W3ZmcBF8dPQKc,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,https://api.spotify.com/v1/tracks/2Nc8Imt04W3ZmcBF8dPQKc,https://api.spotify.com/v1/audio-analysis/2Nc8Imt04W3ZmcBF8dPQKc,227573,4
0.49,0.88,7,-5.185,1,0.0731,0.081,0,0.103,0.493,91.93,audio_features,1dbRZljBhUrIFrpLTXOXqq,spotify:track:1dbRZljBhUrIFrpLTXOXqq,https://api.spotify.com/v1/tracks/1dbRZljBhUrIFrpLTXOXqq,https://api.spotify.com/v1/audio-analysis/1dbRZljBhUrIFrpLTXOXqq,170440,4
0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,audio_features,3LhzpgimYSZhTx5KuchwVX,spotify:track:3LhzpgimYSZhTx5KuchwVX,https://api.spotify.com/v1/tracks/3LhzpgimYSZhTx5KuchwVX,https://api.spotify.com/v1/audio-analysis/3LhzpgimYSZhTx5KuchwVX,196240,4
0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,audio_features,6usHXaTn54uwwozmH00d3X,spotify:track:6usHXaTn54uwwozmH00d3X,https://api.spotify.com/v1/tracks/6usHXaTn54uwwozmH00d3X,https://api.spotify.com/v1/audio-analysis/6usHXaTn54uwwozmH00d3X,184080,4
0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,audio_features,6UsoV6X96Rox9mfxoz7SFy,spotify:track:6UsoV6X96Rox9mfxoz7SFy,https://api.spotify.com/v1/tracks/6UsoV6X96Rox9mfxoz7SFy,https://api.spotify.com/v1/audio-analysis/6UsoV6X96Rox9mfxoz7SFy,197840,4
0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,audio_features,6zLdXcmvIxnAXpz9sXFnIE,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/tracks/6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/audio-analysis/6zLdXcmvIxnAXpz9sXFnIE,227373,4
0.562,0.474,8,-8.762,0,0.0351,0.182,9.8e-05,0.114,0.345,84.999,audio_features,3Ze8nX7ZYOnAgf8A1hDQQ9,spotify:track:3Ze8nX7ZYOnAgf8A1hDQQ9,https://api.spotify.com/v1/tracks/3Ze8nX7ZYOnAgf8A1hDQQ9,https://api.spotify.com/v1/audio-analysis/3Ze8nX7ZYOnAgf8A1hDQQ9,194000,4
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4
0.716,0.718,0,-5.355,1,0.0293,0.0896,0,0.473,0.537,100.934,audio_features,7rdK9NSJIRBZAiXC0vuBS9,spotify:track:7rdK9NSJIRBZAiXC0vuBS9,https://api.spotify.com/v1/tracks/7rdK9NSJIRBZAiXC0vuBS9,https://api.spotify.com/v1/audio-analysis/7rdK9NSJIRBZAiXC0vuBS9,185707,4
0.619,0.853,4,-4.889,1,0.0365,0.193,0,0.161,0.864,142.044,audio_features,4PgFiJS4gze2OFA0LNiajF,spotify:track:4PgFiJS4gze2OFA0LNiajF,https://api.spotify.com/v1/tracks/4PgFiJS4gze2OFA0LNiajF,https://api.spotify.com/v1/audio-analysis/4PgFiJS4gze2OFA0LNiajF,193653,4
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,audio_features,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,179507,4
0.336,0.758,5,-4.187,1,0.0451,0.00275,0,0.189,0.236,77.807,audio_features,54EWDYWhs4w6SODnxabuoh,spotify:track:54EWDYWhs4w6SODnxabuoh,https://api.spotify.com/v1/tracks/54EWDYWhs4w6SODnxabuoh,https://api.spotify.com/v1/audio-analysis/54EWDYWhs4w6SODnxabuoh,201867,4
0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,1mMLMZYXkMueg65jRRWG1l,spotify:track:1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l,240760,4
0.555,0.722,11,-6.005,1,0.034,0.119,0,0.0861,0.559,134.058,audio_features,6RSNKGdv3nDTHqgw4bdzyF,spotify:track:6RSNKGdv3nDTHqgw4bdzyF,https://api.spotify.com/v1/tracks/6RSNKGdv3nDTHqgw4bdzyF,https://api.spotify.com/v1/audio-analysis/6RSNKGdv3nDTHqgw4bdzyF,216960,4
0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,audio_features,7mldq42yDuxiUNn08nvzHO,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
