danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.496,0.583,2,-6.609,1,0.0409,0.55,0.000273,0.143,0.597,129.286,audio_features,4ljlAxfaEjO4Q4g9FMtVj4,spotify:track:4ljlAxfaEjO4Q4g9FMtVj4,https://api.spotify.com/v1/tracks/4ljlAxfaEjO4Q4g9FMtVj4,https://api.spotify.com/v1/audio-analysis/4ljlAxfaEjO4Q4g9FMtVj4,109280,4
0.589,0.501,2,-7.502,1,0.138,0.609,1.46e-05,0.321,0.587,126.848,audio_features,0OFknyqxmSQ42SoKxWVTok,spotify:track:0OFknyqxmSQ42SoKxWVTok,https://api.spotify.com/v1/tracks/0OFknyqxmSQ42SoKxWVTok,https://api.spotify.com/v1/audio-analysis/0OFknyqxmSQ42SoKxWVTok,112205,4
0.64,0.319,7,-12.694,1,0.135,0.844,3.42e-05,0.296,0.454,92.587,audio_features,02661aNmFBOd7UI5IU5wNV,spotify:track:02661aNmFBOd7UI5IU5wNV,https://api.spotify.com/v1/tracks/02661aNmFBOd7UI5IU5wNV,https://api.spotify.com/v1/audio-analysis/02661aNmFBOd7UI5IU5wNV,105720,1
0,0.106,9,-19.445,1,0,0.919,0.000339,0.116,0,0,audio_features,5smmrZ4U2qSFIzeC5aRT4N,spotify:track:5smmrZ4U2qSFIzeC5aRT4N,https://api.spotify.com/v1/tracks/5smmrZ4U2qSFIzeC5aRT4N,https://api.spotify.com/v1/audio-analysis/5smmrZ4U2qSFIzeC5aRT4N,75147,0
0.771,0.964,9,-8.854,1,0.0611,0.00127,0.909,0.052,0.816,99.986,audio_features,6wRtceKnoYEN5LbT5cBNVM,spotify:track:6wRtceKnoYEN5LbT5cBNVM,https://api.spotify.com/v1/tracks/6wRtceKnoYEN5LbT5cBNVM,https://api.spotify.com/v1/audio-analysis/6wRtceKnoYEN5LbT5cBNVM,174949,4
0.641,0.484,0,-6.043,1,0.385,0.884,0,0.124,0.638,58.274,audio_features,7FOS31xq9jv4cXWtp6Jnzw,spotify:track:7FOS31xq9jv4cXWtp6Jnzw,https://api.spotify.com/v1/tracks/7FOS31xq9jv4cXWtp6Jnzw,https://api.spotify.com/v1/audio-analysis/7FOS31xq9jv4cXWtp6Jnzw,50765,4
0.44,0.0584,0,-19.906,1,0.0582,0.927,7.35e-05,0.114,0.278,171.442,audio_features,2cFGv8v5DcbJXHEdzouFne,spotify:track:2cFGv8v5DcbJXHEdzouFne,https://api.spotify.com/v1/tracks/2cFGv8v5DcbJXHEdzouFne,https://api.spotify.com/v1/audio-analysis/2cFGv8v5DcbJXHEdzouFne,69813,4
0.48,0.582,4,-7.415,0,0.123,0.294,0,0.107,0.358,67.626,audio_features,5fBcRH4CnYTaFMQtM0JtSl,spotify:track:5fBcRH4CnYTaFMQtM0JtSl,https://api.spotify.com/v1/tracks/5fBcRH4CnYTaFMQtM0JtSl,https://api.spotify.com/v1/audio-analysis/5fBcRH4CnYTaFMQtM0JtSl,165533,4
0.563,0.0464,1,-18.496,1,0.0588,0.974,0,0.111,0.274,113.209,audio_features,3uCcoxif1cNSDivDOsi69C,spotify:track:3uCcoxif1cNSDivDOsi69C,https://api.spotify.com/v1/tracks/3uCcoxif1cNSDivDOsi69C,https://api.spotify.com/v1/audio-analysis/3uCcoxif1cNSDivDOsi69C,73650,1
0.516,0.402,5,-6.531,1,0.0319,0.774,0,0.129,0.695,130.929,audio_features,4J7SCXbz18duODAQYjtzI2,spotify:track:4J7SCXbz18duODAQYjtzI2,https://api.spotify.com/v1/tracks/4J7SCXbz18duODAQYjtzI2,https://api.spotify.com/v1/audio-analysis/4J7SCXbz18duODAQYjtzI2,123703,3
0.612,0.51,0,-8.287,1,0.031,0.419,0,0.491,0.538,85.016,audio_features,48HBOFsmgIZI5GR3VnIzWL,spotify:track:48HBOFsmgIZI5GR3VnIzWL,https://api.spotify.com/v1/tracks/48HBOFsmgIZI5GR3VnIzWL,https://api.spotify.com/v1/audio-analysis/48HBOFsmgIZI5GR3VnIzWL,164453,4
0.511,0.563,2,-6.381,1,0.0386,0.682,6.82e-06,0.337,0.802,129.103,audio_features,4JoDGVsk0XNqFp6wNZOSZd,spotify:track:4JoDGVsk0XNqFp6wNZOSZd,https://api.spotify.com/v1/tracks/4JoDGVsk0XNqFp6wNZOSZd,https://api.spotify.com/v1/audio-analysis/4JoDGVsk0XNqFp6wNZOSZd,109280,4
0.586,0.305,7,-12.626,1,0.0867,0.913,3.79e-06,0.274,0.491,110.72,audio_features,4oylX0XbJ4UfEOObuU4G1p,spotify:track:4oylX0XbJ4UfEOObuU4G1p,https://api.spotify.com/v1/tracks/4oylX0XbJ4UfEOObuU4G1p,https://api.spotify.com/v1/audio-analysis/4oylX0XbJ4UfEOObuU4G1p,105720,3
0.583,0.0915,9,-19.705,1,0.105,0.939,0.00597,0.193,0.41,143.142,audio_features,4mYP7bL8Imnrgry1Uxqn7N,spotify:track:4mYP7bL8Imnrgry1Uxqn7N,https://api.spotify.com/v1/tracks/4mYP7bL8Imnrgry1Uxqn7N,https://api.spotify.com/v1/audio-analysis/4mYP7bL8Imnrgry1Uxqn7N,75147,3
0.597,0.51,7,-6.826,1,0.152,0.681,2.4e-05,0.36,0.565,126.932,audio_features,65vseJi4kug0grGTTSmH2u,spotify:track:65vseJi4kug0grGTTSmH2u,https://api.spotify.com/v1/tracks/65vseJi4kug0grGTTSmH2u,https://api.spotify.com/v1/audio-analysis/65vseJi4kug0grGTTSmH2u,112205,4
0.572,0.385,0,-6.536,1,0.0814,0.888,0,0.193,0.841,111.715,audio_features,5tsiVaup3IdqXrqItieZLY,spotify:track:5tsiVaup3IdqXrqItieZLY,https://api.spotify.com/v1/tracks/5tsiVaup3IdqXrqItieZLY,https://api.spotify.com/v1/audio-analysis/5tsiVaup3IdqXrqItieZLY,50565,4
0.515,0.133,0,-18.882,1,0.0957,0.934,1.18e-05,0.124,0.0761,84.866,audio_features,4fU3wz8wbjWZea4YYF04iR,spotify:track:4fU3wz8wbjWZea4YYF04iR,https://api.spotify.com/v1/tracks/4fU3wz8wbjWZea4YYF04iR,https://api.spotify.com/v1/audio-analysis/4fU3wz8wbjWZea4YYF04iR,69813,1
0.488,0.592,4,-6.035,0,0.209,0.642,0,0.0801,0.381,133.435,audio_features,5HIXwsSwowXq6zerUeqD7l,spotify:track:5HIXwsSwowXq6zerUeqD7l,https://api.spotify.com/v1/tracks/5HIXwsSwowXq6zerUeqD7l,https://api.spotify.com/v1/audio-analysis/5HIXwsSwowXq6zerUeqD7l,165533,4
0.571,0.0413,5,-19.473,0,0.089,0.974,0,0.111,0.347,76.823,audio_features,0rUeyAypoUUFzobbSWOe0U,spotify:track:0rUeyAypoUUFzobbSWOe0U,https://api.spotify.com/v1/tracks/0rUeyAypoUUFzobbSWOe0U,https://api.spotify.com/v1/audio-analysis/0rUeyAypoUUFzobbSWOe0U,73650,4
0.494,0.37,5,-6.673,1,0.0479,0.815,0,0.296,0.455,120.202,audio_features,5GqGavoD0DCHBcRxfRK7v1,spotify:track:5GqGavoD0DCHBcRxfRK7v1,https://api.spotify.com/v1/tracks/5GqGavoD0DCHBcRxfRK7v1,https://api.spotify.com/v1/audio-analysis/5GqGavoD0DCHBcRxfRK7v1,121671,4
0.468,0.584,6,-7.518,1,0.0347,0.125,5.88e-06,0.371,0.422,80.054,audio_features,7iSVfyBiVaeD7I7J97AcTA,spotify:track:7iSVfyBiVaeD7I7J97AcTA,https://api.spotify.com/v1/tracks/7iSVfyBiVaeD7I7J97AcTA,https://api.spotify.com/v1/audio-analysis/7iSVfyBiVaeD7I7J97AcTA,163328,4
0.538,0.579,0,-8.528,1,0.0477,0.301,0,0.118,0.46,149.993,audio_features,1WGdFps5A9Xi3bXNAIFUIp,spotify:track:1WGdFps5A9Xi3bXNAIFUIp,https://api.spotify.com/v1/tracks/1WGdFps5A9Xi3bXNAIFUIp,https://api.spotify.com/v1/audio-analysis/1WGdFps5A9Xi3bXNAIFUIp,237000,4
0.573,0.854,7,-7.29,1,0.0725,0.0807,1.46e-06,0.305,0.832,159.977,audio_features,1x0ZERlcXB1o021HFPT7oC,spotify:track:1x0ZERlcXB1o021HFPT7oC,https://api.spotify.com/v1/tracks/1x0ZERlcXB1o021HFPT7oC,https://api.spotify.com/v1/audio-analysis/1x0ZERlcXB1o021HFPT7oC,176880,3
0.758,0.689,4,-8.779,0,0.0412,0.39,6.61e-05,0.222,0.708,115.977,audio_features,7rG124oZJ9AGJbVeDh46U9,spotify:track:7rG124oZJ9AGJbVeDh46U9,https://api.spotify.com/v1/tracks/7rG124oZJ9AGJbVeDh46U9,https://api.spotify.com/v1/audio-analysis/7rG124oZJ9AGJbVeDh46U9,177907,4
0.67,0.446,10,-7.741,1,0.0369,0.617,0,0.0638,0.576,100.132,audio_features,1lGtyv4AM1r3UgOHcgsHh8,spotify:track:1lGtyv4AM1r3UgOHcgsHh8,https://api.spotify.com/v1/tracks/1lGtyv4AM1r3UgOHcgsHh8,https://api.spotify.com/v1/audio-analysis/1lGtyv4AM1r3UgOHcgsHh8,207914,4
0.634,0.497,0,-8.814,1,0.0417,0.351,0,0.355,0.749,85.048,audio_features,1G5rrPTG7XJ1q70AthJSn9,spotify:track:1G5rrPTG7XJ1q70AthJSn9,https://api.spotify.com/v1/tracks/1G5rrPTG7XJ1q70AthJSn9,https://api.spotify.com/v1/audio-analysis/1G5rrPTG7XJ1q70AthJSn9,163947,4
0.366,0.337,0,-8.852,1,0.0305,0.607,0.688,0.118,0.191,130.906,audio_features,7Bp2tqOKSMcCkODkoMeJMq,spotify:track:7Bp2tqOKSMcCkODkoMeJMq,https://api.spotify.com/v1/tracks/7Bp2tqOKSMcCkODkoMeJMq,https://api.spotify.com/v1/audio-analysis/7Bp2tqOKSMcCkODkoMeJMq,197760,3
0.374,0.0462,0,-17.98,1,0.0375,0.906,0.961,0.111,0.126,51.189,audio_features,15Z15oqum27U6Ev0KPIdYn,spotify:track:15Z15oqum27U6Ev0KPIdYn,https://api.spotify.com/v1/tracks/15Z15oqum27U6Ev0KPIdYn,https://api.spotify.com/v1/audio-analysis/15Z15oqum27U6Ev0KPIdYn,83973,4
0.294,0.341,2,-12.817,0,0.0399,0.519,0.889,0.0897,0.0738,100.497,audio_features,5ghJFkqNGZCOu0hOsD60sC,spotify:track:5ghJFkqNGZCOu0hOsD60sC,https://api.spotify.com/v1/tracks/5ghJFkqNGZCOu0hOsD60sC,https://api.spotify.com/v1/audio-analysis/5ghJFkqNGZCOu0hOsD60sC,76720,5
