danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.653,0.827,4,-3.206,0,0.042,0.649,0,0.18,0.733,95.223,audio_features,7nDIflSHQXzaa8zupxwv3U,spotify:track:7nDIflSHQXzaa8zupxwv3U,https://api.spotify.com/v1/tracks/7nDIflSHQXzaa8zupxwv3U,https://api.spotify.com/v1/audio-analysis/7nDIflSHQXzaa8zupxwv3U,259853,4
0.642,0.7,1,-9.213,1,0.0552,0.172,0.000232,0.0895,0.784,103.899,audio_features,3WXfQDsASfXrSojk9WB3aR,spotify:track:3WXfQDsASfXrSojk9WB3aR,https://api.spotify.com/v1/tracks/3WXfQDsASfXrSojk9WB3aR,https://api.spotify.com/v1/audio-analysis/3WXfQDsASfXrSojk9WB3aR,312480,4
0.691,0.873,5,-8.758,0,0.0382,0.33,1.63e-06,0.0362,0.916,93.685,audio_features,2kBgJXGbVA6WcA40IFA9KF,spotify:track:2kBgJXGbVA6WcA40IFA9KF,https://api.spotify.com/v1/tracks/2kBgJXGbVA6WcA40IFA9KF,https://api.spotify.com/v1/audio-analysis/2kBgJXGbVA6WcA40IFA9KF,251253,4
0.746,0.915,7,-6.626,0,0.0675,0.505,4.02e-05,0.161,0.812,154.985,audio_features,3vCeDhrInX8te6SoaqZbvu,spotify:track:3vCeDhrInX8te6SoaqZbvu,https://api.spotify.com/v1/tracks/3vCeDhrInX8te6SoaqZbvu,https://api.spotify.com/v1/audio-analysis/3vCeDhrInX8te6SoaqZbvu,259013,4
0.691,0.658,0,-6.496,1,0.0359,0.398,4.58e-05,0.112,0.617,97.68,audio_features,3yEtuhGR8jOtusa29jWrhG,spotify:track:3yEtuhGR8jOtusa29jWrhG,https://api.spotify.com/v1/tracks/3yEtuhGR8jOtusa29jWrhG,https://api.spotify.com/v1/audio-analysis/3yEtuhGR8jOtusa29jWrhG,300160,4
0.777,0.72,8,-6.162,1,0.0803,0.778,0,0.069,0.96,163.905,audio_features,5YfqVqJwjxiyhxvofbCnHp,spotify:track:5YfqVqJwjxiyhxvofbCnHp,https://api.spotify.com/v1/tracks/5YfqVqJwjxiyhxvofbCnHp,https://api.spotify.com/v1/audio-analysis/5YfqVqJwjxiyhxvofbCnHp,266787,4
0.464,0.799,2,-3.275,0,0.0375,0.356,0,0.286,0.856,96.839,audio_features,6bum69IXoiGcZCb83ZtfGA,spotify:track:6bum69IXoiGcZCb83ZtfGA,https://api.spotify.com/v1/tracks/6bum69IXoiGcZCb83ZtfGA,https://api.spotify.com/v1/audio-analysis/6bum69IXoiGcZCb83ZtfGA,283129,4
0.544,0.771,2,-7.53,1,0.0436,0.426,0.00265,0.0624,0.824,88.539,audio_features,23Vb5teQKNSNvPgUjLtI8j,spotify:track:23Vb5teQKNSNvPgUjLtI8j,https://api.spotify.com/v1/tracks/23Vb5teQKNSNvPgUjLtI8j,https://api.spotify.com/v1/audio-analysis/23Vb5teQKNSNvPgUjLtI8j,333560,4
0.645,0.665,7,-5.519,0,0.0384,0.581,0,0.0391,0.369,94.115,audio_features,27n9VDbbjFnEJsgjYTnwTM,spotify:track:27n9VDbbjFnEJsgjYTnwTM,https://api.spotify.com/v1/tracks/27n9VDbbjFnEJsgjYTnwTM,https://api.spotify.com/v1/audio-analysis/27n9VDbbjFnEJsgjYTnwTM,414707,4
0.725,0.864,9,-3.422,1,0.041,0.274,0,0.0927,0.932,91.233,audio_features,5giBWdb2pJwFl3avFUKGXj,spotify:track:5giBWdb2pJwFl3avFUKGXj,https://api.spotify.com/v1/tracks/5giBWdb2pJwFl3avFUKGXj,https://api.spotify.com/v1/audio-analysis/5giBWdb2pJwFl3avFUKGXj,274653,4
0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,audio_features,1YwPNemawMgGe6sF4U0FTE,spotify:track:1YwPNemawMgGe6sF4U0FTE,https://api.spotify.com/v1/tracks/1YwPNemawMgGe6sF4U0FTE,https://api.spotify.com/v1/audio-analysis/1YwPNemawMgGe6sF4U0FTE,266307,4
0.868,0.852,0,-9.403,1,0.0474,0.198,5.3e-05,0.0502,0.907,130.155,audio_features,26T9IOS6Bi9iOUjKkcZsZo,spotify:track:26T9IOS6Bi9iOUjKkcZsZo,https://api.spotify.com/v1/tracks/26T9IOS6Bi9iOUjKkcZsZo,https://api.spotify.com/v1/audio-analysis/26T9IOS6Bi9iOUjKkcZsZo,302333,4
0.729,0.721,8,-5.962,0,0.0397,0.315,0,0.306,0.549,125.962,audio_features,19CAKZdXVNyZrfmF60RAj3,spotify:track:19CAKZdXVNyZrfmF60RAj3,https://api.spotify.com/v1/tracks/19CAKZdXVNyZrfmF60RAj3,https://api.spotify.com/v1/audio-analysis/19CAKZdXVNyZrfmF60RAj3,234160,4
0.815,0.885,7,-8.481,1,0.0499,0.175,0.00113,0.24,0.906,113.822,audio_features,0z1jqSzPEiblIxozrI9Tto,spotify:track:0z1jqSzPEiblIxozrI9Tto,https://api.spotify.com/v1/tracks/0z1jqSzPEiblIxozrI9Tto,https://api.spotify.com/v1/audio-analysis/0z1jqSzPEiblIxozrI9Tto,297387,4
0.812,0.506,1,-10.729,1,0.0533,0.143,0,0.132,0.701,125.941,audio_features,217bRMES4HVbPdUe8l8ECN,spotify:track:217bRMES4HVbPdUe8l8ECN,https://api.spotify.com/v1/tracks/217bRMES4HVbPdUe8l8ECN,https://api.spotify.com/v1/audio-analysis/217bRMES4HVbPdUe8l8ECN,238720,4
0.741,0.743,3,-7.22,1,0.039,0.103,0.000685,0.0634,0.842,101.647,audio_features,5XyItd5rFfdtoJsWHxON5x,spotify:track:5XyItd5rFfdtoJsWHxON5x,https://api.spotify.com/v1/tracks/5XyItd5rFfdtoJsWHxON5x,https://api.spotify.com/v1/audio-analysis/5XyItd5rFfdtoJsWHxON5x,225333,4
0.918,0.664,1,-4.767,0,0.0502,0.0878,0.00026,0.0729,0.827,129.998,audio_features,1ePEbbeWx3scydfir7HBcq,spotify:track:1ePEbbeWx3scydfir7HBcq,https://api.spotify.com/v1/tracks/1ePEbbeWx3scydfir7HBcq,https://api.spotify.com/v1/audio-analysis/1ePEbbeWx3scydfir7HBcq,246747,4
0.776,0.834,7,-6.606,1,0.193,0.0167,0.00859,0.0487,0.577,85.038,audio_features,3dgMqErrCJWOmSsSBETEiD,spotify:track:3dgMqErrCJWOmSsSBETEiD,https://api.spotify.com/v1/tracks/3dgMqErrCJWOmSsSBETEiD,https://api.spotify.com/v1/audio-analysis/3dgMqErrCJWOmSsSBETEiD,279907,4
0.42,0.843,7,-4.692,1,0.0647,0.248,0,0.078,0.539,173.91,audio_features,2MnKininlD8bY9ggRNSJ37,spotify:track:2MnKininlD8bY9ggRNSJ37,https://api.spotify.com/v1/tracks/2MnKininlD8bY9ggRNSJ37,https://api.spotify.com/v1/audio-analysis/2MnKininlD8bY9ggRNSJ37,302947,4
0.708,0.709,9,-7.555,1,0.0472,0.582,0.000516,0.0717,0.962,96.046,audio_features,23Fw0qh3Onqn2276LiL2pT,spotify:track:23Fw0qh3Onqn2276LiL2pT,https://api.spotify.com/v1/tracks/23Fw0qh3Onqn2276LiL2pT,https://api.spotify.com/v1/audio-analysis/23Fw0qh3Onqn2276LiL2pT,221008,4
0.744,0.828,8,-6.496,0,0.0491,0.646,8.4e-05,0.0548,0.96,92.783,audio_features,5eL30MTm9nm9ftXKAHDDsa,spotify:track:5eL30MTm9nm9ftXKAHDDsa,https://api.spotify.com/v1/tracks/5eL30MTm9nm9ftXKAHDDsa,https://api.spotify.com/v1/audio-analysis/5eL30MTm9nm9ftXKAHDDsa,228635,4
0.532,0.682,9,-8.79,1,0.0495,0.0253,0,0.0822,0.715,96.341,audio_features,5VUR4MhJWAbp2ZHtSDvwJ7,spotify:track:5VUR4MhJWAbp2ZHtSDvwJ7,https://api.spotify.com/v1/tracks/5VUR4MhJWAbp2ZHtSDvwJ7,https://api.spotify.com/v1/audio-analysis/5VUR4MhJWAbp2ZHtSDvwJ7,157107,4
0.585,0.658,11,-5.308,0,0.0963,0.753,4.94e-05,0.135,0.817,93.551,audio_features,5y37hGmb0LU3YiZRlFJGUR,spotify:track:5y37hGmb0LU3YiZRlFJGUR,https://api.spotify.com/v1/tracks/5y37hGmb0LU3YiZRlFJGUR,https://api.spotify.com/v1/audio-analysis/5y37hGmb0LU3YiZRlFJGUR,442600,4
0.799,0.655,1,-6.34,1,0.0485,0.659,0,0.135,0.82,128.038,audio_features,6BdAwMv1YorLfkBWlE493X,spotify:track:6BdAwMv1YorLfkBWlE493X,https://api.spotify.com/v1/tracks/6BdAwMv1YorLfkBWlE493X,https://api.spotify.com/v1/audio-analysis/6BdAwMv1YorLfkBWlE493X,239824,4
0.699,0.83,0,-10.935,1,0.0365,0.275,0.00241,0.121,0.731,92.855,audio_features,26ucR33snMkRD6JExhoD6I,spotify:track:26ucR33snMkRD6JExhoD6I,https://api.spotify.com/v1/tracks/26ucR33snMkRD6JExhoD6I,https://api.spotify.com/v1/audio-analysis/26ucR33snMkRD6JExhoD6I,316093,4
