danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.576,0.88,8,-2.01,0,0.126,0.0208,8.99e-05,0.334,0.514,87.969,audio_features,2S2GQxhLpQO9hnCUsW2Pv7,spotify:track:2S2GQxhLpQO9hnCUsW2Pv7,https://api.spotify.com/v1/tracks/2S2GQxhLpQO9hnCUsW2Pv7,https://api.spotify.com/v1/audio-analysis/2S2GQxhLpQO9hnCUsW2Pv7,188907,4
0.568,0.904,0,-2.497,1,0.349,0.221,0,0.22,0.799,109.331,audio_features,28mv40MzspRZn0PBcO2itT,spotify:track:28mv40MzspRZn0PBcO2itT,https://api.spotify.com/v1/tracks/28mv40MzspRZn0PBcO2itT,https://api.spotify.com/v1/audio-analysis/28mv40MzspRZn0PBcO2itT,270733,5
0.631,0.732,1,-4.706,1,0.203,0.0304,0,0.261,0.549,151.779,audio_features,7kfRm1lhDMfJu2d71zLNgd,spotify:track:7kfRm1lhDMfJu2d71zLNgd,https://api.spotify.com/v1/tracks/7kfRm1lhDMfJu2d71zLNgd,https://api.spotify.com/v1/audio-analysis/7kfRm1lhDMfJu2d71zLNgd,231653,4
0.572,0.778,1,-5.208,1,0.233,0.00638,0,0.0563,0.54,168.073,audio_features,7qbs4ZjVVJdSlYTUEk1x84,spotify:track:7qbs4ZjVVJdSlYTUEk1x84,https://api.spotify.com/v1/tracks/7qbs4ZjVVJdSlYTUEk1x84,https://api.spotify.com/v1/audio-analysis/7qbs4ZjVVJdSlYTUEk1x84,225520,4
0.713,0.952,7,-2.959,1,0.108,0.0203,2.51e-06,0.117,0.571,105.981,audio_features,3KwmKQfn3BXTFVCy0nvPgE,spotify:track:3KwmKQfn3BXTFVCy0nvPgE,https://api.spotify.com/v1/tracks/3KwmKQfn3BXTFVCy0nvPgE,https://api.spotify.com/v1/audio-analysis/3KwmKQfn3BXTFVCy0nvPgE,195040,4
0.703,0.661,6,-3.885,1,0.0539,0.0517,0,0.34,0.495,149.906,audio_features,7gPiHInciJIOwMcsx2IZhV,spotify:track:7gPiHInciJIOwMcsx2IZhV,https://api.spotify.com/v1/tracks/7gPiHInciJIOwMcsx2IZhV,https://api.spotify.com/v1/audio-analysis/7gPiHInciJIOwMcsx2IZhV,249240,4
0.694,0.957,9,-3.115,0,0.171,0.0243,3.4e-06,0.108,0.505,106.002,audio_features,4Z1RaqVgrAkeEYcMZf8E9s,spotify:track:4Z1RaqVgrAkeEYcMZf8E9s,https://api.spotify.com/v1/tracks/4Z1RaqVgrAkeEYcMZf8E9s,https://api.spotify.com/v1/audio-analysis/4Z1RaqVgrAkeEYcMZf8E9s,194880,4
0.672,0.684,4,-5.468,1,0.158,0.604,0,0.081,0.428,180.008,audio_features,0VZQoEl9sDdGOHUJmNNgd5,spotify:track:0VZQoEl9sDdGOHUJmNNgd5,https://api.spotify.com/v1/tracks/0VZQoEl9sDdGOHUJmNNgd5,https://api.spotify.com/v1/audio-analysis/0VZQoEl9sDdGOHUJmNNgd5,229053,4
0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,4Aep3WGBQlpbKXkW7kfqcU,spotify:track:4Aep3WGBQlpbKXkW7kfqcU,https://api.spotify.com/v1/tracks/4Aep3WGBQlpbKXkW7kfqcU,https://api.spotify.com/v1/audio-analysis/4Aep3WGBQlpbKXkW7kfqcU,229526,4
0.842,0.85,0,-3.007,0,0.0438,0.119,2.82e-06,0.0823,0.554,108.036,audio_features,4NnO56dZrE5QXnzjvOxcXU,spotify:track:4NnO56dZrE5QXnzjvOxcXU,https://api.spotify.com/v1/tracks/4NnO56dZrE5QXnzjvOxcXU,https://api.spotify.com/v1/audio-analysis/4NnO56dZrE5QXnzjvOxcXU,164707,4
0.671,0.883,5,-4.2,0,0.332,0.415,0,0.204,0.777,89.536,audio_features,4TtnrNO4ntYW7jRLRxa8Za,spotify:track:4TtnrNO4ntYW7jRLRxa8Za,https://api.spotify.com/v1/tracks/4TtnrNO4ntYW7jRLRxa8Za,https://api.spotify.com/v1/audio-analysis/4TtnrNO4ntYW7jRLRxa8Za,306627,4
0.899,0.817,7,-2.439,0,0.0944,0.121,8e-05,0.0612,0.717,149.996,audio_features,5ELcQ66F6oqhZJNqQLnFcQ,spotify:track:5ELcQ66F6oqhZJNqQLnFcQ,https://api.spotify.com/v1/tracks/5ELcQ66F6oqhZJNqQLnFcQ,https://api.spotify.com/v1/audio-analysis/5ELcQ66F6oqhZJNqQLnFcQ,259813,4
0.734,0.785,8,-2.819,0,0.0772,0.0229,0,0.259,0.726,88.511,audio_features,01olf6cK3z2TWGfeGJgI4Q,spotify:track:01olf6cK3z2TWGfeGJgI4Q,https://api.spotify.com/v1/tracks/01olf6cK3z2TWGfeGJgI4Q,https://api.spotify.com/v1/audio-analysis/01olf6cK3z2TWGfeGJgI4Q,217560,4
0.553,0.897,8,-4.569,0,0.409,0.0596,0,0.0622,0.557,172.01,audio_features,00QyLmjxaSEE8qIZQjBXBj,spotify:track:00QyLmjxaSEE8qIZQjBXBj,https://api.spotify.com/v1/tracks/00QyLmjxaSEE8qIZQjBXBj,https://api.spotify.com/v1/audio-analysis/00QyLmjxaSEE8qIZQjBXBj,227893,4
0.826,0.677,2,-5.757,0,0.318,0.0321,0,0.0722,0.86,120.078,audio_features,192sFU8uJa5YHl3CDSTcvu,spotify:track:192sFU8uJa5YHl3CDSTcvu,https://api.spotify.com/v1/tracks/192sFU8uJa5YHl3CDSTcvu,https://api.spotify.com/v1/audio-analysis/192sFU8uJa5YHl3CDSTcvu,221960,4
0.7,0.824,1,-6.029,1,0.0772,0.173,0,0.105,0.763,91.979,audio_features,5cXAuTYvFXkL0ombvLGmci,spotify:track:5cXAuTYvFXkL0ombvLGmci,https://api.spotify.com/v1/tracks/5cXAuTYvFXkL0ombvLGmci,https://api.spotify.com/v1/audio-analysis/5cXAuTYvFXkL0ombvLGmci,237997,4
0.777,0.771,4,-5.684,0,0.0569,0.317,0,0.0576,0.525,101.975,audio_features,4enUZvEU4Q6XTi2WZ0WdJN,spotify:track:4enUZvEU4Q6XTi2WZ0WdJN,https://api.spotify.com/v1/tracks/4enUZvEU4Q6XTi2WZ0WdJN,https://api.spotify.com/v1/audio-analysis/4enUZvEU4Q6XTi2WZ0WdJN,265813,4
0.544,0.809,1,-6.684,1,0.276,0.423,0,0.171,0.838,173.033,audio_features,5iSJ9eWLyjQVXovmB5xD1A,spotify:track:5iSJ9eWLyjQVXovmB5xD1A,https://api.spotify.com/v1/tracks/5iSJ9eWLyjQVXovmB5xD1A,https://api.spotify.com/v1/audio-analysis/5iSJ9eWLyjQVXovmB5xD1A,192280,4
0.659,0.983,4,-4.065,1,0.151,0.00222,2.11e-06,0.162,0.118,127.949,audio_features,2JloUbn5LzODW1jSxaLTRP,spotify:track:2JloUbn5LzODW1jSxaLTRP,https://api.spotify.com/v1/tracks/2JloUbn5LzODW1jSxaLTRP,https://api.spotify.com/v1/audio-analysis/2JloUbn5LzODW1jSxaLTRP,188840,4
0.656,0.913,1,-6.633,1,0.439,0.0478,0.000201,0.0644,0.735,93.86,audio_features,1qVMbh9ih5jguEisvNv9pd,spotify:track:1qVMbh9ih5jguEisvNv9pd,https://api.spotify.com/v1/tracks/1qVMbh9ih5jguEisvNv9pd,https://api.spotify.com/v1/audio-analysis/1qVMbh9ih5jguEisvNv9pd,289640,4
0.794,0.873,11,-2.875,0,0.0817,0.0246,0.00194,0.139,0.443,119.979,audio_features,1pmBZUgdt2iuvCRwVtBObl,spotify:track:1pmBZUgdt2iuvCRwVtBObl,https://api.spotify.com/v1/tracks/1pmBZUgdt2iuvCRwVtBObl,https://api.spotify.com/v1/audio-analysis/1pmBZUgdt2iuvCRwVtBObl,202147,4
0.78,0.475,1,-6.454,1,0.0759,0.0361,0,0.089,0.641,146.002,audio_features,5QoP9RStRznL8PNZ9nKXl5,spotify:track:5QoP9RStRznL8PNZ9nKXl5,https://api.spotify.com/v1/tracks/5QoP9RStRznL8PNZ9nKXl5,https://api.spotify.com/v1/audio-analysis/5QoP9RStRznL8PNZ9nKXl5,202093,4
0.765,0.905,10,-3.714,0,0.0965,0.167,7.04e-06,0.144,0.529,94.995,audio_features,1RYmXk9aOvZxsGknI1l2Ht,spotify:track:1RYmXk9aOvZxsGknI1l2Ht,https://api.spotify.com/v1/tracks/1RYmXk9aOvZxsGknI1l2Ht,https://api.spotify.com/v1/audio-analysis/1RYmXk9aOvZxsGknI1l2Ht,204627,4
0.775,0.629,1,-6.373,1,0.0811,0.0176,0,0.112,0.102,149.982,audio_features,0WQJIDidlJOv2C2PyvDUv5,spotify:track:0WQJIDidlJOv2C2PyvDUv5,https://api.spotify.com/v1/tracks/0WQJIDidlJOv2C2PyvDUv5,https://api.spotify.com/v1/audio-analysis/0WQJIDidlJOv2C2PyvDUv5,239827,4
