danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.296,0.0654,1,-18.747,1,0.0353,0.977,0.816,0.136,0.277,76.623,audio_features,2GMPbqlnFWT7bdvX1EooXw,spotify:track:2GMPbqlnFWT7bdvX1EooXw,https://api.spotify.com/v1/tracks/2GMPbqlnFWT7bdvX1EooXw,https://api.spotify.com/v1/audio-analysis/2GMPbqlnFWT7bdvX1EooXw,192133,4
0.34,0.141,5,-20.177,0,0.0435,0.992,0.908,0.149,0.19,70.756,audio_features,4VE4odVTvgmiKUsEK8g08u,spotify:track:4VE4odVTvgmiKUsEK8g08u,https://api.spotify.com/v1/tracks/4VE4odVTvgmiKUsEK8g08u,https://api.spotify.com/v1/audio-analysis/4VE4odVTvgmiKUsEK8g08u,303213,4
0.0794,0.00755,10,-33.585,0,0.0591,0.833,0.767,0.0942,0.0304,83.165,audio_features,1emdMnglWKwMS8XitagHzT,spotify:track:1emdMnglWKwMS8XitagHzT,https://api.spotify.com/v1/tracks/1emdMnglWKwMS8XitagHzT,https://api.spotify.com/v1/audio-analysis/1emdMnglWKwMS8XitagHzT,548893,4
0.289,0.25,5,-20.109,0,0.0372,0.99,0.882,0.112,0.039,144.783,audio_features,7lvuhPLyPCsZqqC5nowJHo,spotify:track:7lvuhPLyPCsZqqC5nowJHo,https://api.spotify.com/v1/tracks/7lvuhPLyPCsZqqC5nowJHo,https://api.spotify.com/v1/audio-analysis/7lvuhPLyPCsZqqC5nowJHo,211267,3
0.331,0.235,9,-17.343,1,0.04,0.968,0.756,0.287,0.0722,78.27,audio_features,4JV1xSWXGxnmyc0mC17i8h,spotify:track:4JV1xSWXGxnmyc0mC17i8h,https://api.spotify.com/v1/tracks/4JV1xSWXGxnmyc0mC17i8h,https://api.spotify.com/v1/audio-analysis/4JV1xSWXGxnmyc0mC17i8h,984000,4
0.531,0.0275,3,-25.572,1,0.071,0.991,0.89,0.0909,0.0552,136.664,audio_features,3YYocbj3wZnTgNGOR6f4UP,spotify:track:3YYocbj3wZnTgNGOR6f4UP,https://api.spotify.com/v1/tracks/3YYocbj3wZnTgNGOR6f4UP,https://api.spotify.com/v1/audio-analysis/3YYocbj3wZnTgNGOR6f4UP,381640,3
0.179,0.0837,4,-19.657,1,0.0496,0.948,0.017,0.134,0.0374,82.036,audio_features,23PFBKlsakZ2D5b2yXxVyd,spotify:track:23PFBKlsakZ2D5b2yXxVyd,https://api.spotify.com/v1/tracks/23PFBKlsakZ2D5b2yXxVyd,https://api.spotify.com/v1/audio-analysis/23PFBKlsakZ2D5b2yXxVyd,157027,3
0.43,0.168,0,-22.072,1,0.0617,0.992,0.845,0.0693,0.601,149.934,audio_features,0qofZAij99vyO1ChfpX5ty,spotify:track:0qofZAij99vyO1ChfpX5ty,https://api.spotify.com/v1/tracks/0qofZAij99vyO1ChfpX5ty,https://api.spotify.com/v1/audio-analysis/0qofZAij99vyO1ChfpX5ty,282000,4
0.15,0.35,7,-11.579,1,0.0495,0.887,0.236,0.238,0.193,73.019,audio_features,4jaIcLz6wAcGCDAVnx4x6U,spotify:track:4jaIcLz6wAcGCDAVnx4x6U,https://api.spotify.com/v1/tracks/4jaIcLz6wAcGCDAVnx4x6U,https://api.spotify.com/v1/audio-analysis/4jaIcLz6wAcGCDAVnx4x6U,634400,4
0.622,0.00597,9,-29.051,1,0.175,0.987,0.879,0.102,0.212,103.473,audio_features,5Ko0anQdKdkaAEu7VvNUog,spotify:track:5Ko0anQdKdkaAEu7VvNUog,https://api.spotify.com/v1/tracks/5Ko0anQdKdkaAEu7VvNUog,https://api.spotify.com/v1/audio-analysis/5Ko0anQdKdkaAEu7VvNUog,133613,4
