danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.604,0.948,7,-1.608,1,0.0619,0.000162,0.675,0.334,0.615,170.045,audio_features,4MX1gaLuGE2OovCUrvnlYJ,spotify:track:4MX1gaLuGE2OovCUrvnlYJ,https://api.spotify.com/v1/tracks/4MX1gaLuGE2OovCUrvnlYJ,https://api.spotify.com/v1/audio-analysis/4MX1gaLuGE2OovCUrvnlYJ,182118,4
0.572,0.924,6,-3.639,0,0.197,0.00836,0.0199,0.0961,0.214,154.008,audio_features,6vysuRr9w2PEmRoJFOKmQE,spotify:track:6vysuRr9w2PEmRoJFOKmQE,https://api.spotify.com/v1/tracks/6vysuRr9w2PEmRoJFOKmQE,https://api.spotify.com/v1/audio-analysis/6vysuRr9w2PEmRoJFOKmQE,268052,4
0.628,0.899,4,-2.882,0,0.104,0.00048,0.00331,0.202,0.558,174.035,audio_features,4Ohnb3j5ZuStEPI0Uk8DUa,spotify:track:4Ohnb3j5ZuStEPI0Uk8DUa,https://api.spotify.com/v1/tracks/4Ohnb3j5ZuStEPI0Uk8DUa,https://api.spotify.com/v1/audio-analysis/4Ohnb3j5ZuStEPI0Uk8DUa,229695,4
0.488,0.921,2,-3.194,1,0.116,0.00869,0.548,0.616,0.134,174.002,audio_features,5kWGyRqNMRCaKHBljnpcPo,spotify:track:5kWGyRqNMRCaKHBljnpcPo,https://api.spotify.com/v1/tracks/5kWGyRqNMRCaKHBljnpcPo,https://api.spotify.com/v1/audio-analysis/5kWGyRqNMRCaKHBljnpcPo,194483,4
0.529,0.995,6,-4.264,1,0.129,0.00866,0.0725,0.116,0.208,74.981,audio_features,12bvEY7S9KxENmWxiub3IF,spotify:track:12bvEY7S9KxENmWxiub3IF,https://api.spotify.com/v1/tracks/12bvEY7S9KxENmWxiub3IF,https://api.spotify.com/v1/audio-analysis/12bvEY7S9KxENmWxiub3IF,185600,4
0.388,0.907,11,-3.959,0,0.232,0.00716,0.000124,0.324,0.0668,144.832,audio_features,7AXxtnL7dND9I9PHTXnJ7d,spotify:track:7AXxtnL7dND9I9PHTXnJ7d,https://api.spotify.com/v1/tracks/7AXxtnL7dND9I9PHTXnJ7d,https://api.spotify.com/v1/audio-analysis/7AXxtnL7dND9I9PHTXnJ7d,213000,4
0.503,0.801,11,0.088,0,0.434,0.0115,0.00796,0.126,0.231,139.811,audio_features,6SY9McQ3tYMgEyA5YcMVr4,spotify:track:6SY9McQ3tYMgEyA5YcMVr4,https://api.spotify.com/v1/tracks/6SY9McQ3tYMgEyA5YcMVr4,https://api.spotify.com/v1/audio-analysis/6SY9McQ3tYMgEyA5YcMVr4,172826,4
0.583,0.977,1,-2.778,1,0.0897,0.00143,0.0124,0.207,0.182,150.007,audio_features,3rIkPAyNXikxH3qsl0QLhi,spotify:track:3rIkPAyNXikxH3qsl0QLhi,https://api.spotify.com/v1/tracks/3rIkPAyNXikxH3qsl0QLhi,https://api.spotify.com/v1/audio-analysis/3rIkPAyNXikxH3qsl0QLhi,218607,4
0.615,0.977,5,-2.162,0,0.316,0.00111,0.801,0.421,0.264,150.123,audio_features,5NzyzwmneAGwkUhcLUXwkz,spotify:track:5NzyzwmneAGwkUhcLUXwkz,https://api.spotify.com/v1/tracks/5NzyzwmneAGwkUhcLUXwkz,https://api.spotify.com/v1/audio-analysis/5NzyzwmneAGwkUhcLUXwkz,217617,4
0.786,0.935,6,-4.912,1,0.322,0.0192,0.128,0.0787,0.142,130.048,audio_features,2OizVBDkRqkO0vatLRLGQQ,spotify:track:2OizVBDkRqkO0vatLRLGQQ,https://api.spotify.com/v1/tracks/2OizVBDkRqkO0vatLRLGQQ,https://api.spotify.com/v1/audio-analysis/2OizVBDkRqkO0vatLRLGQQ,265846,4
0.817,0.922,6,-0.819,0,0.251,0.0225,0,0.0986,0.545,149.935,audio_features,1UadInv5VkZrN0gMpmgmDH,spotify:track:1UadInv5VkZrN0gMpmgmDH,https://api.spotify.com/v1/tracks/1UadInv5VkZrN0gMpmgmDH,https://api.spotify.com/v1/audio-analysis/1UadInv5VkZrN0gMpmgmDH,211200,4
0.727,0.829,8,-6.785,1,0.29,0.00128,0.0839,0.716,0.543,144.025,audio_features,4XJ817eBKzaWzeBw4QAMxY,spotify:track:4XJ817eBKzaWzeBw4QAMxY,https://api.spotify.com/v1/tracks/4XJ817eBKzaWzeBw4QAMxY,https://api.spotify.com/v1/audio-analysis/4XJ817eBKzaWzeBw4QAMxY,193284,4
0.558,0.974,11,-2.439,0,0.136,0.000707,0.0346,0.364,0.291,149.985,audio_features,5av9pOEpuRuUcxZ1y0s65P,spotify:track:5av9pOEpuRuUcxZ1y0s65P,https://api.spotify.com/v1/tracks/5av9pOEpuRuUcxZ1y0s65P,https://api.spotify.com/v1/audio-analysis/5av9pOEpuRuUcxZ1y0s65P,225000,4
0.461,0.964,1,-3.275,1,0.223,0.00025,0.3,0.247,0.0558,112.586,audio_features,3e3CR2XoK5MLoNjNCkakM2,spotify:track:3e3CR2XoK5MLoNjNCkakM2,https://api.spotify.com/v1/tracks/3e3CR2XoK5MLoNjNCkakM2,https://api.spotify.com/v1/audio-analysis/3e3CR2XoK5MLoNjNCkakM2,217600,3
0.691,0.985,1,-1.598,1,0.122,0.00128,0.505,0.899,0.67,128.036,audio_features,0LK1Uz2sa8sMS9NBZdl7tS,spotify:track:0LK1Uz2sa8sMS9NBZdl7tS,https://api.spotify.com/v1/tracks/0LK1Uz2sa8sMS9NBZdl7tS,https://api.spotify.com/v1/audio-analysis/0LK1Uz2sa8sMS9NBZdl7tS,211368,4
0.72,0.978,11,-3.286,0,0.0616,0.00648,0.0565,0.301,0.088,150.05,audio_features,6MfszvDoPCpIWV9fZ3sM1z,spotify:track:6MfszvDoPCpIWV9fZ3sM1z,https://api.spotify.com/v1/tracks/6MfszvDoPCpIWV9fZ3sM1z,https://api.spotify.com/v1/audio-analysis/6MfszvDoPCpIWV9fZ3sM1z,197174,4
0.62,0.995,1,-2.353,1,0.245,0.00488,0.019,0.215,0.535,150.069,audio_features,2Zx8f14aPByIGhEcmOJRS9,spotify:track:2Zx8f14aPByIGhEcmOJRS9,https://api.spotify.com/v1/tracks/2Zx8f14aPByIGhEcmOJRS9,https://api.spotify.com/v1/audio-analysis/2Zx8f14aPByIGhEcmOJRS9,198400,4
0.702,0.964,1,-2.979,1,0.106,0.157,0,0.324,0.694,149.945,audio_features,1jiczAUjgZ9MF6TsYJFAxx,spotify:track:1jiczAUjgZ9MF6TsYJFAxx,https://api.spotify.com/v1/tracks/1jiczAUjgZ9MF6TsYJFAxx,https://api.spotify.com/v1/audio-analysis/1jiczAUjgZ9MF6TsYJFAxx,249613,4
0.563,0.975,10,-1.985,0,0.0598,0.0246,0.0181,0.137,0.826,160.095,audio_features,1fvUIWSHIZfN0yN0pnZfBT,spotify:track:1fvUIWSHIZfN0yN0pnZfBT,https://api.spotify.com/v1/tracks/1fvUIWSHIZfN0yN0pnZfBT,https://api.spotify.com/v1/audio-analysis/1fvUIWSHIZfN0yN0pnZfBT,219000,4
0.568,0.922,1,-5.148,1,0.0865,0.000313,0.012,0.105,0.289,74.995,audio_features,7evQj9se7zZcNoRkG5Flr3,spotify:track:7evQj9se7zZcNoRkG5Flr3,https://api.spotify.com/v1/tracks/7evQj9se7zZcNoRkG5Flr3,https://api.spotify.com/v1/audio-analysis/7evQj9se7zZcNoRkG5Flr3,262404,4
0.676,0.98,1,-2.426,1,0.304,0.0428,0.118,0.731,0.418,149.911,audio_features,2sKLqVZGtFUrQNWiDEpst8,spotify:track:2sKLqVZGtFUrQNWiDEpst8,https://api.spotify.com/v1/tracks/2sKLqVZGtFUrQNWiDEpst8,https://api.spotify.com/v1/audio-analysis/2sKLqVZGtFUrQNWiDEpst8,182400,4
0.58,0.94,2,-3.038,1,0.567,0.00314,0.0426,0.113,0.362,149.99,audio_features,1L1KACnk6ZD5maxmTbcsQS,spotify:track:1L1KACnk6ZD5maxmTbcsQS,https://api.spotify.com/v1/tracks/1L1KACnk6ZD5maxmTbcsQS,https://api.spotify.com/v1/audio-analysis/1L1KACnk6ZD5maxmTbcsQS,182400,4
0.517,0.994,10,-1.48,1,0.136,0.000673,0.823,0.234,0.254,145.034,audio_features,1aIjVVY1Q8lnLJxOZCNe9n,spotify:track:1aIjVVY1Q8lnLJxOZCNe9n,https://api.spotify.com/v1/tracks/1aIjVVY1Q8lnLJxOZCNe9n,https://api.spotify.com/v1/audio-analysis/1aIjVVY1Q8lnLJxOZCNe9n,271874,4
0.446,0.915,6,-3.754,0,0.143,0.102,0.224,0.237,0.0534,149.898,audio_features,7Bn7qlbuOEkruIEpF23XPS,spotify:track:7Bn7qlbuOEkruIEpF23XPS,https://api.spotify.com/v1/tracks/7Bn7qlbuOEkruIEpF23XPS,https://api.spotify.com/v1/audio-analysis/7Bn7qlbuOEkruIEpF23XPS,256000,4
0.515,0.766,1,-5.316,1,0.0646,0.00399,2.46e-05,0.11,0.114,145.029,audio_features,3hGpdrPaDvGtpBK86plAeI,spotify:track:3hGpdrPaDvGtpBK86plAeI,https://api.spotify.com/v1/tracks/3hGpdrPaDvGtpBK86plAeI,https://api.spotify.com/v1/audio-analysis/3hGpdrPaDvGtpBK86plAeI,306207,4
0.563,0.884,1,-4.538,1,0.297,0.00663,0.00288,0.196,0.441,79.936,audio_features,1Vuz9wlhCb6qeIuAkLSYDC,spotify:track:1Vuz9wlhCb6qeIuAkLSYDC,https://api.spotify.com/v1/tracks/1Vuz9wlhCb6qeIuAkLSYDC,https://api.spotify.com/v1/audio-analysis/1Vuz9wlhCb6qeIuAkLSYDC,235520,4
0.646,0.96,6,-2.115,1,0.0842,0.00187,0.0117,0.198,0.428,150.031,audio_features,7l1JxHlUswk9sG5zBcGQF3,spotify:track:7l1JxHlUswk9sG5zBcGQF3,https://api.spotify.com/v1/tracks/7l1JxHlUswk9sG5zBcGQF3,https://api.spotify.com/v1/audio-analysis/7l1JxHlUswk9sG5zBcGQF3,265600,4
0.739,0.876,11,-6.771,1,0.0504,0.00599,0.446,0.274,0.479,149.994,audio_features,5GHb72Wb3FiB29SOD4ZfoO,spotify:track:5GHb72Wb3FiB29SOD4ZfoO,https://api.spotify.com/v1/tracks/5GHb72Wb3FiB29SOD4ZfoO,https://api.spotify.com/v1/audio-analysis/5GHb72Wb3FiB29SOD4ZfoO,214400,4
0.764,0.918,11,-4.119,1,0.174,0.0219,0.000382,0.309,0.139,140.041,audio_features,5UsoczivjjR5frkZvxo91z,spotify:track:5UsoczivjjR5frkZvxo91z,https://api.spotify.com/v1/tracks/5UsoczivjjR5frkZvxo91z,https://api.spotify.com/v1/audio-analysis/5UsoczivjjR5frkZvxo91z,252000,4
0.584,0.906,0,-3.281,0,0.0503,0.00407,0.37,0.747,0.475,149.887,audio_features,6iXYk75EVx8TKDCBpoMS65,spotify:track:6iXYk75EVx8TKDCBpoMS65,https://api.spotify.com/v1/tracks/6iXYk75EVx8TKDCBpoMS65,https://api.spotify.com/v1/audio-analysis/6iXYk75EVx8TKDCBpoMS65,227247,4
0.62,0.965,0,-1.931,1,0.116,0.00269,0.691,0.0787,0.282,74.982,audio_features,5cGLUfUkd1dqKkXzAoGRfU,spotify:track:5cGLUfUkd1dqKkXzAoGRfU,https://api.spotify.com/v1/tracks/5cGLUfUkd1dqKkXzAoGRfU,https://api.spotify.com/v1/audio-analysis/5cGLUfUkd1dqKkXzAoGRfU,243200,4
0.623,0.954,7,-3.747,0,0.0928,0.0785,0.000345,0.311,0.0385,140.098,audio_features,6d3BN1rUOanvwZB9xpYLfC,spotify:track:6d3BN1rUOanvwZB9xpYLfC,https://api.spotify.com/v1/tracks/6d3BN1rUOanvwZB9xpYLfC,https://api.spotify.com/v1/audio-analysis/6d3BN1rUOanvwZB9xpYLfC,282256,4
0.711,0.962,5,-3.586,0,0.0746,0.000668,0.589,0.396,0.129,139.99,audio_features,5REmyJKyAycj7QeXaFajQL,spotify:track:5REmyJKyAycj7QeXaFajQL,https://api.spotify.com/v1/tracks/5REmyJKyAycj7QeXaFajQL,https://api.spotify.com/v1/audio-analysis/5REmyJKyAycj7QeXaFajQL,205500,4
0.73,0.777,7,-4.02,1,0.0402,0.00216,0.00445,0.11,0.679,145.019,audio_features,7sYD8d966GRbnKHbQUQ8cN,spotify:track:7sYD8d966GRbnKHbQUQ8cN,https://api.spotify.com/v1/tracks/7sYD8d966GRbnKHbQUQ8cN,https://api.spotify.com/v1/audio-analysis/7sYD8d966GRbnKHbQUQ8cN,324928,4
0.58,0.64,4,-5.879,1,0.445,0.329,0.00319,0.0914,0.404,117.107,audio_features,4DBKED0auhyvSPN0K8aemX,spotify:track:4DBKED0auhyvSPN0K8aemX,https://api.spotify.com/v1/tracks/4DBKED0auhyvSPN0K8aemX,https://api.spotify.com/v1/audio-analysis/4DBKED0auhyvSPN0K8aemX,209326,3
0.547,0.944,0,-3.631,0,0.0433,0.000175,0.496,0.102,0.0387,139.995,audio_features,2CJplyTode1PMzdKi2FOCx,spotify:track:2CJplyTode1PMzdKi2FOCx,https://api.spotify.com/v1/tracks/2CJplyTode1PMzdKi2FOCx,https://api.spotify.com/v1/audio-analysis/2CJplyTode1PMzdKi2FOCx,238179,4
0.588,0.961,5,-2.968,1,0.266,0.0187,0.0166,0.193,0.21,150.042,audio_features,1IQ1lzlBxCjfwPLbZq1OlV,spotify:track:1IQ1lzlBxCjfwPLbZq1OlV,https://api.spotify.com/v1/tracks/1IQ1lzlBxCjfwPLbZq1OlV,https://api.spotify.com/v1/audio-analysis/1IQ1lzlBxCjfwPLbZq1OlV,243200,4
