danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.736,0.903,0,-3.977,1,0.103,0.0771,0,0.2,0.778,98.003,audio_features,5RsVC0iBj4QaycuCzcfD1n,spotify:track:5RsVC0iBj4QaycuCzcfD1n,https://api.spotify.com/v1/tracks/5RsVC0iBj4QaycuCzcfD1n,https://api.spotify.com/v1/audio-analysis/5RsVC0iBj4QaycuCzcfD1n,223613,4
0.799,0.874,6,-4.801,1,0.181,0.159,0.00252,0.0497,0.51,95.928,audio_features,7jowCMiXsGLxJp9LTw6ole,spotify:track:7jowCMiXsGLxJp9LTw6ole,https://api.spotify.com/v1/tracks/7jowCMiXsGLxJp9LTw6ole,https://api.spotify.com/v1/audio-analysis/7jowCMiXsGLxJp9LTw6ole,207200,4
0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,audio_features,6De0lHrwBfPfrhorm9q1Xl,spotify:track:6De0lHrwBfPfrhorm9q1Xl,https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl,https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl,205715,4
0.836,0.637,6,-4.803,1,0.0367,0.535,0,0.129,0.875,120.025,audio_features,3UI9I3e1g1y5T3SMfdgfGO,spotify:track:3UI9I3e1g1y5T3SMfdgfGO,https://api.spotify.com/v1/tracks/3UI9I3e1g1y5T3SMfdgfGO,https://api.spotify.com/v1/audio-analysis/3UI9I3e1g1y5T3SMfdgfGO,230280,4
0.797,0.777,0,-5.499,1,0.0772,0.237,0,0.128,0.575,99.987,audio_features,0H7cz1bR7w9PulJL7Na774,spotify:track:0H7cz1bR7w9PulJL7Na774,https://api.spotify.com/v1/tracks/0H7cz1bR7w9PulJL7Na774,https://api.spotify.com/v1/audio-analysis/0H7cz1bR7w9PulJL7Na774,232307,4
0.675,0.821,7,-7.108,1,0.108,0.264,0,0.146,0.735,111.486,audio_features,5cgwBlY1oNdnuNsy4PaXAz,spotify:track:5cgwBlY1oNdnuNsy4PaXAz,https://api.spotify.com/v1/tracks/5cgwBlY1oNdnuNsy4PaXAz,https://api.spotify.com/v1/audio-analysis/5cgwBlY1oNdnuNsy4PaXAz,228147,4
0.684,0.948,9,-5.765,1,0.038,0.0589,2.39e-06,0.161,0.751,110.054,audio_features,1a6c0h3xuRlyf9o1B790aM,spotify:track:1a6c0h3xuRlyf9o1B790aM,https://api.spotify.com/v1/tracks/1a6c0h3xuRlyf9o1B790aM,https://api.spotify.com/v1/audio-analysis/1a6c0h3xuRlyf9o1B790aM,227880,4
0.574,0.697,4,-4.355,0,0.032,0.596,0,0.105,0.473,81.045,audio_features,6b6DB6KzQVrCR1eE9CnTEy,spotify:track:6b6DB6KzQVrCR1eE9CnTEy,https://api.spotify.com/v1/tracks/6b6DB6KzQVrCR1eE9CnTEy,https://api.spotify.com/v1/audio-analysis/6b6DB6KzQVrCR1eE9CnTEy,239627,4
0.673,0.863,0,-3.403,1,0.0511,0.552,0.000336,0.121,0.751,91.364,audio_features,5XNeals8E3mLTZO2fmVPOB,spotify:track:5XNeals8E3mLTZO2fmVPOB,https://api.spotify.com/v1/tracks/5XNeals8E3mLTZO2fmVPOB,https://api.spotify.com/v1/audio-analysis/5XNeals8E3mLTZO2fmVPOB,291627,4
0.752,0.755,10,-4.637,0,0.0916,0.052,0,0.101,0.94,174.035,audio_features,5EjfGgOtvmbmsgXoONmsY5,spotify:track:5EjfGgOtvmbmsgXoONmsY5,https://api.spotify.com/v1/tracks/5EjfGgOtvmbmsgXoONmsY5,https://api.spotify.com/v1/audio-analysis/5EjfGgOtvmbmsgXoONmsY5,236087,4
0.667,0.843,10,-3.59,1,0.0626,0.2,0,0.172,0.847,187.943,audio_features,2YKm8wLUhW4oDXBmPi1NWI,spotify:track:2YKm8wLUhW4oDXBmPi1NWI,https://api.spotify.com/v1/tracks/2YKm8wLUhW4oDXBmPi1NWI,https://api.spotify.com/v1/audio-analysis/2YKm8wLUhW4oDXBmPi1NWI,200173,4
0.607,0.629,11,-5.931,1,0.0316,0.405,0,0.203,0.567,80.11,audio_features,66iygyOSvvoQQsKJ1vEXfT,spotify:track:66iygyOSvvoQQsKJ1vEXfT,https://api.spotify.com/v1/tracks/66iygyOSvvoQQsKJ1vEXfT,https://api.spotify.com/v1/audio-analysis/66iygyOSvvoQQsKJ1vEXfT,238160,4
0.466,0.801,2,-3.259,0,0.0375,0.366,0,0.285,0.856,97.108,audio_features,2EVrtZE6ssvmLQ4qDjsnc9,spotify:track:2EVrtZE6ssvmLQ4qDjsnc9,https://api.spotify.com/v1/tracks/2EVrtZE6ssvmLQ4qDjsnc9,https://api.spotify.com/v1/audio-analysis/2EVrtZE6ssvmLQ4qDjsnc9,283141,4
0.669,0.912,4,-3.361,1,0.174,0.0819,0,0.0654,0.873,130.037,audio_features,1ulXmurmUVer1l6AAnBUWl,spotify:track:1ulXmurmUVer1l6AAnBUWl,https://api.spotify.com/v1/tracks/1ulXmurmUVer1l6AAnBUWl,https://api.spotify.com/v1/audio-analysis/1ulXmurmUVer1l6AAnBUWl,233680,4
0.797,0.804,10,-7.068,0,0.0599,0.132,0,0.107,0.819,104.065,audio_features,2vg16RThWkdrrohdk4wq25,spotify:track:2vg16RThWkdrrohdk4wq25,https://api.spotify.com/v1/tracks/2vg16RThWkdrrohdk4wq25,https://api.spotify.com/v1/audio-analysis/2vg16RThWkdrrohdk4wq25,286715,4
0.837,0.743,4,-12.812,0,0.0554,0.134,0.000117,0.0889,0.497,93.19,audio_features,0B5pOLlr0OLEVdE0PBG8pF,spotify:track:0B5pOLlr0OLEVdE0PBG8pF,https://api.spotify.com/v1/tracks/0B5pOLlr0OLEVdE0PBG8pF,https://api.spotify.com/v1/audio-analysis/0B5pOLlr0OLEVdE0PBG8pF,233707,4
0.702,0.559,7,-9.081,1,0.0659,0.769,0,0.0628,0.95,129.19,audio_features,6YqWAzfezTk80hSueXDgLW,spotify:track:6YqWAzfezTk80hSueXDgLW,https://api.spotify.com/v1/tracks/6YqWAzfezTk80hSueXDgLW,https://api.spotify.com/v1/audio-analysis/6YqWAzfezTk80hSueXDgLW,224920,4
0.459,0.343,7,-8.768,1,0.0373,0.842,0,0.12,0.219,64.278,audio_features,4RIcZ1yQNUV7KmgEFl9XKO,spotify:track:4RIcZ1yQNUV7KmgEFl9XKO,https://api.spotify.com/v1/tracks/4RIcZ1yQNUV7KmgEFl9XKO,https://api.spotify.com/v1/audio-analysis/4RIcZ1yQNUV7KmgEFl9XKO,199867,4
0.838,0.586,0,-14.267,1,0.15,0.0493,2.36e-05,0.0452,0.716,95.979,audio_features,74PhyV4HkK7U8b0PA7EltH,spotify:track:74PhyV4HkK7U8b0PA7EltH,https://api.spotify.com/v1/tracks/74PhyV4HkK7U8b0PA7EltH,https://api.spotify.com/v1/audio-analysis/74PhyV4HkK7U8b0PA7EltH,235627,4
0.744,0.828,8,-6.496,0,0.0491,0.646,8.4e-05,0.0548,0.96,92.783,audio_features,5eL30MTm9nm9ftXKAHDDsa,spotify:track:5eL30MTm9nm9ftXKAHDDsa,https://api.spotify.com/v1/tracks/5eL30MTm9nm9ftXKAHDDsa,https://api.spotify.com/v1/audio-analysis/5eL30MTm9nm9ftXKAHDDsa,228635,4
0.473,0.69,0,-10.892,1,0.0401,0.377,6e-06,0.085,0.938,164.646,audio_features,1lnWfKzWMKhBi2ebffe1a2,spotify:track:1lnWfKzWMKhBi2ebffe1a2,https://api.spotify.com/v1/tracks/1lnWfKzWMKhBi2ebffe1a2,https://api.spotify.com/v1/audio-analysis/1lnWfKzWMKhBi2ebffe1a2,295335,4
0.569,0.766,11,-6.854,0,0.113,0.187,2e-05,0.0873,0.967,108.22,audio_features,0DTkjSxTl3Q2xYqok4vhH4,spotify:track:0DTkjSxTl3Q2xYqok4vhH4,https://api.spotify.com/v1/tracks/0DTkjSxTl3Q2xYqok4vhH4,https://api.spotify.com/v1/audio-analysis/0DTkjSxTl3Q2xYqok4vhH4,191213,4
0.608,0.52,2,-12.626,1,0.035,0.894,1.18e-05,0.115,0.934,90.184,audio_features,6VGRiUGPup3c0tZTX2lWhv,spotify:track:6VGRiUGPup3c0tZTX2lWhv,https://api.spotify.com/v1/tracks/6VGRiUGPup3c0tZTX2lWhv,https://api.spotify.com/v1/audio-analysis/6VGRiUGPup3c0tZTX2lWhv,179667,4
0.883,0.475,7,-10.829,1,0.0377,0.605,0,0.149,0.78,131.611,audio_features,0lNggU0iJ5gsP2zvYtEWOl,spotify:track:0lNggU0iJ5gsP2zvYtEWOl,https://api.spotify.com/v1/tracks/0lNggU0iJ5gsP2zvYtEWOl,https://api.spotify.com/v1/audio-analysis/0lNggU0iJ5gsP2zvYtEWOl,269166,4
0.56,0.59,1,-13.509,1,0.0914,0.669,0.00335,0.0841,0.682,146.904,audio_features,0EM1i5hMMZK3Kvl7FQ2aR7,spotify:track:0EM1i5hMMZK3Kvl7FQ2aR7,https://api.spotify.com/v1/tracks/0EM1i5hMMZK3Kvl7FQ2aR7,https://api.spotify.com/v1/audio-analysis/0EM1i5hMMZK3Kvl7FQ2aR7,372787,4
0.649,0.883,0,-4.533,1,0.0478,0.0832,0,0.125,0.787,124.976,audio_features,6F7uqfzvcdl5Y42mJBVc9V,spotify:track:6F7uqfzvcdl5Y42mJBVc9V,https://api.spotify.com/v1/tracks/6F7uqfzvcdl5Y42mJBVc9V,https://api.spotify.com/v1/audio-analysis/6F7uqfzvcdl5Y42mJBVc9V,252280,4
