danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.603,0.379,11,-11.513,1,0.0329,0.782,0.0112,0.27,0.38,119.235,audio_features,1IHb1MeYTP0cwpcdGevmMy,spotify:track:1IHb1MeYTP0cwpcdGevmMy,https://api.spotify.com/v1/tracks/1IHb1MeYTP0cwpcdGevmMy,https://api.spotify.com/v1/audio-analysis/1IHb1MeYTP0cwpcdGevmMy,233920,4
0.485,0.667,0,-7.476,0,0.0662,0.149,0.00738,0.0969,0.537,84.563,audio_features,0cAINnIaczIxISDFHK3ZSI,spotify:track:0cAINnIaczIxISDFHK3ZSI,https://api.spotify.com/v1/tracks/0cAINnIaczIxISDFHK3ZSI,https://api.spotify.com/v1/audio-analysis/0cAINnIaczIxISDFHK3ZSI,341293,4
0.564,0.242,8,-9.119,1,0.0371,0.94,0.00281,0.11,0.289,78.28,audio_features,5Yzt8HsNvqIaP9cNhrXzAa,spotify:track:5Yzt8HsNvqIaP9cNhrXzAa,https://api.spotify.com/v1/tracks/5Yzt8HsNvqIaP9cNhrXzAa,https://api.spotify.com/v1/audio-analysis/5Yzt8HsNvqIaP9cNhrXzAa,198160,4
0.586,0.607,2,-11.115,1,0.0338,0.457,0.271,0.116,0.459,98.09,audio_features,16HWvmhWwk53FLOSvgiL1w,spotify:track:16HWvmhWwk53FLOSvgiL1w,https://api.spotify.com/v1/tracks/16HWvmhWwk53FLOSvgiL1w,https://api.spotify.com/v1/audio-analysis/16HWvmhWwk53FLOSvgiL1w,289307,4
0.501,0.175,9,-11.721,1,0.0307,0.957,0.477,0.0912,0.232,105.724,audio_features,3usBViVaNvJsFkFxUpOxCP,spotify:track:3usBViVaNvJsFkFxUpOxCP,https://api.spotify.com/v1/tracks/3usBViVaNvJsFkFxUpOxCP,https://api.spotify.com/v1/audio-analysis/3usBViVaNvJsFkFxUpOxCP,155160,3
0.582,0.344,4,-9.148,1,0.0278,0.857,0.0871,0.15,0.374,140.013,audio_features,1aFwSu8VwCuOKQoJuZIzEN,spotify:track:1aFwSu8VwCuOKQoJuZIzEN,https://api.spotify.com/v1/tracks/1aFwSu8VwCuOKQoJuZIzEN,https://api.spotify.com/v1/audio-analysis/1aFwSu8VwCuOKQoJuZIzEN,273959,4
0.569,0.472,4,-10.222,1,0.0263,0.499,0.017,0.11,0.326,115.359,audio_features,12AZ6nSJdq3bYgVeza8nSE,spotify:track:12AZ6nSJdq3bYgVeza8nSE,https://api.spotify.com/v1/tracks/12AZ6nSJdq3bYgVeza8nSE,https://api.spotify.com/v1/audio-analysis/12AZ6nSJdq3bYgVeza8nSE,229800,4
0.597,0.402,10,-7.961,1,0.0272,0.715,0.00297,0.111,0.241,95.119,audio_features,0jX7GLf5pVGZpchy64sluA,spotify:track:0jX7GLf5pVGZpchy64sluA,https://api.spotify.com/v1/tracks/0jX7GLf5pVGZpchy64sluA,https://api.spotify.com/v1/audio-analysis/0jX7GLf5pVGZpchy64sluA,224446,4
0.623,0.453,9,-6.493,1,0.0251,0.237,0,0.0994,0.313,116.025,audio_features,4rqTyffvee97Jfa7HEm037,spotify:track:4rqTyffvee97Jfa7HEm037,https://api.spotify.com/v1/tracks/4rqTyffvee97Jfa7HEm037,https://api.spotify.com/v1/audio-analysis/4rqTyffvee97Jfa7HEm037,226773,4
0.784,0.213,11,-10.78,0,0.0422,0.925,3.48e-05,0.393,0.339,135.854,audio_features,28o9xWhJmUWFO9VVg4bpvE,spotify:track:28o9xWhJmUWFO9VVg4bpvE,https://api.spotify.com/v1/tracks/28o9xWhJmUWFO9VVg4bpvE,https://api.spotify.com/v1/audio-analysis/28o9xWhJmUWFO9VVg4bpvE,189627,4
0.489,0.513,0,-10.866,1,0.0305,0.241,0.000862,0.111,0.469,87.864,audio_features,25hEexChI4sq7CH1K4hqh8,spotify:track:25hEexChI4sq7CH1K4hqh8,https://api.spotify.com/v1/tracks/25hEexChI4sq7CH1K4hqh8,https://api.spotify.com/v1/audio-analysis/25hEexChI4sq7CH1K4hqh8,213360,4
0.648,0.352,4,-10.11,1,0.0278,0.692,0.266,0.106,0.173,121.459,audio_features,4TcTtWG8wSrxRmKWHNYHK8,spotify:track:4TcTtWG8wSrxRmKWHNYHK8,https://api.spotify.com/v1/tracks/4TcTtWG8wSrxRmKWHNYHK8,https://api.spotify.com/v1/audio-analysis/4TcTtWG8wSrxRmKWHNYHK8,329893,4
0.472,0.755,3,-5.479,1,0.0283,0.00554,0.526,0.112,0.568,86.534,audio_features,0k2puHMjDeAUyWvoaU7LhQ,spotify:track:0k2puHMjDeAUyWvoaU7LhQ,https://api.spotify.com/v1/tracks/0k2puHMjDeAUyWvoaU7LhQ,https://api.spotify.com/v1/audio-analysis/0k2puHMjDeAUyWvoaU7LhQ,176552,4
0.5,0.362,4,-12.145,1,0.0266,0.412,0.137,0.106,0.288,90.868,audio_features,4UFJo3jkMb6iUmIEUFkynw,spotify:track:4UFJo3jkMb6iUmIEUFkynw,https://api.spotify.com/v1/tracks/4UFJo3jkMb6iUmIEUFkynw,https://api.spotify.com/v1/audio-analysis/4UFJo3jkMb6iUmIEUFkynw,201827,4
0.56,0.702,7,-7.862,1,0.0384,0.0885,0.000154,0.272,0.367,104.983,audio_features,0jEQAvA4kRX19aNWmJ8ZKy,spotify:track:0jEQAvA4kRX19aNWmJ8ZKy,https://api.spotify.com/v1/tracks/0jEQAvA4kRX19aNWmJ8ZKy,https://api.spotify.com/v1/audio-analysis/0jEQAvA4kRX19aNWmJ8ZKy,237667,4
0.488,0.717,6,-5.005,0,0.0284,0.0028,0.00472,0.162,0.682,105.997,audio_features,0e3fS7ev8b9fLjYkDnH853,spotify:track:0e3fS7ev8b9fLjYkDnH853,https://api.spotify.com/v1/tracks/0e3fS7ev8b9fLjYkDnH853,https://api.spotify.com/v1/audio-analysis/0e3fS7ev8b9fLjYkDnH853,207846,4
0.526,0.475,9,-9.024,0,0.0253,0.603,0.0302,0.107,0.247,95.596,audio_features,5thhsaVedSVhhVpXoKMNUH,spotify:track:5thhsaVedSVhhVpXoKMNUH,https://api.spotify.com/v1/tracks/5thhsaVedSVhhVpXoKMNUH,https://api.spotify.com/v1/audio-analysis/5thhsaVedSVhhVpXoKMNUH,249347,4
0.641,0.582,11,-9.085,1,0.0335,0.642,0.0393,0.0876,0.384,96.415,audio_features,1n0UUVUi4OzfjJEtuBKWfL,spotify:track:1n0UUVUi4OzfjJEtuBKWfL,https://api.spotify.com/v1/tracks/1n0UUVUi4OzfjJEtuBKWfL,https://api.spotify.com/v1/audio-analysis/1n0UUVUi4OzfjJEtuBKWfL,278848,4
0.519,0.515,5,-9.448,1,0.031,0.61,5.66e-05,0.107,0.714,80.329,audio_features,4ftYIbHbKSVZWyrveFHCNu,spotify:track:4ftYIbHbKSVZWyrveFHCNu,https://api.spotify.com/v1/tracks/4ftYIbHbKSVZWyrveFHCNu,https://api.spotify.com/v1/audio-analysis/4ftYIbHbKSVZWyrveFHCNu,231760,4
0.313,0.6,0,-8.444,0,0.0322,0.177,2.65e-06,0.0988,0.467,168.998,audio_features,6FZVM2aVccCZS9Jd3Cd9SJ,spotify:track:6FZVM2aVccCZS9Jd3Cd9SJ,https://api.spotify.com/v1/tracks/6FZVM2aVccCZS9Jd3Cd9SJ,https://api.spotify.com/v1/audio-analysis/6FZVM2aVccCZS9Jd3Cd9SJ,194600,4
0.541,0.47,9,-6.484,0,0.026,0.0613,0.000191,0.112,0.0496,104.966,audio_features,4tvSPtaLwGUxYyErISzRyk,spotify:track:4tvSPtaLwGUxYyErISzRyk,https://api.spotify.com/v1/tracks/4tvSPtaLwGUxYyErISzRyk,https://api.spotify.com/v1/audio-analysis/4tvSPtaLwGUxYyErISzRyk,320897,3
0.63,0.656,0,-6.423,0,0.0276,0.0787,0.000906,0.0953,0.432,133.012,audio_features,01JkrDSrakX5UO5knhpKNA,spotify:track:01JkrDSrakX5UO5knhpKNA,https://api.spotify.com/v1/tracks/01JkrDSrakX5UO5knhpKNA,https://api.spotify.com/v1/audio-analysis/01JkrDSrakX5UO5knhpKNA,261731,4
