danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.642,0.156,9,-16.998,1,0.0376,0.114,0.000103,0.105,0.658,119.743,audio_features,2XqTTDg835sjCyyFEvhYyr,spotify:track:2XqTTDg835sjCyyFEvhYyr,https://api.spotify.com/v1/tracks/2XqTTDg835sjCyyFEvhYyr,https://api.spotify.com/v1/audio-analysis/2XqTTDg835sjCyyFEvhYyr,182533,4
0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,audio_features,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800,4
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0701,0.74,117.401,audio_features,5C0LFQARavkPpn7JgA4sLk,spotify:track:5C0LFQARavkPpn7JgA4sLk,https://api.spotify.com/v1/tracks/5C0LFQARavkPpn7JgA4sLk,https://api.spotify.com/v1/audio-analysis/5C0LFQARavkPpn7JgA4sLk,253250,4
0.39,0.649,2,-5.163,1,0.0345,0.172,0,0.216,0.144,121.16,audio_features,0c1gHntWjKD7QShC8s99sq,spotify:track:0c1gHntWjKD7QShC8s99sq,https://api.spotify.com/v1/tracks/0c1gHntWjKD7QShC8s99sq,https://api.spotify.com/v1/audio-analysis/0c1gHntWjKD7QShC8s99sq,299760,4
0.669,0.616,11,-10.776,0,0.033,0.482,0,0.179,0.818,130.037,audio_features,2H3ZUSE54pST4ubRd5FzFR,spotify:track:2H3ZUSE54pST4ubRd5FzFR,https://api.spotify.com/v1/tracks/2H3ZUSE54pST4ubRd5FzFR,https://api.spotify.com/v1/audio-analysis/2H3ZUSE54pST4ubRd5FzFR,151667,4
0.705,0.324,9,-11.217,1,0.0246,0.842,0.00386,0.201,0.494,79.051,audio_features,2lJOKQmXQ5yiRyCTE5FyDE,spotify:track:2lJOKQmXQ5yiRyCTE5FyDE,https://api.spotify.com/v1/tracks/2lJOKQmXQ5yiRyCTE5FyDE,https://api.spotify.com/v1/audio-analysis/2lJOKQmXQ5yiRyCTE5FyDE,276867,4
0.538,0.432,2,-11.882,1,0.0295,0.000185,0.309,0.139,0.116,110.181,audio_features,4kAJawkLZj4Q7N5521ofP6,spotify:track:4kAJawkLZj4Q7N5521ofP6,https://api.spotify.com/v1/tracks/4kAJawkLZj4Q7N5521ofP6,https://api.spotify.com/v1/audio-analysis/4kAJawkLZj4Q7N5521ofP6,295520,4
0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3
0.728,0.454,0,-9.281,1,0.0278,0.512,1.39e-06,0.0831,0.323,130.368,audio_features,6G41H0Zd0kQ1WXWDoEotoJ,spotify:track:6G41H0Zd0kQ1WXWDoEotoJ,https://api.spotify.com/v1/tracks/6G41H0Zd0kQ1WXWDoEotoJ,https://api.spotify.com/v1/audio-analysis/6G41H0Zd0kQ1WXWDoEotoJ,241160,4
0.52,0.363,1,-12.655,1,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,audio_features,76qB2ZEZlEJAMqMqUjKusp,spotify:track:76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/tracks/76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/audio-analysis/76qB2ZEZlEJAMqMqUjKusp,393640,4
0.311,0.216,4,-12.555,1,0.0355,0.841,5.31e-06,0.0862,0.104,134.051,audio_features,2ZpjnusToPrH3KCFKJIcTJ,spotify:track:2ZpjnusToPrH3KCFKJIcTJ,https://api.spotify.com/v1/tracks/2ZpjnusToPrH3KCFKJIcTJ,https://api.spotify.com/v1/audio-analysis/2ZpjnusToPrH3KCFKJIcTJ,270760,4
0.428,0.244,2,-15.447,1,0.0269,0.953,0.000144,0.102,0.39,100.495,audio_features,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/audio-analysis/44AyOl4qVkzS48vBsbNXaC,179773,3
0.349,0.326,0,-10.749,1,0.0286,0.512,0.00144,0.665,0.297,98.888,audio_features,2ACjOtICHXrAlP3ijVMSvb,spotify:track:2ACjOtICHXrAlP3ijVMSvb,https://api.spotify.com/v1/tracks/2ACjOtICHXrAlP3ijVMSvb,https://api.spotify.com/v1/audio-analysis/2ACjOtICHXrAlP3ijVMSvb,215853,3
0.438,0.428,7,-14.861,1,0.0263,0.0841,4.63e-05,0.138,0.209,94.864,audio_features,1aLNpg2kKvUncflV8xE5AA,spotify:track:1aLNpg2kKvUncflV8xE5AA,https://api.spotify.com/v1/tracks/1aLNpg2kKvUncflV8xE5AA,https://api.spotify.com/v1/audio-analysis/1aLNpg2kKvUncflV8xE5AA,274760,4
0.594,0.444,1,-9.042,1,0.0284,0.255,0,0.159,0.139,116.225,audio_features,2hMF7H2dO3oMz1WwIQnQw1,spotify:track:2hMF7H2dO3oMz1WwIQnQw1,https://api.spotify.com/v1/tracks/2hMF7H2dO3oMz1WwIQnQw1,https://api.spotify.com/v1/audio-analysis/2hMF7H2dO3oMz1WwIQnQw1,204600,4
0.551,0.27,3,-12.808,1,0.0326,0.851,7.04e-06,0.0966,0.289,128.221,audio_features,17VegeBoHvMlIByrdu64KR,spotify:track:17VegeBoHvMlIByrdu64KR,https://api.spotify.com/v1/tracks/17VegeBoHvMlIByrdu64KR,https://api.spotify.com/v1/audio-analysis/17VegeBoHvMlIByrdu64KR,244227,4
