danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.157,0.523,5,-28.309,0,0.0666,0.0027,0.764,0.0936,0.0384,89.925,audio_features,41ngfIhPv1DkwHozVjH5Yc,spotify:track:41ngfIhPv1DkwHozVjH5Yc,https://api.spotify.com/v1/tracks/41ngfIhPv1DkwHozVjH5Yc,https://api.spotify.com/v1/audio-analysis/41ngfIhPv1DkwHozVjH5Yc,175314,3
0.135,0.579,2,-27.105,1,0.0932,0.00143,0.949,0.393,0.0327,100.841,audio_features,4xyiM6KWF90l9wQh07GJvN,spotify:track:4xyiM6KWF90l9wQh07GJvN,https://api.spotify.com/v1/tracks/4xyiM6KWF90l9wQh07GJvN,https://api.spotify.com/v1/audio-analysis/4xyiM6KWF90l9wQh07GJvN,152563,4
0.156,0.988,8,-23.48,1,0.0648,0.135,0.982,0.8,1e-05,109.045,audio_features,3i6U2dV99NasmPvshyoYpx,spotify:track:3i6U2dV99NasmPvshyoYpx,https://api.spotify.com/v1/tracks/3i6U2dV99NasmPvshyoYpx,https://api.spotify.com/v1/audio-analysis/3i6U2dV99NasmPvshyoYpx,187291,3
0.16,0.56,1,-25.388,1,0.0772,0.00238,0.714,0.413,0.0271,129.874,audio_features,5fkUSLLclp3LdXiMw3zTgR,spotify:track:5fkUSLLclp3LdXiMw3zTgR,https://api.spotify.com/v1/tracks/5fkUSLLclp3LdXiMw3zTgR,https://api.spotify.com/v1/audio-analysis/5fkUSLLclp3LdXiMw3zTgR,200693,5
0.0551,0.0644,1,-30.22,1,0.0662,0.201,0.903,0.412,0.0216,65.613,audio_features,3bgRHchoi3xqrqumvMC4tV,spotify:track:3bgRHchoi3xqrqumvMC4tV,https://api.spotify.com/v1/tracks/3bgRHchoi3xqrqumvMC4tV,https://api.spotify.com/v1/audio-analysis/3bgRHchoi3xqrqumvMC4tV,216475,4
0.164,0.547,10,-20.848,0,0.0759,8.14e-05,0.969,0.357,0.0233,114.325,audio_features,043f7kIHqTGBaOtN2tmZqB,spotify:track:043f7kIHqTGBaOtN2tmZqB,https://api.spotify.com/v1/tracks/043f7kIHqTGBaOtN2tmZqB,https://api.spotify.com/v1/audio-analysis/043f7kIHqTGBaOtN2tmZqB,360000,4
0.166,0.999,5,-20.872,1,0.0549,0.76,0.934,0.974,1e-05,114.008,audio_features,2LfeJE5IQ8scLCSQfePWHC,spotify:track:2LfeJE5IQ8scLCSQfePWHC,https://api.spotify.com/v1/tracks/2LfeJE5IQ8scLCSQfePWHC,https://api.spotify.com/v1/audio-analysis/2LfeJE5IQ8scLCSQfePWHC,129116,4
0.177,0.921,11,-18.883,0,0.0698,0.208,0.491,0.959,0.0118,113.995,audio_features,0nar72MLM2uVOGWMR4iW3O,spotify:track:0nar72MLM2uVOGWMR4iW3O,https://api.spotify.com/v1/tracks/0nar72MLM2uVOGWMR4iW3O,https://api.spotify.com/v1/audio-analysis/0nar72MLM2uVOGWMR4iW3O,187604,1
0.0589,0.994,1,-22.764,1,0.0667,0.132,0.983,0.946,1e-05,47.986,audio_features,4NlsctTVxrTknjeiOKAdsr,spotify:track:4NlsctTVxrTknjeiOKAdsr,https://api.spotify.com/v1/tracks/4NlsctTVxrTknjeiOKAdsr,https://api.spotify.com/v1/audio-analysis/4NlsctTVxrTknjeiOKAdsr,237772,4
0.258,0.998,0,-19.559,1,0.729,0.166,0.906,0.961,0.0245,86.344,audio_features,2zLp49WazS4rFsWjw8Qi1o,spotify:track:2zLp49WazS4rFsWjw8Qi1o,https://api.spotify.com/v1/tracks/2zLp49WazS4rFsWjw8Qi1o,https://api.spotify.com/v1/audio-analysis/2zLp49WazS4rFsWjw8Qi1o,242416,4
