danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.624,0.899,0,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055,audio_features,3SUusuA9jH1v6PVwtYMbdv,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/tracks/3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/audio-analysis/3SUusuA9jH1v6PVwtYMbdv,193373,4
0.677,0.743,6,-5.876,1,0.0611,0.0135,0.00222,0.0581,0.469,127.971,audio_features,6BE26BerB22cVUAhFCp3TJ,spotify:track:6BE26BerB22cVUAhFCp3TJ,https://api.spotify.com/v1/tracks/6BE26BerB22cVUAhFCp3TJ,https://api.spotify.com/v1/audio-analysis/6BE26BerB22cVUAhFCp3TJ,248200,4
0.753,0.9,11,-1.866,0,0.0322,0.26,0.000102,0.165,0.966,119.72,audio_features,37r6i0GTqgR05rGe5wNhmp,spotify:track:37r6i0GTqgR05rGe5wNhmp,https://api.spotify.com/v1/tracks/37r6i0GTqgR05rGe5wNhmp,https://api.spotify.com/v1/audio-analysis/37r6i0GTqgR05rGe5wNhmp,200213,4
0.33,0.936,1,-3.66,1,0.0917,0.00108,0,0.0926,0.234,148.112,audio_features,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4
0.611,0.948,1,-3.751,0,0.0753,0.00183,0.0995,0.0969,0.79,133.004,audio_features,11EvmoyFXs3aQMgAvL6DOZ,spotify:track:11EvmoyFXs3aQMgAvL6DOZ,https://api.spotify.com/v1/tracks/11EvmoyFXs3aQMgAvL6DOZ,https://api.spotify.com/v1/audio-analysis/11EvmoyFXs3aQMgAvL6DOZ,174920,4
0.331,0.913,5,-2.929,1,0.0367,1.53e-05,0.0225,0.131,0.818,207.838,audio_features,2x4F1O1fGO6yj860N2Or0N,spotify:track:2x4F1O1fGO6yj860N2Or0N,https://api.spotify.com/v1/tracks/2x4F1O1fGO6yj860N2Or0N,https://api.spotify.com/v1/audio-analysis/2x4F1O1fGO6yj860N2Or0N,198880,4
0.616,0.88,1,-3.59,1,0.042,0.0521,0.000717,0.0539,0.751,94.011,audio_features,53Pxg9qjICEj0OT5qFg74D,spotify:track:53Pxg9qjICEj0OT5qFg74D,https://api.spotify.com/v1/tracks/53Pxg9qjICEj0OT5qFg74D,https://api.spotify.com/v1/audio-analysis/53Pxg9qjICEj0OT5qFg74D,182518,4
0.56,0.901,8,-4.481,0,0.032,0.00025,0.134,0.299,0.807,132.009,audio_features,18oWEPapjNt32E6sCM6VLb,spotify:track:18oWEPapjNt32E6sCM6VLb,https://api.spotify.com/v1/tracks/18oWEPapjNt32E6sCM6VLb,https://api.spotify.com/v1/audio-analysis/18oWEPapjNt32E6sCM6VLb,221000,4
0.516,0.781,8,-4.004,0,0.0364,0.00136,0.000735,0.11,0.897,116.793,audio_features,7oXRMDUzBPekkLRTJhSGvC,spotify:track:7oXRMDUzBPekkLRTJhSGvC,https://api.spotify.com/v1/tracks/7oXRMDUzBPekkLRTJhSGvC,https://api.spotify.com/v1/audio-analysis/7oXRMDUzBPekkLRTJhSGvC,235587,4
0.547,0.635,2,-5.569,1,0.137,0.0127,5.01e-06,0.0585,0.525,113.678,audio_features,6golelYKuy85o3u0cxIxFK,spotify:track:6golelYKuy85o3u0cxIxFK,https://api.spotify.com/v1/tracks/6golelYKuy85o3u0cxIxFK,https://api.spotify.com/v1/audio-analysis/6golelYKuy85o3u0cxIxFK,245293,4
0.611,0.931,9,-5.043,1,0.0921,0.00966,0.000125,0.593,0.9,122.0,audio_features,45CD4jgJgzHzlXVN9QasqM,spotify:track:45CD4jgJgzHzlXVN9QasqM,https://api.spotify.com/v1/tracks/45CD4jgJgzHzlXVN9QasqM,https://api.spotify.com/v1/audio-analysis/45CD4jgJgzHzlXVN9QasqM,224253,4
