danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.205,0.277,0,-22.108,0,0.0877,0.988,0.895,0.107,0.336,58.995,audio_features,3N6SYmgB9iOGY4GhoUdUwZ,spotify:track:3N6SYmgB9iOGY4GhoUdUwZ,https://api.spotify.com/v1/tracks/3N6SYmgB9iOGY4GhoUdUwZ,https://api.spotify.com/v1/audio-analysis/3N6SYmgB9iOGY4GhoUdUwZ,205751,5
0.321,0.239,9,-24.434,0,0.119,0.814,0.0408,0.141,0.0829,168.732,audio_features,3s0TavH4FKVVWbipYyjSsm,spotify:track:3s0TavH4FKVVWbipYyjSsm,https://api.spotify.com/v1/tracks/3s0TavH4FKVVWbipYyjSsm,https://api.spotify.com/v1/audio-analysis/3s0TavH4FKVVWbipYyjSsm,311717,4
0.432,0.533,5,-7.959,0,0.169,0.681,0.89,0.195,0.236,139.52,audio_features,7q7HZPbEy3XeEPDj63DUpO,spotify:track:7q7HZPbEy3XeEPDj63DUpO,https://api.spotify.com/v1/tracks/7q7HZPbEy3XeEPDj63DUpO,https://api.spotify.com/v1/audio-analysis/7q7HZPbEy3XeEPDj63DUpO,211450,1
0.241,0.724,7,-8.185,1,0.406,0.0284,0.777,0.253,0.0769,173.471,audio_features,2w1tmNQZfcpYZeUlVqyFja,spotify:track:2w1tmNQZfcpYZeUlVqyFja,https://api.spotify.com/v1/tracks/2w1tmNQZfcpYZeUlVqyFja,https://api.spotify.com/v1/audio-analysis/2w1tmNQZfcpYZeUlVqyFja,154093,4
0.336,0.477,1,-9.958,1,0.0904,0.0422,0.0193,0.0491,0.356,174.257,audio_features,4173CM6V0N8QAAP9YujacR,spotify:track:4173CM6V0N8QAAP9YujacR,https://api.spotify.com/v1/tracks/4173CM6V0N8QAAP9YujacR,https://api.spotify.com/v1/audio-analysis/4173CM6V0N8QAAP9YujacR,124154,5
0.833,0.376,4,-15.322,0,0.268,0.829,0.637,0.0927,0.726,114.642,audio_features,5gSexJPU4IGp43hFy7jl8w,spotify:track:5gSexJPU4IGp43hFy7jl8w,https://api.spotify.com/v1/tracks/5gSexJPU4IGp43hFy7jl8w,https://api.spotify.com/v1/audio-analysis/5gSexJPU4IGp43hFy7jl8w,138411,3
0.292,0.495,7,-13.57,1,0.054,0.027,0.753,0.116,0.278,80.251,audio_features,2c66m8lqKR0P9LqKjVzcf6,spotify:track:2c66m8lqKR0P9LqKjVzcf6,https://api.spotify.com/v1/tracks/2c66m8lqKR0P9LqKjVzcf6,https://api.spotify.com/v1/audio-analysis/2c66m8lqKR0P9LqKjVzcf6,139237,4
0.713,0.42,1,-12.426,1,0.0515,0.00254,0.77,0.117,0.0506,124.086,audio_features,6UGZZj09qKRAdKDj9IDC2z,spotify:track:6UGZZj09qKRAdKDj9IDC2z,https://api.spotify.com/v1/tracks/6UGZZj09qKRAdKDj9IDC2z,https://api.spotify.com/v1/audio-analysis/6UGZZj09qKRAdKDj9IDC2z,252540,4
0.788,0.603,9,-18.772,0,0.0429,0.629,0.9,0.096,0.395,137.098,audio_features,4vUYQyX303JFEcrU2syt4i,spotify:track:4vUYQyX303JFEcrU2syt4i,https://api.spotify.com/v1/tracks/4vUYQyX303JFEcrU2syt4i,https://api.spotify.com/v1/audio-analysis/4vUYQyX303JFEcrU2syt4i,322707,3
0.566,0.424,6,-13.744,1,0.124,0.266,0.826,0.114,0.0372,124.379,audio_features,1tVj128j4ifNQDzK47Outq,spotify:track:1tVj128j4ifNQDzK47Outq,https://api.spotify.com/v1/tracks/1tVj128j4ifNQDzK47Outq,https://api.spotify.com/v1/audio-analysis/1tVj128j4ifNQDzK47Outq,341360,3
0.325,0.251,9,-12.313,0,0.0768,0.322,0.113,0.108,0.0675,86.854,audio_features,2quJSRbwVbjqkmUazyJ5Li,spotify:track:2quJSRbwVbjqkmUazyJ5Li,https://api.spotify.com/v1/tracks/2quJSRbwVbjqkmUazyJ5Li,https://api.spotify.com/v1/audio-analysis/2quJSRbwVbjqkmUazyJ5Li,156942,1
