danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.598,0.952,7,-5.307,1,0.0457,0.0198,0.897,0.259,0.792,121.116,audio_features,1r3TvY6cbLPKK8jDL4YBpl,spotify:track:1r3TvY6cbLPKK8jDL4YBpl,https://api.spotify.com/v1/tracks/1r3TvY6cbLPKK8jDL4YBpl,https://api.spotify.com/v1/audio-analysis/1r3TvY6cbLPKK8jDL4YBpl,202080,4
0.468,0.917,5,-5.378,1,0.0576,0.116,0.5,0.425,0.832,124.936,audio_features,4Z9SerpewKwhFm2Y1fTTh8,spotify:track:4Z9SerpewKwhFm2Y1fTTh8,https://api.spotify.com/v1/tracks/4Z9SerpewKwhFm2Y1fTTh8,https://api.spotify.com/v1/audio-analysis/4Z9SerpewKwhFm2Y1fTTh8,187878,4
0.574,0.304,6,-14.858,1,0.0284,0.667,0.00898,0.232,0.545,85.731,audio_features,1LTrd0Yt7jsZ7vM5lSifz2,spotify:track:1LTrd0Yt7jsZ7vM5lSifz2,https://api.spotify.com/v1/tracks/1LTrd0Yt7jsZ7vM5lSifz2,https://api.spotify.com/v1/audio-analysis/1LTrd0Yt7jsZ7vM5lSifz2,157613,4
0.623,0.581,7,-12.115,1,0.0493,0.00288,0.698,0.0709,0.685,122.389,audio_features,4HYXOzowy5B0m6YzZIrHjp,spotify:track:4HYXOzowy5B0m6YzZIrHjp,https://api.spotify.com/v1/tracks/4HYXOzowy5B0m6YzZIrHjp,https://api.spotify.com/v1/audio-analysis/4HYXOzowy5B0m6YzZIrHjp,283920,4
0.692,0.775,6,-4.372,0,0.197,0.208,0.000698,0.018,0.948,83.681,audio_features,1Ar7LGeS0lok20AQ5yx7zd,spotify:track:1Ar7LGeS0lok20AQ5yx7zd,https://api.spotify.com/v1/tracks/1Ar7LGeS0lok20AQ5yx7zd,https://api.spotify.com/v1/audio-analysis/1Ar7LGeS0lok20AQ5yx7zd,267533,4
0.71,0.63,0,-8.146,1,0.0702,0.285,0,0.082,0.945,114.796,audio_features,7vPKWznzwvayXsJP3DfCTp,spotify:track:7vPKWznzwvayXsJP3DfCTp,https://api.spotify.com/v1/tracks/7vPKWznzwvayXsJP3DfCTp,https://api.spotify.com/v1/audio-analysis/7vPKWznzwvayXsJP3DfCTp,119560,4
0.802,0.915,7,-3.201,1,0.127,0.299,5.02e-05,0.0519,0.798,112.016,audio_features,4SffX9CEYhOrWBLFLVZu06,spotify:track:4SffX9CEYhOrWBLFLVZu06,https://api.spotify.com/v1/tracks/4SffX9CEYhOrWBLFLVZu06,https://api.spotify.com/v1/audio-analysis/4SffX9CEYhOrWBLFLVZu06,158573,4
0.735,0.528,5,-12.592,0,0.0683,0.0005,0.36,0.0477,0.831,132.836,audio_features,6J9rBgsm9USju9PkLf2exF,spotify:track:6J9rBgsm9USju9PkLf2exF,https://api.spotify.com/v1/tracks/6J9rBgsm9USju9PkLf2exF,https://api.spotify.com/v1/audio-analysis/6J9rBgsm9USju9PkLf2exF,339947,4
0.792,0.676,2,-11.206,1,0.0657,0.648,0.0975,0.145,0.961,116.116,audio_features,0lxDL4c5xQQJskltQigwl0,spotify:track:0lxDL4c5xQQJskltQigwl0,https://api.spotify.com/v1/tracks/0lxDL4c5xQQJskltQigwl0,https://api.spotify.com/v1/audio-analysis/0lxDL4c5xQQJskltQigwl0,310987,4
0.803,0.759,5,-7.705,1,0.052,0.0127,0.898,0.0271,0.869,110.026,audio_features,2hKKfVb8vNmnB1w7fKsjer,spotify:track:2hKKfVb8vNmnB1w7fKsjer,https://api.spotify.com/v1/tracks/2hKKfVb8vNmnB1w7fKsjer,https://api.spotify.com/v1/audio-analysis/2hKKfVb8vNmnB1w7fKsjer,268173,4
0.768,0.433,4,-9.892,0,0.0311,0.219,7.86e-05,0.111,0.678,117.133,audio_features,6hiC8xqNTsMV5Zxmtm2nmS,spotify:track:6hiC8xqNTsMV5Zxmtm2nmS,https://api.spotify.com/v1/tracks/6hiC8xqNTsMV5Zxmtm2nmS,https://api.spotify.com/v1/audio-analysis/6hiC8xqNTsMV5Zxmtm2nmS,221960,4
0.869,0.475,0,-14.629,0,0.0457,0.0144,0.416,0.0595,0.402,116.665,audio_features,1tj96AJC3zJuEvTVicGkjE,spotify:track:1tj96AJC3zJuEvTVicGkjE,https://api.spotify.com/v1/tracks/1tj96AJC3zJuEvTVicGkjE,https://api.spotify.com/v1/audio-analysis/1tj96AJC3zJuEvTVicGkjE,437174,4
0.625,0.555,9,-14.699,0,0.0344,0.101,0.0287,0.0385,0.966,112.932,audio_features,4uPwFYv9tR2pf5q148teGL,spotify:track:4uPwFYv9tR2pf5q148teGL,https://api.spotify.com/v1/tracks/4uPwFYv9tR2pf5q148teGL,https://api.spotify.com/v1/audio-analysis/4uPwFYv9tR2pf5q148teGL,209267,4
0.813,0.799,7,-9.207,1,0.0451,0.0195,0.000634,0.152,0.866,113.049,audio_features,21DMKVYI7e4RubuejojLni,spotify:track:21DMKVYI7e4RubuejojLni,https://api.spotify.com/v1/tracks/21DMKVYI7e4RubuejojLni,https://api.spotify.com/v1/audio-analysis/21DMKVYI7e4RubuejojLni,459000,4
