danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.546,0.76,8,-6.763,1,0.0428,0.265,7.47e-05,0.0948,0.447,151.456,audio_features,3ePbSxBnTdAkPswCEvTmhp,spotify:track:3ePbSxBnTdAkPswCEvTmhp,https://api.spotify.com/v1/tracks/3ePbSxBnTdAkPswCEvTmhp,https://api.spotify.com/v1/audio-analysis/3ePbSxBnTdAkPswCEvTmhp,201413,4
0.431,0.588,9,-6.855,1,0.0348,0.0169,0.00689,0.368,0.183,143.975,audio_features,5ITmuvjtUUdxVQCCsaKBDx,spotify:track:5ITmuvjtUUdxVQCCsaKBDx,https://api.spotify.com/v1/tracks/5ITmuvjtUUdxVQCCsaKBDx,https://api.spotify.com/v1/audio-analysis/5ITmuvjtUUdxVQCCsaKBDx,200322,4
0.522,0.746,8,-6.999,1,0.0422,0.0594,0.00103,0.257,0.404,102.093,audio_features,0W4sXm430e78yQCgcvEXwp,spotify:track:0W4sXm430e78yQCgcvEXwp,https://api.spotify.com/v1/tracks/0W4sXm430e78yQCgcvEXwp,https://api.spotify.com/v1/audio-analysis/0W4sXm430e78yQCgcvEXwp,220333,4
0.506,0.789,9,-4.939,1,0.0404,0.0132,0.000749,0.364,0.359,119.946,audio_features,6PRr6dzkiaLTGbkLSdQCvL,spotify:track:6PRr6dzkiaLTGbkLSdQCvL,https://api.spotify.com/v1/tracks/6PRr6dzkiaLTGbkLSdQCvL,https://api.spotify.com/v1/audio-analysis/6PRr6dzkiaLTGbkLSdQCvL,279500,4
0.626,0.569,1,-12.923,1,0.0345,0.401,0.038,0.106,0.273,124.013,audio_features,3ZGxQmZok15B4uxqmhRsj7,spotify:track:3ZGxQmZok15B4uxqmhRsj7,https://api.spotify.com/v1/tracks/3ZGxQmZok15B4uxqmhRsj7,https://api.spotify.com/v1/audio-analysis/3ZGxQmZok15B4uxqmhRsj7,256419,4
0.48,0.79,4,-7.775,1,0.0353,0.472,0.713,0.155,0.446,111.025,audio_features,33faLM9uNVtibuZIb37MOV,spotify:track:33faLM9uNVtibuZIb37MOV,https://api.spotify.com/v1/tracks/33faLM9uNVtibuZIb37MOV,https://api.spotify.com/v1/audio-analysis/33faLM9uNVtibuZIb37MOV,241707,4
0.605,0.692,1,-9.002,1,0.0342,0.4,0.00246,0.111,0.841,116.25,audio_features,7IkZ5KtGsJ95M5rrpdmscs,spotify:track:7IkZ5KtGsJ95M5rrpdmscs,https://api.spotify.com/v1/tracks/7IkZ5KtGsJ95M5rrpdmscs,https://api.spotify.com/v1/audio-analysis/7IkZ5KtGsJ95M5rrpdmscs,156080,4
0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,audio_features,3d8y0t70g7hw2FOWl9Z4Fm,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,https://api.spotify.com/v1/tracks/3d8y0t70g7hw2FOWl9Z4Fm,https://api.spotify.com/v1/audio-analysis/3d8y0t70g7hw2FOWl9Z4Fm,160097,4
0.624,0.513,6,-8.438,1,0.0281,0.32,0.00556,0.0852,0.134,126.013,audio_features,7BKHmZkdKBh47x1kA0W1Av,spotify:track:7BKHmZkdKBh47x1kA0W1Av,https://api.spotify.com/v1/tracks/7BKHmZkdKBh47x1kA0W1Av,https://api.spotify.com/v1/audio-analysis/7BKHmZkdKBh47x1kA0W1Av,191733,4
0.519,0.512,5,-7.986,1,0.0282,0.0276,8.78e-05,0.0976,0.441,138.596,audio_features,2BBkIgdXLv5vyp1DR0wpQl,spotify:track:2BBkIgdXLv5vyp1DR0wpQl,https://api.spotify.com/v1/tracks/2BBkIgdXLv5vyp1DR0wpQl,https://api.spotify.com/v1/audio-analysis/2BBkIgdXLv5vyp1DR0wpQl,246973,4
