danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.744,0.543,2,-12.96,1,0.0598,0.228,0.687,0.109,0.39,105.003,audio_features,6NIcU82t5vPNi2ctVVXefP,spotify:track:6NIcU82t5vPNi2ctVVXefP,https://api.spotify.com/v1/tracks/6NIcU82t5vPNi2ctVVXefP,https://api.spotify.com/v1/audio-analysis/6NIcU82t5vPNi2ctVVXefP,630825,4
0.752,0.628,6,-11.062,0,0.0541,0.358,0.0121,0.113,0.461,110.219,audio_features,17O9Wzgmr7fGUzHha1ENjB,spotify:track:17O9Wzgmr7fGUzHha1ENjB,https://api.spotify.com/v1/tracks/17O9Wzgmr7fGUzHha1ENjB,https://api.spotify.com/v1/audio-analysis/17O9Wzgmr7fGUzHha1ENjB,400726,4
0.841,0.357,8,-12.945,1,0.0735,0.0794,0.844,0.11,0.261,117.998,audio_features,60cGDxDszGrXoWwRZSCKk8,spotify:track:60cGDxDszGrXoWwRZSCKk8,https://api.spotify.com/v1/tracks/60cGDxDszGrXoWwRZSCKk8,https://api.spotify.com/v1/audio-analysis/60cGDxDszGrXoWwRZSCKk8,459277,4
0.71,0.573,2,-10.889,1,0.0498,0.0127,0.788,0.0871,0.279,99.995,audio_features,0cX5GAhqkM8kcM4vuRTeji,spotify:track:0cX5GAhqkM8kcM4vuRTeji,https://api.spotify.com/v1/tracks/0cX5GAhqkM8kcM4vuRTeji,https://api.spotify.com/v1/audio-analysis/0cX5GAhqkM8kcM4vuRTeji,412251,4
0.881,0.186,4,-17.428,1,0.0537,0.113,0.808,0.0885,0.0539,114.003,audio_features,0eqMS6Iwr6W93Pl5PVRIaA,spotify:track:0eqMS6Iwr6W93Pl5PVRIaA,https://api.spotify.com/v1/tracks/0eqMS6Iwr6W93Pl5PVRIaA,https://api.spotify.com/v1/audio-analysis/0eqMS6Iwr6W93Pl5PVRIaA,406883,4
0.858,0.348,11,-10.909,0,0.248,0.00549,0.792,0.0629,0.473,124.016,audio_features,0hNlr56UPvigGSyCVdAOMi,spotify:track:0hNlr56UPvigGSyCVdAOMi,https://api.spotify.com/v1/tracks/0hNlr56UPvigGSyCVdAOMi,https://api.spotify.com/v1/audio-analysis/0hNlr56UPvigGSyCVdAOMi,391993,4
0.703,0.421,5,-16.18,0,0.0588,0.333,0.708,0.647,0.236,118.005,audio_features,2MvBQVGPEEMQixRYu3HWea,spotify:track:2MvBQVGPEEMQixRYu3HWea,https://api.spotify.com/v1/tracks/2MvBQVGPEEMQixRYu3HWea,https://api.spotify.com/v1/audio-analysis/2MvBQVGPEEMQixRYu3HWea,369146,4
0.674,0.496,10,-14.709,0,0.0357,0.281,0.929,0.11,0.398,112.011,audio_features,2pOaeeEj3eSRMMLlftPNHX,spotify:track:2pOaeeEj3eSRMMLlftPNHX,https://api.spotify.com/v1/tracks/2pOaeeEj3eSRMMLlftPNHX,https://api.spotify.com/v1/audio-analysis/2pOaeeEj3eSRMMLlftPNHX,404819,4
0.867,0.414,2,-12.909,1,0.0544,0.000142,0.937,0.0594,0.419,115.0,audio_features,2Wn1vwxCPtTOe0Iidr4iq2,spotify:track:2Wn1vwxCPtTOe0Iidr4iq2,https://api.spotify.com/v1/tracks/2Wn1vwxCPtTOe0Iidr4iq2,https://api.spotify.com/v1/audio-analysis/2Wn1vwxCPtTOe0Iidr4iq2,576000,4
0.717,0.465,3,-13.036,0,0.0405,0.259,0.922,0.145,0.534,104.995,audio_features,3rkge8kur9i26zpByFKvBu,spotify:track:3rkge8kur9i26zpByFKvBu,https://api.spotify.com/v1/tracks/3rkge8kur9i26zpByFKvBu,https://api.spotify.com/v1/audio-analysis/3rkge8kur9i26zpByFKvBu,483000,4
0.808,0.408,7,-12.154,1,0.0566,0.00481,0.844,0.0822,0.277,116.01,audio_features,6vPKaSU6vsC5OOzcobh8YQ,spotify:track:6vPKaSU6vsC5OOzcobh8YQ,https://api.spotify.com/v1/tracks/6vPKaSU6vsC5OOzcobh8YQ,https://api.spotify.com/v1/audio-analysis/6vPKaSU6vsC5OOzcobh8YQ,401379,4
