danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.115,0.301,0,-13.321,1,0.0449,0.637,0.935,0.154,0.0409,77.276,audio_features,3SOZcwfezNCWKs2vukSELD,spotify:track:3SOZcwfezNCWKs2vukSELD,https://api.spotify.com/v1/tracks/3SOZcwfezNCWKs2vukSELD,https://api.spotify.com/v1/audio-analysis/3SOZcwfezNCWKs2vukSELD,109667,4
0.364,0.349,10,-13.279,0,0.0321,0.931,0.94,0.11,0.0891,65.427,audio_features,3jXfwUyFAw12FvTZWbwHAT,spotify:track:3jXfwUyFAw12FvTZWbwHAT,https://api.spotify.com/v1/tracks/3jXfwUyFAw12FvTZWbwHAT,https://api.spotify.com/v1/audio-analysis/3jXfwUyFAw12FvTZWbwHAT,115240,4
0.357,0.32,5,-13.994,0,0.0394,0.903,0.842,0.0713,0.148,109.258,audio_features,39FIII6YTroEGA2G3xJPzI,spotify:track:39FIII6YTroEGA2G3xJPzI,https://api.spotify.com/v1/tracks/39FIII6YTroEGA2G3xJPzI,https://api.spotify.com/v1/audio-analysis/39FIII6YTroEGA2G3xJPzI,542293,4
0.101,0.157,5,-17.57,1,0.0337,0.585,0.815,0.129,0.0373,89.401,audio_features,3GcIigChGpDn0s8siSqA5a,spotify:track:3GcIigChGpDn0s8siSqA5a,https://api.spotify.com/v1/tracks/3GcIigChGpDn0s8siSqA5a,https://api.spotify.com/v1/audio-analysis/3GcIigChGpDn0s8siSqA5a,490893,4
0.278,0.136,4,-18.548,1,0.0446,0.896,0.671,0.209,0.093,103.339,audio_features,3QaPlDueCFnbJdPCeK0RbM,spotify:track:3QaPlDueCFnbJdPCeK0RbM,https://api.spotify.com/v1/tracks/3QaPlDueCFnbJdPCeK0RbM,https://api.spotify.com/v1/audio-analysis/3QaPlDueCFnbJdPCeK0RbM,695107,4
0.352,0.38,9,-14.878,1,0.0404,0.988,0.882,0.103,0.0397,130.423,audio_features,0mal0d1xYVQ4fc96EgPRQI,spotify:track:0mal0d1xYVQ4fc96EgPRQI,https://api.spotify.com/v1/tracks/0mal0d1xYVQ4fc96EgPRQI,https://api.spotify.com/v1/audio-analysis/0mal0d1xYVQ4fc96EgPRQI,174973,3
0.294,0.244,2,-17.235,1,0.0383,0.509,0.912,0.0978,0.063,117.547,audio_features,621d2gH9rEDEvHf5HbxYDR,spotify:track:621d2gH9rEDEvHf5HbxYDR,https://api.spotify.com/v1/tracks/621d2gH9rEDEvHf5HbxYDR,https://api.spotify.com/v1/audio-analysis/621d2gH9rEDEvHf5HbxYDR,294600,4
0.299,0.0822,2,-22.218,0,0.0336,0.982,0.895,0.158,0.0884,75.396,audio_features,5Fqf1j8TjqwJwlr7OJVQ55,spotify:track:5Fqf1j8TjqwJwlr7OJVQ55,https://api.spotify.com/v1/tracks/5Fqf1j8TjqwJwlr7OJVQ55,https://api.spotify.com/v1/audio-analysis/5Fqf1j8TjqwJwlr7OJVQ55,585727,4
0.0688,0.12,4,-19.178,1,0.0381,0.862,0.889,0.0957,0.0361,74.043,audio_features,4bjAQljq5vfoB8YUTUC05l,spotify:track:4bjAQljq5vfoB8YUTUC05l,https://api.spotify.com/v1/tracks/4bjAQljq5vfoB8YUTUC05l,https://api.spotify.com/v1/audio-analysis/4bjAQljq5vfoB8YUTUC05l,880227,3
0.339,0.0751,2,-17.971,1,0.0395,0.934,0.827,0.0999,0.158,138.194,audio_features,0NFO85vWTMQK6gE9aH3s8C,spotify:track:0NFO85vWTMQK6gE9aH3s8C,https://api.spotify.com/v1/tracks/0NFO85vWTMQK6gE9aH3s8C,https://api.spotify.com/v1/audio-analysis/0NFO85vWTMQK6gE9aH3s8C,461080,4
0.435,0.475,11,-13.228,1,0.0582,0.963,0.889,0.0761,0.067,103.751,audio_features,6FPxdOh0pOLjxdrqUL5RAJ,spotify:track:6FPxdOh0pOLjxdrqUL5RAJ,https://api.spotify.com/v1/tracks/6FPxdOh0pOLjxdrqUL5RAJ,https://api.spotify.com/v1/audio-analysis/6FPxdOh0pOLjxdrqUL5RAJ,310320,4
0.147,0.243,5,-23.058,1,0.0404,0.848,0.734,0.0989,0.118,92.179,audio_features,0oe58AtCgbMPTw2444NM9r,spotify:track:0oe58AtCgbMPTw2444NM9r,https://api.spotify.com/v1/tracks/0oe58AtCgbMPTw2444NM9r,https://api.spotify.com/v1/audio-analysis/0oe58AtCgbMPTw2444NM9r,345093,4
0.128,0.193,8,-15.989,1,0.0409,0.968,0.873,0.094,0.0383,76.971,audio_features,5fNogj9AIuwo0k5VSVe56V,spotify:track:5fNogj9AIuwo0k5VSVe56V,https://api.spotify.com/v1/tracks/5fNogj9AIuwo0k5VSVe56V,https://api.spotify.com/v1/audio-analysis/5fNogj9AIuwo0k5VSVe56V,615253,4
0.403,0.164,3,-20.547,1,0.036,0.985,0.894,0.0956,0.192,128.416,audio_features,7r956y9bYdBgUoyteztnsn,spotify:track:7r956y9bYdBgUoyteztnsn,https://api.spotify.com/v1/tracks/7r956y9bYdBgUoyteztnsn,https://api.spotify.com/v1/audio-analysis/7r956y9bYdBgUoyteztnsn,641067,4
0.292,0.164,1,-17.792,1,0.0342,0.912,0.0296,0.177,0.284,149.46,audio_features,7125Z776uNesKF0pNYU3lU,spotify:track:7125Z776uNesKF0pNYU3lU,https://api.spotify.com/v1/tracks/7125Z776uNesKF0pNYU3lU,https://api.spotify.com/v1/audio-analysis/7125Z776uNesKF0pNYU3lU,377200,4
0.298,0.471,1,-14.195,1,0.0449,0.948,0.498,0.0785,0.262,79.778,audio_features,4PStrLiPVx3lBs2oiE53Di,spotify:track:4PStrLiPVx3lBs2oiE53Di,https://api.spotify.com/v1/tracks/4PStrLiPVx3lBs2oiE53Di,https://api.spotify.com/v1/audio-analysis/4PStrLiPVx3lBs2oiE53Di,452493,4
0.238,0.159,4,-15.509,0,0.0342,0.897,0.855,0.0904,0.124,140.619,audio_features,61WPkxq6gvXSfJLTyzm62L,spotify:track:61WPkxq6gvXSfJLTyzm62L,https://api.spotify.com/v1/tracks/61WPkxq6gvXSfJLTyzm62L,https://api.spotify.com/v1/audio-analysis/61WPkxq6gvXSfJLTyzm62L,685000,4
0.548,0.352,0,-18.607,1,0.037,0.843,0.691,0.578,0.342,117.632,audio_features,6oDbGGZ5xMOALh95PfY0tf,spotify:track:6oDbGGZ5xMOALh95PfY0tf,https://api.spotify.com/v1/tracks/6oDbGGZ5xMOALh95PfY0tf,https://api.spotify.com/v1/audio-analysis/6oDbGGZ5xMOALh95PfY0tf,190961,4
0.175,0.192,5,-23.541,1,0.0508,0.684,0.838,0.137,0.039,107.535,audio_features,4oqf2EnhIUjQercmFiRdXA,spotify:track:4oqf2EnhIUjQercmFiRdXA,https://api.spotify.com/v1/tracks/4oqf2EnhIUjQercmFiRdXA,https://api.spotify.com/v1/audio-analysis/4oqf2EnhIUjQercmFiRdXA,1345413,4
0.192,0.0256,2,-23.898,1,0.0441,0.922,0.828,0.487,0.108,140.744,audio_features,0NemBSBw54olsRuZx1GANZ,spotify:track:0NemBSBw54olsRuZx1GANZ,https://api.spotify.com/v1/tracks/0NemBSBw54olsRuZx1GANZ,https://api.spotify.com/v1/audio-analysis/0NemBSBw54olsRuZx1GANZ,378907,4
