danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.608,0,-3.862,0,0,0.197,0,0.0887,0,0,audio_features,0iyMFE3ZPb2YoY3wUMkgY0,spotify:track:0iyMFE3ZPb2YoY3wUMkgY0,https://api.spotify.com/v1/tracks/0iyMFE3ZPb2YoY3wUMkgY0,https://api.spotify.com/v1/audio-analysis/0iyMFE3ZPb2YoY3wUMkgY0,14060,0
0.728,0.541,1,-5.664,1,0.0318,0.17,0,0.118,0.206,130.025,audio_features,0gCPvo1GkbtPhMqg5Gbx1K,spotify:track:0gCPvo1GkbtPhMqg5Gbx1K,https://api.spotify.com/v1/tracks/0gCPvo1GkbtPhMqg5Gbx1K,https://api.spotify.com/v1/audio-analysis/0gCPvo1GkbtPhMqg5Gbx1K,279613,4
0.807,0.681,11,-6.268,1,0.0983,0.423,0,0.0962,0.676,140.006,audio_features,5hcisvFMidkMJlElTO9Qmw,spotify:track:5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/tracks/5hcisvFMidkMJlElTO9Qmw,https://api.spotify.com/v1/audio-analysis/5hcisvFMidkMJlElTO9Qmw,297485,4
0.846,0.58,7,-3.146,1,0.286,0.446,0,0.0717,0.479,91.967,audio_features,0QQNA8bZqefrGfsShzlZkb,spotify:track:0QQNA8bZqefrGfsShzlZkb,https://api.spotify.com/v1/tracks/0QQNA8bZqefrGfsShzlZkb,https://api.spotify.com/v1/audio-analysis/0QQNA8bZqefrGfsShzlZkb,331431,4
0.677,0.708,9,-6.095,0,0.0824,0.366,0,0.771,0.695,80.994,audio_features,3SD75qrYAi4Fr3TmP1J0c7,spotify:track:3SD75qrYAi4Fr3TmP1J0c7,https://api.spotify.com/v1/tracks/3SD75qrYAi4Fr3TmP1J0c7,https://api.spotify.com/v1/audio-analysis/3SD75qrYAi4Fr3TmP1J0c7,191533,4
0.748,0.69,0,-3.812,0,0.0477,0.0353,0,0.315,0.433,131.972,audio_features,5hKjEpYrJIJs6uPl7zw6Y6,spotify:track:5hKjEpYrJIJs6uPl7zw6Y6,https://api.spotify.com/v1/tracks/5hKjEpYrJIJs6uPl7zw6Y6,https://api.spotify.com/v1/audio-analysis/5hKjEpYrJIJs6uPl7zw6Y6,233251,4
0.766,0.715,1,-3.025,1,0.231,0.348,0,0.098,0.555,128.085,audio_features,17nOaHsTn06jxuU9NpHuFU,spotify:track:17nOaHsTn06jxuU9NpHuFU,https://api.spotify.com/v1/tracks/17nOaHsTn06jxuU9NpHuFU,https://api.spotify.com/v1/audio-analysis/17nOaHsTn06jxuU9NpHuFU,191295,4
0.808,0.586,10,-7.242,0,0.169,0.641,0,0.14,0.568,124.041,audio_features,2FIm6YsSGL5acOqSuJDh5s,spotify:track:2FIm6YsSGL5acOqSuJDh5s,https://api.spotify.com/v1/tracks/2FIm6YsSGL5acOqSuJDh5s,https://api.spotify.com/v1/audio-analysis/2FIm6YsSGL5acOqSuJDh5s,263288,4
0.662,0.628,1,-3.889,1,0.0468,0.145,0,0.274,0.202,139.898,audio_features,21lnmphofXWWeSSx0PEMjc,spotify:track:21lnmphofXWWeSSx0PEMjc,https://api.spotify.com/v1/tracks/21lnmphofXWWeSSx0PEMjc,https://api.spotify.com/v1/audio-analysis/21lnmphofXWWeSSx0PEMjc,283002,4
0.755,0.72,1,-4.215,0,0.0826,0.348,0,0.168,0.713,175.93,audio_features,4ojwGTehgBRAg52jbFgzJg,spotify:track:4ojwGTehgBRAg52jbFgzJg,https://api.spotify.com/v1/tracks/4ojwGTehgBRAg52jbFgzJg,https://api.spotify.com/v1/audio-analysis/4ojwGTehgBRAg52jbFgzJg,187493,4
0.775,0.671,2,-7.27,1,0.314,0.348,0,0.116,0.327,124.009,audio_features,2rEkxxDFjrbiNjZZvzZf5q,spotify:track:2rEkxxDFjrbiNjZZvzZf5q,https://api.spotify.com/v1/tracks/2rEkxxDFjrbiNjZZvzZf5q,https://api.spotify.com/v1/audio-analysis/2rEkxxDFjrbiNjZZvzZf5q,308454,4
0.783,0.653,7,-1.964,1,0.272,0.673,0.00316,0.12,0.41,91.964,audio_features,10nQ3Pj0o1XotcikgJPVKD,spotify:track:10nQ3Pj0o1XotcikgJPVKD,https://api.spotify.com/v1/tracks/10nQ3Pj0o1XotcikgJPVKD,https://api.spotify.com/v1/audio-analysis/10nQ3Pj0o1XotcikgJPVKD,170765,4
0.718,0.462,3,-9.452,0,0.0614,0.534,0,0.103,0.501,121.933,audio_features,2joKSGkqac0LIwYG9Ghrwq,spotify:track:2joKSGkqac0LIwYG9Ghrwq,https://api.spotify.com/v1/tracks/2joKSGkqac0LIwYG9Ghrwq,https://api.spotify.com/v1/audio-analysis/2joKSGkqac0LIwYG9Ghrwq,243560,4
