danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.848,0.457,1,-9.957,1,0.117,0.171,0.000739,0.0994,0.747,66.657,audio_features,2maX7QoDzQLw0uUEeHXcLa,spotify:track:2maX7QoDzQLw0uUEeHXcLa,https://api.spotify.com/v1/tracks/2maX7QoDzQLw0uUEeHXcLa,https://api.spotify.com/v1/audio-analysis/2maX7QoDzQLw0uUEeHXcLa,168160,5
0.788,0.721,11,-4.577,1,0.152,0.424,2.86e-06,0.0897,0.653,105.23,audio_features,6U9jxxdQ6TNzjshIpwWMTf,spotify:track:6U9jxxdQ6TNzjshIpwWMTf,https://api.spotify.com/v1/tracks/6U9jxxdQ6TNzjshIpwWMTf,https://api.spotify.com/v1/audio-analysis/6U9jxxdQ6TNzjshIpwWMTf,182857,4
0.928,0.675,5,-3.535,1,0.0566,0.379,0,0.0533,0.794,105.952,audio_features,4ou5xyFUJX4VwX76tw1qb1,spotify:track:4ou5xyFUJX4VwX76tw1qb1,https://api.spotify.com/v1/tracks/4ou5xyFUJX4VwX76tw1qb1,https://api.spotify.com/v1/audio-analysis/4ou5xyFUJX4VwX76tw1qb1,240000,4
0.773,0.47,1,-8.875,0,0.0464,0.0187,0.348,0.0653,0.584,125.946,audio_features,722iXorvn0AHuNnT4d62eB,spotify:track:722iXorvn0AHuNnT4d62eB,https://api.spotify.com/v1/tracks/722iXorvn0AHuNnT4d62eB,https://api.spotify.com/v1/audio-analysis/722iXorvn0AHuNnT4d62eB,398378,4
0.814,0.764,0,-7.944,0,0.053,0.0794,0.0174,0.0696,0.899,125.026,audio_features,1qNz5rynw3I9LU8uQRETsO,spotify:track:1qNz5rynw3I9LU8uQRETsO,https://api.spotify.com/v1/tracks/1qNz5rynw3I9LU8uQRETsO,https://api.spotify.com/v1/audio-analysis/1qNz5rynw3I9LU8uQRETsO,224680,4
0.812,0.657,1,-2.77,1,0.0738,0.496,0.0024,0.091,0.749,109.998,audio_features,5uMwuzrvG2377KmsOnEmcg,spotify:track:5uMwuzrvG2377KmsOnEmcg,https://api.spotify.com/v1/tracks/5uMwuzrvG2377KmsOnEmcg,https://api.spotify.com/v1/audio-analysis/5uMwuzrvG2377KmsOnEmcg,250920,4
0.786,0.518,8,-7.828,0,0.22,0.0906,0.0023,0.101,0.913,201.967,audio_features,5ALlX5VSkQHDtxIfVGlH7n,spotify:track:5ALlX5VSkQHDtxIfVGlH7n,https://api.spotify.com/v1/tracks/5ALlX5VSkQHDtxIfVGlH7n,https://api.spotify.com/v1/audio-analysis/5ALlX5VSkQHDtxIfVGlH7n,205244,4
0.553,0.553,6,-6.818,0,0.305,0.305,0.0581,0.0715,0.664,72.949,audio_features,3ddd0nUY2jZtPYzg0r0wTb,spotify:track:3ddd0nUY2jZtPYzg0r0wTb,https://api.spotify.com/v1/tracks/3ddd0nUY2jZtPYzg0r0wTb,https://api.spotify.com/v1/audio-analysis/3ddd0nUY2jZtPYzg0r0wTb,242893,3
0.601,0.681,9,-5.171,1,0.324,0.58,0,0.0934,0.546,98.078,audio_features,19djjZHUwqKJbVfYlZ1d5o,spotify:track:19djjZHUwqKJbVfYlZ1d5o,https://api.spotify.com/v1/tracks/19djjZHUwqKJbVfYlZ1d5o,https://api.spotify.com/v1/audio-analysis/19djjZHUwqKJbVfYlZ1d5o,197973,4
0.863,0.608,9,-7.539,0,0.0728,0.0403,0.21,0.11,0.859,105.034,audio_features,5zVOc0A598i0IG5TKVw45J,spotify:track:5zVOc0A598i0IG5TKVw45J,https://api.spotify.com/v1/tracks/5zVOc0A598i0IG5TKVw45J,https://api.spotify.com/v1/audio-analysis/5zVOc0A598i0IG5TKVw45J,217143,4
