danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.531,0.817,10,-4.553,1,0.0756,0.381,0,0.113,0.55,75.015,audio_features,6wwe8jstI8WLapK9nkTo73,spotify:track:6wwe8jstI8WLapK9nkTo73,https://api.spotify.com/v1/tracks/6wwe8jstI8WLapK9nkTo73,https://api.spotify.com/v1/audio-analysis/6wwe8jstI8WLapK9nkTo73,191428,4
0.508,0.759,8,-4.716,1,0.0299,0.121,0,0.0869,0.694,183.985,audio_features,6cmc3WmJ33uEYTjDw755Ak,spotify:track:6cmc3WmJ33uEYTjDw755Ak,https://api.spotify.com/v1/tracks/6cmc3WmJ33uEYTjDw755Ak,https://api.spotify.com/v1/audio-analysis/6cmc3WmJ33uEYTjDw755Ak,169420,4
0.644,0.713,9,-7.148,0,0.0547,0.0144,0,0.0829,0.468,95.999,audio_features,4ZwLDLTkFfy45yYA39kYOQ,spotify:track:4ZwLDLTkFfy45yYA39kYOQ,https://api.spotify.com/v1/tracks/4ZwLDLTkFfy45yYA39kYOQ,https://api.spotify.com/v1/audio-analysis/4ZwLDLTkFfy45yYA39kYOQ,192840,4
0.46,0.821,4,-5.333,0,0.0404,0.0528,0,0.0818,0.438,164.144,audio_features,2OFvjqQ5xHaWqH3EQ4K3S9,spotify:track:2OFvjqQ5xHaWqH3EQ4K3S9,https://api.spotify.com/v1/tracks/2OFvjqQ5xHaWqH3EQ4K3S9,https://api.spotify.com/v1/audio-analysis/2OFvjqQ5xHaWqH3EQ4K3S9,191733,4
0.709,0.571,9,-7.617,1,0.0405,0.0466,0,0.106,0.51,93.957,audio_features,65wnZsZLKJimfK1cTFOfa1,spotify:track:65wnZsZLKJimfK1cTFOfa1,https://api.spotify.com/v1/tracks/65wnZsZLKJimfK1cTFOfa1,https://api.spotify.com/v1/audio-analysis/65wnZsZLKJimfK1cTFOfa1,185281,4
0.597,0.751,8,-4.357,1,0.0508,0.318,0,0.159,0.361,130.004,audio_features,28kwCJWzvRK78ETE7yukHe,spotify:track:28kwCJWzvRK78ETE7yukHe,https://api.spotify.com/v1/tracks/28kwCJWzvRK78ETE7yukHe,https://api.spotify.com/v1/audio-analysis/28kwCJWzvRK78ETE7yukHe,202620,4
0.665,0.621,10,-8.571,1,0.0524,0.38,0,0.119,0.632,147.975,audio_features,0kdiUZDcLIFw0Buo9r0Q4z,spotify:track:0kdiUZDcLIFw0Buo9r0Q4z,https://api.spotify.com/v1/tracks/0kdiUZDcLIFw0Buo9r0Q4z,https://api.spotify.com/v1/audio-analysis/0kdiUZDcLIFw0Buo9r0Q4z,222400,4
0.56,0.883,10,-4.938,1,0.0551,0.211,0,0.131,0.575,120.027,audio_features,0KXcIgf5nLLT1KDRLTmu6r,spotify:track:0KXcIgf5nLLT1KDRLTmu6r,https://api.spotify.com/v1/tracks/0KXcIgf5nLLT1KDRLTmu6r,https://api.spotify.com/v1/audio-analysis/0KXcIgf5nLLT1KDRLTmu6r,157640,4
0.616,0.362,0,-8.475,1,0.0304,0.577,0,0.23,0.653,100.067,audio_features,2HG2aqQw1yxNha29TbkK0X,spotify:track:2HG2aqQw1yxNha29TbkK0X,https://api.spotify.com/v1/tracks/2HG2aqQw1yxNha29TbkK0X,https://api.spotify.com/v1/audio-analysis/2HG2aqQw1yxNha29TbkK0X,180855,4
0.791,0.715,7,-5.809,1,0.0377,0.353,0,0.115,0.593,112.027,audio_features,5H4YGepZNnPhnOHA9vZSEP,spotify:track:5H4YGepZNnPhnOHA9vZSEP,https://api.spotify.com/v1/tracks/5H4YGepZNnPhnOHA9vZSEP,https://api.spotify.com/v1/audio-analysis/5H4YGepZNnPhnOHA9vZSEP,166787,4
0.594,0.824,9,-4.252,1,0.0458,0.0617,0,0.0861,0.671,116.005,audio_features,0w3Q14i073jLoew1hgJkwD,spotify:track:0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD,205200,4
0.416,0.797,10,-3.874,0,0.0622,0.182,0,0.113,0.599,160.046,audio_features,5zXSL7wpFd9frzUIVHJZHW,spotify:track:5zXSL7wpFd9frzUIVHJZHW,https://api.spotify.com/v1/tracks/5zXSL7wpFd9frzUIVHJZHW,https://api.spotify.com/v1/audio-analysis/5zXSL7wpFd9frzUIVHJZHW,202980,4
0.57,0.897,1,-4.62,1,0.0964,0.216,0,0.138,0.547,92.134,audio_features,45IHaSUxjc4jzdujUIud8T,spotify:track:45IHaSUxjc4jzdujUIud8T,https://api.spotify.com/v1/tracks/45IHaSUxjc4jzdujUIud8T,https://api.spotify.com/v1/audio-analysis/45IHaSUxjc4jzdujUIud8T,218507,4
0.674,0.625,1,-8.097,0,0.0546,0.492,0,0.247,0.512,148.075,audio_features,1xyOuak2ZARt7oRhnKYc7B,spotify:track:1xyOuak2ZARt7oRhnKYc7B,https://api.spotify.com/v1/tracks/1xyOuak2ZARt7oRhnKYc7B,https://api.spotify.com/v1/audio-analysis/1xyOuak2ZARt7oRhnKYc7B,179667,4
0.556,0.892,7,-2.841,1,0.0525,0.049,0.00053,0.0943,0.264,101.069,audio_features,6r15oXdDWyq7jY2PqG5TWJ,spotify:track:6r15oXdDWyq7jY2PqG5TWJ,https://api.spotify.com/v1/tracks/6r15oXdDWyq7jY2PqG5TWJ,https://api.spotify.com/v1/audio-analysis/6r15oXdDWyq7jY2PqG5TWJ,211160,4
0.615,0.787,0,-5.575,1,0.0332,0.0432,1.9e-05,0.11,0.499,105.954,audio_features,08U5qkrOjJbXqHZyxMBH1s,spotify:track:08U5qkrOjJbXqHZyxMBH1s,https://api.spotify.com/v1/tracks/08U5qkrOjJbXqHZyxMBH1s,https://api.spotify.com/v1/audio-analysis/08U5qkrOjJbXqHZyxMBH1s,215280,4
0.565,0.688,5,-5.318,1,0.0356,0.112,0,0.15,0.522,167.867,audio_features,6oupUWD9Wy4u55T2d46hgT,spotify:track:6oupUWD9Wy4u55T2d46hgT,https://api.spotify.com/v1/tracks/6oupUWD9Wy4u55T2d46hgT,https://api.spotify.com/v1/audio-analysis/6oupUWD9Wy4u55T2d46hgT,178120,4
