danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.102,0.0406,2,-23.355,0,0.046,0.903,0.508,0.0998,0.0714,86.82,audio_features,2OMCOq8H6caZacNtcfYpxu,spotify:track:2OMCOq8H6caZacNtcfYpxu,https://api.spotify.com/v1/tracks/2OMCOq8H6caZacNtcfYpxu,https://api.spotify.com/v1/audio-analysis/2OMCOq8H6caZacNtcfYpxu,427587,3
0.286,0.0439,5,-24.745,1,0.042,0.925,0.551,0.147,0.0932,152.867,audio_features,5erj8jK6bq8MWFnDVv2HtI,spotify:track:5erj8jK6bq8MWFnDVv2HtI,https://api.spotify.com/v1/tracks/5erj8jK6bq8MWFnDVv2HtI,https://api.spotify.com/v1/audio-analysis/5erj8jK6bq8MWFnDVv2HtI,389213,3
0.111,0.0597,9,-25.472,1,0.0523,0.983,0.522,0.12,0.0392,82.756,audio_features,1IQN9j898fkUIJp4ZOKECx,spotify:track:1IQN9j898fkUIJp4ZOKECx,https://api.spotify.com/v1/tracks/1IQN9j898fkUIJp4ZOKECx,https://api.spotify.com/v1/audio-analysis/1IQN9j898fkUIJp4ZOKECx,398413,3
0.262,0.169,0,-15.455,1,0.0424,0.941,0.501,0.0655,0.293,74.087,audio_features,4lZlwjVWioE0ftOiYmUmSs,spotify:track:4lZlwjVWioE0ftOiYmUmSs,https://api.spotify.com/v1/tracks/4lZlwjVWioE0ftOiYmUmSs,https://api.spotify.com/v1/audio-analysis/4lZlwjVWioE0ftOiYmUmSs,827533,4
0.0862,0.0066,10,-32.415,1,0.0498,0.927,0.00482,0.0927,0.0398,169.87,audio_features,7FPwihEQCzkxfdJi7Iy7WV,spotify:track:7FPwihEQCzkxfdJi7Iy7WV,https://api.spotify.com/v1/tracks/7FPwihEQCzkxfdJi7Iy7WV,https://api.spotify.com/v1/audio-analysis/7FPwihEQCzkxfdJi7Iy7WV,394067,5
0.106,0.0154,0,-30.199,1,0.0472,0.821,0.454,0.069,0.0433,85.047,audio_features,7gGLtziOk0OdQg6ognpRj2,spotify:track:7gGLtziOk0OdQg6ognpRj2,https://api.spotify.com/v1/tracks/7gGLtziOk0OdQg6ognpRj2,https://api.spotify.com/v1/audio-analysis/7gGLtziOk0OdQg6ognpRj2,1030760,3
0.399,0.121,2,-16.978,0,0.0406,0.935,0.628,0.108,0.209,91.07,audio_features,4Et5ML6PGUMcCJn59QEPEd,spotify:track:4Et5ML6PGUMcCJn59QEPEd,https://api.spotify.com/v1/tracks/4Et5ML6PGUMcCJn59QEPEd,https://api.spotify.com/v1/audio-analysis/4Et5ML6PGUMcCJn59QEPEd,543200,4
0.159,0.0331,8,-27.129,1,0.0454,0.97,0.362,0.127,0.0552,85.456,audio_features,7fdBOlfKncyhDNaAhMncmw,spotify:track:7fdBOlfKncyhDNaAhMncmw,https://api.spotify.com/v1/tracks/7fdBOlfKncyhDNaAhMncmw,https://api.spotify.com/v1/audio-analysis/7fdBOlfKncyhDNaAhMncmw,389013,4
0.286,0.115,3,-20.152,1,0.0509,0.959,0.82,0.0644,0.0951,111.78,audio_features,7xVe34ISJHMWoMQm2pthok,spotify:track:7xVe34ISJHMWoMQm2pthok,https://api.spotify.com/v1/tracks/7xVe34ISJHMWoMQm2pthok,https://api.spotify.com/v1/audio-analysis/7xVe34ISJHMWoMQm2pthok,381067,4
0.1,0.039,10,-26.611,0,0.0469,0.923,0.876,0.103,0.0322,89.603,audio_features,1CA5IRs7tPWlrfozSL0MKE,spotify:track:1CA5IRs7tPWlrfozSL0MKE,https://api.spotify.com/v1/tracks/1CA5IRs7tPWlrfozSL0MKE,https://api.spotify.com/v1/audio-analysis/1CA5IRs7tPWlrfozSL0MKE,412155,3
