danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.421,0.712,10,-10.417,1,0.0463,0.413,0.479,0.115,0.501,184.202,audio_features,4zMP6aieSmWQNFdp3O4Owv,spotify:track:4zMP6aieSmWQNFdp3O4Owv,https://api.spotify.com/v1/tracks/4zMP6aieSmWQNFdp3O4Owv,https://api.spotify.com/v1/audio-analysis/4zMP6aieSmWQNFdp3O4Owv,188720,4
0.634,0.149,11,-16.209,1,0.0365,0.765,0.000701,0.114,0.229,181.431,audio_features,0BvyQ2XjPvcPAzj9WieojA,spotify:track:0BvyQ2XjPvcPAzj9WieojA,https://api.spotify.com/v1/tracks/0BvyQ2XjPvcPAzj9WieojA,https://api.spotify.com/v1/audio-analysis/0BvyQ2XjPvcPAzj9WieojA,218571,4
0.623,0.526,6,-8.953,0,0.0269,0.428,4.03e-06,0.341,0.669,124.933,audio_features,1kqG1PQ2DQxd9XD6ofoOD9,spotify:track:1kqG1PQ2DQxd9XD6ofoOD9,https://api.spotify.com/v1/tracks/1kqG1PQ2DQxd9XD6ofoOD9,https://api.spotify.com/v1/audio-analysis/1kqG1PQ2DQxd9XD6ofoOD9,147067,4
0.608,0.327,4,-10.416,1,0.0281,0.152,0.0343,0.108,0.21,85.957,audio_features,3CAm3PiSKnY4vM9MsjoRlU,spotify:track:3CAm3PiSKnY4vM9MsjoRlU,https://api.spotify.com/v1/tracks/3CAm3PiSKnY4vM9MsjoRlU,https://api.spotify.com/v1/audio-analysis/3CAm3PiSKnY4vM9MsjoRlU,211493,3
0.767,0.368,7,-12.152,1,0.0473,0.792,0.000649,0.426,0.2,111.782,audio_features,0wwhVMPo09vXS4uGTgOS2d,spotify:track:0wwhVMPo09vXS4uGTgOS2d,https://api.spotify.com/v1/tracks/0wwhVMPo09vXS4uGTgOS2d,https://api.spotify.com/v1/audio-analysis/0wwhVMPo09vXS4uGTgOS2d,221853,4
0.581,0.81,0,-8.704,1,0.0746,0.232,0.000121,0.335,0.918,162.984,audio_features,1V5xm5jig4H84JpO66Y7aN,spotify:track:1V5xm5jig4H84JpO66Y7aN,https://api.spotify.com/v1/tracks/1V5xm5jig4H84JpO66Y7aN,https://api.spotify.com/v1/audio-analysis/1V5xm5jig4H84JpO66Y7aN,177733,4
0.559,0.509,9,-8.032,1,0.0318,0.0354,0.0068,0.118,0.169,143.825,audio_features,7AhwtvWWMdohC9G1n0LJH2,spotify:track:7AhwtvWWMdohC9G1n0LJH2,https://api.spotify.com/v1/tracks/7AhwtvWWMdohC9G1n0LJH2,https://api.spotify.com/v1/audio-analysis/7AhwtvWWMdohC9G1n0LJH2,209801,4
0.325,0.238,9,-14.631,0,0.0348,0.955,0.313,0.131,0.0666,125.611,audio_features,4B0CilLLPrk9AnYxbMRMdv,spotify:track:4B0CilLLPrk9AnYxbMRMdv,https://api.spotify.com/v1/tracks/4B0CilLLPrk9AnYxbMRMdv,https://api.spotify.com/v1/audio-analysis/4B0CilLLPrk9AnYxbMRMdv,181160,4
0.285,0.947,3,-4.562,1,0.0646,0.000612,0.357,0.063,0.308,167.574,audio_features,0PHOkI70DXxOyPqQ6a7wQz,spotify:track:0PHOkI70DXxOyPqQ6a7wQz,https://api.spotify.com/v1/tracks/0PHOkI70DXxOyPqQ6a7wQz,https://api.spotify.com/v1/audio-analysis/0PHOkI70DXxOyPqQ6a7wQz,191680,4
0.389,0.904,10,-1.703,1,0.0564,0.0984,5.41e-06,0.271,0.775,153.156,audio_features,4mdVkJdWmb50glN1NFbUOb,spotify:track:4mdVkJdWmb50glN1NFbUOb,https://api.spotify.com/v1/tracks/4mdVkJdWmb50glN1NFbUOb,https://api.spotify.com/v1/audio-analysis/4mdVkJdWmb50glN1NFbUOb,146492,4
0.637,0.511,7,-7.607,1,0.0428,0.908,0.339,0.135,0.611,116.448,audio_features,4iNWgE5JkuZfB2TrRmVFj2,spotify:track:4iNWgE5JkuZfB2TrRmVFj2,https://api.spotify.com/v1/tracks/4iNWgE5JkuZfB2TrRmVFj2,https://api.spotify.com/v1/audio-analysis/4iNWgE5JkuZfB2TrRmVFj2,144760,4
0.505,0.58,7,-9.734,1,0.0287,0.487,0.697,0.0928,0.506,133.045,audio_features,27KvxFbpLDLeKajJSxHBFE,spotify:track:27KvxFbpLDLeKajJSxHBFE,https://api.spotify.com/v1/tracks/27KvxFbpLDLeKajJSxHBFE,https://api.spotify.com/v1/audio-analysis/27KvxFbpLDLeKajJSxHBFE,171293,4
0.734,0.697,1,-6.89,1,0.0258,0.314,0,0.107,0.94,105.026,audio_features,3Mry24wXzIDea8bYguQx0q,spotify:track:3Mry24wXzIDea8bYguQx0q,https://api.spotify.com/v1/tracks/3Mry24wXzIDea8bYguQx0q,https://api.spotify.com/v1/audio-analysis/3Mry24wXzIDea8bYguQx0q,214187,4
0.71,0.434,4,-15.28,0,0.0682,0.477,0.199,0.0857,0.735,105.185,audio_features,1MRr1ivNucqEBjHBMgDFjA,spotify:track:1MRr1ivNucqEBjHBMgDFjA,https://api.spotify.com/v1/tracks/1MRr1ivNucqEBjHBMgDFjA,https://api.spotify.com/v1/audio-analysis/1MRr1ivNucqEBjHBMgDFjA,167347,4
0.623,0.567,4,-9.991,1,0.0527,0.651,0,0.347,0.773,91.581,audio_features,3TrwJl33jfgEJDdwpSa2lK,spotify:track:3TrwJl33jfgEJDdwpSa2lK,https://api.spotify.com/v1/tracks/3TrwJl33jfgEJDdwpSa2lK,https://api.spotify.com/v1/audio-analysis/3TrwJl33jfgEJDdwpSa2lK,111373,4
0.546,0.255,2,-19.533,1,0.0341,0.353,0,0.153,0.312,114.828,audio_features,0442MxTJy5BBYDLYtTB3Gr,spotify:track:0442MxTJy5BBYDLYtTB3Gr,https://api.spotify.com/v1/tracks/0442MxTJy5BBYDLYtTB3Gr,https://api.spotify.com/v1/audio-analysis/0442MxTJy5BBYDLYtTB3Gr,254057,4
0.494,0.664,4,-6.395,0,0.0306,0.0477,0.0484,0.113,0.343,96.989,audio_features,3IDTHSXjwV2ngdJXGcoOuc,spotify:track:3IDTHSXjwV2ngdJXGcoOuc,https://api.spotify.com/v1/tracks/3IDTHSXjwV2ngdJXGcoOuc,https://api.spotify.com/v1/audio-analysis/3IDTHSXjwV2ngdJXGcoOuc,227711,4
0.226,0.831,2,-5.184,1,0.0423,0.476,0.00723,0.652,0.324,154.351,audio_features,2JUAheSAHfmQ0TDiR9fSUD,spotify:track:2JUAheSAHfmQ0TDiR9fSUD,https://api.spotify.com/v1/tracks/2JUAheSAHfmQ0TDiR9fSUD,https://api.spotify.com/v1/audio-analysis/2JUAheSAHfmQ0TDiR9fSUD,255933,3
0.574,0.66,0,-10.438,1,0.0292,0.0503,0.538,0.132,0.34,97.61,audio_features,3KyVary6bJfAK5cZCWgW1j,spotify:track:3KyVary6bJfAK5cZCWgW1j,https://api.spotify.com/v1/tracks/3KyVary6bJfAK5cZCWgW1j,https://api.spotify.com/v1/audio-analysis/3KyVary6bJfAK5cZCWgW1j,256773,4
0.517,0.914,7,-5.349,1,0.034,0.0021,0.000563,0.117,0.332,107.992,audio_features,28Zax7vgVaaFmhUvwSsAY0,spotify:track:28Zax7vgVaaFmhUvwSsAY0,https://api.spotify.com/v1/tracks/28Zax7vgVaaFmhUvwSsAY0,https://api.spotify.com/v1/audio-analysis/28Zax7vgVaaFmhUvwSsAY0,321133,4
0.188,0.22,8,-13.974,1,0.0325,0.879,0.0343,0.111,0.135,183.842,audio_features,5BppO0mRbrH2TSOOShlPXk,spotify:track:5BppO0mRbrH2TSOOShlPXk,https://api.spotify.com/v1/tracks/5BppO0mRbrH2TSOOShlPXk,https://api.spotify.com/v1/audio-analysis/5BppO0mRbrH2TSOOShlPXk,179369,4
0.626,0.622,9,-5.824,1,0.0341,0.0037,0.000678,0.0426,0.808,129.068,audio_features,6A8HI3wLjsbruw3rv6DSW8,spotify:track:6A8HI3wLjsbruw3rv6DSW8,https://api.spotify.com/v1/tracks/6A8HI3wLjsbruw3rv6DSW8,https://api.spotify.com/v1/audio-analysis/6A8HI3wLjsbruw3rv6DSW8,138307,4
