danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.528,0.737,9,-12.703,0,0.121,0.626,0.00911,0.325,0.632,99.361,audio_features,3e0FzZjTXOUtiJGSClOBrI,spotify:track:3e0FzZjTXOUtiJGSClOBrI,https://api.spotify.com/v1/tracks/3e0FzZjTXOUtiJGSClOBrI,https://api.spotify.com/v1/audio-analysis/3e0FzZjTXOUtiJGSClOBrI,282693,4
0.626,0.816,9,-10.593,1,0.13,0.237,1.8e-06,0.104,0.798,105.33,audio_features,6vxHp3CDNo0afgKGp2yi1E,spotify:track:6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/tracks/6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/audio-analysis/6vxHp3CDNo0afgKGp2yi1E,164813,4
0.662,0.788,11,-5.544,0,0.0635,0.0812,0.141,0.0351,0.929,116.499,audio_features,0nlZjTPzW6S9JIESuGfImT,spotify:track:0nlZjTPzW6S9JIESuGfImT,https://api.spotify.com/v1/tracks/0nlZjTPzW6S9JIESuGfImT,https://api.spotify.com/v1/audio-analysis/0nlZjTPzW6S9JIESuGfImT,315640,4
0.531,0.948,9,-5.438,1,0.0568,0.006,0.0117,0.694,0.498,136.891,audio_features,4MZEZz8MqVgvIMXU6AVP22,spotify:track:4MZEZz8MqVgvIMXU6AVP22,https://api.spotify.com/v1/tracks/4MZEZz8MqVgvIMXU6AVP22,https://api.spotify.com/v1/audio-analysis/4MZEZz8MqVgvIMXU6AVP22,298093,4
0.481,0.58,4,-8.712,0,0.0333,0.0694,0.0012,0.0886,0.629,124.983,audio_features,1H4idkmruFoJBg1DvUv2tY,spotify:track:1H4idkmruFoJBg1DvUv2tY,https://api.spotify.com/v1/tracks/1H4idkmruFoJBg1DvUv2tY,https://api.spotify.com/v1/audio-analysis/1H4idkmruFoJBg1DvUv2tY,313027,4
0.483,0.721,0,-6.836,1,0.032,0.729,0,0.189,0.562,95.261,audio_features,3AhXZa8sUQht0UEdBJgpGc,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,369600,4
0.623,0.359,7,-9.459,1,0.0304,0.83,0,0.113,0.425,109.021,audio_features,1v4BpOiU0WuSwiNbdYvdWd,spotify:track:1v4BpOiU0WuSwiNbdYvdWd,https://api.spotify.com/v1/tracks/1v4BpOiU0WuSwiNbdYvdWd,https://api.spotify.com/v1/audio-analysis/1v4BpOiU0WuSwiNbdYvdWd,225907,3
0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,audio_features,4lJ6YVXQ0jUk5ILu0PSrA4,spotify:track:4lJ6YVXQ0jUk5ILu0PSrA4,https://api.spotify.com/v1/tracks/4lJ6YVXQ0jUk5ILu0PSrA4,https://api.spotify.com/v1/audio-analysis/4lJ6YVXQ0jUk5ILu0PSrA4,214080,4
0.48,0.969,9,-7.464,1,0.0854,0.069,0.00022,0.0608,0.494,142.489,audio_features,0j3p1p06deJ7f9xmJ9yG22,spotify:track:0j3p1p06deJ7f9xmJ9yG22,https://api.spotify.com/v1/tracks/0j3p1p06deJ7f9xmJ9yG22,https://api.spotify.com/v1/audio-analysis/0j3p1p06deJ7f9xmJ9yG22,163453,4
0.82,0.427,10,-12.728,0,0.0827,0.459,0.0494,0.0447,0.887,121.481,audio_features,1zC9mSQAH2fn3DGscYRuCY,spotify:track:1zC9mSQAH2fn3DGscYRuCY,https://api.spotify.com/v1/tracks/1zC9mSQAH2fn3DGscYRuCY,https://api.spotify.com/v1/audio-analysis/1zC9mSQAH2fn3DGscYRuCY,417040,4
0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,audio_features,683b4ikwa62JevCjwrmfg6,spotify:track:683b4ikwa62JevCjwrmfg6,https://api.spotify.com/v1/tracks/683b4ikwa62JevCjwrmfg6,https://api.spotify.com/v1/audio-analysis/683b4ikwa62JevCjwrmfg6,274040,4
0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008,audio_features,4hHbeIIKO5Y5uLyIEbY9Gn,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
0.772,0.286,7,-14.747,1,0.0824,0.496,0.85,0.0963,0.961,128.346,audio_features,2sZtO3q79gXFpKjgSlsyej,spotify:track:2sZtO3q79gXFpKjgSlsyej,https://api.spotify.com/v1/tracks/2sZtO3q79gXFpKjgSlsyej,https://api.spotify.com/v1/audio-analysis/2sZtO3q79gXFpKjgSlsyej,256560,4
