danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.681,0.815,9,-9.858,1,0.0367,0.00669,0.903,0.26,0.601,119.984,audio_features,5gHrlcOoohmrZdBFkvBQUk,spotify:track:5gHrlcOoohmrZdBFkvBQUk,https://api.spotify.com/v1/tracks/5gHrlcOoohmrZdBFkvBQUk,https://api.spotify.com/v1/audio-analysis/5gHrlcOoohmrZdBFkvBQUk,360000,3
0.805,0.779,6,-6.217,1,0.0382,0.00181,0.838,0.0831,0.566,125.012,audio_features,7HlvFIJDmcQRRn45aRd46t,spotify:track:7HlvFIJDmcQRRn45aRd46t,https://api.spotify.com/v1/tracks/7HlvFIJDmcQRRn45aRd46t,https://api.spotify.com/v1/audio-analysis/7HlvFIJDmcQRRn45aRd46t,400115,4
0.662,0.429,4,-12.522,1,0.0437,0.0418,0.882,0.105,0.15,121.034,audio_features,5WL6VbqrAs7qYsMkCvShoN,spotify:track:5WL6VbqrAs7qYsMkCvShoN,https://api.spotify.com/v1/tracks/5WL6VbqrAs7qYsMkCvShoN,https://api.spotify.com/v1/audio-analysis/5WL6VbqrAs7qYsMkCvShoN,257851,4
0.805,0.729,6,-9.361,0,0.0386,0.508,0.919,0.103,0.605,123.003,audio_features,6KqC7YNOcqYh5J5cNb1gbw,spotify:track:6KqC7YNOcqYh5J5cNb1gbw,https://api.spotify.com/v1/tracks/6KqC7YNOcqYh5J5cNb1gbw,https://api.spotify.com/v1/audio-analysis/6KqC7YNOcqYh5J5cNb1gbw,283813,4
0.767,0.725,8,-7.403,1,0.0685,0.000336,0.901,0.0784,0.267,123.003,audio_features,5RckiXVaCddFS2JhxWBZ8W,spotify:track:5RckiXVaCddFS2JhxWBZ8W,https://api.spotify.com/v1/tracks/5RckiXVaCddFS2JhxWBZ8W,https://api.spotify.com/v1/audio-analysis/5RckiXVaCddFS2JhxWBZ8W,465556,4
0.768,0.716,9,-11.222,1,0.0456,0.228,0.843,0.0839,0.401,120.021,audio_features,5jNg4yCoG4YLvyI9TQ5dew,spotify:track:5jNg4yCoG4YLvyI9TQ5dew,https://api.spotify.com/v1/tracks/5jNg4yCoG4YLvyI9TQ5dew,https://api.spotify.com/v1/audio-analysis/5jNg4yCoG4YLvyI9TQ5dew,450014,3
0.671,0.772,9,-9.26,0,0.0438,0.174,0.934,0.031,0.518,125.012,audio_features,2LmL53XRRZqvnXRb24UCRp,spotify:track:2LmL53XRRZqvnXRb24UCRp,https://api.spotify.com/v1/tracks/2LmL53XRRZqvnXRb24UCRp,https://api.spotify.com/v1/audio-analysis/2LmL53XRRZqvnXRb24UCRp,341760,4
0.855,0.472,11,-7.34,0,0.0594,0.0012,0.294,0.0676,0.333,125.018,audio_features,3aFSEUJ9Q9aiROvjH2w0v5,spotify:track:3aFSEUJ9Q9aiROvjH2w0v5,https://api.spotify.com/v1/tracks/3aFSEUJ9Q9aiROvjH2w0v5,https://api.spotify.com/v1/audio-analysis/3aFSEUJ9Q9aiROvjH2w0v5,339840,4
0.877,0.521,6,-9.82,0,0.156,0.00427,0.553,0.0945,0.091,124.977,audio_features,7pxwodSr4DvTNFicnsP5qu,spotify:track:7pxwodSr4DvTNFicnsP5qu,https://api.spotify.com/v1/tracks/7pxwodSr4DvTNFicnsP5qu,https://api.spotify.com/v1/audio-analysis/7pxwodSr4DvTNFicnsP5qu,432204,4
0.803,0.835,4,-6.918,0,0.0574,0.000697,0.894,0.0673,0.586,121.995,audio_features,40BadUUxuTNq6wU7hn2XlO,spotify:track:40BadUUxuTNq6wU7hn2XlO,https://api.spotify.com/v1/tracks/40BadUUxuTNq6wU7hn2XlO,https://api.spotify.com/v1/audio-analysis/40BadUUxuTNq6wU7hn2XlO,504082,4
