danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.71,0.738,5,-4.465,0,0.033,0.0776,4.74e-05,0.0795,0.417,127.971,audio_features,39rqDP2s2hN1JtXptyeM3u,spotify:track:39rqDP2s2hN1JtXptyeM3u,https://api.spotify.com/v1/tracks/39rqDP2s2hN1JtXptyeM3u,https://api.spotify.com/v1/audio-analysis/39rqDP2s2hN1JtXptyeM3u,195467,4
0.512,0.975,8,-3.481,1,0.0768,0.000424,0.685,0.0745,0.0391,160.078,audio_features,53MokEbARtbIRAsluTFgCy,spotify:track:53MokEbARtbIRAsluTFgCy,https://api.spotify.com/v1/tracks/53MokEbARtbIRAsluTFgCy,https://api.spotify.com/v1/audio-analysis/53MokEbARtbIRAsluTFgCy,204000,4
0.417,0.859,7,-3.169,0,0.0484,0.00612,2.41e-06,0.175,0.179,92.078,audio_features,4ATmY1hv93ehw77LrIdbEh,spotify:track:4ATmY1hv93ehw77LrIdbEh,https://api.spotify.com/v1/tracks/4ATmY1hv93ehw77LrIdbEh,https://api.spotify.com/v1/audio-analysis/4ATmY1hv93ehw77LrIdbEh,204853,4
0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,audio_features,3ISYGHoYnu4gos6JNMfL4z,spotify:track:3ISYGHoYnu4gos6JNMfL4z,https://api.spotify.com/v1/tracks/3ISYGHoYnu4gos6JNMfL4z,https://api.spotify.com/v1/audio-analysis/3ISYGHoYnu4gos6JNMfL4z,218965,4
0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,audio_features,6VRhkROS2SZHGlp0pxndbJ,spotify:track:6VRhkROS2SZHGlp0pxndbJ,https://api.spotify.com/v1/tracks/6VRhkROS2SZHGlp0pxndbJ,https://api.spotify.com/v1/audio-analysis/6VRhkROS2SZHGlp0pxndbJ,215253,4
0.677,0.91,2,-4.628,1,0.063,0.000364,0.00842,0.35,0.504,109.988,audio_features,7Mw1svSngAwEaKFDjgxdiT,spotify:track:7Mw1svSngAwEaKFDjgxdiT,https://api.spotify.com/v1/tracks/7Mw1svSngAwEaKFDjgxdiT,https://api.spotify.com/v1/audio-analysis/7Mw1svSngAwEaKFDjgxdiT,287004,4
0.611,0.543,1,-5.288,0,0.0672,0.329,0,0.281,0.561,174.862,audio_features,5MGeW5mHnqeJiM0NPBbkEZ,spotify:track:5MGeW5mHnqeJiM0NPBbkEZ,https://api.spotify.com/v1/tracks/5MGeW5mHnqeJiM0NPBbkEZ,https://api.spotify.com/v1/audio-analysis/5MGeW5mHnqeJiM0NPBbkEZ,189000,4
0.653,0.899,1,-3.152,1,0.199,0.00147,2.87e-06,0.16,0.286,144.12,audio_features,0BiI0D3NuSIs0gX7mP8itb,spotify:track:0BiI0D3NuSIs0gX7mP8itb,https://api.spotify.com/v1/tracks/0BiI0D3NuSIs0gX7mP8itb,https://api.spotify.com/v1/audio-analysis/0BiI0D3NuSIs0gX7mP8itb,200000,4
0.652,0.892,2,-4.653,1,0.0465,0.00558,2.72e-06,0.355,0.251,140.038,audio_features,4T7aCLHutfA22BKNgmWdaJ,spotify:track:4T7aCLHutfA22BKNgmWdaJ,https://api.spotify.com/v1/tracks/4T7aCLHutfA22BKNgmWdaJ,https://api.spotify.com/v1/audio-analysis/4T7aCLHutfA22BKNgmWdaJ,198720,4
0.733,0.82,6,-5.94,0,0.212,0.00465,0.00147,0.0687,0.347,145.064,audio_features,0eEvrc5S2BNnHdhUooBVdj,spotify:track:0eEvrc5S2BNnHdhUooBVdj,https://api.spotify.com/v1/tracks/0eEvrc5S2BNnHdhUooBVdj,https://api.spotify.com/v1/audio-analysis/0eEvrc5S2BNnHdhUooBVdj,231736,4
