danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.616,0.269,3,-11.631,1,0.0394,0.815,0,0.119,0.696,131.572,audio_features,0hK8IwYBQwGbTgd7C5XyRZ,spotify:track:0hK8IwYBQwGbTgd7C5XyRZ,https://api.spotify.com/v1/tracks/0hK8IwYBQwGbTgd7C5XyRZ,https://api.spotify.com/v1/audio-analysis/0hK8IwYBQwGbTgd7C5XyRZ,268347,4
0.471,0.244,0,-9.023,0,0.063,0.814,4.25e-05,0.116,0.444,75.727,audio_features,4eSv18SwAXoQJF6tPqFIyw,spotify:track:4eSv18SwAXoQJF6tPqFIyw,https://api.spotify.com/v1/tracks/4eSv18SwAXoQJF6tPqFIyw,https://api.spotify.com/v1/audio-analysis/4eSv18SwAXoQJF6tPqFIyw,220227,4
0.47,0.28,9,-9.093,1,0.0361,0.716,0.0029,0.0985,0.261,84.462,audio_features,4wWnFmXuoFhSAu5UukxTjs,spotify:track:4wWnFmXuoFhSAu5UukxTjs,https://api.spotify.com/v1/tracks/4wWnFmXuoFhSAu5UukxTjs,https://api.spotify.com/v1/audio-analysis/4wWnFmXuoFhSAu5UukxTjs,236813,4
0.584,0.276,11,-12.256,0,0.0481,0.913,0.000562,0.113,0.398,79.576,audio_features,58TQAkARupFHoHVQ00Yj9S,spotify:track:58TQAkARupFHoHVQ00Yj9S,https://api.spotify.com/v1/tracks/58TQAkARupFHoHVQ00Yj9S,https://api.spotify.com/v1/audio-analysis/58TQAkARupFHoHVQ00Yj9S,187544,4
0.778,0.281,7,-12.993,1,0.0489,0.872,0.00878,0.106,0.783,99.304,audio_features,6puSbCX17EbrpJu0mIhUpw,spotify:track:6puSbCX17EbrpJu0mIhUpw,https://api.spotify.com/v1/tracks/6puSbCX17EbrpJu0mIhUpw,https://api.spotify.com/v1/audio-analysis/6puSbCX17EbrpJu0mIhUpw,158067,4
0.49,0.317,7,-8.12,0,0.0297,0.816,0.000123,0.0938,0.251,139.308,audio_features,7FSeN06d370hAEdv7hCqcU,spotify:track:7FSeN06d370hAEdv7hCqcU,https://api.spotify.com/v1/tracks/7FSeN06d370hAEdv7hCqcU,https://api.spotify.com/v1/audio-analysis/7FSeN06d370hAEdv7hCqcU,265360,3
0.578,0.0704,4,-13.44,0,0.0678,0.816,0.00298,0.11,0.288,168.939,audio_features,3yEPbndiOIRsH4FA2dBrTH,spotify:track:3yEPbndiOIRsH4FA2dBrTH,https://api.spotify.com/v1/tracks/3yEPbndiOIRsH4FA2dBrTH,https://api.spotify.com/v1/audio-analysis/3yEPbndiOIRsH4FA2dBrTH,244904,3
0.345,0.307,9,-13.97,1,0.031,0.834,0.000239,0.101,0.483,176.666,audio_features,6i7pokV2JiF1et71olScGO,spotify:track:6i7pokV2JiF1et71olScGO,https://api.spotify.com/v1/tracks/6i7pokV2JiF1et71olScGO,https://api.spotify.com/v1/audio-analysis/6i7pokV2JiF1et71olScGO,287947,4
0.882,0.476,0,-9.235,1,0.0528,0.458,2.47e-06,0.0445,0.964,112.65,audio_features,3tvyQCSm1QcWURgGvygvke,spotify:track:3tvyQCSm1QcWURgGvygvke,https://api.spotify.com/v1/tracks/3tvyQCSm1QcWURgGvygvke,https://api.spotify.com/v1/audio-analysis/3tvyQCSm1QcWURgGvygvke,138533,4
0.708,0.248,0,-9.894,1,0.0752,0.522,2.7e-06,0.146,0.612,132.53,audio_features,6sfZbIO4O4BtgE0mJ20zFg,spotify:track:6sfZbIO4O4BtgE0mJ20zFg,https://api.spotify.com/v1/tracks/6sfZbIO4O4BtgE0mJ20zFg,https://api.spotify.com/v1/audio-analysis/6sfZbIO4O4BtgE0mJ20zFg,181040,1
0.492,0.197,0,-14.56,1,0.0324,0.952,0.000171,0.319,0.29,133.858,audio_features,2flh4b34mwwNSAK39s64Yl,spotify:track:2flh4b34mwwNSAK39s64Yl,https://api.spotify.com/v1/tracks/2flh4b34mwwNSAK39s64Yl,https://api.spotify.com/v1/audio-analysis/2flh4b34mwwNSAK39s64Yl,201747,4
0.791,0.213,3,-11.154,0,0.0479,0.773,2.39e-05,0.12,0.597,97.95,audio_features,7rphDmPtaLsPMLxxtc7nQY,spotify:track:7rphDmPtaLsPMLxxtc7nQY,https://api.spotify.com/v1/tracks/7rphDmPtaLsPMLxxtc7nQY,https://api.spotify.com/v1/audio-analysis/7rphDmPtaLsPMLxxtc7nQY,221120,4
0.619,0.697,9,-6.167,1,0.0813,0.618,0.000315,0.241,0.961,131.123,audio_features,1mkxMjrjzzXU9mg4S375Zo,spotify:track:1mkxMjrjzzXU9mg4S375Zo,https://api.spotify.com/v1/tracks/1mkxMjrjzzXU9mg4S375Zo,https://api.spotify.com/v1/audio-analysis/1mkxMjrjzzXU9mg4S375Zo,177367,4
0.633,0.194,8,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,audio_features,2L7M2b2WZJkPSvPGy9BBmi,spotify:track:2L7M2b2WZJkPSvPGy9BBmi,https://api.spotify.com/v1/tracks/2L7M2b2WZJkPSvPGy9BBmi,https://api.spotify.com/v1/audio-analysis/2L7M2b2WZJkPSvPGy9BBmi,348383,4
0.401,0.567,2,-9.327,1,0.0397,0.346,0.125,0.162,0.622,182.966,audio_features,70NvafQPgdytXWUe2Yvw1W,spotify:track:70NvafQPgdytXWUe2Yvw1W,https://api.spotify.com/v1/tracks/70NvafQPgdytXWUe2Yvw1W,https://api.spotify.com/v1/audio-analysis/70NvafQPgdytXWUe2Yvw1W,297881,4
0.671,0.391,7,-13.43,1,0.121,0.871,0.0265,0.136,0.288,106.225,audio_features,5lvg4sQSRNgr3MND6SoEWR,spotify:track:5lvg4sQSRNgr3MND6SoEWR,https://api.spotify.com/v1/tracks/5lvg4sQSRNgr3MND6SoEWR,https://api.spotify.com/v1/audio-analysis/5lvg4sQSRNgr3MND6SoEWR,448987,4
0.639,0.22,11,-12.694,0,0.0953,0.928,0.00156,0.105,0.514,128.158,audio_features,519peDYoPxR11QfcNJajXW,spotify:track:519peDYoPxR11QfcNJajXW,https://api.spotify.com/v1/tracks/519peDYoPxR11QfcNJajXW,https://api.spotify.com/v1/audio-analysis/519peDYoPxR11QfcNJajXW,186733,4
0.434,0.109,1,-15.279,1,0.0355,0.983,0.000376,0.114,0.25,93.659,audio_features,1U236FYzQEdMWn1hMM0gQn,spotify:track:1U236FYzQEdMWn1hMM0gQn,https://api.spotify.com/v1/tracks/1U236FYzQEdMWn1hMM0gQn,https://api.spotify.com/v1/audio-analysis/1U236FYzQEdMWn1hMM0gQn,347533,4
0.452,0.207,7,-13.043,1,0.0299,0.906,0.283,0.208,0.347,174.427,audio_features,3WxksalSl9j5N3JkvFn8lY,spotify:track:3WxksalSl9j5N3JkvFn8lY,https://api.spotify.com/v1/tracks/3WxksalSl9j5N3JkvFn8lY,https://api.spotify.com/v1/audio-analysis/3WxksalSl9j5N3JkvFn8lY,152076,4
0.73,0.211,0,-12.914,1,0.0497,0.872,0.19,0.116,0.76,104.472,audio_features,6uJKEvWD4zKL8PGwadftFv,spotify:track:6uJKEvWD4zKL8PGwadftFv,https://api.spotify.com/v1/tracks/6uJKEvWD4zKL8PGwadftFv,https://api.spotify.com/v1/audio-analysis/6uJKEvWD4zKL8PGwadftFv,198387,4
0.728,0.054,11,-22.557,0,0.038,0.91,0.048,0.12,0.425,78.033,audio_features,4A0uddUBex0iolIxq1b0km,spotify:track:4A0uddUBex0iolIxq1b0km,https://api.spotify.com/v1/tracks/4A0uddUBex0iolIxq1b0km,https://api.spotify.com/v1/audio-analysis/4A0uddUBex0iolIxq1b0km,338333,4
0.389,0.208,2,-11.669,1,0.0359,0.861,7.76e-06,0.192,0.233,90.346,audio_features,1tQGRq2WOBXjL3JWdWMONg,spotify:track:1tQGRq2WOBXjL3JWdWMONg,https://api.spotify.com/v1/tracks/1tQGRq2WOBXjL3JWdWMONg,https://api.spotify.com/v1/audio-analysis/1tQGRq2WOBXjL3JWdWMONg,254619,4
0.727,0.27,4,-13.179,0,0.0367,0.84,0.124,0.0949,0.742,96.04,audio_features,6FFQ4nIyeXaDYQLb1zFitB,spotify:track:6FFQ4nIyeXaDYQLb1zFitB,https://api.spotify.com/v1/tracks/6FFQ4nIyeXaDYQLb1zFitB,https://api.spotify.com/v1/audio-analysis/6FFQ4nIyeXaDYQLb1zFitB,173613,4
0.692,0.102,0,-11.721,1,0.061,0.818,0.00328,0.337,0.475,114.136,audio_features,3y3cL6EO4ZwSUAFqSMF1Ec,spotify:track:3y3cL6EO4ZwSUAFqSMF1Ec,https://api.spotify.com/v1/tracks/3y3cL6EO4ZwSUAFqSMF1Ec,https://api.spotify.com/v1/audio-analysis/3y3cL6EO4ZwSUAFqSMF1Ec,336863,4
0.553,0.408,7,-7.476,1,0.0328,0.837,0.00034,0.13,0.16,124.312,audio_features,2l3cWYbnJaocXNaWUxm2lu,spotify:track:2l3cWYbnJaocXNaWUxm2lu,https://api.spotify.com/v1/tracks/2l3cWYbnJaocXNaWUxm2lu,https://api.spotify.com/v1/audio-analysis/2l3cWYbnJaocXNaWUxm2lu,203360,4
0.831,0.104,10,-14.655,1,0.053,0.924,0,0.109,0.572,106.428,audio_features,49OfM5fTeH57u2NN9mIpAW,spotify:track:49OfM5fTeH57u2NN9mIpAW,https://api.spotify.com/v1/tracks/49OfM5fTeH57u2NN9mIpAW,https://api.spotify.com/v1/audio-analysis/49OfM5fTeH57u2NN9mIpAW,225640,4
0.528,0.416,9,-13.829,1,0.111,0.746,0.00864,0.294,0.826,94.728,audio_features,0GkM9T6C7nzkgWUbK7E2cd,spotify:track:0GkM9T6C7nzkgWUbK7E2cd,https://api.spotify.com/v1/tracks/0GkM9T6C7nzkgWUbK7E2cd,https://api.spotify.com/v1/audio-analysis/0GkM9T6C7nzkgWUbK7E2cd,234907,4
