danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.667,0.726,8,-4.172,1,0.054,0.032,0,0.0745,0.77,103.001,audio_features,5Gu0PDLN4YJeW75PpBSg9p,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p,174800,4
0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,audio_features,2xmrfQpmS2iJExTlklLoAL,spotify:track:2xmrfQpmS2iJExTlklLoAL,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,205748,4
0.836,0.552,7,-5.66,1,0.0851,0.0433,0,0.0773,0.525,97.036,audio_features,1ny60YCHhEsxsJXWLhK7b0,spotify:track:1ny60YCHhEsxsJXWLhK7b0,https://api.spotify.com/v1/tracks/1ny60YCHhEsxsJXWLhK7b0,https://api.spotify.com/v1/audio-analysis/1ny60YCHhEsxsJXWLhK7b0,218173,4
0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,audio_features,5yFSF6qQA1rcLsQRnBsZgb,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,199111,4
0.659,0.596,8,-5.083,1,0.0505,0.0895,0,0.112,0.441,126.086,audio_features,2DaSYWLLrMqinezMeEwgc9,spotify:track:2DaSYWLLrMqinezMeEwgc9,https://api.spotify.com/v1/tracks/2DaSYWLLrMqinezMeEwgc9,https://api.spotify.com/v1/audio-analysis/2DaSYWLLrMqinezMeEwgc9,190643,4
0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,audio_features,2z4pcBLQXF2BXKFvd0BuB6,spotify:track:2z4pcBLQXF2BXKFvd0BuB6,https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6,https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6,187521,4
0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,audio_features,32DGGj6KlNuBr6WaqRxpxi,spotify:track:32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,198237,4
0.72,0.807,11,-4.59,0,0.0432,0.129,0,0.183,0.305,124.946,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4
0.712,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.112,0.268,122.964,audio_features,2Za1AlJNvksouPPWbXpR2X,spotify:track:2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/tracks/2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/audio-analysis/2Za1AlJNvksouPPWbXpR2X,240507,4
0.817,0.854,6,-4.744,0,0.117,0.117,1.07e-05,0.0413,0.622,102.0,audio_features,41W4YKwP7DPxoplPA2U0PW,spotify:track:41W4YKwP7DPxoplPA2U0PW,https://api.spotify.com/v1/tracks/41W4YKwP7DPxoplPA2U0PW,https://api.spotify.com/v1/audio-analysis/41W4YKwP7DPxoplPA2U0PW,198280,4
0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,audio_features,01iyINEYgPQ7ThMZuHUsqS,spotify:track:01iyINEYgPQ7ThMZuHUsqS,https://api.spotify.com/v1/tracks/01iyINEYgPQ7ThMZuHUsqS,https://api.spotify.com/v1/audio-analysis/01iyINEYgPQ7ThMZuHUsqS,207428,4
0.727,0.598,8,-8.425,1,0.0515,0.0661,1.07e-05,0.0975,0.683,97.037,audio_features,77VLYTyrdlHEWcjhjQoXlz,spotify:track:77VLYTyrdlHEWcjhjQoXlz,https://api.spotify.com/v1/tracks/77VLYTyrdlHEWcjhjQoXlz,https://api.spotify.com/v1/audio-analysis/77VLYTyrdlHEWcjhjQoXlz,197627,4
0.577,0.882,8,-5.224,1,0.0492,0.00527,0,0.257,0.564,115.022,audio_features,7cQMJ0wDqVS5iM0JIvP6Ay,spotify:track:7cQMJ0wDqVS5iM0JIvP6Ay,https://api.spotify.com/v1/tracks/7cQMJ0wDqVS5iM0JIvP6Ay,https://api.spotify.com/v1/audio-analysis/7cQMJ0wDqVS5iM0JIvP6Ay,230427,4
0.597,0.68,1,-7.104,1,0.0769,0.322,0.000143,0.111,0.195,119.946,audio_features,1OG4nxGMy72EklX2DwcN3Z,spotify:track:1OG4nxGMy72EklX2DwcN3Z,https://api.spotify.com/v1/tracks/1OG4nxGMy72EklX2DwcN3Z,https://api.spotify.com/v1/audio-analysis/1OG4nxGMy72EklX2DwcN3Z,188346,4
0.755,0.722,7,-6.097,1,0.038,0.00584,0.00104,0.0746,0.133,115.03,audio_features,3fJaqjV813edLN5wrxUPkc,spotify:track:3fJaqjV813edLN5wrxUPkc,https://api.spotify.com/v1/tracks/3fJaqjV813edLN5wrxUPkc,https://api.spotify.com/v1/audio-analysis/3fJaqjV813edLN5wrxUPkc,233726,4
0.838,0.724,0,-3.025,1,0.0754,0.0934,1.73e-06,0.0522,0.385,112.992,audio_features,5yjOhc3JKrznGouRHMagoJ,spotify:track:5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/tracks/5yjOhc3JKrznGouRHMagoJ,https://api.spotify.com/v1/audio-analysis/5yjOhc3JKrznGouRHMagoJ,175333,4
