danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.495,0.949,7,-4.595,1,0.0731,0.000202,0,0.385,0.398,92.004,audio_features,1COgBLG6bc5ECSlDMLOwxO,spotify:track:1COgBLG6bc5ECSlDMLOwxO,https://api.spotify.com/v1/tracks/1COgBLG6bc5ECSlDMLOwxO,https://api.spotify.com/v1/audio-analysis/1COgBLG6bc5ECSlDMLOwxO,187400,4
0.278,0.995,8,-3.641,0,0.0756,9.74e-05,0.000135,0.295,0.069,174.994,audio_features,0htcfA4rJdCeozrai9MEM7,spotify:track:0htcfA4rJdCeozrai9MEM7,https://api.spotify.com/v1/tracks/0htcfA4rJdCeozrai9MEM7,https://api.spotify.com/v1/audio-analysis/0htcfA4rJdCeozrai9MEM7,209773,4
0.563,0.734,7,-6.207,0,0.038,0.0123,0,0.102,0.231,115.983,audio_features,7FQvFYg88JndjHvd5tBxwI,spotify:track:7FQvFYg88JndjHvd5tBxwI,https://api.spotify.com/v1/tracks/7FQvFYg88JndjHvd5tBxwI,https://api.spotify.com/v1/audio-analysis/7FQvFYg88JndjHvd5tBxwI,302533,4
0.483,0.998,4,-3.205,0,0.125,0.000176,4.68e-06,0.264,0.141,112.489,audio_features,7fkcqrzdbgIa4vthgYN3vs,spotify:track:7fkcqrzdbgIa4vthgYN3vs,https://api.spotify.com/v1/tracks/7fkcqrzdbgIa4vthgYN3vs,https://api.spotify.com/v1/audio-analysis/7fkcqrzdbgIa4vthgYN3vs,205867,4
0.349,0.983,7,-3.134,1,0.166,0.000224,0.00013,0.308,0.148,113.75,audio_features,5THZ7kOiB7uJSIIz7yPv8Y,spotify:track:5THZ7kOiB7uJSIIz7yPv8Y,https://api.spotify.com/v1/tracks/5THZ7kOiB7uJSIIz7yPv8Y,https://api.spotify.com/v1/audio-analysis/5THZ7kOiB7uJSIIz7yPv8Y,190253,4
0.388,0.953,7,-4.12,1,0.127,4.39e-06,0.204,0.253,0.453,199.942,audio_features,6GV7Nmliy0mG7QPWxzUVEP,spotify:track:6GV7Nmliy0mG7QPWxzUVEP,https://api.spotify.com/v1/tracks/6GV7Nmliy0mG7QPWxzUVEP,https://api.spotify.com/v1/audio-analysis/6GV7Nmliy0mG7QPWxzUVEP,241120,4
0.594,0.893,6,-4.478,0,0.0405,0.000144,0.000958,0.151,0.788,128.017,audio_features,4lzDJauxyAWzUNNmwImSkJ,spotify:track:4lzDJauxyAWzUNNmwImSkJ,https://api.spotify.com/v1/tracks/4lzDJauxyAWzUNNmwImSkJ,https://api.spotify.com/v1/audio-analysis/4lzDJauxyAWzUNNmwImSkJ,248960,4
0.472,0.989,8,-3.9,1,0.1,5.43e-06,0.00175,0.268,0.217,129.994,audio_features,3pYePK10TNQN8UXDS5J9SE,spotify:track:3pYePK10TNQN8UXDS5J9SE,https://api.spotify.com/v1/tracks/3pYePK10TNQN8UXDS5J9SE,https://api.spotify.com/v1/audio-analysis/3pYePK10TNQN8UXDS5J9SE,191141,4
0.286,0.987,6,-5.182,1,0.179,4.25e-06,0.156,0.0825,0.239,195.014,audio_features,4gVicTh4M78wrKxk1K2HPl,spotify:track:4gVicTh4M78wrKxk1K2HPl,https://api.spotify.com/v1/tracks/4gVicTh4M78wrKxk1K2HPl,https://api.spotify.com/v1/audio-analysis/4gVicTh4M78wrKxk1K2HPl,244173,4
0.284,0.892,10,-4.326,0,0.0446,6.97e-06,0.00357,0.119,0.661,169.943,audio_features,09OnB8xeghs8FRnu4dJKmU,spotify:track:09OnB8xeghs8FRnu4dJKmU,https://api.spotify.com/v1/tracks/09OnB8xeghs8FRnu4dJKmU,https://api.spotify.com/v1/audio-analysis/09OnB8xeghs8FRnu4dJKmU,242627,4
0.484,0.996,6,-1.465,1,0.142,4.07e-05,0,0.375,0.301,105.01,audio_features,1Yf6xbi1dJVdiKoWwxL1Ti,spotify:track:1Yf6xbi1dJVdiKoWwxL1Ti,https://api.spotify.com/v1/tracks/1Yf6xbi1dJVdiKoWwxL1Ti,https://api.spotify.com/v1/audio-analysis/1Yf6xbi1dJVdiKoWwxL1Ti,209394,4
0.185,0.969,6,-4.106,0,0.087,3.3e-05,7.36e-05,0.204,0.47,172.083,audio_features,5hPc5SHlbNsLAYA9ZPz6aM,spotify:track:5hPc5SHlbNsLAYA9ZPz6aM,https://api.spotify.com/v1/tracks/5hPc5SHlbNsLAYA9ZPz6aM,https://api.spotify.com/v1/audio-analysis/5hPc5SHlbNsLAYA9ZPz6aM,245804,4
0.495,0.895,3,-3.881,0,0.0331,0.000537,0.138,0.238,0.611,160.076,audio_features,6NPt00XaWeseLF2cL0pSM1,spotify:track:6NPt00XaWeseLF2cL0pSM1,https://api.spotify.com/v1/tracks/6NPt00XaWeseLF2cL0pSM1,https://api.spotify.com/v1/audio-analysis/6NPt00XaWeseLF2cL0pSM1,212613,4
0.433,0.996,11,-1.754,1,0.151,0.000435,0.000173,0.0832,0.063,171.985,audio_features,2yoCtR2C0sMFgII70RosuY,spotify:track:2yoCtR2C0sMFgII70RosuY,https://api.spotify.com/v1/tracks/2yoCtR2C0sMFgII70RosuY,https://api.spotify.com/v1/audio-analysis/2yoCtR2C0sMFgII70RosuY,328000,4
0.473,0.942,6,-5.558,0,0.135,0.000893,0,0.0824,0.505,157.868,audio_features,2pZzXMDNvzuMw94LXh6ty3,spotify:track:2pZzXMDNvzuMw94LXh6ty3,https://api.spotify.com/v1/tracks/2pZzXMDNvzuMw94LXh6ty3,https://api.spotify.com/v1/audio-analysis/2pZzXMDNvzuMw94LXh6ty3,192800,4
0.497,0.978,11,-4.356,0,0.072,0.000367,0,0.389,0.69,92.022,audio_features,2iQoaliksvoEBhldqjYPgL,spotify:track:2iQoaliksvoEBhldqjYPgL,https://api.spotify.com/v1/tracks/2iQoaliksvoEBhldqjYPgL,https://api.spotify.com/v1/audio-analysis/2iQoaliksvoEBhldqjYPgL,225263,4
0.337,0.735,1,-5.188,0,0.0358,1.38e-05,0,0.134,0.304,175.976,audio_features,1WSIeiaxm5L04nnCvau4rz,spotify:track:1WSIeiaxm5L04nnCvau4rz,https://api.spotify.com/v1/tracks/1WSIeiaxm5L04nnCvau4rz,https://api.spotify.com/v1/audio-analysis/1WSIeiaxm5L04nnCvau4rz,244432,4
0.52,0.946,1,-3.311,0,0.138,7.85e-05,0.0703,0.0562,0.408,114.997,audio_features,1TnmR2CWvNOxJFvXrRs9t7,spotify:track:1TnmR2CWvNOxJFvXrRs9t7,https://api.spotify.com/v1/tracks/1TnmR2CWvNOxJFvXrRs9t7,https://api.spotify.com/v1/audio-analysis/1TnmR2CWvNOxJFvXrRs9t7,205787,4
0.479,0.954,4,-5.634,0,0.0969,0.00148,0.132,0.364,0.455,160.025,audio_features,3qWmyQSoTA31BClpE4jyQq,spotify:track:3qWmyQSoTA31BClpE4jyQq,https://api.spotify.com/v1/tracks/3qWmyQSoTA31BClpE4jyQq,https://api.spotify.com/v1/audio-analysis/3qWmyQSoTA31BClpE4jyQq,212455,4
0.501,0.926,2,-5.359,0,0.0578,0.000938,0,0.127,0.57,120.01,audio_features,166Jkc8Bbe9hJdQqGe6XVX,spotify:track:166Jkc8Bbe9hJdQqGe6XVX,https://api.spotify.com/v1/tracks/166Jkc8Bbe9hJdQqGe6XVX,https://api.spotify.com/v1/audio-analysis/166Jkc8Bbe9hJdQqGe6XVX,230080,4
0.498,0.849,0,-4.219,0,0.0373,0.00029,0.00348,0.0782,0.428,103.042,audio_features,50a0MuNJOSfA5TpVUVrHvu,spotify:track:50a0MuNJOSfA5TpVUVrHvu,https://api.spotify.com/v1/tracks/50a0MuNJOSfA5TpVUVrHvu,https://api.spotify.com/v1/audio-analysis/50a0MuNJOSfA5TpVUVrHvu,254480,4
