danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.811,0.88,8,-2.972,1,0.0628,0.254,0.00146,0.0475,0.915,124.12,audio_features,7cpFmkNmh3MM0WqXPSbs9f,spotify:track:7cpFmkNmh3MM0WqXPSbs9f,https://api.spotify.com/v1/tracks/7cpFmkNmh3MM0WqXPSbs9f,https://api.spotify.com/v1/audio-analysis/7cpFmkNmh3MM0WqXPSbs9f,267000,4
0.786,0.912,9,-2.894,1,0.0567,0.401,0.00114,0.0475,0.853,128.896,audio_features,3IS5IWZuDJJdqBJ9XVqpbh,spotify:track:3IS5IWZuDJJdqBJ9XVqpbh,https://api.spotify.com/v1/tracks/3IS5IWZuDJJdqBJ9XVqpbh,https://api.spotify.com/v1/audio-analysis/3IS5IWZuDJJdqBJ9XVqpbh,274160,4
0.845,0.948,4,-4.074,1,0.207,0.217,4.34e-06,0.166,0.436,120.004,audio_features,0ZqSjQ1TpjdYl8VR4n2yEu,spotify:track:0ZqSjQ1TpjdYl8VR4n2yEu,https://api.spotify.com/v1/tracks/0ZqSjQ1TpjdYl8VR4n2yEu,https://api.spotify.com/v1/audio-analysis/0ZqSjQ1TpjdYl8VR4n2yEu,241867,4
0.78,0.872,8,-4.27,1,0.0415,0.158,0.0122,0.112,0.54,142.014,audio_features,7nI05CW0NhmQ6xk6TktRMa,spotify:track:7nI05CW0NhmQ6xk6TktRMa,https://api.spotify.com/v1/tracks/7nI05CW0NhmQ6xk6TktRMa,https://api.spotify.com/v1/audio-analysis/7nI05CW0NhmQ6xk6TktRMa,199987,4
0.754,0.736,9,-5.404,1,0.0301,0.506,1.12e-05,0.213,0.96,135.024,audio_features,19Sij07U1rhR57FoAwpVEz,spotify:track:19Sij07U1rhR57FoAwpVEz,https://api.spotify.com/v1/tracks/19Sij07U1rhR57FoAwpVEz,https://api.spotify.com/v1/audio-analysis/19Sij07U1rhR57FoAwpVEz,230840,4
0.753,0.895,9,-2.385,0,0.0508,0.498,3.85e-05,0.0431,0.886,119.171,audio_features,7gNI9f8NTCU6hLV0pLkTT7,spotify:track:7gNI9f8NTCU6hLV0pLkTT7,https://api.spotify.com/v1/tracks/7gNI9f8NTCU6hLV0pLkTT7,https://api.spotify.com/v1/audio-analysis/7gNI9f8NTCU6hLV0pLkTT7,259067,4
0.802,0.944,9,-3.531,1,0.0449,0.442,0.0029,0.106,0.94,122.115,audio_features,7zOqkF9TUdUPREtkIf1v4Q,spotify:track:7zOqkF9TUdUPREtkIf1v4Q,https://api.spotify.com/v1/tracks/7zOqkF9TUdUPREtkIf1v4Q,https://api.spotify.com/v1/audio-analysis/7zOqkF9TUdUPREtkIf1v4Q,265667,4
0.784,0.874,8,-4.255,1,0.0308,0.181,3.5e-06,0.0755,0.823,115.034,audio_features,4QCsJkrNuE4mnAv3B7qH9Q,spotify:track:4QCsJkrNuE4mnAv3B7qH9Q,https://api.spotify.com/v1/tracks/4QCsJkrNuE4mnAv3B7qH9Q,https://api.spotify.com/v1/audio-analysis/4QCsJkrNuE4mnAv3B7qH9Q,226053,4
0.824,0.666,0,-7.582,0,0.0782,0.0993,0.0699,0.186,0.522,123.986,audio_features,0mP1xo3XPMe31UdAJ2QfBT,spotify:track:0mP1xo3XPMe31UdAJ2QfBT,https://api.spotify.com/v1/tracks/0mP1xo3XPMe31UdAJ2QfBT,https://api.spotify.com/v1/audio-analysis/0mP1xo3XPMe31UdAJ2QfBT,248962,4
0.691,0.891,3,-2.912,1,0.0443,0.452,0.00174,0.237,0.934,126.217,audio_features,2yB721Szta49XabGt5FQ0u,spotify:track:2yB721Szta49XabGt5FQ0u,https://api.spotify.com/v1/tracks/2yB721Szta49XabGt5FQ0u,https://api.spotify.com/v1/audio-analysis/2yB721Szta49XabGt5FQ0u,208800,4
0.801,0.905,9,-3.122,1,0.0374,0.475,0.0057,0.0456,0.956,123.246,audio_features,4d8LZYb5qstwWaUnXR3Co4,spotify:track:4d8LZYb5qstwWaUnXR3Co4,https://api.spotify.com/v1/tracks/4d8LZYb5qstwWaUnXR3Co4,https://api.spotify.com/v1/audio-analysis/4d8LZYb5qstwWaUnXR3Co4,287507,4
0.911,0.872,10,-3.817,0,0.0854,0.476,0.0751,0.13,0.835,125.037,audio_features,6omTKB0q86BI76tRhoyzBK,spotify:track:6omTKB0q86BI76tRhoyzBK,https://api.spotify.com/v1/tracks/6omTKB0q86BI76tRhoyzBK,https://api.spotify.com/v1/audio-analysis/6omTKB0q86BI76tRhoyzBK,216800,4
0.77,0.793,9,-4.352,1,0.0343,0.0566,3.55e-05,0.0299,0.649,145.297,audio_features,1SrTKJtKmtJtAoGYCaSnl1,spotify:track:1SrTKJtKmtJtAoGYCaSnl1,https://api.spotify.com/v1/tracks/1SrTKJtKmtJtAoGYCaSnl1,https://api.spotify.com/v1/audio-analysis/1SrTKJtKmtJtAoGYCaSnl1,226627,4
0.682,0.865,0,-3.508,1,0.0443,0.029,0.000769,0.142,0.744,125.027,audio_features,7vBjoQ0toBpeIplTtfn8yT,spotify:track:7vBjoQ0toBpeIplTtfn8yT,https://api.spotify.com/v1/tracks/7vBjoQ0toBpeIplTtfn8yT,https://api.spotify.com/v1/audio-analysis/7vBjoQ0toBpeIplTtfn8yT,217045,4
0.796,0.488,10,-6.011,1,0.0357,0.41,0,0.329,0.426,96.983,audio_features,7BruhzzAfQ8VU6eRiddFhF,spotify:track:7BruhzzAfQ8VU6eRiddFhF,https://api.spotify.com/v1/tracks/7BruhzzAfQ8VU6eRiddFhF,https://api.spotify.com/v1/audio-analysis/7BruhzzAfQ8VU6eRiddFhF,202945,4
0.745,0.911,5,-2.59,0,0.0373,0.576,0.00471,0.185,0.962,125.214,audio_features,6j4GKgpsjLfPkvmPgejJLO,spotify:track:6j4GKgpsjLfPkvmPgejJLO,https://api.spotify.com/v1/tracks/6j4GKgpsjLfPkvmPgejJLO,https://api.spotify.com/v1/audio-analysis/6j4GKgpsjLfPkvmPgejJLO,272040,4
0.544,0.852,10,-5.148,1,0.117,0.695,1.79e-06,0.391,0.806,127.898,audio_features,4BOj8HAuv0cbSe2bTxD2Js,spotify:track:4BOj8HAuv0cbSe2bTxD2Js,https://api.spotify.com/v1/tracks/4BOj8HAuv0cbSe2bTxD2Js,https://api.spotify.com/v1/audio-analysis/4BOj8HAuv0cbSe2bTxD2Js,244813,4
0.765,0.865,0,-3.268,1,0.0567,0.0815,0.000546,0.29,0.885,129.987,audio_features,0pQ04p0CME5AOZgzzMbZs1,spotify:track:0pQ04p0CME5AOZgzzMbZs1,https://api.spotify.com/v1/tracks/0pQ04p0CME5AOZgzzMbZs1,https://api.spotify.com/v1/audio-analysis/0pQ04p0CME5AOZgzzMbZs1,193987,4
0.826,0.853,5,-2.366,1,0.0972,0.288,0.263,0.101,0.935,127.12,audio_features,6XT9boebO9ntiDEbt0yPYh,spotify:track:6XT9boebO9ntiDEbt0yPYh,https://api.spotify.com/v1/tracks/6XT9boebO9ntiDEbt0yPYh,https://api.spotify.com/v1/audio-analysis/6XT9boebO9ntiDEbt0yPYh,249493,4
0.845,0.899,0,-4.57,1,0.0493,0.136,0.00563,0.295,0.962,124.943,audio_features,65bfwZBNu50N5NyUP0WJBN,spotify:track:65bfwZBNu50N5NyUP0WJBN,https://api.spotify.com/v1/tracks/65bfwZBNu50N5NyUP0WJBN,https://api.spotify.com/v1/audio-analysis/65bfwZBNu50N5NyUP0WJBN,210547,4
0.841,0.91,7,-3.003,1,0.12,0.477,0.000549,0.179,0.936,113.038,audio_features,03xL4YEi997DVmUKSwVsvE,spotify:track:03xL4YEi997DVmUKSwVsvE,https://api.spotify.com/v1/tracks/03xL4YEi997DVmUKSwVsvE,https://api.spotify.com/v1/audio-analysis/03xL4YEi997DVmUKSwVsvE,215947,4
