danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.461,0.603,1,-8.616,1,0.198,0.0673,0,0.0971,0.185,99.124,audio_features,66Ds6pBAZE0BxsjfxVbD4z,spotify:track:66Ds6pBAZE0BxsjfxVbD4z,https://api.spotify.com/v1/tracks/66Ds6pBAZE0BxsjfxVbD4z,https://api.spotify.com/v1/audio-analysis/66Ds6pBAZE0BxsjfxVbD4z,257472,4
0.687,0.802,8,-6.005,1,0.114,0.0986,0,0.131,0.908,153.37,audio_features,6chKRJFe2qXIFHZKBDWqtw,spotify:track:6chKRJFe2qXIFHZKBDWqtw,https://api.spotify.com/v1/tracks/6chKRJFe2qXIFHZKBDWqtw,https://api.spotify.com/v1/audio-analysis/6chKRJFe2qXIFHZKBDWqtw,243800,4
0.765,0.601,5,-7.399,0,0.256,0.168,0.00976,0.122,0.773,80.018,audio_features,1m2c9ZjrXRGRvvPhVOUXrV,spotify:track:1m2c9ZjrXRGRvvPhVOUXrV,https://api.spotify.com/v1/tracks/1m2c9ZjrXRGRvvPhVOUXrV,https://api.spotify.com/v1/audio-analysis/1m2c9ZjrXRGRvvPhVOUXrV,219040,4
0.687,0.63,9,-6.831,1,0.124,0.112,0,0.134,0.864,155.361,audio_features,31RzxvfvUbmIyoJRyWUzqz,spotify:track:31RzxvfvUbmIyoJRyWUzqz,https://api.spotify.com/v1/tracks/31RzxvfvUbmIyoJRyWUzqz,https://api.spotify.com/v1/audio-analysis/31RzxvfvUbmIyoJRyWUzqz,230427,4
0.867,0.5,6,-6.422,0,0.063,0.00224,0,0.0733,0.801,78.594,audio_features,04Ciasj1DaKMxJgZ1a4yUG,spotify:track:04Ciasj1DaKMxJgZ1a4yUG,https://api.spotify.com/v1/tracks/04Ciasj1DaKMxJgZ1a4yUG,https://api.spotify.com/v1/audio-analysis/04Ciasj1DaKMxJgZ1a4yUG,237693,4
0.801,0.666,7,-6.558,1,0.335,0.0194,0,0.281,0.759,76.638,audio_features,3jtd9Jslk6phPPYzBqfomg,spotify:track:3jtd9Jslk6phPPYzBqfomg,https://api.spotify.com/v1/tracks/3jtd9Jslk6phPPYzBqfomg,https://api.spotify.com/v1/audio-analysis/3jtd9Jslk6phPPYzBqfomg,213200,4
0.771,0.766,1,-5.79,0,0.126,0.149,0,0.256,0.921,92.008,audio_features,5TsqqwFYlAOYPhjYHJk7B5,spotify:track:5TsqqwFYlAOYPhjYHJk7B5,https://api.spotify.com/v1/tracks/5TsqqwFYlAOYPhjYHJk7B5,https://api.spotify.com/v1/audio-analysis/5TsqqwFYlAOYPhjYHJk7B5,260000,4
0.881,0.484,2,-6.268,0,0.0509,0.0144,0.000611,0.151,0.67,85.012,audio_features,4xmfHsprYuv7zFaSAbdBfy,spotify:track:4xmfHsprYuv7zFaSAbdBfy,https://api.spotify.com/v1/tracks/4xmfHsprYuv7zFaSAbdBfy,https://api.spotify.com/v1/audio-analysis/4xmfHsprYuv7zFaSAbdBfy,227333,4
0.69,0.687,1,-5.927,1,0.222,0.0733,0,0.106,0.508,175.901,audio_features,67mtr14eButq6VbMhLt0ky,spotify:track:67mtr14eButq6VbMhLt0ky,https://api.spotify.com/v1/tracks/67mtr14eButq6VbMhLt0ky,https://api.spotify.com/v1/audio-analysis/67mtr14eButq6VbMhLt0ky,226960,4
0.624,0.719,8,-6.034,0,0.344,0.0262,0,0.368,0.781,82.571,audio_features,4VoYv3ByzeEEIb8YEOT2rg,spotify:track:4VoYv3ByzeEEIb8YEOT2rg,https://api.spotify.com/v1/tracks/4VoYv3ByzeEEIb8YEOT2rg,https://api.spotify.com/v1/audio-analysis/4VoYv3ByzeEEIb8YEOT2rg,225507,4
