danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.555,0.348,11,-9.783,0,0.0336,0.107,0.776,0.147,0.175,155.065,audio_features,3Zs0LasDmlVpaEfqszmJo3,spotify:track:3Zs0LasDmlVpaEfqszmJo3,https://api.spotify.com/v1/tracks/3Zs0LasDmlVpaEfqszmJo3,https://api.spotify.com/v1/audio-analysis/3Zs0LasDmlVpaEfqszmJo3,149122,4
0.363,0.608,10,-7.234,0,0.0692,0.457,0.653,0.43,0.139,74.758,audio_features,5fFqxdgVb6XRHN8VEoKh6I,spotify:track:5fFqxdgVb6XRHN8VEoKh6I,https://api.spotify.com/v1/tracks/5fFqxdgVb6XRHN8VEoKh6I,https://api.spotify.com/v1/audio-analysis/5fFqxdgVb6XRHN8VEoKh6I,168751,4
0.559,0.895,10,-5.276,1,0.0515,0.0533,0.767,0.0892,0.571,155.027,audio_features,4hvmK2HZPB2MwKjWprYCxg,spotify:track:4hvmK2HZPB2MwKjWprYCxg,https://api.spotify.com/v1/tracks/4hvmK2HZPB2MwKjWprYCxg,https://api.spotify.com/v1/audio-analysis/4hvmK2HZPB2MwKjWprYCxg,313521,4
0.286,0.421,0,-22.06,0,0.136,0.897,0.912,0.0934,0.118,161.227,audio_features,5v8U5p1tozSYYVCWuiKTVU,spotify:track:5v8U5p1tozSYYVCWuiKTVU,https://api.spotify.com/v1/tracks/5v8U5p1tozSYYVCWuiKTVU,https://api.spotify.com/v1/audio-analysis/5v8U5p1tozSYYVCWuiKTVU,113160,5
0.585,0.625,8,-7.866,1,0.0883,0.0452,0.894,0.115,0.489,79.991,audio_features,4ivH621MiVaiFm54ZDEtmE,spotify:track:4ivH621MiVaiFm54ZDEtmE,https://api.spotify.com/v1/tracks/4ivH621MiVaiFm54ZDEtmE,https://api.spotify.com/v1/audio-analysis/4ivH621MiVaiFm54ZDEtmE,144000,4
0.488,0.894,1,-3.868,1,0.331,0.767,0.0284,0.639,0.114,160.03,audio_features,7s0F97BmxzcfpnHMDW5EzT,spotify:track:7s0F97BmxzcfpnHMDW5EzT,https://api.spotify.com/v1/tracks/7s0F97BmxzcfpnHMDW5EzT,https://api.spotify.com/v1/audio-analysis/7s0F97BmxzcfpnHMDW5EzT,171103,4
0.328,0.34,0,-20.37,1,0.0524,0.917,0.909,0.148,0.0619,124.93,audio_features,0XSiiBEmjVCCQ4SeA5Afq6,spotify:track:0XSiiBEmjVCCQ4SeA5Afq6,https://api.spotify.com/v1/tracks/0XSiiBEmjVCCQ4SeA5Afq6,https://api.spotify.com/v1/audio-analysis/0XSiiBEmjVCCQ4SeA5Afq6,72120,4
0.537,0.859,4,-5.487,0,0.039,0.0694,0.77,0.13,0.21,157.98,audio_features,2hlqCFahLVgdBIbY3yTrAb,spotify:track:2hlqCFahLVgdBIbY3yTrAb,https://api.spotify.com/v1/tracks/2hlqCFahLVgdBIbY3yTrAb,https://api.spotify.com/v1/audio-analysis/2hlqCFahLVgdBIbY3yTrAb,264734,4
0.449,0.847,5,-11.083,0,0.166,0.922,0.754,0.352,0.473,92.109,audio_features,42dw6pVslE7a5k24piTkCC,spotify:track:42dw6pVslE7a5k24piTkCC,https://api.spotify.com/v1/tracks/42dw6pVslE7a5k24piTkCC,https://api.spotify.com/v1/audio-analysis/42dw6pVslE7a5k24piTkCC,46667,4
0.498,0.545,7,-7.917,0,0.0481,0.0216,0.808,0.0996,0.0383,177.984,audio_features,0mhcWPYviFvHzhrOuZiZQM,spotify:track:0mhcWPYviFvHzhrOuZiZQM,https://api.spotify.com/v1/tracks/0mhcWPYviFvHzhrOuZiZQM,https://api.spotify.com/v1/audio-analysis/0mhcWPYviFvHzhrOuZiZQM,248785,4
0.803,0.662,7,-7.834,1,0.0377,0.0132,0.74,0.325,0.264,121.994,audio_features,2LAmMdTuNzuwJGyPgCosdt,spotify:track:2LAmMdTuNzuwJGyPgCosdt,https://api.spotify.com/v1/tracks/2LAmMdTuNzuwJGyPgCosdt,https://api.spotify.com/v1/audio-analysis/2LAmMdTuNzuwJGyPgCosdt,200874,4
0.585,0.666,11,-8.17,0,0.395,0.127,0.0737,0.0644,0.136,160.17,audio_features,7GXO38sbsOtZcL4C2HCEMa,spotify:track:7GXO38sbsOtZcL4C2HCEMa,https://api.spotify.com/v1/tracks/7GXO38sbsOtZcL4C2HCEMa,https://api.spotify.com/v1/audio-analysis/7GXO38sbsOtZcL4C2HCEMa,168000,4
0.642,0.444,9,-15.608,0,0.0491,0.612,0.878,0.0871,0.0776,104.999,audio_features,1LYipMFKz8X6fNU7RJvvVW,spotify:track:1LYipMFKz8X6fNU7RJvvVW,https://api.spotify.com/v1/tracks/1LYipMFKz8X6fNU7RJvvVW,https://api.spotify.com/v1/audio-analysis/1LYipMFKz8X6fNU7RJvvVW,165653,4
0.66,0.756,5,-7.871,0,0.0391,0.0853,0.697,0.13,0.489,129.999,audio_features,1fchgXINtcQqZRAjKicdzz,spotify:track:1fchgXINtcQqZRAjKicdzz,https://api.spotify.com/v1/tracks/1fchgXINtcQqZRAjKicdzz,https://api.spotify.com/v1/audio-analysis/1fchgXINtcQqZRAjKicdzz,198565,4
0.457,0.612,2,-15.705,1,0.226,0.903,0.907,0.366,0.0357,87.864,audio_features,6PNP5wFnQQl2nlMfBMaxCt,spotify:track:6PNP5wFnQQl2nlMfBMaxCt,https://api.spotify.com/v1/tracks/6PNP5wFnQQl2nlMfBMaxCt,https://api.spotify.com/v1/audio-analysis/6PNP5wFnQQl2nlMfBMaxCt,56947,4
0.6,0.56,1,-9.667,0,0.0751,0.0667,0.476,0.19,0.0727,125.065,audio_features,5XGzBprbMpVbA9eXOTMKvm,spotify:track:5XGzBprbMpVbA9eXOTMKvm,https://api.spotify.com/v1/tracks/5XGzBprbMpVbA9eXOTMKvm,https://api.spotify.com/v1/audio-analysis/5XGzBprbMpVbA9eXOTMKvm,204263,4
0.803,0.949,5,-2.347,1,0.274,0.036,0.202,0.412,0.502,79.99,audio_features,06iwhAevuCgupNwTg3wSC3,spotify:track:06iwhAevuCgupNwTg3wSC3,https://api.spotify.com/v1/tracks/06iwhAevuCgupNwTg3wSC3,https://api.spotify.com/v1/audio-analysis/06iwhAevuCgupNwTg3wSC3,216000,4
0.58,0.416,1,-14.727,1,0.0398,0.319,0.766,0.102,0.176,139.994,audio_features,5Av0knRzwqacQGnp7XC2YK,spotify:track:5Av0knRzwqacQGnp7XC2YK,https://api.spotify.com/v1/tracks/5Av0knRzwqacQGnp7XC2YK,https://api.spotify.com/v1/audio-analysis/5Av0knRzwqacQGnp7XC2YK,150959,4
0.558,0.743,6,-9.446,1,0.0532,0.0731,0.892,0.152,0.282,119.987,audio_features,5G4SFL3OIkg1X5Es2jwrnF,spotify:track:5G4SFL3OIkg1X5Es2jwrnF,https://api.spotify.com/v1/tracks/5G4SFL3OIkg1X5Es2jwrnF,https://api.spotify.com/v1/audio-analysis/5G4SFL3OIkg1X5Es2jwrnF,345387,4
0.305,0.914,2,-7.451,1,0.221,0.0275,0.909,0.606,0.0687,211.893,audio_features,0MYcDq74yEMem9mW3m2ELY,spotify:track:0MYcDq74yEMem9mW3m2ELY,https://api.spotify.com/v1/tracks/0MYcDq74yEMem9mW3m2ELY,https://api.spotify.com/v1/audio-analysis/0MYcDq74yEMem9mW3m2ELY,366792,4
