danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.664,0.834,1,-5.226,0,0.0671,0.212,0,0.219,0.407,91.063,audio_features,08PHbleBCzVQqiHeLi3631,spotify:track:08PHbleBCzVQqiHeLi3631,https://api.spotify.com/v1/tracks/08PHbleBCzVQqiHeLi3631,https://api.spotify.com/v1/audio-analysis/08PHbleBCzVQqiHeLi3631,264800,4
0.754,0.944,1,-3.664,1,0.0929,0.181,0,0.0764,0.645,110.014,audio_features,1PrbrfwL83xojczf9B7l0g,spotify:track:1PrbrfwL83xojczf9B7l0g,https://api.spotify.com/v1/tracks/1PrbrfwL83xojczf9B7l0g,https://api.spotify.com/v1/audio-analysis/1PrbrfwL83xojczf9B7l0g,251547,4
0.683,0.704,5,-5.67,1,0.0325,0.563,0,0.0992,0.66,90.881,audio_features,1JjIFPOdSgr1dQ074iJpyk,spotify:track:1JjIFPOdSgr1dQ074iJpyk,https://api.spotify.com/v1/tracks/1JjIFPOdSgr1dQ074iJpyk,https://api.spotify.com/v1/audio-analysis/1JjIFPOdSgr1dQ074iJpyk,216040,4
0.605,0.579,1,-7.212,0,0.0559,0.616,1.71e-06,0.0863,0.316,175.916,audio_features,6moAtQJzcVi64bdRomSE9b,spotify:track:6moAtQJzcVi64bdRomSE9b,https://api.spotify.com/v1/tracks/6moAtQJzcVi64bdRomSE9b,https://api.spotify.com/v1/audio-analysis/6moAtQJzcVi64bdRomSE9b,214960,4
0.717,0.81,9,-6.11,0,0.0322,0.434,3.92e-05,0.13,0.666,129.952,audio_features,7iZLOvwkLITlcsqV3WowV2,spotify:track:7iZLOvwkLITlcsqV3WowV2,https://api.spotify.com/v1/tracks/7iZLOvwkLITlcsqV3WowV2,https://api.spotify.com/v1/audio-analysis/7iZLOvwkLITlcsqV3WowV2,233173,4
0.488,0.949,11,-4.517,0,0.0865,0.229,9.97e-06,0.945,0.633,106.307,audio_features,53LJChAMeDEFfkeWVw12Br,spotify:track:53LJChAMeDEFfkeWVw12Br,https://api.spotify.com/v1/tracks/53LJChAMeDEFfkeWVw12Br,https://api.spotify.com/v1/audio-analysis/53LJChAMeDEFfkeWVw12Br,631500,4
0.685,0.744,7,-5.89,0,0.0497,0.392,6.54e-05,0.0944,0.748,174.017,audio_features,63Tx99hgudIkLQoCwAzZNi,spotify:track:63Tx99hgudIkLQoCwAzZNi,https://api.spotify.com/v1/tracks/63Tx99hgudIkLQoCwAzZNi,https://api.spotify.com/v1/audio-analysis/63Tx99hgudIkLQoCwAzZNi,236787,4
0.642,0.656,11,-6.029,0,0.059,0.37,0,0.0784,0.44,77.016,audio_features,2D7nX9w6cMPUmSiUXY7YsO,spotify:track:2D7nX9w6cMPUmSiUXY7YsO,https://api.spotify.com/v1/tracks/2D7nX9w6cMPUmSiUXY7YsO,https://api.spotify.com/v1/audio-analysis/2D7nX9w6cMPUmSiUXY7YsO,237467,4
0.555,0.972,10,-5.287,0,0.135,0.486,0,0.971,0.412,93.964,audio_features,3bU14yjSap7mP9E0O6ZTvC,spotify:track:3bU14yjSap7mP9E0O6ZTvC,https://api.spotify.com/v1/tracks/3bU14yjSap7mP9E0O6ZTvC,https://api.spotify.com/v1/audio-analysis/3bU14yjSap7mP9E0O6ZTvC,283000,4
0.627,0.904,1,-4.336,1,0.205,0.369,0,0.176,0.614,110.379,audio_features,4NUCvgCw9nSOwudW31vgKb,spotify:track:4NUCvgCw9nSOwudW31vgKb,https://api.spotify.com/v1/tracks/4NUCvgCw9nSOwudW31vgKb,https://api.spotify.com/v1/audio-analysis/4NUCvgCw9nSOwudW31vgKb,257519,4
0.432,0.784,11,-5.972,0,0.11,0.41,0,0.295,0.431,78.396,audio_features,38zgKSWCural8snNFkAkiz,spotify:track:38zgKSWCural8snNFkAkiz,https://api.spotify.com/v1/tracks/38zgKSWCural8snNFkAkiz,https://api.spotify.com/v1/audio-analysis/38zgKSWCural8snNFkAkiz,290000,4
0.425,0.878,7,-4.921,0,0.403,0.386,0,0.0984,0.574,173.212,audio_features,5WtCqQaMZQtqPVRxkdfpJx,spotify:track:5WtCqQaMZQtqPVRxkdfpJx,https://api.spotify.com/v1/tracks/5WtCqQaMZQtqPVRxkdfpJx,https://api.spotify.com/v1/audio-analysis/5WtCqQaMZQtqPVRxkdfpJx,260533,4
0.73,0.836,8,-6.287,0,0.214,0.253,0,0.2,0.924,173.868,audio_features,6msIPYsxR30wbmBfEe3DhV,spotify:track:6msIPYsxR30wbmBfEe3DhV,https://api.spotify.com/v1/tracks/6msIPYsxR30wbmBfEe3DhV,https://api.spotify.com/v1/audio-analysis/6msIPYsxR30wbmBfEe3DhV,228293,4
0.444,0.831,10,-5.835,1,0.233,0.491,0,0.304,0.657,80.873,audio_features,4SGFM6mMcmI5rgkArLbHEI,spotify:track:4SGFM6mMcmI5rgkArLbHEI,https://api.spotify.com/v1/tracks/4SGFM6mMcmI5rgkArLbHEI,https://api.spotify.com/v1/audio-analysis/4SGFM6mMcmI5rgkArLbHEI,239693,4
0.886,0.591,1,-6.489,1,0.343,0.217,0,0.0948,0.967,82.03,audio_features,0DjO27pVfkBqk839MIdTp6,spotify:track:0DjO27pVfkBqk839MIdTp6,https://api.spotify.com/v1/tracks/0DjO27pVfkBqk839MIdTp6,https://api.spotify.com/v1/audio-analysis/0DjO27pVfkBqk839MIdTp6,226747,4
0.723,0.728,8,-6.734,0,0.112,0.284,0,0.112,0.451,81.989,audio_features,7sMldJq44Uh37oa2oTo4w6,spotify:track:7sMldJq44Uh37oa2oTo4w6,https://api.spotify.com/v1/tracks/7sMldJq44Uh37oa2oTo4w6,https://api.spotify.com/v1/audio-analysis/7sMldJq44Uh37oa2oTo4w6,278160,4
0.649,0.74,11,-4.756,0,0.0586,0.308,0,0.0623,0.901,88.793,audio_features,79qa8rDDMUKpoK2yvqN3RY,spotify:track:79qa8rDDMUKpoK2yvqN3RY,https://api.spotify.com/v1/tracks/79qa8rDDMUKpoK2yvqN3RY,https://api.spotify.com/v1/audio-analysis/79qa8rDDMUKpoK2yvqN3RY,206027,4
0.554,0.856,0,-4.376,0,0.22,0.124,0,0.122,0.205,181.955,audio_features,2Oj4Id7YJBkjQbcqzCiOgj,spotify:track:2Oj4Id7YJBkjQbcqzCiOgj,https://api.spotify.com/v1/tracks/2Oj4Id7YJBkjQbcqzCiOgj,https://api.spotify.com/v1/audio-analysis/2Oj4Id7YJBkjQbcqzCiOgj,248187,4
0.713,0.74,10,-5.076,0,0.0645,0.139,0,0.0721,0.342,85.996,audio_features,5yA7gsXJQMsuBZTHhWHL7F,spotify:track:5yA7gsXJQMsuBZTHhWHL7F,https://api.spotify.com/v1/tracks/5yA7gsXJQMsuBZTHhWHL7F,https://api.spotify.com/v1/audio-analysis/5yA7gsXJQMsuBZTHhWHL7F,238907,4
0.651,0.702,7,-4.77,0,0.0918,0.157,0,0.0789,0.8,180.194,audio_features,23kc3teBt7H5Yy2krSD7LG,spotify:track:23kc3teBt7H5Yy2krSD7LG,https://api.spotify.com/v1/tracks/23kc3teBt7H5Yy2krSD7LG,https://api.spotify.com/v1/audio-analysis/23kc3teBt7H5Yy2krSD7LG,256187,4
0.708,0.845,0,-3.332,1,0.139,0.218,0,0.19,0.565,91.996,audio_features,2s4npyJ0dfZ3uEZ5mw6X7K,spotify:track:2s4npyJ0dfZ3uEZ5mw6X7K,https://api.spotify.com/v1/tracks/2s4npyJ0dfZ3uEZ5mw6X7K,https://api.spotify.com/v1/audio-analysis/2s4npyJ0dfZ3uEZ5mw6X7K,222507,4
0.444,0.893,9,-4.809,0,0.297,0.356,0,0.113,0.673,81.536,audio_features,4UoIHtG9kAagxdxV3vKDzi,spotify:track:4UoIHtG9kAagxdxV3vKDzi,https://api.spotify.com/v1/tracks/4UoIHtG9kAagxdxV3vKDzi,https://api.spotify.com/v1/audio-analysis/4UoIHtG9kAagxdxV3vKDzi,260493,4
